date_time,Gloucester_maxtempC,Gloucester_mintempC,Gloucester_totalSnow_cm,Gloucester_sunHour,Gloucester_uvIndex,Gloucester_uvIndex,Gloucester_moon_illumination,Gloucester_moonrise,Gloucester_moonset,Gloucester_sunrise,Gloucester_sunset,Gloucester_DewPointC,Gloucester_FeelsLikeC,Gloucester_HeatIndexC,Gloucester_WindChillC,Gloucester_WindGustKmph,Gloucester_cloudcover,Gloucester_humidity,Gloucester_precipMM,Gloucester_pressure,Gloucester_tempC,Gloucester_visibility,Gloucester_winddirDegree,Gloucester_windspeedKmph
2019-12-04 00:00:00,7,2,0.0,8.4,2,1,48,02:23 PM,No moonset,08:58 AM,05:00 PM,1,-0,3,-0,20,5,90,0.0,1022,3,10,187,10
2019-12-04 03:00:00,7,2,0.0,8.4,2,1,48,02:23 PM,No moonset,08:58 AM,05:00 PM,1,-1,2,-1,17,14,91,0.0,1020,2,10,180,8
2019-12-04 06:00:00,7,2,0.0,8.4,2,2,48,02:23 PM,No moonset,08:58 AM,05:00 PM,2,2,3,2,11,2,91,0.0,1020,3,10,182,6
2019-12-04 09:00:00,7,2,0.0,8.4,2,2,48,02:23 PM,No moonset,08:58 AM,05:00 PM,1,0,2,0,15,11,93,0.0,1020,2,10,180,8
2019-12-04 12:00:00,7,2,0.0,8.4,2,3,48,02:23 PM,No moonset,08:58 AM,05:00 PM,4,6,7,6,10,3,82,0.0,1020,7,10,196,9
2019-12-04 15:00:00,7,2,0.0,8.4,2,3,48,02:23 PM,No moonset,08:58 AM,05:00 PM,4,4,6,4,12,7,89,0.0,1019,6,10,210,8
2019-12-04 18:00:00,7,2,0.0,8.4,2,2,48,02:23 PM,No moonset,08:58 AM,05:00 PM,2,2,3,2,14,12,93,0.0,1021,3,10,221,7
2019-12-04 21:00:00,7,2,0.0,8.4,2,1,48,02:23 PM,No moonset,08:58 AM,05:00 PM,2,1,3,1,18,6,93,0.0,1021,3,10,213,9
2019-12-05 00:00:00,8,3,0.0,5.0,3,1,55,02:41 PM,01:02 AM,08:59 AM,05:00 PM,2,0,3,0,19,50,94,0.0,1022,3,10,219,9
2019-12-05 03:00:00,8,3,0.0,5.0,3,1,55,02:41 PM,01:02 AM,08:59 AM,05:00 PM,2,0,3,0,21,37,96,0.0,1020,3,2,232,10
2019-12-05 06:00:00,8,3,0.0,5.0,3,1,55,02:41 PM,01:02 AM,08:59 AM,05:00 PM,3,1,4,1,21,52,96,0.0,1021,4,2,219,10
2019-12-05 09:00:00,8,3,0.0,5.0,3,2,55,02:41 PM,01:02 AM,08:59 AM,05:00 PM,3,1,4,1,28,6,93,0.0,1020,4,10,213,14
2019-12-05 12:00:00,8,3,0.0,5.0,3,2,55,02:41 PM,01:02 AM,08:59 AM,05:00 PM,5,4,8,4,37,100,83,0.0,1019,8,10,225,24
2019-12-05 15:00:00,8,3,0.0,5.0,3,2,55,02:41 PM,01:02 AM,08:59 AM,05:00 PM,6,4,8,4,46,100,85,0.2,1015,8,2,225,29
2019-12-05 18:00:00,8,3,0.0,5.0,3,2,55,02:41 PM,01:02 AM,08:59 AM,05:00 PM,6,6,9,6,55,100,86,0.0,1014,6,10,227,33
2019-12-05 21:00:00,8,3,0.0,5.0,3,1,55,02:41 PM,01:02 AM,08:59 AM,05:00 PM,8,3,5,3,55,100,89,0.0,1012,3,10,228,33
2019-12-06 00:00:00,12,7,0.0,2.8,3,1,62,02:57 PM,02:09 AM,09:00 AM,04:59 PM,9,8,11,8,52,100,90,0.0,1011,11,10,232,32
2019-12-06 03:00:00,12,7,0.0,2.8,3,1,62,02:57 PM,02:09 AM,09:00 AM,04:59 PM,10,8,11,8,48,100,93,0.2,1007,11,2,227,30
2019-12-06 06:00:00,12,7,0.0,2.8,3,3,62,02:57 PM,02:09 AM,09:00 AM,04:59 PM,11,9,12,9,48,100,94,2.1,1006,12,9,227,30
2019-12-06 09:00:00,12,7,0.0,2.8,3,3,62,02:57 PM,02:09 AM,09:00 AM,04:59 PM,10,9,12,9,48,85,89,0.3,1004,12,2,241,30
2019-12-06 12:00:00,12,7,0.0,2.8,3,3,62,02:57 PM,02:09 AM,09:00 AM,04:59 PM,9,9,12,9,45,66,83,0.2,1003,12,10,243,29
2019-12-06 15:00:00,12,7,0.0,2.8,3,3,62,02:57 PM,02:09 AM,09:00 AM,04:59 PM,7,7,10,7,48,78,82,1.1,1002,10,10,273,31
2019-12-06 18:00:00,12,7,0.0,2.8,3,2,62,02:57 PM,02:09 AM,09:00 AM,04:59 PM,6,5,8,5,36,62,86,1.3,1006,8,10,266,20
2019-12-06 21:00:00,12,7,0.0,2.8,3,1,62,02:57 PM,02:09 AM,09:00 AM,04:59 PM,5,4,7,4,32,11,90,0.0,1008,7,10,260,17
2019-12-07 00:00:00,9,5,0.0,3.8,3,1,70,03:14 PM,03:16 AM,09:01 AM,04:59 PM,5,3,6,3,32,29,92,0.0,1011,6,10,255,18
2019-12-07 03:00:00,9,5,0.0,3.8,3,1,70,03:14 PM,03:16 AM,09:01 AM,04:59 PM,4,2,5,2,27,17,93,0.0,1012,5,10,251,14
2019-12-07 06:00:00,9,5,0.0,3.8,3,3,70,03:14 PM,03:16 AM,09:01 AM,04:59 PM,4,3,5,3,22,24,94,0.0,1013,5,10,236,11
2019-12-07 09:00:00,9,5,0.0,3.8,3,3,70,03:14 PM,03:16 AM,09:01 AM,04:59 PM,5,3,6,3,24,27,94,0.0,1013,6,10,226,13
2019-12-07 12:00:00,9,5,0.0,3.8,3,3,70,03:14 PM,03:16 AM,09:01 AM,04:59 PM,7,6,9,6,30,37,86,0.0,1014,9,10,239,21
2019-12-07 15:00:00,9,5,0.0,3.8,3,2,70,03:14 PM,03:16 AM,09:01 AM,04:59 PM,7,6,9,6,36,100,88,0.0,1012,9,10,227,23
2019-12-07 18:00:00,9,5,0.0,3.8,3,2,70,03:14 PM,03:16 AM,09:01 AM,04:59 PM,7,5,8,5,35,100,93,0.0,1010,8,10,206,21
2019-12-07 21:00:00,9,5,0.0,3.8,3,1,70,03:14 PM,03:16 AM,09:01 AM,04:59 PM,7,4,8,4,43,100,93,0.0,1007,8,10,200,26
2019-12-08 00:00:00,8,2,0.0,1.9,2,1,77,03:31 PM,04:24 AM,09:03 AM,04:59 PM,8,6,10,6,58,100,87,0.0,1001,10,10,204,37
2019-12-08 03:00:00,8,2,0.0,1.9,2,1,77,03:31 PM,04:24 AM,09:03 AM,04:59 PM,11,10,13,10,59,100,89,1.8,998,13,9,249,38
2019-12-08 06:00:00,8,2,0.0,1.9,2,2,77,03:31 PM,04:24 AM,09:03 AM,04:59 PM,5,4,8,4,44,71,83,1.4,1000,8,9,252,24
2019-12-08 09:00:00,8,2,0.0,1.9,2,3,77,03:31 PM,04:24 AM,09:03 AM,04:59 PM,4,3,7,3,44,15,80,0.0,1001,7,10,247,25
2019-12-08 12:00:00,8,2,0.0,1.9,2,2,77,03:31 PM,04:24 AM,09:03 AM,04:59 PM,4,4,8,4,51,65,73,0.0,1000,8,10,253,36
2019-12-08 15:00:00,8,2,0.0,1.9,2,2,77,03:31 PM,04:24 AM,09:03 AM,04:59 PM,2,3,7,3,49,83,71,0.3,998,7,9,248,31
2019-12-08 18:00:00,8,2,0.0,1.9,2,2,77,03:31 PM,04:24 AM,09:03 AM,04:59 PM,2,1,6,1,51,100,76,0.0,996,6,10,241,31
2019-12-08 21:00:00,8,2,0.0,1.9,2,1,77,03:31 PM,04:24 AM,09:03 AM,04:59 PM,4,2,5,2,50,100,81,0.3,991,2,2,226,35
2019-12-09 00:00:00,7,3,0.0,5.8,2,1,84,03:51 PM,05:34 AM,09:04 AM,04:58 PM,3,1,5,1,44,100,87,0.0,990,5,10,260,26
2019-12-09 03:00:00,7,3,0.0,5.8,2,1,84,03:51 PM,05:34 AM,09:04 AM,04:58 PM,5,4,8,4,49,100,85,0.9,992,8,9,275,29
2019-12-09 06:00:00,7,3,0.0,5.8,2,2,84,03:51 PM,05:34 AM,09:04 AM,04:58 PM,3,2,7,2,58,80,76,0.8,1001,7,9,320,33
2019-12-09 09:00:00,7,3,0.0,5.8,2,3,84,03:51 PM,05:34 AM,09:04 AM,04:58 PM,2,1,6,1,55,20,75,0.0,1009,6,10,320,31
2019-12-09 12:00:00,7,3,0.0,5.8,2,3,84,03:51 PM,05:34 AM,09:04 AM,04:58 PM,2,3,7,3,44,4,67,0.0,1016,7,10,327,30
2019-12-09 15:00:00,7,3,0.0,5.8,2,3,84,03:51 PM,05:34 AM,09:04 AM,04:58 PM,1,3,6,3,28,6,72,0.0,1019,6,10,314,16
