date_time,Gore_maxtempC,Gore_mintempC,Gore_totalSnow_cm,Gore_sunHour,Gore_uvIndex,Gore_uvIndex,Gore_moon_illumination,Gore_moonrise,Gore_moonset,Gore_sunrise,Gore_sunset,Gore_DewPointC,Gore_FeelsLikeC,Gore_HeatIndexC,Gore_WindChillC,Gore_WindGustKmph,Gore_cloudcover,Gore_humidity,Gore_precipMM,Gore_pressure,Gore_tempC,Gore_visibility,Gore_winddirDegree,Gore_windspeedKmph
2019-12-04 00:00:00,7,-1,0.0,3.5,2,1,48,01:18 PM,No moonset,07:32 AM,04:56 PM,-0,1,4,1,13,58,59,0.0,1020,2,10,256,7
2019-12-04 03:00:00,7,-1,0.0,3.5,2,1,48,01:18 PM,No moonset,07:32 AM,04:56 PM,-0,5,7,5,17,85,62,0.0,1020,7,10,233,9
2019-12-04 06:00:00,7,-1,0.0,3.5,2,2,48,01:18 PM,No moonset,07:32 AM,04:56 PM,1,5,7,5,19,100,69,0.9,1021,7,9,291,11
2019-12-04 09:00:00,7,-1,0.0,3.5,2,2,48,01:18 PM,No moonset,07:32 AM,04:56 PM,4,4,7,4,21,100,85,3.8,1022,7,7,234,14
2019-12-04 12:00:00,7,-1,0.0,3.5,2,2,48,01:18 PM,No moonset,07:32 AM,04:56 PM,5,5,7,5,13,100,90,7.7,1023,7,6,10,11
2019-12-04 15:00:00,7,-1,0.0,3.5,2,2,48,01:18 PM,No moonset,07:32 AM,04:56 PM,4,4,6,4,12,100,91,8.7,1024,6,6,29,8
2019-12-04 18:00:00,7,-1,0.0,3.5,2,1,48,01:18 PM,No moonset,07:32 AM,04:56 PM,3,2,5,2,21,100,89,5.0,1025,4,7,44,13
2019-12-04 21:00:00,7,-1,0.0,3.5,2,1,48,01:18 PM,No moonset,07:32 AM,04:56 PM,2,0,4,0,22,100,83,5.3,1026,0,8,40,14
2019-12-05 00:00:00,6,3,0.0,3.5,1,1,55,01:43 PM,12:25 AM,07:33 AM,04:56 PM,2,-0,3,-0,20,91,80,2.7,1026,1,9,25,13
2019-12-05 03:00:00,6,3,0.0,3.5,1,1,55,01:43 PM,12:25 AM,07:33 AM,04:56 PM,1,3,5,3,12,81,75,3.0,1027,5,8,125,8
2019-12-05 06:00:00,6,3,0.0,3.5,1,2,55,01:43 PM,12:25 AM,07:33 AM,04:56 PM,1,5,5,5,4,100,77,1.2,1028,5,9,315,3
2019-12-05 09:00:00,6,3,0.0,3.5,1,1,55,01:43 PM,12:25 AM,07:33 AM,04:56 PM,2,5,5,5,4,99,80,1.3,1029,5,7,274,3
2019-12-05 12:00:00,6,3,0.0,3.5,1,2,55,01:43 PM,12:25 AM,07:33 AM,04:56 PM,2,5,6,5,5,98,80,1.1,1029,6,4,346,4
2019-12-05 15:00:00,6,3,0.0,3.5,1,1,55,01:43 PM,12:25 AM,07:33 AM,04:56 PM,1,4,5,4,5,100,78,1.2,1029,5,7,245,4
2019-12-05 18:00:00,6,3,0.0,3.5,1,1,55,01:43 PM,12:25 AM,07:33 AM,04:56 PM,1,3,4,3,4,97,80,0.5,1030,4,2,86,3
2019-12-05 21:00:00,6,3,0.0,3.5,1,1,55,01:43 PM,12:25 AM,07:33 AM,04:56 PM,0,2,3,2,6,90,83,0.6,1031,3,5,202,4
2019-12-06 00:00:00,7,2,0.0,3.5,2,1,62,02:07 PM,01:24 AM,07:34 AM,04:55 PM,-0,1,2,1,9,78,82,0.4,1031,2,10,189,6
2019-12-06 03:00:00,7,2,0.0,3.5,2,1,62,02:07 PM,01:24 AM,07:34 AM,04:55 PM,-0,1,3,1,11,68,82,0.5,1031,3,10,183,6
2019-12-06 06:00:00,7,2,0.0,3.5,2,1,62,02:07 PM,01:24 AM,07:34 AM,04:55 PM,1,4,4,4,6,71,78,0.4,1030,4,10,196,5
2019-12-06 09:00:00,7,2,0.0,3.5,2,2,62,02:07 PM,01:24 AM,07:34 AM,04:55 PM,2,5,6,5,6,73,75,0.4,1030,6,10,241,5
2019-12-06 12:00:00,7,2,0.0,3.5,2,2,62,02:07 PM,01:24 AM,07:34 AM,04:55 PM,3,6,7,6,8,80,79,0.1,1028,7,10,312,7
2019-12-06 15:00:00,7,2,0.0,3.5,2,2,62,02:07 PM,01:24 AM,07:34 AM,04:55 PM,4,6,7,6,6,62,85,0.1,1027,7,10,287,5
2019-12-06 18:00:00,7,2,0.0,3.5,2,2,62,02:07 PM,01:24 AM,07:34 AM,04:55 PM,4,6,6,6,5,58,84,0.1,1027,6,10,209,4
2019-12-06 21:00:00,7,2,0.0,3.5,2,1,62,02:07 PM,01:24 AM,07:34 AM,04:55 PM,2,5,6,5,8,49,79,0.1,1027,6,10,173,5
2019-12-07 00:00:00,9,5,0.0,8.7,3,1,70,02:31 PM,02:22 AM,07:35 AM,04:55 PM,1,5,6,5,9,2,73,0.0,1026,6,10,174,5
2019-12-07 03:00:00,9,5,0.0,8.7,3,1,70,02:31 PM,02:22 AM,07:35 AM,04:55 PM,0,4,5,4,10,2,70,0.0,1025,5,10,184,6
2019-12-07 06:00:00,9,5,0.0,8.7,3,3,70,02:31 PM,02:22 AM,07:35 AM,04:55 PM,0,5,6,5,9,2,66,0.0,1024,6,10,187,6
2019-12-07 09:00:00,9,5,0.0,8.7,3,3,70,02:31 PM,02:22 AM,07:35 AM,04:55 PM,1,7,8,7,7,1,65,0.0,1023,8,10,138,5
2019-12-07 12:00:00,9,5,0.0,8.7,3,3,70,02:31 PM,02:22 AM,07:35 AM,04:55 PM,3,9,9,9,6,0,66,0.0,1021,9,10,61,5
2019-12-07 15:00:00,9,5,0.0,8.7,3,3,70,02:31 PM,02:22 AM,07:35 AM,04:55 PM,3,7,8,7,10,0,70,0.0,1019,8,10,90,7
2019-12-07 18:00:00,9,5,0.0,8.7,3,3,70,02:31 PM,02:22 AM,07:35 AM,04:55 PM,1,5,6,5,13,0,68,0.0,1019,6,10,149,6
2019-12-07 21:00:00,9,5,0.0,8.7,3,1,70,02:31 PM,02:22 AM,07:35 AM,04:55 PM,-1,4,6,4,14,1,64,0.0,1019,6,10,188,7
2019-12-08 00:00:00,9,5,0.0,8.7,3,1,77,02:57 PM,03:22 AM,07:36 AM,04:55 PM,-1,4,6,4,14,2,61,0.0,1018,6,10,202,6
2019-12-08 03:00:00,9,5,0.0,8.7,3,1,77,02:57 PM,03:22 AM,07:36 AM,04:55 PM,-2,4,5,4,15,2,59,0.0,1018,5,10,215,7
2019-12-08 06:00:00,9,5,0.0,8.7,3,3,77,02:57 PM,03:22 AM,07:36 AM,04:55 PM,-3,4,5,4,15,2,57,0.0,1018,5,10,214,7
2019-12-08 09:00:00,9,5,0.0,8.7,3,3,77,02:57 PM,03:22 AM,07:36 AM,04:55 PM,-1,6,7,6,9,0,56,0.0,1018,7,10,252,6
2019-12-08 12:00:00,9,5,0.0,8.7,3,3,77,02:57 PM,03:22 AM,07:36 AM,04:55 PM,2,9,9,9,5,1,59,0.0,1017,9,10,238,5
2019-12-08 15:00:00,9,5,0.0,8.7,3,3,77,02:57 PM,03:22 AM,07:36 AM,04:55 PM,2,7,8,7,7,3,64,0.0,1017,8,10,60,5
2019-12-08 18:00:00,9,5,0.0,8.7,3,3,77,02:57 PM,03:22 AM,07:36 AM,04:55 PM,0,4,6,4,13,13,68,0.0,1018,6,10,164,7
2019-12-08 21:00:00,9,5,0.0,8.7,3,1,77,02:57 PM,03:22 AM,07:36 AM,04:55 PM,-1,3,5,3,18,25,63,0.0,1019,5,10,179,9
2019-12-09 00:00:00,10,1,0.0,8.7,3,1,84,03:24 PM,04:22 AM,07:37 AM,04:55 PM,-3,3,5,3,18,26,54,0.0,1019,5,10,183,9
2019-12-09 03:00:00,10,1,0.0,8.7,3,1,84,03:24 PM,04:22 AM,07:37 AM,04:55 PM,-4,3,6,3,18,50,51,0.0,1020,6,10,189,9
2019-12-09 06:00:00,10,1,0.0,8.7,3,3,84,03:24 PM,04:22 AM,07:37 AM,04:55 PM,-4,4,6,4,17,46,48,0.0,1020,6,10,198,9
2019-12-09 09:00:00,10,1,0.0,8.7,3,3,84,03:24 PM,04:22 AM,07:37 AM,04:55 PM,-4,6,7,6,11,35,46,0.0,1020,7,10,240,6
