date_time,Griffith_maxtempC,Griffith_mintempC,Griffith_totalSnow_cm,Griffith_sunHour,Griffith_uvIndex,Griffith_uvIndex,Griffith_moon_illumination,Griffith_moonrise,Griffith_moonset,Griffith_sunrise,Griffith_sunset,Griffith_DewPointC,Griffith_FeelsLikeC,Griffith_HeatIndexC,Griffith_WindChillC,Griffith_WindGustKmph,Griffith_cloudcover,Griffith_humidity,Griffith_precipMM,Griffith_pressure,Griffith_tempC,Griffith_visibility,Griffith_winddirDegree,Griffith_windspeedKmph
2019-12-04 00:00:00,5,0,0.0,5.2,2,1,48,01:53 PM,12:12 AM,08:00 AM,05:20 PM,-1,-2,2,-2,26,18,85,0.0,1004,-1,10,257,15
2019-12-04 03:00:00,5,0,0.0,5.2,2,1,48,01:53 PM,12:12 AM,08:00 AM,05:20 PM,-1,-3,1,-3,26,16,84,0.0,1004,1,10,270,15
2019-12-04 06:00:00,5,0,0.0,5.2,2,1,48,01:53 PM,12:12 AM,08:00 AM,05:20 PM,-3,-4,1,-4,29,33,79,0.0,1004,1,10,279,18
2019-12-04 09:00:00,5,0,0.0,5.2,2,1,48,01:53 PM,12:12 AM,08:00 AM,05:20 PM,-3,-5,1,-5,30,72,80,0.0,1005,1,10,284,21
2019-12-04 12:00:00,5,0,0.0,5.2,2,1,48,01:53 PM,12:12 AM,08:00 AM,05:20 PM,-2,-3,2,-3,25,83,73,0.0,1007,2,10,294,21
2019-12-04 15:00:00,5,0,0.0,5.2,2,2,48,01:53 PM,12:12 AM,08:00 AM,05:20 PM,-2,-0,4,-0,24,55,64,0.0,1007,4,10,288,20
2019-12-04 18:00:00,5,0,0.0,5.2,2,2,48,01:53 PM,12:12 AM,08:00 AM,05:20 PM,-2,0,4,0,27,17,64,0.0,1008,4,10,291,19
2019-12-04 21:00:00,5,0,0.0,5.2,2,1,48,01:53 PM,12:12 AM,08:00 AM,05:20 PM,-2,-1,3,-1,27,16,71,0.0,1011,3,10,296,16
2019-12-05 00:00:00,6,0,0.0,8.7,2,1,55,02:18 PM,01:11 AM,08:01 AM,05:20 PM,-1,-1,2,-1,22,20,76,0.0,1013,2,10,304,14
2019-12-05 03:00:00,6,0,0.0,8.7,2,1,55,02:18 PM,01:11 AM,08:01 AM,05:20 PM,-2,-2,1,-2,15,6,79,0.0,1014,1,10,307,10
2019-12-05 06:00:00,6,0,0.0,8.7,2,2,55,02:18 PM,01:11 AM,08:01 AM,05:20 PM,-2,-2,1,-2,11,5,81,0.0,1016,1,10,273,7
2019-12-05 09:00:00,6,0,0.0,8.7,2,2,55,02:18 PM,01:11 AM,08:01 AM,05:20 PM,-3,-1,1,-1,9,6,79,0.0,1018,1,10,231,6
2019-12-05 12:00:00,6,0,0.0,8.7,2,2,55,02:18 PM,01:11 AM,08:01 AM,05:20 PM,-2,1,3,1,9,16,68,0.0,1018,3,10,195,7
2019-12-05 15:00:00,6,0,0.0,8.7,2,2,55,02:18 PM,01:11 AM,08:01 AM,05:20 PM,-1,3,6,3,13,44,61,0.0,1017,6,10,195,11
2019-12-05 18:00:00,6,0,0.0,8.7,2,3,55,02:18 PM,01:11 AM,08:01 AM,05:20 PM,1,3,6,3,18,55,70,0.0,1015,6,10,193,12
2019-12-05 21:00:00,6,0,0.0,8.7,2,1,55,02:18 PM,01:11 AM,08:01 AM,05:20 PM,1,2,4,2,25,24,78,0.0,1015,4,10,193,13
2019-12-06 00:00:00,4,-3,0.0,6.9,2,1,62,02:41 PM,02:10 AM,08:02 AM,05:20 PM,2,1,4,1,28,16,81,0.0,1015,2,10,206,14
2019-12-06 03:00:00,4,-3,0.0,6.9,2,1,62,02:41 PM,02:10 AM,08:02 AM,05:20 PM,3,2,5,2,27,21,86,0.0,1015,5,10,246,14
2019-12-06 06:00:00,4,-3,0.0,6.9,2,1,62,02:41 PM,02:10 AM,08:02 AM,05:20 PM,2,1,5,1,26,57,84,0.0,1017,5,10,304,16
2019-12-06 09:00:00,4,-3,0.0,6.9,2,2,62,02:41 PM,02:10 AM,08:02 AM,05:20 PM,-0,-1,4,-1,34,68,74,0.0,1021,4,10,352,24
2019-12-06 12:00:00,4,-3,0.0,6.9,2,1,62,02:41 PM,02:10 AM,08:02 AM,05:20 PM,-3,-2,3,-2,31,37,66,0.0,1024,3,10,358,24
2019-12-06 15:00:00,4,-3,0.0,6.9,2,2,62,02:41 PM,02:10 AM,08:02 AM,05:20 PM,-4,-2,3,-2,23,53,64,0.0,1026,3,10,240,20
2019-12-06 18:00:00,4,-3,0.0,6.9,2,2,62,02:41 PM,02:10 AM,08:02 AM,05:20 PM,-5,-3,1,-3,19,11,63,0.0,1027,1,10,8,15
2019-12-06 21:00:00,4,-3,0.0,6.9,2,1,62,02:41 PM,02:10 AM,08:02 AM,05:20 PM,-5,-3,1,-3,13,9,65,0.0,1029,-1,10,17,9
2019-12-07 00:00:00,4,-1,0.0,8.7,2,1,70,03:06 PM,03:09 AM,08:02 AM,05:20 PM,-4,-2,0,-2,5,8,70,0.0,1029,-2,10,77,4
2019-12-07 03:00:00,4,-1,0.0,8.7,2,1,70,03:06 PM,03:09 AM,08:02 AM,05:20 PM,-4,-1,0,-1,6,13,72,0.0,1029,0,10,191,4
2019-12-07 06:00:00,4,-1,0.0,8.7,2,2,70,03:06 PM,03:09 AM,08:02 AM,05:20 PM,-5,-3,-1,-3,10,10,74,0.0,1029,-1,10,201,7
