date_time,Gympie_maxtempC,Gympie_mintempC,Gympie_totalSnow_cm,Gympie_sunHour,Gympie_uvIndex,Gympie_uvIndex,Gympie_moon_illumination,Gympie_moonrise,Gympie_moonset,Gympie_sunrise,Gympie_sunset,Gympie_DewPointC,Gympie_FeelsLikeC,Gympie_HeatIndexC,Gympie_WindChillC,Gympie_WindGustKmph,Gympie_cloudcover,Gympie_humidity,Gympie_precipMM,Gympie_pressure,Gympie_tempC,Gympie_visibility,Gympie_winddirDegree,Gympie_windspeedKmph
2019-12-04 00:00:00,35,17,0.0,13.8,8,1,48,11:24 AM,No moonset,04:49 AM,06:30 PM,11,21,22,21,8,2,62,0.0,1010,21,10,207,4
2019-12-04 03:00:00,35,17,0.0,13.8,8,1,48,11:24 AM,No moonset,04:49 AM,06:30 PM,7,17,17,17,8,3,53,0.0,1011,17,10,223,4
2019-12-04 06:00:00,35,17,0.0,13.8,8,1,48,11:24 AM,No moonset,04:49 AM,06:30 PM,6,22,22,22,5,1,37,0.0,1012,22,10,227,4
2019-12-04 09:00:00,35,17,0.0,13.8,8,7,48,11:24 AM,No moonset,04:49 AM,06:30 PM,5,28,28,29,6,0,22,0.0,1013,29,10,226,5
2019-12-04 12:00:00,35,17,0.0,13.8,8,8,48,11:24 AM,No moonset,04:49 AM,06:30 PM,3,32,32,34,10,0,15,0.0,1011,34,10,252,8
2019-12-04 15:00:00,35,17,0.0,13.8,8,8,48,11:24 AM,No moonset,04:49 AM,06:30 PM,3,32,32,34,8,0,14,0.0,1009,34,10,275,7
2019-12-04 18:00:00,35,17,0.0,13.8,8,1,48,11:24 AM,No moonset,04:49 AM,06:30 PM,8,34,34,32,9,0,41,0.0,1010,32,10,161,5
2019-12-04 21:00:00,35,17,0.0,13.8,8,1,48,11:24 AM,No moonset,04:49 AM,06:30 PM,11,33,33,29,5,0,62,0.0,1012,29,10,183,3
2019-12-05 00:00:00,36,16,0.0,13.8,8,1,55,12:15 PM,12:30 AM,04:49 AM,06:30 PM,12,21,22,21,5,0,71,0.0,1012,21,10,232,3
2019-12-05 03:00:00,36,16,0.0,13.8,8,1,55,12:15 PM,12:30 AM,04:49 AM,06:30 PM,11,17,17,17,8,0,70,0.0,1012,17,10,230,4
2019-12-05 06:00:00,36,16,0.0,13.8,8,1,55,12:15 PM,12:30 AM,04:49 AM,06:30 PM,8,22,22,22,5,0,44,0.0,1013,22,10,244,3
2019-12-05 09:00:00,36,16,0.0,13.8,8,8,55,12:15 PM,12:30 AM,04:49 AM,06:30 PM,3,29,29,31,5,0,19,0.0,1013,31,10,234,4
2019-12-05 12:00:00,36,16,0.0,13.8,8,9,55,12:15 PM,12:30 AM,04:49 AM,06:30 PM,-1,34,34,35,10,0,10,0.0,1011,35,10,259,9
2019-12-05 15:00:00,36,16,0.0,13.8,8,9,55,12:15 PM,12:30 AM,04:49 AM,06:30 PM,-1,34,34,36,12,0,10,0.0,1009,36,10,259,10
2019-12-05 18:00:00,36,16,0.0,13.8,8,1,55,12:15 PM,12:30 AM,04:49 AM,06:30 PM,10,36,36,34,8,0,43,0.0,1009,34,10,123,5
2019-12-05 21:00:00,36,16,0.0,13.8,8,1,55,12:15 PM,12:30 AM,04:49 AM,06:30 PM,17,35,35,31,6,0,78,0.0,1011,31,10,235,3
2019-12-06 00:00:00,38,18,0.0,13.8,8,1,62,01:07 PM,01:03 AM,04:49 AM,06:31 PM,18,24,24,23,5,0,90,0.0,1011,23,10,321,3
2019-12-06 03:00:00,38,18,0.0,13.8,8,1,62,01:07 PM,01:03 AM,04:49 AM,06:31 PM,16,18,18,18,6,0,89,0.0,1010,18,10,291,3
2019-12-06 06:00:00,38,18,0.0,13.8,8,1,62,01:07 PM,01:03 AM,04:49 AM,06:31 PM,15,22,23,22,5,0,66,0.0,1011,22,10,300,4
2019-12-06 09:00:00,38,18,0.0,13.8,8,8,62,01:07 PM,01:03 AM,04:49 AM,06:31 PM,7,30,30,31,7,0,28,0.0,1011,31,10,313,6
2019-12-06 12:00:00,38,18,0.0,13.8,8,9,62,01:07 PM,01:03 AM,04:49 AM,06:31 PM,3,35,35,37,12,0,12,0.0,1009,37,10,296,10
2019-12-06 15:00:00,38,18,0.0,13.8,8,9,62,01:07 PM,01:03 AM,04:49 AM,06:31 PM,3,36,36,37,13,0,12,0.0,1007,37,10,302,12
2019-12-06 18:00:00,38,18,0.0,13.8,8,1,62,01:07 PM,01:03 AM,04:49 AM,06:31 PM,13,37,37,36,16,0,43,0.0,1008,36,10,104,10
2019-12-06 21:00:00,38,18,0.0,13.8,8,1,62,01:07 PM,01:03 AM,04:49 AM,06:31 PM,19,37,37,34,13,0,71,0.0,1009,34,10,232,6
2019-12-07 00:00:00,39,20,0.0,13.8,8,1,70,01:57 PM,01:35 AM,04:49 AM,06:32 PM,19,29,29,25,12,0,84,0.0,1009,25,10,329,5
2019-12-07 03:00:00,39,20,0.0,13.8,8,1,70,01:57 PM,01:35 AM,04:49 AM,06:32 PM,19,20,21,20,12,0,91,0.0,1010,20,10,318,5
2019-12-07 06:00:00,39,20,0.0,13.8,8,1,70,01:57 PM,01:35 AM,04:49 AM,06:32 PM,19,25,25,24,9,0,75,0.0,1011,24,10,313,6
2019-12-07 09:00:00,39,20,0.0,13.8,8,8,70,01:57 PM,01:35 AM,04:49 AM,06:32 PM,16,32,32,31,12,0,42,0.0,1011,31,10,309,10
2019-12-07 12:00:00,39,20,0.0,13.8,8,9,70,01:57 PM,01:35 AM,04:49 AM,06:32 PM,9,37,37,38,14,3,19,0.0,1010,38,10,297,12
2019-12-07 15:00:00,39,20,0.0,13.8,8,9,70,01:57 PM,01:35 AM,04:49 AM,06:32 PM,10,37,37,38,16,4,19,0.0,1008,38,10,326,14
2019-12-07 18:00:00,39,20,0.0,13.8,8,1,70,01:57 PM,01:35 AM,04:49 AM,06:32 PM,16,37,37,35,17,2,48,0.0,1009,35,10,121,11
2019-12-07 21:00:00,39,20,0.0,13.8,8,1,70,01:57 PM,01:35 AM,04:49 AM,06:32 PM,19,36,36,32,11,1,72,0.0,1012,32,10,5,6
2019-12-08 00:00:00,37,20,0.0,13.8,8,1,77,02:49 PM,02:06 AM,04:49 AM,06:32 PM,19,25,25,24,5,3,86,0.0,1013,24,10,63,3
2019-12-08 03:00:00,37,20,0.0,13.8,8,1,77,02:49 PM,02:06 AM,04:49 AM,06:32 PM,19,20,20,20,4,13,94,0.0,1014,20,5,119,2
2019-12-08 06:00:00,37,20,0.0,13.8,8,1,77,02:49 PM,02:06 AM,04:49 AM,06:32 PM,19,25,25,24,3,24,77,0.0,1015,24,7,89,2
