date_time,Hamilton_maxtempC,Hamilton_mintempC,Hamilton_totalSnow_cm,Hamilton_sunHour,Hamilton_uvIndex,Hamilton_uvIndex,Hamilton_moon_illumination,Hamilton_moonrise,Hamilton_moonset,Hamilton_sunrise,Hamilton_sunset,Hamilton_DewPointC,Hamilton_FeelsLikeC,Hamilton_HeatIndexC,Hamilton_WindChillC,Hamilton_WindGustKmph,Hamilton_cloudcover,Hamilton_humidity,Hamilton_precipMM,Hamilton_pressure,Hamilton_tempC,Hamilton_visibility,Hamilton_winddirDegree,Hamilton_windspeedKmph
2019-12-04 00:00:00,2,0,0.0,3.4,1,1,48,02:24 PM,12:37 AM,08:34 AM,05:44 PM,-2,-3,-0,-3,27,66,82,0.1,1000,-2,10,247,21
2019-12-04 03:00:00,2,0,0.0,3.4,1,1,48,02:24 PM,12:37 AM,08:34 AM,05:44 PM,-2,-5,0,-5,26,70,86,0.0,999,0,10,236,18
2019-12-04 06:00:00,2,0,0.0,3.4,1,1,48,02:24 PM,12:37 AM,08:34 AM,05:44 PM,-2,-4,1,-4,27,91,86,0.0,998,1,10,238,19
2019-12-04 09:00:00,2,0,0.0,3.4,1,1,48,02:24 PM,12:37 AM,08:34 AM,05:44 PM,-1,-4,1,-4,28,77,85,0.0,997,1,10,244,21
2019-12-04 12:00:00,2,0,0.0,3.4,1,1,48,02:24 PM,12:37 AM,08:34 AM,05:44 PM,-2,-4,1,-4,26,90,80,0.0,997,1,10,253,20
2019-12-04 15:00:00,2,0,0.0,3.4,1,1,48,02:24 PM,12:37 AM,08:34 AM,05:44 PM,-1,-3,2,-3,24,98,79,0.0,997,2,10,263,19
2019-12-04 18:00:00,2,0,0.0,3.4,1,2,48,02:24 PM,12:37 AM,08:34 AM,05:44 PM,-1,-3,2,-3,26,79,84,0.0,998,2,10,270,20
2019-12-04 21:00:00,2,0,0.0,3.4,1,1,48,02:24 PM,12:37 AM,08:34 AM,05:44 PM,-1,-4,1,-4,26,54,83,0.0,1000,1,10,277,19
2019-12-05 00:00:00,1,-1,0.3,5.2,1,1,55,02:48 PM,01:38 AM,08:35 AM,05:44 PM,-2,-4,1,-4,24,68,82,0.0,1002,1,10,290,18
2019-12-05 03:00:00,1,-1,0.3,5.2,1,1,55,02:48 PM,01:38 AM,08:35 AM,05:44 PM,-3,-5,-0,-5,23,81,82,0.0,1004,-0,10,290,17
2019-12-05 06:00:00,1,-1,0.3,5.2,1,1,55,02:48 PM,01:38 AM,08:35 AM,05:44 PM,-4,-6,-1,-6,22,76,80,0.1,1007,-1,8,291,16
2019-12-05 09:00:00,1,-1,0.3,5.2,1,1,55,02:48 PM,01:38 AM,08:35 AM,05:44 PM,-5,-6,-1,-6,23,84,78,0.2,1010,-1,6,290,17
2019-12-05 12:00:00,1,-1,0.3,5.2,1,1,55,02:48 PM,01:38 AM,08:35 AM,05:44 PM,-6,-7,-1,-7,31,77,68,0.1,1013,-1,7,295,24
