date_time,Harrington_maxtempC,Harrington_mintempC,Harrington_totalSnow_cm,Harrington_sunHour,Harrington_uvIndex,Harrington_uvIndex,Harrington_moon_illumination,Harrington_moonrise,Harrington_moonset,Harrington_sunrise,Harrington_sunset,Harrington_DewPointC,Harrington_FeelsLikeC,Harrington_HeatIndexC,Harrington_WindChillC,Harrington_WindGustKmph,Harrington_cloudcover,Harrington_humidity,Harrington_precipMM,Harrington_pressure,Harrington_tempC,Harrington_visibility,Harrington_winddirDegree,Harrington_windspeedKmph
2019-12-04 00:00:00,31,14,0.0,14.1,7,1,48,11:17 AM,12:04 AM,04:36 AM,06:42 PM,6,17,18,17,18,0,51,0.0,1009,17,10,287,9
2019-12-04 03:00:00,31,14,0.0,14.1,7,1,48,11:17 AM,12:04 AM,04:36 AM,06:42 PM,5,14,15,14,20,0,52,0.0,1009,15,10,279,9
2019-12-04 06:00:00,31,14,0.0,14.1,7,1,48,11:17 AM,12:04 AM,04:36 AM,06:42 PM,6,18,19,18,15,0,44,0.0,1011,19,10,267,10
2019-12-04 09:00:00,31,14,0.0,14.1,7,7,48,11:17 AM,12:04 AM,04:36 AM,06:42 PM,5,24,24,25,10,0,29,0.0,1011,25,10,247,9
2019-12-04 12:00:00,31,14,0.0,14.1,7,7,48,11:17 AM,12:04 AM,04:36 AM,06:42 PM,5,28,28,30,4,0,21,0.0,1009,30,10,198,4
2019-12-04 15:00:00,31,14,0.0,14.1,7,7,48,11:17 AM,12:04 AM,04:36 AM,06:42 PM,8,27,27,29,7,2,27,0.0,1007,29,10,116,6
2019-12-04 18:00:00,31,14,0.0,14.1,7,1,48,11:17 AM,12:04 AM,04:36 AM,06:42 PM,11,29,29,26,16,1,48,0.0,1009,26,10,55,9
2019-12-04 21:00:00,31,14,0.0,14.1,7,1,48,11:17 AM,12:04 AM,04:36 AM,06:42 PM,10,27,27,23,17,0,62,0.0,1011,23,10,231,8
2019-12-05 00:00:00,32,15,0.0,14.1,7,1,55,12:11 PM,12:36 AM,04:36 AM,06:43 PM,6,18,19,18,19,0,50,0.0,1011,18,10,299,9
2019-12-05 03:00:00,32,15,0.0,14.1,7,1,55,12:11 PM,12:36 AM,04:36 AM,06:43 PM,3,15,15,15,20,0,43,0.0,1011,15,10,282,9
2019-12-05 06:00:00,32,15,0.0,14.1,7,1,55,12:11 PM,12:36 AM,04:36 AM,06:43 PM,4,19,19,19,12,0,38,0.0,1011,19,10,281,8
2019-12-05 09:00:00,32,15,0.0,14.1,7,7,55,12:11 PM,12:36 AM,04:36 AM,06:43 PM,4,25,25,26,8,0,25,0.0,1011,26,10,261,7
2019-12-05 12:00:00,32,15,0.0,14.1,7,8,55,12:11 PM,12:36 AM,04:36 AM,06:43 PM,4,29,29,31,7,0,19,0.0,1009,31,10,184,6
2019-12-05 15:00:00,32,15,0.0,14.1,7,8,55,12:11 PM,12:36 AM,04:36 AM,06:43 PM,7,28,28,30,8,2,24,0.0,1007,30,10,96,7
2019-12-05 18:00:00,32,15,0.0,14.1,7,1,55,12:11 PM,12:36 AM,04:36 AM,06:43 PM,9,28,28,27,14,1,40,0.0,1008,27,10,38,8
2019-12-05 21:00:00,32,15,0.0,14.1,7,1,55,12:11 PM,12:36 AM,04:36 AM,06:43 PM,8,26,26,23,16,2,46,0.0,1008,23,10,227,8
2019-12-06 00:00:00,34,18,0.0,14.1,7,1,62,01:05 PM,01:06 AM,04:36 AM,06:44 PM,6,20,21,20,16,3,41,0.0,1008,20,10,301,8
2019-12-06 03:00:00,34,18,0.0,14.1,7,1,62,01:05 PM,01:06 AM,04:36 AM,06:44 PM,4,18,18,18,15,4,39,0.0,1008,18,10,292,7
2019-12-06 06:00:00,34,18,0.0,14.1,7,1,62,01:05 PM,01:06 AM,04:36 AM,06:44 PM,6,22,22,22,8,23,36,0.0,1009,22,10,300,5
2019-12-06 09:00:00,34,18,0.0,14.1,7,7,62,01:05 PM,01:06 AM,04:36 AM,06:44 PM,5,28,28,30,6,13,23,0.0,1009,30,10,272,5
2019-12-06 12:00:00,34,18,0.0,14.1,7,8,62,01:05 PM,01:06 AM,04:36 AM,06:44 PM,6,31,31,33,5,3,19,0.0,1006,33,10,227,4
2019-12-06 15:00:00,34,18,0.0,14.1,7,8,62,01:05 PM,01:06 AM,04:36 AM,06:44 PM,9,29,29,31,9,8,26,0.0,1005,31,10,120,6
2019-12-06 18:00:00,34,18,0.0,14.1,7,1,62,01:05 PM,01:06 AM,04:36 AM,06:44 PM,10,30,30,27,11,7,39,0.0,1007,27,10,46,6
2019-12-06 21:00:00,34,18,0.0,14.1,7,1,62,01:05 PM,01:06 AM,04:36 AM,06:44 PM,9,28,28,25,14,4,46,0.0,1009,25,10,209,6
2019-12-07 00:00:00,27,17,0.0,13.4,6,1,70,01:58 PM,01:35 AM,04:36 AM,06:45 PM,7,21,22,21,17,1,44,0.0,1009,21,10,277,8
2019-12-07 03:00:00,27,17,0.0,13.4,6,1,70,01:58 PM,01:35 AM,04:36 AM,06:45 PM,9,18,18,18,18,20,59,0.0,1010,18,10,250,9
2019-12-07 06:00:00,27,17,0.0,13.4,6,1,70,01:58 PM,01:35 AM,04:36 AM,06:45 PM,15,19,19,19,13,61,74,0.0,1012,19,10,226,9
2019-12-07 09:00:00,27,17,0.0,13.4,6,5,70,01:58 PM,01:35 AM,04:36 AM,06:45 PM,16,25,25,25,13,25,59,0.0,1012,25,10,174,11
2019-12-07 12:00:00,27,17,0.0,13.4,6,7,70,01:58 PM,01:35 AM,04:36 AM,06:45 PM,15,27,27,27,17,4,50,0.0,1011,27,10,141,15
2019-12-07 15:00:00,27,17,0.0,13.4,6,7,70,01:58 PM,01:35 AM,04:36 AM,06:45 PM,15,26,26,25,18,4,53,0.0,1010,25,10,128,15
2019-12-07 18:00:00,27,17,0.0,13.4,6,1,70,01:58 PM,01:35 AM,04:36 AM,06:45 PM,16,21,22,21,14,3,72,0.0,1012,21,10,78,10
2019-12-07 21:00:00,27,17,0.0,13.4,6,1,70,01:58 PM,01:35 AM,04:36 AM,06:45 PM,17,18,18,18,11,10,91,0.0,1015,18,5,57,6
2019-12-08 00:00:00,26,17,0.0,12.2,5,1,77,02:53 PM,02:04 AM,04:36 AM,06:45 PM,17,17,17,17,9,56,96,0.0,1017,17,2,76,4
2019-12-08 03:00:00,26,17,0.0,12.2,5,1,77,02:53 PM,02:04 AM,04:36 AM,06:45 PM,17,18,18,18,7,72,91,0.0,1017,18,7,77,4
2019-12-08 06:00:00,26,17,0.0,12.2,5,1,77,02:53 PM,02:04 AM,04:36 AM,06:45 PM,17,19,19,19,9,84,84,0.1,1019,19,10,68,6
2019-12-08 09:00:00,26,17,0.0,12.2,5,5,77,02:53 PM,02:04 AM,04:36 AM,06:45 PM,15,23,23,22,13,69,65,0.0,1019,22,10,66,11
2019-12-08 12:00:00,26,17,0.0,12.2,5,7,77,02:53 PM,02:04 AM,04:36 AM,06:45 PM,15,26,26,25,18,28,54,0.0,1018,25,10,77,16
2019-12-08 15:00:00,26,17,0.0,12.2,5,6,77,02:53 PM,02:04 AM,04:36 AM,06:45 PM,15,26,26,25,21,31,56,0.0,1018,25,10,81,18
2019-12-08 18:00:00,26,17,0.0,12.2,5,1,77,02:53 PM,02:04 AM,04:36 AM,06:45 PM,16,22,22,22,19,57,70,0.0,1020,22,10,71,14
2019-12-08 21:00:00,26,17,0.0,12.2,5,1,77,02:53 PM,02:04 AM,04:36 AM,06:45 PM,16,20,20,20,17,59,79,0.0,1022,20,10,54,11
2019-12-09 00:00:00,29,18,0.0,13.4,7,1,84,03:49 PM,02:34 AM,04:36 AM,06:46 PM,16,18,18,18,15,60,88,0.0,1022,18,10,40,9
2019-12-09 03:00:00,29,18,0.0,13.4,7,1,84,03:49 PM,02:34 AM,04:36 AM,06:46 PM,17,18,18,18,14,70,90,0.0,1021,18,10,35,8
2019-12-09 06:00:00,29,18,0.0,13.4,7,1,84,03:49 PM,02:34 AM,04:36 AM,06:46 PM,17,21,23,21,14,75,77,0.0,1022,21,10,33,12
2019-12-09 09:00:00,29,18,0.0,13.4,7,6,84,03:49 PM,02:34 AM,04:36 AM,06:46 PM,16,27,27,26,16,25,57,0.0,1022,26,10,44,14
2019-12-09 12:00:00,29,18,0.0,13.4,7,7,84,03:49 PM,02:34 AM,04:36 AM,06:46 PM,17,29,29,29,22,0,50,0.0,1019,29,10,63,19
2019-12-09 15:00:00,29,18,0.0,13.4,7,7,84,03:49 PM,02:34 AM,04:36 AM,06:46 PM,18,29,29,27,23,4,58,0.0,1017,27,10,65,20
2019-12-09 18:00:00,29,18,0.0,13.4,7,1,84,03:49 PM,02:34 AM,04:36 AM,06:46 PM,19,26,26,24,22,22,74,0.0,1018,24,10,51,17
2019-12-09 21:00:00,29,18,0.0,13.4,7,1,84,03:49 PM,02:34 AM,04:36 AM,06:46 PM,19,21,22,21,21,39,85,0.0,1018,21,10,34,14
2019-12-10 00:00:00,36,19,0.0,14.1,8,1,92,04:47 PM,03:07 AM,04:36 AM,06:47 PM,19,20,20,20,17,39,93,0.0,1017,20,5,15,10
2019-12-10 03:00:00,36,19,0.0,14.1,8,1,92,04:47 PM,03:07 AM,04:36 AM,06:47 PM,19,19,19,19,12,79,97,0.0,1015,19,1,243,7
2019-12-10 06:00:00,36,19,0.0,14.1,8,1,92,04:47 PM,03:07 AM,04:36 AM,06:47 PM,18,24,24,23,9,36,78,0.0,1015,23,7,120,6
2019-12-10 09:00:00,36,19,0.0,14.1,8,8,92,04:47 PM,03:07 AM,04:36 AM,06:47 PM,16,33,33,32,6,4,41,0.0,1015,32,10,91,5
2019-12-10 12:00:00,36,19,0.0,14.1,8,8,92,04:47 PM,03:07 AM,04:36 AM,06:47 PM,17,36,36,35,13,3,35,0.0,1012,35,10,117,11
2019-12-10 15:00:00,36,19,0.0,14.1,8,8,92,04:47 PM,03:07 AM,04:36 AM,06:47 PM,18,35,35,34,17,2,39,0.0,1010,34,10,82,14
2019-12-10 18:00:00,36,19,0.0,14.1,8,1,92,04:47 PM,03:07 AM,04:36 AM,06:47 PM,19,33,33,31,21,1,57,0.0,1011,31,10,55,12
2019-12-10 21:00:00,36,19,0.0,14.1,8,1,92,04:47 PM,03:07 AM,04:36 AM,06:47 PM,20,30,30,27,10,9,84,0.0,1013,27,10,164,5
2019-12-11 00:00:00,27,19,0.0,11.1,6,1,99,05:48 PM,03:44 AM,04:36 AM,06:48 PM,20,24,24,23,13,66,91,0.0,1014,23,10,218,8
2019-12-11 03:00:00,27,19,0.0,11.1,6,1,99,05:48 PM,03:44 AM,04:36 AM,06:48 PM,18,20,20,20,15,97,84,0.0,1013,20,10,216,11
2019-12-11 06:00:00,27,19,0.0,11.1,6,1,99,05:48 PM,03:44 AM,04:36 AM,06:48 PM,16,20,20,20,13,96,76,0.0,1014,20,10,221,11
2019-12-11 09:00:00,27,19,0.0,11.1,6,5,99,05:48 PM,03:44 AM,04:36 AM,06:48 PM,15,25,25,25,9,38,58,0.0,1014,25,10,184,8
2019-12-11 12:00:00,27,19,0.0,11.1,6,7,99,05:48 PM,03:44 AM,04:36 AM,06:48 PM,17,27,27,26,14,44,59,0.0,1012,26,9,142,12
2019-12-11 15:00:00,27,19,0.0,11.1,6,5,99,05:48 PM,03:44 AM,04:36 AM,06:48 PM,18,25,25,23,12,78,75,0.5,1011,23,9,116,10
2019-12-11 18:00:00,27,19,0.0,11.1,6,1,99,05:48 PM,03:44 AM,04:36 AM,06:48 PM,19,20,21,20,11,82,90,1.5,1013,20,10,97,8
2019-12-11 21:00:00,27,19,0.0,11.1,6,1,99,05:48 PM,03:44 AM,04:36 AM,06:48 PM,19,19,19,19,10,88,96,1.9,1013,19,10,164,7
2019-12-12 00:00:00,22,18,0.0,8.8,5,1,100,06:49 PM,04:26 AM,04:37 AM,06:48 PM,18,19,19,19,10,97,97,0.7,1012,19,3,206,7
2019-12-12 03:00:00,22,18,0.0,8.8,5,1,100,06:49 PM,04:26 AM,04:37 AM,06:48 PM,18,18,18,18,10,87,96,0.1,1012,18,1,210,7
2019-12-12 06:00:00,22,18,0.0,8.8,5,1,100,06:49 PM,04:26 AM,04:37 AM,06:48 PM,17,19,19,19,8,80,92,0.0,1013,19,7,200,6
2019-12-12 09:00:00,22,18,0.0,8.8,5,5,100,06:49 PM,04:26 AM,04:37 AM,06:48 PM,17,21,23,21,9,88,75,0.0,1013,21,10,180,8
2019-12-12 12:00:00,22,18,0.0,8.8,5,5,100,06:49 PM,04:26 AM,04:37 AM,06:48 PM,17,21,22,21,12,95,75,0.1,1012,21,10,154,10
2019-12-12 15:00:00,22,18,0.0,8.8,5,5,100,06:49 PM,04:26 AM,04:37 AM,06:48 PM,17,21,23,21,12,98,78,0.1,1011,21,10,136,11
2019-12-12 18:00:00,22,18,0.0,8.8,5,1,100,06:49 PM,04:26 AM,04:37 AM,06:48 PM,17,20,22,20,10,94,81,0.1,1012,20,10,117,8
2019-12-12 21:00:00,22,18,0.0,8.8,5,1,100,06:49 PM,04:26 AM,04:37 AM,06:48 PM,17,20,20,20,7,96,85,0.0,1014,20,10,116,5
2019-12-13 00:00:00,21,14,0.0,8.8,4,1,87,07:50 PM,05:14 AM,04:37 AM,06:49 PM,17,19,19,19,9,98,90,0.1,1014,19,5,151,6
2019-12-13 03:00:00,21,14,0.0,8.8,4,1,87,07:50 PM,05:14 AM,04:37 AM,06:49 PM,17,18,18,18,11,85,92,0.5,1014,18,2,159,8
2019-12-13 06:00:00,21,14,0.0,8.8,4,1,87,07:50 PM,05:14 AM,04:37 AM,06:49 PM,16,18,18,18,9,88,89,0.3,1014,18,2,146,6
2019-12-13 09:00:00,21,14,0.0,8.8,4,4,87,07:50 PM,05:14 AM,04:37 AM,06:49 PM,16,19,19,19,9,98,84,0.5,1014,19,2,128,7
2019-12-13 12:00:00,21,14,0.0,8.8,4,5,87,07:50 PM,05:14 AM,04:37 AM,06:49 PM,15,20,20,20,10,100,73,0.3,1013,20,7,104,9
2019-12-13 15:00:00,21,14,0.0,8.8,4,4,87,07:50 PM,05:14 AM,04:37 AM,06:49 PM,15,20,20,20,12,100,76,0.2,1012,20,10,99,9
2019-12-13 18:00:00,21,14,0.0,8.8,4,1,87,07:50 PM,05:14 AM,04:37 AM,06:49 PM,16,18,18,18,11,78,83,0.1,1012,18,10,70,7
2019-12-13 21:00:00,21,14,0.0,8.8,4,1,87,07:50 PM,05:14 AM,04:37 AM,06:49 PM,16,15,17,15,9,79,84,0.0,1014,15,10,62,6
2019-12-14 00:00:00,29,17,0.0,13.4,6,1,79,08:47 PM,06:09 AM,04:37 AM,06:50 PM,16,17,18,17,7,86,85,0.0,1013,17,10,53,5
2019-12-14 03:00:00,29,17,0.0,13.4,6,1,79,08:47 PM,06:09 AM,04:37 AM,06:50 PM,16,17,17,17,7,68,92,0.0,1012,17,5,26,4
2019-12-14 06:00:00,29,17,0.0,13.4,6,1,79,08:47 PM,06:09 AM,04:37 AM,06:50 PM,16,20,22,20,6,77,81,0.0,1013,20,7,13,4
2019-12-14 09:00:00,29,17,0.0,13.4,6,5,79,08:47 PM,06:09 AM,04:37 AM,06:50 PM,17,27,27,25,8,46,60,0.0,1012,25,10,52,6
2019-12-14 12:00:00,29,17,0.0,13.4,6,7,79,08:47 PM,06:09 AM,04:37 AM,06:50 PM,17,29,29,28,14,21,49,0.0,1010,28,10,94,12
2019-12-14 15:00:00,29,17,0.0,13.4,6,7,79,08:47 PM,06:09 AM,04:37 AM,06:50 PM,17,28,28,27,19,10,57,0.0,1008,27,10,89,17
2019-12-14 18:00:00,29,17,0.0,13.4,6,1,79,08:47 PM,06:09 AM,04:37 AM,06:50 PM,18,25,25,23,22,11,74,0.0,1009,23,10,59,16
2019-12-14 21:00:00,29,17,0.0,13.4,6,1,79,08:47 PM,06:09 AM,04:37 AM,06:50 PM,18,20,21,20,15,38,89,0.0,1011,20,10,56,10
2019-12-15 00:00:00,29,19,0.0,12.2,7,1,72,09:41 PM,07:10 AM,04:37 AM,06:50 PM,18,19,19,19,9,74,96,0.0,1011,19,5,38,5
2019-12-15 03:00:00,29,19,0.0,12.2,7,1,72,09:41 PM,07:10 AM,04:37 AM,06:50 PM,18,19,19,19,5,90,95,0.0,1010,19,7,186,3
2019-12-15 06:00:00,29,19,0.0,12.2,7,1,72,09:41 PM,07:10 AM,04:37 AM,06:50 PM,19,20,20,20,4,81,92,0.3,1011,20,5,267,3
2019-12-15 09:00:00,29,19,0.0,12.2,7,6,72,09:41 PM,07:10 AM,04:37 AM,06:50 PM,19,27,27,26,4,74,66,0.5,1011,26,7,163,3
2019-12-15 12:00:00,29,19,0.0,12.2,7,6,72,09:41 PM,07:10 AM,04:37 AM,06:50 PM,18,30,30,29,10,31,51,0.2,1009,29,10,115,9
