date_time,Hectorville_maxtempC,Hectorville_mintempC,Hectorville_totalSnow_cm,Hectorville_sunHour,Hectorville_uvIndex,Hectorville_uvIndex,Hectorville_moon_illumination,Hectorville_moonrise,Hectorville_moonset,Hectorville_sunrise,Hectorville_sunset,Hectorville_DewPointC,Hectorville_FeelsLikeC,Hectorville_HeatIndexC,Hectorville_WindChillC,Hectorville_WindGustKmph,Hectorville_cloudcover,Hectorville_humidity,Hectorville_precipMM,Hectorville_pressure,Hectorville_tempC,Hectorville_visibility,Hectorville_winddirDegree,Hectorville_windspeedKmph
2019-12-04 00:00:00,-1,-10,0.0,3.4,2,1,48,01:57 PM,12:05 AM,08:11 AM,05:10 PM,-9,-13,-9,-13,10,32,93,0.0,999,-11,10,265,6
2019-12-04 03:00:00,-1,-10,0.0,3.4,2,1,48,01:57 PM,12:05 AM,08:11 AM,05:10 PM,-8,-10,-7,-10,10,48,91,0.0,999,-7,10,257,5
2019-12-04 06:00:00,-1,-10,0.0,3.4,2,2,48,01:57 PM,12:05 AM,08:11 AM,05:10 PM,-7,-8,-5,-8,7,77,87,0.0,998,-5,10,224,5
2019-12-04 09:00:00,-1,-10,0.0,3.4,2,1,48,01:57 PM,12:05 AM,08:11 AM,05:10 PM,-7,-7,-5,-7,8,63,82,0.0,998,-5,10,189,5
2019-12-04 12:00:00,-1,-10,0.0,3.4,2,2,48,01:57 PM,12:05 AM,08:11 AM,05:10 PM,-7,-5,-3,-5,8,74,73,0.0,998,-3,10,179,5
2019-12-04 15:00:00,-1,-10,0.0,3.4,2,1,48,01:57 PM,12:05 AM,08:11 AM,05:10 PM,-6,-4,-2,-4,8,64,75,0.0,997,-2,10,184,5
2019-12-04 18:00:00,-1,-10,0.0,3.4,2,1,48,01:57 PM,12:05 AM,08:11 AM,05:10 PM,-5,-5,-4,-5,8,82,89,0.0,997,-4,7,181,4
2019-12-04 21:00:00,-1,-10,0.0,3.4,2,1,48,01:57 PM,12:05 AM,08:11 AM,05:10 PM,-3,-7,-4,-7,9,91,96,0.0,997,-7,5,176,5
2019-12-05 00:00:00,-2,-6,9.1,3.4,1,1,55,02:19 PM,01:06 AM,08:12 AM,05:10 PM,-3,-8,-5,-8,9,100,97,0.2,997,-8,7,192,5
2019-12-05 03:00:00,-2,-6,9.1,3.4,1,1,55,02:19 PM,01:06 AM,08:12 AM,05:10 PM,-4,-5,-4,-5,8,98,98,0.5,997,-4,2,208,5
