date_time,Horsham_maxtempC,Horsham_mintempC,Horsham_totalSnow_cm,Horsham_sunHour,Horsham_uvIndex,Horsham_uvIndex,Horsham_moon_illumination,Horsham_moonrise,Horsham_moonset,Horsham_sunrise,Horsham_sunset,Horsham_DewPointC,Horsham_FeelsLikeC,Horsham_HeatIndexC,Horsham_WindChillC,Horsham_WindGustKmph,Horsham_cloudcover,Horsham_humidity,Horsham_precipMM,Horsham_pressure,Horsham_tempC,Horsham_visibility,Horsham_winddirDegree,Horsham_windspeedKmph
2019-12-04 00:00:00,6,2,0.0,7.6,2,1,48,02:24 PM,No moonset,09:00 AM,04:59 PM,1,-1,2,-1,21,16,88,0.0,1022,2,10,194,10
2019-12-04 03:00:00,6,2,0.0,7.6,2,1,48,02:24 PM,No moonset,09:00 AM,04:59 PM,1,-1,2,-1,20,11,94,0.0,1020,2,10,190,10
2019-12-04 06:00:00,6,2,0.0,7.6,2,2,48,02:24 PM,No moonset,09:00 AM,04:59 PM,1,0,2,0,13,6,92,0.0,1020,2,10,201,6
2019-12-04 09:00:00,6,2,0.0,7.6,2,2,48,02:24 PM,No moonset,09:00 AM,04:59 PM,1,-1,2,-1,17,17,94,0.0,1020,2,10,182,9
2019-12-04 12:00:00,6,2,0.0,7.6,2,3,48,02:24 PM,No moonset,09:00 AM,04:59 PM,4,4,6,4,12,9,84,0.0,1020,6,10,208,10
2019-12-04 15:00:00,6,2,0.0,7.6,2,3,48,02:24 PM,No moonset,09:00 AM,04:59 PM,4,4,6,4,12,12,91,0.0,1019,6,10,214,8
2019-12-04 18:00:00,6,2,0.0,7.6,2,2,48,02:24 PM,No moonset,09:00 AM,04:59 PM,3,1,4,1,19,9,93,0.0,1020,4,10,208,9
2019-12-04 21:00:00,6,2,0.0,7.6,2,1,48,02:24 PM,No moonset,09:00 AM,04:59 PM,2,0,3,0,20,20,92,0.0,1021,3,10,217,9
2019-12-05 00:00:00,8,2,0.0,1.9,3,1,55,02:42 PM,01:02 AM,09:01 AM,04:59 PM,2,1,3,1,15,47,92,0.0,1022,3,10,222,8
2019-12-05 03:00:00,8,2,0.0,1.9,3,1,55,02:42 PM,01:02 AM,09:01 AM,04:59 PM,2,0,3,0,20,52,94,0.0,1019,3,10,234,9
2019-12-05 06:00:00,8,2,0.0,1.9,3,1,55,02:42 PM,01:02 AM,09:01 AM,04:59 PM,3,1,3,1,19,23,95,0.0,1021,3,2,220,9
2019-12-05 09:00:00,8,2,0.0,1.9,3,2,55,02:42 PM,01:02 AM,09:01 AM,04:59 PM,3,1,4,1,27,11,93,0.0,1019,4,10,212,13
2019-12-05 12:00:00,8,2,0.0,1.9,3,2,55,02:42 PM,01:02 AM,09:01 AM,04:59 PM,5,4,8,4,37,100,83,0.0,1018,8,10,222,24
2019-12-05 15:00:00,8,2,0.0,1.9,3,2,55,02:42 PM,01:02 AM,09:01 AM,04:59 PM,6,4,8,4,44,100,84,0.2,1014,8,2,222,27
2019-12-05 18:00:00,8,2,0.0,1.9,3,1,55,02:42 PM,01:02 AM,09:01 AM,04:59 PM,7,4,8,4,51,100,85,0.2,1013,4,2,225,31
2019-12-05 21:00:00,8,2,0.0,1.9,3,1,55,02:42 PM,01:02 AM,09:01 AM,04:59 PM,9,2,5,2,51,100,86,0.0,1011,2,10,223,30
2019-12-06 00:00:00,12,8,0.0,5.8,3,1,62,02:58 PM,02:09 AM,09:03 AM,04:58 PM,9,8,11,8,46,100,88,0.2,1009,11,2,231,28
2019-12-06 03:00:00,12,8,0.0,5.8,3,1,62,02:58 PM,02:09 AM,09:03 AM,04:58 PM,10,9,11,9,41,100,91,0.3,1006,11,2,229,25
2019-12-06 06:00:00,12,8,0.0,5.8,3,3,62,02:58 PM,02:09 AM,09:03 AM,04:58 PM,10,9,12,9,42,100,92,0.8,1005,12,9,221,26
2019-12-06 09:00:00,12,8,0.0,5.8,3,3,62,02:58 PM,02:09 AM,09:03 AM,04:58 PM,10,10,12,10,44,63,88,0.2,1003,12,5,238,26
2019-12-06 12:00:00,12,8,0.0,5.8,3,4,62,02:58 PM,02:09 AM,09:03 AM,04:58 PM,9,10,12,10,39,55,79,0.0,1001,12,10,245,26
2019-12-06 15:00:00,12,8,0.0,5.8,3,2,62,02:58 PM,02:09 AM,09:03 AM,04:58 PM,7,6,10,6,45,56,83,1.4,1001,10,10,294,30
2019-12-06 18:00:00,12,8,0.0,5.8,3,2,62,02:58 PM,02:09 AM,09:03 AM,04:58 PM,6,5,8,5,34,78,85,0.0,1005,8,10,273,19
2019-12-06 21:00:00,12,8,0.0,5.8,3,1,62,02:58 PM,02:09 AM,09:03 AM,04:58 PM,6,5,8,5,33,15,87,0.0,1008,8,10,268,18
2019-12-07 00:00:00,9,5,0.0,3.8,3,1,70,03:14 PM,03:17 AM,09:04 AM,04:58 PM,5,4,7,4,32,24,89,0.0,1010,7,10,259,18
2019-12-07 03:00:00,9,5,0.0,3.8,3,1,70,03:14 PM,03:17 AM,09:04 AM,04:58 PM,5,3,6,3,28,54,92,0.0,1011,6,10,254,14
2019-12-07 06:00:00,9,5,0.0,3.8,3,3,70,03:14 PM,03:17 AM,09:04 AM,04:58 PM,4,3,5,3,25,28,93,0.0,1012,5,10,239,13
2019-12-07 09:00:00,9,5,0.0,3.8,3,3,70,03:14 PM,03:17 AM,09:04 AM,04:58 PM,5,3,6,3,30,30,93,0.0,1013,6,10,228,16
2019-12-07 12:00:00,9,5,0.0,3.8,3,3,70,03:14 PM,03:17 AM,09:04 AM,04:58 PM,6,6,9,6,27,25,82,0.0,1013,9,10,234,19
2019-12-07 15:00:00,9,5,0.0,3.8,3,2,70,03:14 PM,03:17 AM,09:04 AM,04:58 PM,7,6,9,6,29,95,87,0.0,1011,9,10,219,17
2019-12-07 18:00:00,9,5,0.0,3.8,3,2,70,03:14 PM,03:17 AM,09:04 AM,04:58 PM,7,6,9,6,37,97,89,0.0,1009,9,10,204,23
2019-12-07 21:00:00,9,5,0.0,3.8,3,1,70,03:14 PM,03:17 AM,09:04 AM,04:58 PM,7,5,9,5,49,100,90,0.0,1006,9,10,202,32
2019-12-08 00:00:00,8,1,0.0,3.8,2,1,77,03:31 PM,04:25 AM,09:05 AM,04:57 PM,7,6,10,6,59,100,85,0.1,1000,10,10,204,38
2019-12-08 03:00:00,8,1,0.0,3.8,2,1,77,03:31 PM,04:25 AM,09:05 AM,04:57 PM,11,10,13,10,55,96,85,0.8,997,13,9,253,36
2019-12-08 06:00:00,8,1,0.0,3.8,2,3,77,03:31 PM,04:25 AM,09:05 AM,04:57 PM,5,4,7,4,39,10,85,0.0,999,7,10,242,21
2019-12-08 09:00:00,8,1,0.0,3.8,2,3,77,03:31 PM,04:25 AM,09:05 AM,04:57 PM,3,2,6,2,42,44,80,0.0,999,6,10,239,24
2019-12-08 12:00:00,8,1,0.0,3.8,2,3,77,03:31 PM,04:25 AM,09:05 AM,04:57 PM,3,4,8,4,52,31,67,0.0,999,8,10,251,36
2019-12-08 15:00:00,8,1,0.0,3.8,2,2,77,03:31 PM,04:25 AM,09:05 AM,04:57 PM,2,3,7,3,49,72,68,0.1,996,7,10,247,31
2019-12-08 18:00:00,8,1,0.0,3.8,2,2,77,03:31 PM,04:25 AM,09:05 AM,04:57 PM,1,1,5,1,48,100,74,0.0,994,5,10,236,28
2019-12-08 21:00:00,8,1,0.0,3.8,2,1,77,03:31 PM,04:25 AM,09:05 AM,04:57 PM,3,1,5,1,46,100,80,0.0,989,1,10,224,31
2019-12-09 00:00:00,7,4,0.0,5.8,2,1,84,03:51 PM,05:35 AM,09:06 AM,04:57 PM,3,1,5,1,41,100,85,0.0,989,5,10,257,24
2019-12-09 03:00:00,7,4,0.0,5.8,2,1,84,03:51 PM,05:35 AM,09:06 AM,04:57 PM,5,4,8,4,53,100,81,0.8,992,8,9,291,32
2019-12-09 06:00:00,7,4,0.0,5.8,2,2,84,03:51 PM,05:35 AM,09:06 AM,04:57 PM,3,2,7,2,64,55,74,0.4,1000,7,5,323,37
2019-12-09 09:00:00,7,4,0.0,5.8,2,3,84,03:51 PM,05:35 AM,09:06 AM,04:57 PM,2,2,6,2,52,9,75,0.0,1009,6,10,321,30
2019-12-09 12:00:00,7,4,0.0,5.8,2,3,84,03:51 PM,05:35 AM,09:06 AM,04:57 PM,1,3,7,3,44,4,65,0.0,1015,7,10,328,29
2019-12-09 15:00:00,7,4,0.0,5.8,2,3,84,03:51 PM,05:35 AM,09:06 AM,04:57 PM,1,3,6,3,26,6,71,0.0,1019,6,10,310,15
2019-12-09 18:00:00,7,4,0.0,5.8,2,2,84,03:51 PM,05:35 AM,09:06 AM,04:57 PM,1,1,4,1,18,17,82,0.0,1023,4,10,280,9
2019-12-09 21:00:00,7,4,0.0,5.8,2,1,84,03:51 PM,05:35 AM,09:06 AM,04:57 PM,1,1,4,1,17,7,84,0.0,1024,4,10,249,9
2019-12-10 00:00:00,12,3,0.0,1.9,3,1,92,04:14 PM,06:47 AM,09:07 AM,04:57 PM,1,-0,3,-0,22,6,90,0.0,1024,3,10,203,11
2019-12-10 03:00:00,12,3,0.0,1.9,3,1,92,04:14 PM,06:47 AM,09:07 AM,04:57 PM,2,-1,3,-1,33,29,91,0.0,1021,3,10,186,18
2019-12-10 06:00:00,12,3,0.0,1.9,3,1,92,04:14 PM,06:47 AM,09:07 AM,04:57 PM,4,1,5,1,41,89,92,0.0,1016,5,10,186,22
2019-12-10 09:00:00,12,3,0.0,1.9,3,2,92,04:14 PM,06:47 AM,09:07 AM,04:57 PM,6,4,8,4,61,100,89,0.1,1011,8,10,186,38
2019-12-10 12:00:00,12,3,0.0,1.9,3,3,92,04:14 PM,06:47 AM,09:07 AM,04:57 PM,9,6,10,6,63,100,91,1.2,1006,10,9,195,40
2019-12-10 15:00:00,12,3,0.0,1.9,3,3,92,04:14 PM,06:47 AM,09:07 AM,04:57 PM,10,9,12,9,68,100,88,1.0,998,12,9,202,44
2019-12-10 18:00:00,12,3,0.0,1.9,3,2,92,04:14 PM,06:47 AM,09:07 AM,04:57 PM,6,4,9,4,56,100,82,1.6,1000,9,9,278,37
2019-12-10 21:00:00,12,3,0.0,1.9,3,1,92,04:14 PM,06:47 AM,09:07 AM,04:57 PM,2,2,6,2,34,83,77,0.4,1004,6,10,252,21
2019-12-11 00:00:00,7,2,0.0,1.9,2,1,99,04:43 PM,08:00 AM,09:08 AM,04:57 PM,2,1,4,1,34,0,82,0.0,1007,4,10,245,18
2019-12-11 03:00:00,7,2,0.0,1.9,2,1,99,04:43 PM,08:00 AM,09:08 AM,04:57 PM,2,0,4,0,26,6,90,0.0,1007,4,10,221,14
2019-12-11 06:00:00,7,2,0.0,1.9,2,2,99,04:43 PM,08:00 AM,09:08 AM,04:57 PM,2,0,3,0,25,29,90,0.0,1005,3,10,202,12
2019-12-11 09:00:00,7,2,0.0,1.9,2,1,99,04:43 PM,08:00 AM,09:08 AM,04:57 PM,3,0,4,0,31,83,90,0.1,1003,4,10,201,17
2019-12-11 12:00:00,7,2,0.0,1.9,2,2,99,04:43 PM,08:00 AM,09:08 AM,04:57 PM,3,3,7,3,31,76,77,0.1,1001,7,10,200,22
2019-12-11 15:00:00,7,2,0.0,1.9,2,1,99,04:43 PM,08:00 AM,09:08 AM,04:57 PM,2,1,4,1,27,83,85,2.5,1000,4,9,265,17
2019-12-11 18:00:00,7,2,0.0,1.9,2,1,99,04:43 PM,08:00 AM,09:08 AM,04:57 PM,1,-1,3,-1,28,76,86,1.7,1001,3,9,267,15
2019-12-11 21:00:00,7,2,0.0,1.9,2,1,99,04:43 PM,08:00 AM,09:08 AM,04:57 PM,0,-2,2,-2,26,7,88,0.0,1003,2,10,249,13
2019-12-12 00:00:00,8,1,0.0,1.9,3,1,100,05:22 PM,09:12 AM,09:09 AM,04:57 PM,-0,-3,1,-3,28,9,89,0.0,1003,1,10,238,14
2019-12-12 03:00:00,8,1,0.0,1.9,3,1,100,05:22 PM,09:12 AM,09:09 AM,04:57 PM,0,-2,2,-2,27,53,89,0.0,999,2,10,191,14
2019-12-12 06:00:00,8,1,0.0,1.9,3,1,100,05:22 PM,09:12 AM,09:09 AM,04:57 PM,1,-2,3,-2,33,100,90,0.0,994,3,10,173,20
2019-12-12 09:00:00,8,1,0.0,1.9,3,2,100,05:22 PM,09:12 AM,09:09 AM,04:57 PM,4,1,5,1,40,100,93,1.0,988,5,9,155,26
2019-12-12 12:00:00,8,1,0.0,1.9,3,2,100,05:22 PM,09:12 AM,09:09 AM,04:57 PM,7,6,8,6,26,100,95,0.0,983,8,10,207,17
2019-12-12 15:00:00,8,1,0.0,1.9,3,2,100,05:22 PM,09:12 AM,09:09 AM,04:57 PM,7,5,8,5,20,64,95,2.3,980,8,9,220,12
2019-12-12 18:00:00,8,1,0.0,1.9,3,2,100,05:22 PM,09:12 AM,09:09 AM,04:57 PM,4,2,5,2,27,88,93,0.0,978,5,10,233,14
2019-12-12 21:00:00,8,1,0.0,1.9,3,1,100,05:22 PM,09:12 AM,09:09 AM,04:57 PM,4,2,5,2,21,100,96,0.1,975,5,2,203,11
2019-12-13 00:00:00,7,-2,0.0,3.8,2,1,87,06:12 PM,10:19 AM,09:10 AM,04:57 PM,4,1,5,1,45,100,90,1.0,974,5,9,301,31
