date_time,Hughenden_maxtempC,Hughenden_mintempC,Hughenden_totalSnow_cm,Hughenden_sunHour,Hughenden_uvIndex,Hughenden_uvIndex,Hughenden_moon_illumination,Hughenden_moonrise,Hughenden_moonset,Hughenden_sunrise,Hughenden_sunset,Hughenden_DewPointC,Hughenden_FeelsLikeC,Hughenden_HeatIndexC,Hughenden_WindChillC,Hughenden_WindGustKmph,Hughenden_cloudcover,Hughenden_humidity,Hughenden_precipMM,Hughenden_pressure,Hughenden_tempC,Hughenden_visibility,Hughenden_winddirDegree,Hughenden_windspeedKmph
2019-12-04 00:00:00,36,23,0.0,13.2,8,1,48,12:05 PM,12:24 AM,05:34 AM,06:53 PM,1,25,25,27,37,0,18,0.0,1010,27,10,175,18
2019-12-04 03:00:00,36,23,0.0,13.2,8,1,48,12:05 PM,12:24 AM,05:34 AM,06:53 PM,1,23,23,24,30,0,23,0.0,1010,24,10,147,14
2019-12-04 06:00:00,36,23,0.0,13.2,8,1,48,12:05 PM,12:24 AM,05:34 AM,06:53 PM,1,24,24,24,27,0,22,0.0,1012,24,10,132,18
2019-12-04 09:00:00,36,23,0.0,13.2,8,8,48,12:05 PM,12:24 AM,05:34 AM,06:53 PM,2,28,28,30,26,0,16,0.0,1012,30,10,126,22
2019-12-04 12:00:00,36,23,0.0,13.2,8,8,48,12:05 PM,12:24 AM,05:34 AM,06:53 PM,2,32,32,34,15,1,13,0.0,1011,34,10,167,13
2019-12-04 15:00:00,36,23,0.0,13.2,8,9,48,12:05 PM,12:24 AM,05:34 AM,06:53 PM,0,34,34,36,13,0,10,0.0,1008,36,10,206,12
2019-12-04 18:00:00,36,23,0.0,13.2,8,8,48,12:05 PM,12:24 AM,05:34 AM,06:53 PM,-2,32,32,34,26,0,10,0.0,1008,34,10,190,14
2019-12-04 21:00:00,36,23,0.0,13.2,8,1,48,12:05 PM,12:24 AM,05:34 AM,06:53 PM,-3,28,28,30,36,0,12,0.0,1010,30,10,156,17
2019-12-05 00:00:00,39,23,0.0,13.2,8,1,55,12:54 PM,01:01 AM,05:34 AM,06:54 PM,-4,25,25,27,29,0,13,0.0,1010,27,10,127,14
2019-12-05 03:00:00,39,23,0.0,13.2,8,1,55,12:54 PM,01:01 AM,05:34 AM,06:54 PM,-3,23,23,24,24,0,16,0.0,1010,24,10,107,12
2019-12-05 06:00:00,39,23,0.0,13.2,8,1,55,12:54 PM,01:01 AM,05:34 AM,06:54 PM,-3,24,24,26,19,0,15,0.0,1011,26,10,102,11
2019-12-05 09:00:00,39,23,0.0,13.2,8,8,55,12:54 PM,01:01 AM,05:34 AM,06:54 PM,-3,30,30,32,15,0,11,0.0,1012,32,10,114,12
2019-12-05 12:00:00,39,23,0.0,13.2,8,9,55,12:54 PM,01:01 AM,05:34 AM,06:54 PM,-3,35,35,37,10,0,8,0.0,1010,37,10,155,8
2019-12-05 15:00:00,39,23,0.0,13.2,8,9,55,12:54 PM,01:01 AM,05:34 AM,06:54 PM,-4,38,38,38,12,0,7,0.0,1007,38,10,192,10
2019-12-05 18:00:00,39,23,0.0,13.2,8,9,55,12:54 PM,01:01 AM,05:34 AM,06:54 PM,-4,40,40,38,27,0,8,0.0,1007,38,10,192,15
2019-12-05 21:00:00,39,23,0.0,13.2,8,1,55,12:54 PM,01:01 AM,05:34 AM,06:54 PM,-5,37,37,34,31,0,9,0.0,1008,34,10,160,15
2019-12-06 00:00:00,39,23,0.0,13.2,8,1,62,01:43 PM,01:35 AM,05:34 AM,06:54 PM,3,28,28,28,22,0,25,0.0,1009,28,10,117,10
2019-12-06 03:00:00,39,23,0.0,13.2,8,1,62,01:43 PM,01:35 AM,05:34 AM,06:54 PM,10,25,25,24,12,0,42,0.0,1009,24,10,98,6
2019-12-06 06:00:00,39,23,0.0,13.2,8,1,62,01:43 PM,01:35 AM,05:34 AM,06:54 PM,10,26,26,26,16,0,38,0.0,1010,26,10,243,10
2019-12-06 09:00:00,39,23,0.0,13.2,8,8,62,01:43 PM,01:35 AM,05:34 AM,06:54 PM,10,31,31,32,19,0,26,0.0,1011,32,10,289,15
2019-12-06 12:00:00,39,23,0.0,13.2,8,9,62,01:43 PM,01:35 AM,05:34 AM,06:54 PM,1,36,36,37,13,0,12,0.0,1009,37,10,231,12
2019-12-06 15:00:00,39,23,0.0,13.2,8,9,62,01:43 PM,01:35 AM,05:34 AM,06:54 PM,-4,38,38,39,10,0,7,0.0,1007,39,10,228,9
