date_time,Ingham_maxtempC,Ingham_mintempC,Ingham_totalSnow_cm,Ingham_sunHour,Ingham_uvIndex,Ingham_uvIndex,Ingham_moon_illumination,Ingham_moonrise,Ingham_moonset,Ingham_sunrise,Ingham_sunset,Ingham_DewPointC,Ingham_FeelsLikeC,Ingham_HeatIndexC,Ingham_WindChillC,Ingham_WindGustKmph,Ingham_cloudcover,Ingham_humidity,Ingham_precipMM,Ingham_pressure,Ingham_tempC,Ingham_visibility,Ingham_winddirDegree,Ingham_windspeedKmph
2019-12-04 00:00:00,34,21,0.0,13.1,8,1,48,11:59 AM,12:14 AM,05:30 AM,06:41 PM,20,26,26,23,7,4,88,0.0,1010,23,10,287,3
2019-12-04 03:00:00,34,21,0.0,13.1,8,1,48,11:59 AM,12:14 AM,05:30 AM,06:41 PM,18,21,24,21,9,4,82,0.0,1009,21,10,267,4
2019-12-04 06:00:00,34,21,0.0,13.1,8,1,48,11:59 AM,12:14 AM,05:30 AM,06:41 PM,17,26,26,24,6,3,65,0.0,1010,24,10,269,4
2019-12-04 09:00:00,34,21,0.0,13.1,8,8,48,11:59 AM,12:14 AM,05:30 AM,06:41 PM,17,32,32,31,9,1,45,0.0,1011,31,10,142,8
2019-12-04 12:00:00,34,21,0.0,13.1,8,8,48,11:59 AM,12:14 AM,05:30 AM,06:41 PM,18,36,36,34,17,2,38,0.0,1010,34,10,72,15
2019-12-04 15:00:00,34,21,0.0,13.1,8,8,48,11:59 AM,12:14 AM,05:30 AM,06:41 PM,19,35,35,33,18,4,43,0.0,1008,33,10,63,15
2019-12-04 18:00:00,34,21,0.0,13.1,8,1,48,11:59 AM,12:14 AM,05:30 AM,06:41 PM,22,34,34,31,14,2,69,0.0,1009,31,10,40,10
2019-12-04 21:00:00,34,21,0.0,13.1,8,1,48,11:59 AM,12:14 AM,05:30 AM,06:41 PM,22,32,32,29,9,15,90,0.0,1011,29,5,17,5
2019-12-05 00:00:00,34,22,0.0,13.1,7,1,55,12:47 PM,12:51 AM,05:30 AM,06:41 PM,22,27,27,24,5,47,95,0.0,1011,24,2,219,3
2019-12-05 03:00:00,34,22,0.0,13.1,7,1,55,12:47 PM,12:51 AM,05:30 AM,06:41 PM,22,25,25,22,4,60,95,0.0,1011,22,2,260,2
