date_time,Isangel_maxtempC,Isangel_mintempC,Isangel_totalSnow_cm,Isangel_sunHour,Isangel_uvIndex,Isangel_uvIndex,Isangel_moon_illumination,Isangel_moonrise,Isangel_moonset,Isangel_sunrise,Isangel_sunset,Isangel_DewPointC,Isangel_FeelsLikeC,Isangel_HeatIndexC,Isangel_WindChillC,Isangel_WindGustKmph,Isangel_cloudcover,Isangel_humidity,Isangel_precipMM,Isangel_pressure,Isangel_tempC,Isangel_visibility,Isangel_winddirDegree,Isangel_windspeedKmph
2019-12-04 00:00:00,28,25,0.0,8.5,6,1,48,11:23 AM,No moonset,04:56 AM,06:10 PM,23,27,27,25,26,37,88,0.0,1012,25,10,98,18
2019-12-04 03:00:00,28,25,0.0,8.5,6,1,48,11:23 AM,No moonset,04:56 AM,06:10 PM,23,27,27,25,26,71,88,0.0,1010,25,10,105,18
2019-12-04 06:00:00,28,25,0.0,8.5,6,6,48,11:23 AM,No moonset,04:56 AM,06:10 PM,23,28,28,26,28,69,84,0.0,1011,26,10,104,20
2019-12-04 09:00:00,28,25,0.0,8.5,6,6,48,11:23 AM,No moonset,04:56 AM,06:10 PM,23,30,30,27,27,72,77,0.0,1012,27,10,108,22
2019-12-04 12:00:00,28,25,0.0,8.5,6,6,48,11:23 AM,No moonset,04:56 AM,06:10 PM,23,31,31,28,27,87,72,0.2,1011,28,10,117,23
2019-12-04 15:00:00,28,25,0.0,8.5,6,6,48,11:23 AM,No moonset,04:56 AM,06:10 PM,23,31,31,27,29,84,75,0.4,1010,27,9,120,23
2019-12-04 18:00:00,28,25,0.0,8.5,6,1,48,11:23 AM,No moonset,04:56 AM,06:10 PM,23,30,30,27,30,71,80,0.3,1010,27,9,114,22
2019-12-04 21:00:00,28,25,0.0,8.5,6,1,48,11:23 AM,No moonset,04:56 AM,06:10 PM,23,29,29,26,31,50,85,0.0,1011,26,10,113,22
2019-12-05 00:00:00,28,25,0.0,9.7,7,1,55,12:11 PM,12:17 AM,04:56 AM,06:11 PM,23,28,28,26,28,38,86,0.0,1011,26,10,119,20
2019-12-05 03:00:00,28,25,0.0,9.7,7,1,55,12:11 PM,12:17 AM,04:56 AM,06:11 PM,23,28,28,25,25,41,87,0.0,1009,25,10,134,17
2019-12-05 06:00:00,28,25,0.0,9.7,7,7,55,12:11 PM,12:17 AM,04:56 AM,06:11 PM,23,29,29,26,27,70,84,0.1,1010,26,10,138,19
2019-12-05 09:00:00,28,25,0.0,9.7,7,6,55,12:11 PM,12:17 AM,04:56 AM,06:11 PM,23,31,31,27,26,52,76,0.0,1011,27,10,126,22
2019-12-05 12:00:00,28,25,0.0,9.7,7,6,55,12:11 PM,12:17 AM,04:56 AM,06:11 PM,23,31,31,28,25,82,76,0.1,1010,28,10,134,22
2019-12-05 15:00:00,28,25,0.0,9.7,7,6,55,12:11 PM,12:17 AM,04:56 AM,06:11 PM,23,30,30,27,25,84,80,0.2,1009,27,10,145,21
2019-12-05 18:00:00,28,25,0.0,9.7,7,1,55,12:11 PM,12:17 AM,04:56 AM,06:11 PM,23,30,30,26,27,85,84,0.3,1010,26,10,143,20
2019-12-05 21:00:00,28,25,0.0,9.7,7,1,55,12:11 PM,12:17 AM,04:56 AM,06:11 PM,23,29,29,26,26,57,87,0.1,1011,26,10,128,18
2019-12-06 00:00:00,29,25,0.0,9.7,6,1,62,01:00 PM,12:52 AM,04:56 AM,06:11 PM,23,29,29,26,24,45,87,0.0,1010,26,10,110,16
2019-12-06 03:00:00,29,25,0.0,9.7,6,1,62,01:00 PM,12:52 AM,04:56 AM,06:11 PM,23,28,28,26,19,71,88,0.3,1009,26,10,99,13
2019-12-06 06:00:00,29,25,0.0,9.7,6,6,62,01:00 PM,12:52 AM,04:56 AM,06:11 PM,23,29,29,26,17,76,84,0.5,1010,26,9,85,12
2019-12-06 09:00:00,29,25,0.0,9.7,6,6,62,01:00 PM,12:52 AM,04:56 AM,06:11 PM,23,32,32,28,14,81,72,0.4,1010,28,9,70,11
2019-12-06 12:00:00,29,25,0.0,9.7,6,6,62,01:00 PM,12:52 AM,04:56 AM,06:11 PM,23,33,33,29,15,76,69,1.3,1010,29,9,41,11
2019-12-06 15:00:00,29,25,0.0,9.7,6,6,62,01:00 PM,12:52 AM,04:56 AM,06:11 PM,23,33,33,29,17,80,72,2.5,1009,29,8,10,11
2019-12-06 18:00:00,29,25,0.0,9.7,6,1,62,01:00 PM,12:52 AM,04:56 AM,06:11 PM,24,32,32,28,14,52,77,1.9,1010,28,8,35,9
2019-12-06 21:00:00,29,25,0.0,9.7,6,1,62,01:00 PM,12:52 AM,04:56 AM,06:11 PM,24,30,30,27,17,10,83,0.0,1011,27,10,62,11
2019-12-07 00:00:00,30,26,0.0,9.7,6,1,70,01:48 PM,01:26 AM,04:56 AM,06:12 PM,24,29,29,26,18,37,85,0.4,1011,26,10,67,11
