date_time,Kalgoorlie_maxtempC,Kalgoorlie_mintempC,Kalgoorlie_totalSnow_cm,Kalgoorlie_sunHour,Kalgoorlie_uvIndex,Kalgoorlie_uvIndex,Kalgoorlie_moon_illumination,Kalgoorlie_moonrise,Kalgoorlie_moonset,Kalgoorlie_sunrise,Kalgoorlie_sunset,Kalgoorlie_DewPointC,Kalgoorlie_FeelsLikeC,Kalgoorlie_HeatIndexC,Kalgoorlie_WindChillC,Kalgoorlie_WindGustKmph,Kalgoorlie_cloudcover,Kalgoorlie_humidity,Kalgoorlie_precipMM,Kalgoorlie_pressure,Kalgoorlie_tempC,Kalgoorlie_visibility,Kalgoorlie_winddirDegree,Kalgoorlie_windspeedKmph
2019-12-04 00:00:00,39,21,0.0,11.1,9,1,48,11:28 AM,12:10 AM,04:43 AM,06:45 PM,-0,29,29,28,43,2,19,0.0,1013,28,10,39,21
2019-12-04 03:00:00,39,21,0.0,11.1,9,1,48,11:28 AM,12:10 AM,04:43 AM,06:45 PM,-1,23,23,23,39,2,20,0.0,1012,23,10,23,18
2019-12-04 06:00:00,39,21,0.0,11.1,9,1,48,11:28 AM,12:10 AM,04:43 AM,06:45 PM,-2,25,25,25,34,2,18,0.0,1013,25,10,128,21
2019-12-04 09:00:00,39,21,0.0,11.1,9,7,48,11:28 AM,12:10 AM,04:43 AM,06:45 PM,-1,32,32,34,28,25,11,0.1,1013,34,10,345,24
2019-12-04 12:00:00,39,21,0.0,11.1,9,8,48,11:28 AM,12:10 AM,04:43 AM,06:45 PM,1,36,36,38,18,75,10,0.2,1011,38,9,312,15
2019-12-04 15:00:00,39,21,0.0,11.1,9,8,48,11:28 AM,12:10 AM,04:43 AM,06:45 PM,2,37,37,38,17,83,11,0.2,1009,38,9,198,15
2019-12-04 18:00:00,39,21,0.0,11.1,9,1,48,11:28 AM,12:10 AM,04:43 AM,06:45 PM,5,35,35,35,31,78,19,0.2,1010,35,10,63,22
2019-12-04 21:00:00,39,21,0.0,11.1,9,1,48,11:28 AM,12:10 AM,04:43 AM,06:45 PM,8,35,35,31,48,78,30,0.4,1013,31,10,143,27
2019-12-05 00:00:00,38,20,0.0,14.0,7,1,55,12:21 PM,12:42 AM,04:43 AM,06:45 PM,9,30,30,27,35,74,37,0.2,1013,27,9,134,18
2019-12-05 03:00:00,38,20,0.0,14.0,7,1,55,12:21 PM,12:42 AM,04:43 AM,06:45 PM,9,22,23,22,46,56,44,0.1,1013,22,10,149,24
2019-12-05 06:00:00,38,20,0.0,14.0,7,1,55,12:21 PM,12:42 AM,04:43 AM,06:45 PM,7,22,22,22,42,8,39,0.0,1015,22,10,133,24
2019-12-05 09:00:00,38,20,0.0,14.0,7,7,55,12:21 PM,12:42 AM,04:43 AM,06:45 PM,6,28,28,29,23,7,24,0.0,1015,29,10,115,20
2019-12-05 12:00:00,38,20,0.0,14.0,7,8,55,12:21 PM,12:42 AM,04:43 AM,06:45 PM,6,33,33,35,11,10,17,0.0,1013,35,10,124,10
2019-12-05 15:00:00,38,20,0.0,14.0,7,9,55,12:21 PM,12:42 AM,04:43 AM,06:45 PM,4,36,36,37,11,8,13,0.0,1010,37,10,153,9
2019-12-05 18:00:00,38,20,0.0,14.0,7,1,55,12:21 PM,12:42 AM,04:43 AM,06:45 PM,6,38,38,37,24,35,16,0.0,1010,37,10,155,15
2019-12-05 21:00:00,38,20,0.0,14.0,7,1,55,12:21 PM,12:42 AM,04:43 AM,06:45 PM,9,38,38,35,45,60,32,0.1,1013,35,10,142,28
2019-12-06 00:00:00,41,18,0.0,14.0,9,1,62,01:15 PM,01:13 AM,04:43 AM,06:46 PM,12,31,31,29,41,5,53,0.0,1015,29,10,112,35
2019-12-06 03:00:00,41,18,0.0,14.0,9,1,62,01:15 PM,01:13 AM,04:43 AM,06:46 PM,11,20,20,20,33,9,57,0.0,1015,20,10,103,26
2019-12-06 06:00:00,41,18,0.0,14.0,9,1,62,01:15 PM,01:13 AM,04:43 AM,06:46 PM,10,21,20,21,36,6,53,0.0,1015,21,10,80,26
2019-12-06 09:00:00,41,18,0.0,14.0,9,7,62,01:15 PM,01:13 AM,04:43 AM,06:46 PM,7,29,29,30,35,11,27,0.0,1013,30,10,62,30
2019-12-06 12:00:00,41,18,0.0,14.0,9,9,62,01:15 PM,01:13 AM,04:43 AM,06:46 PM,3,37,37,38,35,30,12,0.0,1010,38,10,34,30
2019-12-06 15:00:00,41,18,0.0,14.0,9,10,62,01:15 PM,01:13 AM,04:43 AM,06:46 PM,0,40,40,40,28,39,8,0.0,1007,40,10,16,24
2019-12-06 18:00:00,41,18,0.0,14.0,9,1,62,01:15 PM,01:13 AM,04:43 AM,06:46 PM,-1,41,41,40,34,31,9,0.0,1005,40,10,35,23
2019-12-06 21:00:00,41,18,0.0,14.0,9,1,62,01:15 PM,01:13 AM,04:43 AM,06:46 PM,-1,40,40,38,51,42,11,0.0,1005,38,10,51,27
2019-12-07 00:00:00,37,26,0.0,13.4,7,1,70,02:07 PM,01:42 AM,04:44 AM,06:47 PM,0,34,34,34,38,52,13,0.0,1005,34,10,30,21
2019-12-07 03:00:00,37,26,0.0,13.4,7,1,70,02:07 PM,01:42 AM,04:44 AM,06:47 PM,2,27,27,29,26,53,19,0.0,1006,29,10,110,13
2019-12-07 06:00:00,37,26,0.0,13.4,7,1,70,02:07 PM,01:42 AM,04:44 AM,06:47 PM,4,26,26,28,29,27,22,0.0,1007,28,10,269,17
2019-12-07 09:00:00,37,26,0.0,13.4,7,8,70,02:07 PM,01:42 AM,04:44 AM,06:47 PM,8,31,31,33,19,39,22,0.0,1006,33,10,253,17
2019-12-07 12:00:00,37,26,0.0,13.4,7,8,70,02:07 PM,01:42 AM,04:44 AM,06:47 PM,8,33,33,35,16,42,20,0.0,1005,35,10,197,14
2019-12-07 15:00:00,37,26,0.0,13.4,7,7,70,02:07 PM,01:42 AM,04:44 AM,06:47 PM,7,34,34,35,26,46,19,0.0,1004,35,10,95,22
2019-12-07 18:00:00,37,26,0.0,13.4,7,1,70,02:07 PM,01:42 AM,04:44 AM,06:47 PM,1,37,37,36,39,66,12,0.0,1005,36,10,257,30
2019-12-07 21:00:00,37,26,0.0,13.4,7,1,70,02:07 PM,01:42 AM,04:44 AM,06:47 PM,5,36,36,34,49,6,22,0.0,1008,34,10,233,32
2019-12-08 00:00:00,31,18,0.0,14.0,7,1,77,03:02 PM,02:12 AM,04:44 AM,06:48 PM,9,30,30,28,44,4,39,0.0,1010,28,10,214,33
2019-12-08 03:00:00,31,18,0.0,14.0,7,1,77,03:02 PM,02:12 AM,04:44 AM,06:48 PM,11,20,22,20,29,4,57,0.0,1011,20,10,202,22
2019-12-08 06:00:00,31,18,0.0,14.0,7,1,77,03:02 PM,02:12 AM,04:44 AM,06:48 PM,11,19,19,19,22,3,61,0.0,1013,19,10,184,16
2019-12-08 09:00:00,31,18,0.0,14.0,7,6,77,03:02 PM,02:12 AM,04:44 AM,06:48 PM,9,22,22,22,19,4,45,0.0,1014,22,10,186,17
2019-12-08 12:00:00,31,18,0.0,14.0,7,7,77,03:02 PM,02:12 AM,04:44 AM,06:48 PM,4,26,26,27,9,3,22,0.0,1014,27,10,230,8
2019-12-08 15:00:00,31,18,0.0,14.0,7,8,77,03:02 PM,02:12 AM,04:44 AM,06:48 PM,1,28,28,30,11,2,15,0.0,1013,30,10,226,9
2019-12-08 18:00:00,31,18,0.0,14.0,7,1,77,03:02 PM,02:12 AM,04:44 AM,06:48 PM,2,29,29,29,34,3,21,0.0,1014,29,10,164,26
2019-12-08 21:00:00,31,18,0.0,14.0,7,1,77,03:02 PM,02:12 AM,04:44 AM,06:48 PM,7,29,29,26,57,2,40,0.0,1017,26,10,149,38
2019-12-09 00:00:00,30,14,0.0,14.1,7,1,84,03:58 PM,02:43 AM,04:44 AM,06:49 PM,8,21,23,21,47,2,55,0.0,1019,21,10,122,33
2019-12-09 03:00:00,30,14,0.0,14.1,7,1,84,03:58 PM,02:43 AM,04:44 AM,06:49 PM,10,15,16,15,29,2,68,0.0,1020,16,10,119,22
