date_time,Katherine_maxtempC,Katherine_mintempC,Katherine_totalSnow_cm,Katherine_sunHour,Katherine_uvIndex,Katherine_uvIndex,Katherine_moon_illumination,Katherine_moonrise,Katherine_moonset,Katherine_sunrise,Katherine_sunset,Katherine_DewPointC,Katherine_FeelsLikeC,Katherine_HeatIndexC,Katherine_WindChillC,Katherine_WindGustKmph,Katherine_cloudcover,Katherine_humidity,Katherine_precipMM,Katherine_pressure,Katherine_tempC,Katherine_visibility,Katherine_winddirDegree,Katherine_windspeedKmph
2019-12-04 00:00:00,41,27,0.0,11.6,9,1,48,12:30 PM,12:36 AM,06:03 AM,06:59 PM,19,31,31,30,8,23,55,0.0,1010,30,10,180,5
2019-12-04 03:00:00,41,27,0.0,11.6,9,1,48,12:30 PM,12:36 AM,06:03 AM,06:59 PM,19,31,31,29,14,11,55,0.0,1009,29,10,29,9
2019-12-04 06:00:00,41,27,0.0,11.6,9,1,48,12:30 PM,12:36 AM,06:03 AM,06:59 PM,21,29,29,27,13,6,70,0.0,1010,27,10,359,8
2019-12-04 09:00:00,41,27,0.0,11.6,9,8,48,12:30 PM,12:36 AM,06:03 AM,06:59 PM,19,37,37,35,6,4,39,0.0,1011,35,10,10,6
2019-12-04 12:00:00,41,27,0.0,11.6,9,9,48,12:30 PM,12:36 AM,06:03 AM,06:59 PM,12,39,39,39,10,11,20,0.0,1009,39,10,106,9
2019-12-04 15:00:00,41,27,0.0,11.6,9,10,48,12:30 PM,12:36 AM,06:03 AM,06:59 PM,9,41,41,41,14,7,14,0.0,1006,41,10,121,12
2019-12-04 18:00:00,41,27,0.0,11.6,9,9,48,12:30 PM,12:36 AM,06:03 AM,06:59 PM,8,37,37,38,12,4,17,0.0,1006,38,10,91,8
2019-12-04 21:00:00,41,27,0.0,11.6,9,1,48,12:30 PM,12:36 AM,06:03 AM,06:59 PM,7,39,39,35,11,3,20,0.0,1009,35,10,75,5
2019-12-05 00:00:00,41,27,0.0,11.6,9,1,55,01:18 PM,01:15 AM,06:03 AM,07:00 PM,17,31,31,30,9,3,46,0.0,1010,30,10,267,5
2019-12-05 03:00:00,41,27,0.0,11.6,9,1,55,01:18 PM,01:15 AM,06:03 AM,07:00 PM,21,30,30,28,19,0,68,0.0,1009,28,10,339,13
2019-12-05 06:00:00,41,27,0.0,11.6,9,1,55,01:18 PM,01:15 AM,06:03 AM,07:00 PM,22,29,29,27,13,0,75,0.0,1011,27,10,347,9
2019-12-05 09:00:00,41,27,0.0,11.6,9,8,55,01:18 PM,01:15 AM,06:03 AM,07:00 PM,20,36,36,33,15,0,46,0.0,1011,33,10,330,13
2019-12-05 12:00:00,41,27,0.0,11.6,9,9,55,01:18 PM,01:15 AM,06:03 AM,07:00 PM,9,40,40,40,9,8,15,0.0,1010,40,10,134,8
2019-12-05 15:00:00,41,27,0.0,11.6,9,10,55,01:18 PM,01:15 AM,06:03 AM,07:00 PM,6,42,42,41,11,3,11,0.0,1006,41,10,165,9
2019-12-05 18:00:00,41,27,0.0,11.6,9,9,55,01:18 PM,01:15 AM,06:03 AM,07:00 PM,4,37,37,38,12,0,12,0.0,1006,38,10,153,7
2019-12-05 21:00:00,41,27,0.0,11.6,9,1,55,01:18 PM,01:15 AM,06:03 AM,07:00 PM,2,37,37,35,20,0,14,0.0,1008,35,10,123,9
2019-12-06 00:00:00,43,25,0.0,11.6,9,1,62,02:04 PM,01:51 AM,06:03 AM,07:00 PM,2,28,28,30,14,0,17,0.0,1009,30,10,147,7
2019-12-06 03:00:00,43,25,0.0,11.6,9,1,62,02:04 PM,01:51 AM,06:03 AM,07:00 PM,7,26,26,27,11,0,28,0.0,1008,27,10,54,5
2019-12-06 06:00:00,43,25,0.0,11.6,9,1,62,02:04 PM,01:51 AM,06:03 AM,07:00 PM,21,28,28,25,19,0,79,0.0,1009,25,10,348,12
2019-12-06 09:00:00,43,25,0.0,11.6,9,8,62,02:04 PM,01:51 AM,06:03 AM,07:00 PM,18,35,35,33,11,0,42,0.0,1010,33,10,327,9
2019-12-06 12:00:00,43,25,0.0,11.6,9,10,62,02:04 PM,01:51 AM,06:03 AM,07:00 PM,7,42,42,42,8,3,13,0.0,1007,42,10,131,7
2019-12-06 15:00:00,43,25,0.0,11.6,9,10,62,02:04 PM,01:51 AM,06:03 AM,07:00 PM,0,44,44,43,18,0,7,0.0,1004,43,10,141,16
2019-12-06 18:00:00,43,25,0.0,11.6,9,9,62,02:04 PM,01:51 AM,06:03 AM,07:00 PM,1,38,38,39,19,0,10,0.0,1005,39,10,138,11
2019-12-06 21:00:00,43,25,0.0,11.6,9,1,62,02:04 PM,01:51 AM,06:03 AM,07:00 PM,1,38,38,35,14,0,14,0.0,1008,35,10,133,6
2019-12-07 00:00:00,43,27,0.0,11.6,9,1,70,02:50 PM,02:27 AM,06:04 AM,07:01 PM,17,30,30,29,26,0,48,0.0,1009,29,10,338,15
2019-12-07 03:00:00,43,27,0.0,11.6,9,1,70,02:50 PM,02:27 AM,06:04 AM,07:01 PM,20,30,30,28,24,0,62,0.0,1008,28,10,352,16
2019-12-07 06:00:00,43,27,0.0,11.6,9,1,70,02:50 PM,02:27 AM,06:04 AM,07:01 PM,21,29,29,27,19,0,70,0.0,1010,27,10,332,12
2019-12-07 09:00:00,43,27,0.0,11.6,9,8,70,02:50 PM,02:27 AM,06:04 AM,07:01 PM,19,36,36,34,17,2,41,0.0,1011,34,10,321,14
2019-12-07 12:00:00,43,27,0.0,11.6,9,10,70,02:50 PM,02:27 AM,06:04 AM,07:01 PM,12,43,43,42,5,5,18,0.0,1008,42,10,62,5
2019-12-07 15:00:00,43,27,0.0,11.6,9,10,70,02:50 PM,02:27 AM,06:04 AM,07:01 PM,7,44,44,43,6,4,12,0.0,1004,43,10,162,6
2019-12-07 18:00:00,43,27,0.0,11.6,9,9,70,02:50 PM,02:27 AM,06:04 AM,07:01 PM,6,39,39,40,19,0,13,0.0,1004,40,10,91,13
2019-12-07 21:00:00,43,27,0.0,11.6,9,1,70,02:50 PM,02:27 AM,06:04 AM,07:01 PM,5,41,41,38,26,0,17,0.0,1008,38,10,86,12
2019-12-08 00:00:00,42,28,0.0,11.6,9,1,77,03:38 PM,03:04 AM,06:04 AM,07:01 PM,20,33,33,30,35,2,55,0.0,1009,30,10,2,25
2019-12-08 03:00:00,42,28,0.0,11.6,9,1,77,03:38 PM,03:04 AM,06:04 AM,07:01 PM,21,31,31,29,28,3,64,0.0,1009,29,10,347,20
2019-12-08 06:00:00,42,28,0.0,11.6,9,1,77,03:38 PM,03:04 AM,06:04 AM,07:01 PM,22,30,30,28,11,2,70,0.0,1010,28,10,339,8
2019-12-08 09:00:00,42,28,0.0,11.6,9,8,77,03:38 PM,03:04 AM,06:04 AM,07:01 PM,19,37,37,34,17,0,42,0.0,1011,34,10,338,15
