date_time,Keith_maxtempC,Keith_mintempC,Keith_totalSnow_cm,Keith_sunHour,Keith_uvIndex,Keith_uvIndex,Keith_moon_illumination,Keith_moonrise,Keith_moonset,Keith_sunrise,Keith_sunset,Keith_DewPointC,Keith_FeelsLikeC,Keith_HeatIndexC,Keith_WindChillC,Keith_WindGustKmph,Keith_cloudcover,Keith_humidity,Keith_precipMM,Keith_pressure,Keith_tempC,Keith_visibility,Keith_winddirDegree,Keith_windspeedKmph
2019-12-04 00:00:00,8,3,0.0,3.8,3,1,48,02:39 PM,No moonset,09:33 AM,04:30 PM,-2,1,4,1,23,51,66,0.0,1012,4,10,183,11
2019-12-04 03:00:00,8,3,0.0,3.8,3,1,48,02:39 PM,No moonset,09:33 AM,04:30 PM,1,2,4,2,23,48,77,0.0,1010,4,10,195,11
2019-12-04 06:00:00,8,3,0.0,3.8,3,2,48,02:39 PM,No moonset,09:33 AM,04:30 PM,2,1,5,1,33,44,81,0.0,1009,5,10,194,17
2019-12-04 09:00:00,8,3,0.0,3.8,3,3,48,02:39 PM,No moonset,09:33 AM,04:30 PM,3,2,6,2,39,19,82,0.0,1006,6,10,189,20
2019-12-04 12:00:00,8,3,0.0,3.8,3,2,48,02:39 PM,No moonset,09:33 AM,04:30 PM,5,5,8,5,27,100,81,0.0,1007,8,10,228,17
2019-12-04 15:00:00,8,3,0.0,3.8,3,3,48,02:39 PM,No moonset,09:33 AM,04:30 PM,2,2,5,2,32,0,80,0.0,1006,5,10,229,18
2019-12-04 18:00:00,8,3,0.0,3.8,3,1,48,02:39 PM,No moonset,09:33 AM,04:30 PM,1,-0,4,-0,32,64,81,0.0,1008,4,10,225,18
2019-12-04 21:00:00,8,3,0.0,3.8,3,1,48,02:39 PM,No moonset,09:33 AM,04:30 PM,0,-1,3,-1,36,100,82,0.0,1007,3,10,226,19
2019-12-05 00:00:00,8,-0,0.0,1.7,2,1,55,02:51 PM,12:54 AM,09:35 AM,04:29 PM,-0,-2,3,-2,41,93,80,0.0,1007,3,10,234,22
2019-12-05 03:00:00,8,-0,0.0,1.7,2,1,55,02:51 PM,12:54 AM,09:35 AM,04:29 PM,1,-1,4,-1,45,53,80,0.0,1004,4,10,240,25
2019-12-05 06:00:00,8,-0,0.0,1.7,2,2,55,02:51 PM,12:54 AM,09:35 AM,04:29 PM,2,1,5,1,37,100,81,0.0,1003,5,10,234,21
2019-12-05 09:00:00,8,-0,0.0,1.7,2,2,55,02:51 PM,12:54 AM,09:35 AM,04:29 PM,2,2,6,2,42,100,78,0.0,1001,6,10,225,23
2019-12-05 12:00:00,8,-0,0.0,1.7,2,2,55,02:51 PM,12:54 AM,09:35 AM,04:29 PM,4,5,7,5,25,100,78,0.0,998,7,10,179,15
2019-12-05 15:00:00,8,-0,0.0,1.7,2,2,55,02:51 PM,12:54 AM,09:35 AM,04:29 PM,5,5,8,5,29,100,83,0.0,991,8,10,196,16
2019-12-05 18:00:00,8,-0,0.0,1.7,2,1,55,02:51 PM,12:54 AM,09:35 AM,04:29 PM,8,4,6,4,31,100,91,0.3,990,4,2,262,18
2019-12-05 21:00:00,8,-0,0.0,1.7,2,1,55,02:51 PM,12:54 AM,09:35 AM,04:29 PM,8,-0,4,-0,17,97,95,0.4,992,-0,2,263,10
2019-12-06 00:00:00,9,4,0.0,3.8,2,1,62,03:02 PM,02:07 AM,09:37 AM,04:29 PM,7,6,9,6,25,74,92,0.4,993,9,5,244,14
2019-12-06 03:00:00,9,4,0.0,3.8,2,1,62,03:02 PM,02:07 AM,09:37 AM,04:29 PM,6,6,8,6,32,76,85,0.0,989,8,10,233,16
