date_time,Kelmscott_maxtempC,Kelmscott_mintempC,Kelmscott_totalSnow_cm,Kelmscott_sunHour,Kelmscott_uvIndex,Kelmscott_uvIndex,Kelmscott_moon_illumination,Kelmscott_moonrise,Kelmscott_moonset,Kelmscott_sunrise,Kelmscott_sunset,Kelmscott_DewPointC,Kelmscott_FeelsLikeC,Kelmscott_HeatIndexC,Kelmscott_WindChillC,Kelmscott_WindGustKmph,Kelmscott_cloudcover,Kelmscott_humidity,Kelmscott_precipMM,Kelmscott_pressure,Kelmscott_tempC,Kelmscott_visibility,Kelmscott_winddirDegree,Kelmscott_windspeedKmph
2019-12-04 00:00:00,37,23,0.0,13.4,7,1,48,11:49 AM,12:34 AM,05:02 AM,07:10 PM,10,29,29,27,9,33,37,0.0,1011,27,10,139,5
2019-12-04 03:00:00,37,23,0.0,13.4,7,1,48,11:49 AM,12:34 AM,05:02 AM,07:10 PM,10,25,25,24,9,74,40,0.0,1010,24,10,122,5
2019-12-04 06:00:00,37,23,0.0,13.4,7,1,48,11:49 AM,12:34 AM,05:02 AM,07:10 PM,10,26,26,25,5,50,38,0.0,1011,25,10,130,3
2019-12-04 09:00:00,37,23,0.0,13.4,7,8,48,11:49 AM,12:34 AM,05:02 AM,07:10 PM,9,30,30,31,9,60,27,0.0,1012,31,10,207,8
2019-12-04 12:00:00,37,23,0.0,13.4,7,9,48,11:49 AM,12:34 AM,05:02 AM,07:10 PM,8,34,34,36,19,6,19,0.0,1011,36,10,234,17
2019-12-04 15:00:00,37,23,0.0,13.4,7,9,48,11:49 AM,12:34 AM,05:02 AM,07:10 PM,8,34,34,36,27,9,19,0.0,1010,36,10,224,23
2019-12-04 18:00:00,37,23,0.0,13.4,7,1,48,11:49 AM,12:34 AM,05:02 AM,07:10 PM,9,31,31,32,27,15,26,0.0,1011,32,10,205,21
2019-12-04 21:00:00,37,23,0.0,13.4,7,1,48,11:49 AM,12:34 AM,05:02 AM,07:10 PM,11,30,30,28,32,13,36,0.0,1013,28,10,164,18
2019-12-05 00:00:00,41,23,0.0,14.1,9,1,55,12:43 PM,01:06 AM,05:02 AM,07:11 PM,11,26,26,26,40,10,38,0.0,1014,26,10,109,25
2019-12-05 03:00:00,41,23,0.0,14.1,9,1,55,12:43 PM,01:06 AM,05:02 AM,07:11 PM,8,25,25,24,38,1,37,0.0,1014,24,10,102,23
