date_time,Kendall_maxtempC,Kendall_mintempC,Kendall_totalSnow_cm,Kendall_sunHour,Kendall_uvIndex,Kendall_uvIndex,Kendall_moon_illumination,Kendall_moonrise,Kendall_moonset,Kendall_sunrise,Kendall_sunset,Kendall_DewPointC,Kendall_FeelsLikeC,Kendall_HeatIndexC,Kendall_WindChillC,Kendall_WindGustKmph,Kendall_cloudcover,Kendall_humidity,Kendall_precipMM,Kendall_pressure,Kendall_tempC,Kendall_visibility,Kendall_winddirDegree,Kendall_windspeedKmph
2019-12-04 00:00:00,25,17,0.0,10.8,6,1,48,02:08 PM,01:03 AM,07:53 AM,06:30 PM,10,17,17,17,19,20,63,0.0,1014,17,10,287,14
2019-12-04 03:00:00,25,17,0.0,10.8,6,1,48,02:08 PM,01:03 AM,07:53 AM,06:30 PM,11,17,17,17,21,63,69,0.0,1014,17,10,296,15
2019-12-04 06:00:00,25,17,0.0,10.8,6,1,48,02:08 PM,01:03 AM,07:53 AM,06:30 PM,12,17,17,17,18,67,69,0.0,1014,17,10,292,13
2019-12-04 09:00:00,25,17,0.0,10.8,6,5,48,02:08 PM,01:03 AM,07:53 AM,06:30 PM,12,18,18,18,15,56,67,0.0,1016,18,10,293,12
2019-12-04 12:00:00,25,17,0.0,10.8,6,6,48,02:08 PM,01:03 AM,07:53 AM,06:30 PM,11,21,22,21,16,25,54,0.0,1016,21,10,289,13
2019-12-04 15:00:00,25,17,0.0,10.8,6,6,48,02:08 PM,01:03 AM,07:53 AM,06:30 PM,11,25,25,24,15,2,44,0.0,1015,24,10,289,13
2019-12-04 18:00:00,25,17,0.0,10.8,6,6,48,02:08 PM,01:03 AM,07:53 AM,06:30 PM,11,25,25,24,15,8,45,0.0,1014,24,10,295,12
2019-12-04 21:00:00,25,17,0.0,10.8,6,1,48,02:08 PM,01:03 AM,07:53 AM,06:30 PM,12,22,25,22,19,12,53,0.0,1016,22,10,323,13
2019-12-05 00:00:00,23,17,0.0,10.8,6,1,55,02:40 PM,01:54 AM,07:53 AM,06:30 PM,13,21,23,21,18,3,60,0.0,1016,21,10,334,13
2019-12-05 03:00:00,23,17,0.0,10.8,6,1,55,02:40 PM,01:54 AM,07:53 AM,06:30 PM,12,19,19,19,21,1,64,0.0,1016,19,10,327,15
2019-12-05 06:00:00,23,17,0.0,10.8,6,1,55,02:40 PM,01:54 AM,07:53 AM,06:30 PM,10,18,18,18,23,2,60,0.0,1017,18,10,340,17
2019-12-05 09:00:00,23,17,0.0,10.8,6,5,55,02:40 PM,01:54 AM,07:53 AM,06:30 PM,8,18,18,18,21,3,52,0.0,1019,18,10,238,16
2019-12-05 12:00:00,23,17,0.0,10.8,6,6,55,02:40 PM,01:54 AM,07:53 AM,06:30 PM,9,20,21,20,17,3,47,0.0,1020,20,10,3,14
2019-12-05 15:00:00,23,17,0.0,10.8,6,6,55,02:40 PM,01:54 AM,07:53 AM,06:30 PM,7,24,24,22,14,6,38,0.0,1019,22,10,8,12
2019-12-05 18:00:00,23,17,0.0,10.8,6,6,55,02:40 PM,01:54 AM,07:53 AM,06:30 PM,7,23,23,22,16,11,39,0.0,1019,22,10,7,13
2019-12-05 21:00:00,23,17,0.0,10.8,6,1,55,02:40 PM,01:54 AM,07:53 AM,06:30 PM,8,20,20,20,19,23,43,0.0,1020,20,10,122,14
2019-12-06 00:00:00,24,19,0.0,10.8,6,1,62,03:12 PM,02:45 AM,07:54 AM,06:30 PM,7,19,19,19,17,25,45,0.0,1021,19,10,355,12
