date_time,Kendenup_maxtempC,Kendenup_mintempC,Kendenup_totalSnow_cm,Kendenup_sunHour,Kendenup_uvIndex,Kendenup_uvIndex,Kendenup_moon_illumination,Kendenup_moonrise,Kendenup_moonset,Kendenup_sunrise,Kendenup_sunset,Kendenup_DewPointC,Kendenup_FeelsLikeC,Kendenup_HeatIndexC,Kendenup_WindChillC,Kendenup_WindGustKmph,Kendenup_cloudcover,Kendenup_humidity,Kendenup_precipMM,Kendenup_pressure,Kendenup_tempC,Kendenup_visibility,Kendenup_winddirDegree,Kendenup_windspeedKmph
2019-12-04 00:00:00,25,12,0.0,14.5,6,1,48,11:40 AM,12:31 AM,04:50 AM,07:09 PM,12,17,17,17,14,11,73,0.0,1013,17,10,106,6
2019-12-04 03:00:00,25,12,0.0,14.5,6,1,48,11:40 AM,12:31 AM,04:50 AM,07:09 PM,11,16,16,16,7,40,73,0.0,1012,16,10,271,3
2019-12-04 06:00:00,25,12,0.0,14.5,6,1,48,11:40 AM,12:31 AM,04:50 AM,07:09 PM,12,19,19,19,5,38,68,0.0,1012,19,10,274,3
2019-12-04 09:00:00,25,12,0.0,14.5,6,6,48,11:40 AM,12:31 AM,04:50 AM,07:09 PM,14,26,26,25,11,0,52,0.0,1014,25,10,211,9
2019-12-04 12:00:00,25,12,0.0,14.5,6,6,48,11:40 AM,12:31 AM,04:50 AM,07:09 PM,15,26,26,24,21,1,58,0.0,1015,24,10,182,18
2019-12-04 15:00:00,25,12,0.0,14.5,6,6,48,11:40 AM,12:31 AM,04:50 AM,07:09 PM,15,22,23,22,21,4,65,0.0,1015,22,10,169,18
2019-12-04 18:00:00,25,12,0.0,14.5,6,1,48,11:40 AM,12:31 AM,04:50 AM,07:09 PM,14,17,18,17,21,18,80,0.0,1016,18,10,156,16
2019-12-04 21:00:00,25,12,0.0,14.5,6,1,48,11:40 AM,12:31 AM,04:50 AM,07:09 PM,14,13,15,13,21,62,92,0.0,1018,14,10,138,13
2019-12-05 00:00:00,22,13,0.0,14.5,5,1,55,12:34 PM,01:02 AM,04:50 AM,07:10 PM,13,13,16,13,16,92,87,0.0,1019,13,10,107,11
2019-12-05 03:00:00,22,13,0.0,14.5,5,1,55,12:34 PM,01:02 AM,04:50 AM,07:10 PM,13,15,15,15,11,64,85,0.1,1019,15,10,99,7
2019-12-05 06:00:00,22,13,0.0,14.5,5,1,55,12:34 PM,01:02 AM,04:50 AM,07:10 PM,13,16,16,16,10,7,81,0.0,1019,16,10,118,7
2019-12-05 09:00:00,22,13,0.0,14.5,5,6,55,12:34 PM,01:02 AM,04:50 AM,07:10 PM,13,20,21,20,15,0,62,0.0,1019,20,10,121,13
2019-12-05 12:00:00,22,13,0.0,14.5,5,6,55,12:34 PM,01:02 AM,04:50 AM,07:10 PM,13,25,25,22,22,0,57,0.0,1018,22,10,117,19
2019-12-05 15:00:00,22,13,0.0,14.5,5,6,55,12:34 PM,01:02 AM,04:50 AM,07:10 PM,14,21,23,21,26,0,62,0.0,1017,21,10,113,23
2019-12-05 18:00:00,22,13,0.0,14.5,5,1,55,12:34 PM,01:02 AM,04:50 AM,07:10 PM,13,19,20,19,27,10,76,0.0,1017,19,10,97,21
2019-12-05 21:00:00,22,13,0.0,14.5,5,1,55,12:34 PM,01:02 AM,04:50 AM,07:10 PM,13,16,19,16,27,39,93,0.0,1017,16,10,82,16
2019-12-06 00:00:00,34,13,0.0,14.5,6,1,62,01:29 PM,01:30 AM,04:50 AM,07:11 PM,13,12,13,12,23,51,96,0.0,1016,13,7,73,13
2019-12-06 03:00:00,34,13,0.0,14.5,6,1,62,01:29 PM,01:30 AM,04:50 AM,07:11 PM,12,12,13,12,21,35,96,0.0,1015,13,2,59,12
2019-12-06 06:00:00,34,13,0.0,14.5,6,1,62,01:29 PM,01:30 AM,04:50 AM,07:11 PM,12,15,15,15,19,16,82,0.0,1014,15,5,54,12
2019-12-06 09:00:00,34,13,0.0,14.5,6,6,62,01:29 PM,01:30 AM,04:50 AM,07:11 PM,11,24,24,24,19,12,46,0.0,1012,24,10,50,16
2019-12-06 12:00:00,34,13,0.0,14.5,6,8,62,01:29 PM,01:30 AM,04:50 AM,07:11 PM,10,31,31,32,22,25,25,0.0,1010,32,10,54,19
