date_time,Kingaroy_maxtempC,Kingaroy_mintempC,Kingaroy_totalSnow_cm,Kingaroy_sunHour,Kingaroy_uvIndex,Kingaroy_uvIndex,Kingaroy_moon_illumination,Kingaroy_moonrise,Kingaroy_moonset,Kingaroy_sunrise,Kingaroy_sunset,Kingaroy_DewPointC,Kingaroy_FeelsLikeC,Kingaroy_HeatIndexC,Kingaroy_WindChillC,Kingaroy_WindGustKmph,Kingaroy_cloudcover,Kingaroy_humidity,Kingaroy_precipMM,Kingaroy_pressure,Kingaroy_tempC,Kingaroy_visibility,Kingaroy_winddirDegree,Kingaroy_windspeedKmph
2019-12-04 00:00:00,32,15,0.0,13.8,7,1,48,11:27 AM,12:00 AM,04:51 AM,06:34 PM,2,18,19,18,16,0,35,0.0,1011,18,10,203,8
2019-12-04 03:00:00,32,15,0.0,13.8,7,1,48,11:27 AM,12:00 AM,04:51 AM,06:34 PM,1,16,16,16,13,0,38,0.0,1011,16,10,190,6
2019-12-04 06:00:00,32,15,0.0,13.8,7,1,48,11:27 AM,12:00 AM,04:51 AM,06:34 PM,3,20,21,20,8,0,33,0.0,1012,20,10,181,5
2019-12-04 09:00:00,32,15,0.0,13.8,7,7,48,11:27 AM,12:00 AM,04:51 AM,06:34 PM,3,25,25,26,9,0,22,0.0,1013,26,10,214,8
2019-12-04 12:00:00,32,15,0.0,13.8,7,8,48,11:27 AM,12:00 AM,04:51 AM,06:34 PM,1,29,29,31,15,0,15,0.0,1011,31,10,240,13
2019-12-04 15:00:00,32,15,0.0,13.8,7,8,48,11:27 AM,12:00 AM,04:51 AM,06:34 PM,0,30,30,32,18,0,13,0.0,1009,32,10,249,15
2019-12-04 18:00:00,32,15,0.0,13.8,7,1,48,11:27 AM,12:00 AM,04:51 AM,06:34 PM,-0,31,31,29,21,0,19,0.0,1010,29,10,243,12
2019-12-04 21:00:00,32,15,0.0,13.8,7,1,48,11:27 AM,12:00 AM,04:51 AM,06:34 PM,-2,29,29,26,20,0,23,0.0,1012,26,10,218,10
2019-12-05 00:00:00,34,15,0.0,13.8,8,1,55,12:19 PM,12:34 AM,04:51 AM,06:34 PM,-1,19,20,19,7,0,29,0.0,1012,19,10,214,4
2019-12-05 03:00:00,34,15,0.0,13.8,8,1,55,12:19 PM,12:34 AM,04:51 AM,06:34 PM,-2,16,16,16,6,0,31,0.0,1012,16,10,190,3
2019-12-05 06:00:00,34,15,0.0,13.8,8,1,55,12:19 PM,12:34 AM,04:51 AM,06:34 PM,1,21,21,21,3,0,26,0.0,1013,21,10,188,2
2019-12-05 09:00:00,34,15,0.0,13.8,8,7,55,12:19 PM,12:34 AM,04:51 AM,06:34 PM,-0,27,27,28,8,0,16,0.0,1013,28,10,228,7
2019-12-05 12:00:00,34,15,0.0,13.8,8,8,55,12:19 PM,12:34 AM,04:51 AM,06:34 PM,-3,30,30,33,18,0,10,0.0,1011,33,10,251,16
2019-12-05 15:00:00,34,15,0.0,13.8,8,8,55,12:19 PM,12:34 AM,04:51 AM,06:34 PM,-3,31,31,33,20,0,9,0.0,1009,33,10,248,17
2019-12-05 18:00:00,34,15,0.0,13.8,8,1,55,12:19 PM,12:34 AM,04:51 AM,06:34 PM,-3,32,32,30,19,0,15,0.0,1009,30,10,232,12
2019-12-05 21:00:00,34,15,0.0,13.8,8,1,55,12:19 PM,12:34 AM,04:51 AM,06:34 PM,-3,31,31,28,17,0,19,0.0,1011,28,10,207,8
2019-12-06 00:00:00,37,17,0.0,13.8,8,1,62,01:10 PM,01:07 AM,04:52 AM,06:35 PM,-3,20,22,20,7,0,25,0.0,1011,20,10,110,3
2019-12-06 03:00:00,37,17,0.0,13.8,8,1,62,01:10 PM,01:07 AM,04:52 AM,06:35 PM,-2,17,17,17,6,0,27,0.0,1010,17,10,205,3
2019-12-06 06:00:00,37,17,0.0,13.8,8,1,62,01:10 PM,01:07 AM,04:52 AM,06:35 PM,0,22,22,22,6,0,24,0.0,1011,22,10,288,4
2019-12-06 09:00:00,37,17,0.0,13.8,8,8,62,01:10 PM,01:07 AM,04:52 AM,06:35 PM,0,29,29,31,10,0,15,0.0,1011,31,10,291,9
2019-12-06 12:00:00,37,17,0.0,13.8,8,9,62,01:10 PM,01:07 AM,04:52 AM,06:35 PM,-2,34,34,36,16,0,9,0.0,1009,36,10,277,14
2019-12-06 15:00:00,37,17,0.0,13.8,8,9,62,01:10 PM,01:07 AM,04:52 AM,06:35 PM,-1,35,35,36,17,0,9,0.0,1006,36,10,252,15
2019-12-06 18:00:00,37,17,0.0,13.8,8,1,62,01:10 PM,01:07 AM,04:52 AM,06:35 PM,-1,36,36,35,18,0,15,0.0,1007,35,10,223,11
2019-12-06 21:00:00,37,17,0.0,13.8,8,1,62,01:10 PM,01:07 AM,04:52 AM,06:35 PM,2,34,34,32,15,0,27,0.0,1009,32,10,84,7
2019-12-07 00:00:00,38,19,0.0,13.8,8,1,70,02:01 PM,01:38 AM,04:52 AM,06:36 PM,11,24,24,23,16,0,57,0.0,1009,23,10,227,8
2019-12-07 03:00:00,38,19,0.0,13.8,8,1,70,02:01 PM,01:38 AM,04:52 AM,06:36 PM,12,19,19,19,19,0,64,0.0,1009,19,10,302,9
2019-12-07 06:00:00,38,19,0.0,13.8,8,1,70,02:01 PM,01:38 AM,04:52 AM,06:36 PM,14,24,24,23,16,0,56,0.0,1011,23,10,300,11
2019-12-07 09:00:00,38,19,0.0,13.8,8,8,70,02:01 PM,01:38 AM,04:52 AM,06:36 PM,13,31,31,31,15,0,35,0.0,1011,31,10,304,13
2019-12-07 12:00:00,38,19,0.0,13.8,8,9,70,02:01 PM,01:38 AM,04:52 AM,06:36 PM,6,36,36,37,16,0,16,0.0,1009,37,10,277,14
2019-12-07 15:00:00,38,19,0.0,13.8,8,9,70,02:01 PM,01:38 AM,04:52 AM,06:36 PM,1,37,37,38,15,0,10,0.0,1007,38,10,240,13
2019-12-07 18:00:00,38,19,0.0,13.8,8,1,70,02:01 PM,01:38 AM,04:52 AM,06:36 PM,1,37,37,35,13,0,15,0.0,1009,35,10,210,8
2019-12-07 21:00:00,38,19,0.0,13.8,8,1,70,02:01 PM,01:38 AM,04:52 AM,06:36 PM,8,33,33,31,11,0,42,0.0,1012,31,10,200,5
2019-12-08 00:00:00,37,18,0.0,13.3,8,1,77,02:53 PM,02:09 AM,04:52 AM,06:37 PM,15,22,22,22,14,7,79,0.0,1013,22,10,156,7
2019-12-08 03:00:00,37,18,0.0,13.3,8,1,77,02:53 PM,02:09 AM,04:52 AM,06:37 PM,17,18,18,18,14,70,96,0.0,1014,18,3,130,8
2019-12-08 06:00:00,37,18,0.0,13.3,8,1,77,02:53 PM,02:09 AM,04:52 AM,06:37 PM,19,21,23,21,10,71,85,0.0,1015,21,7,87,8
2019-12-08 09:00:00,37,18,0.0,13.3,8,7,77,02:53 PM,02:09 AM,04:52 AM,06:37 PM,18,30,30,29,9,19,54,0.0,1016,29,10,61,8
2019-12-08 12:00:00,37,18,0.0,13.3,8,8,77,02:53 PM,02:09 AM,04:52 AM,06:37 PM,13,34,34,35,10,8,29,0.0,1014,35,10,20,9
2019-12-08 15:00:00,37,18,0.0,13.3,8,9,77,02:53 PM,02:09 AM,04:52 AM,06:37 PM,10,35,35,36,7,8,20,0.0,1013,36,10,20,6
2019-12-08 18:00:00,37,18,0.0,13.3,8,1,77,02:53 PM,02:09 AM,04:52 AM,06:37 PM,16,37,37,35,22,37,60,0.1,1015,35,10,57,15
2019-12-08 21:00:00,37,18,0.0,13.3,8,1,77,02:53 PM,02:09 AM,04:52 AM,06:37 PM,19,35,35,32,23,68,87,0.3,1018,32,9,65,14
2019-12-09 00:00:00,34,18,0.0,13.3,6,1,84,03:47 PM,02:42 AM,04:52 AM,06:37 PM,18,23,23,23,15,92,95,0.1,1019,23,3,80,8
2019-12-09 03:00:00,34,18,0.0,13.3,6,1,84,03:47 PM,02:42 AM,04:52 AM,06:37 PM,18,19,19,19,13,100,97,0.0,1019,19,0,108,7
2019-12-09 06:00:00,34,18,0.0,13.3,6,1,84,03:47 PM,02:42 AM,04:52 AM,06:37 PM,19,22,23,22,14,48,83,0.0,1020,22,7,100,11
2019-12-09 09:00:00,34,18,0.0,13.3,6,7,84,03:47 PM,02:42 AM,04:52 AM,06:37 PM,17,29,29,28,15,10,52,0.0,1020,28,10,77,13
2019-12-09 12:00:00,34,18,0.0,13.3,6,8,84,03:47 PM,02:42 AM,04:52 AM,06:37 PM,17,34,34,33,14,21,37,0.0,1018,33,9,62,13
2019-12-09 15:00:00,34,18,0.0,13.3,6,7,84,03:47 PM,02:42 AM,04:52 AM,06:37 PM,18,34,34,32,16,28,42,0.0,1016,32,9,59,14
2019-12-09 18:00:00,34,18,0.0,13.3,6,1,84,03:47 PM,02:42 AM,04:52 AM,06:37 PM,18,32,32,30,21,67,73,5.0,1017,30,8,166,13
2019-12-09 21:00:00,34,18,0.0,13.3,6,1,84,03:47 PM,02:42 AM,04:52 AM,06:37 PM,18,30,30,27,26,79,88,8.2,1019,27,4,105,14
2019-12-10 00:00:00,35,18,0.0,12.2,6,1,92,04:42 PM,03:18 AM,04:52 AM,06:38 PM,18,21,22,21,15,92,95,2.8,1018,21,1,47,8
2019-12-10 03:00:00,35,18,0.0,12.2,6,1,92,04:42 PM,03:18 AM,04:52 AM,06:38 PM,18,18,18,18,10,100,99,0.0,1017,18,0,54,6
2019-12-10 06:00:00,35,18,0.0,12.2,6,1,92,04:42 PM,03:18 AM,04:52 AM,06:38 PM,18,20,20,20,9,97,93,0.0,1018,20,7,47,7
2019-12-10 09:00:00,35,18,0.0,12.2,6,5,92,04:42 PM,03:18 AM,04:52 AM,06:38 PM,18,24,24,24,9,80,72,0.1,1018,24,10,37,8
2019-12-10 12:00:00,35,18,0.0,12.2,6,7,92,04:42 PM,03:18 AM,04:52 AM,06:38 PM,16,32,32,32,9,28,41,0.0,1015,32,10,29,8
2019-12-10 15:00:00,35,18,0.0,12.2,6,9,92,04:42 PM,03:18 AM,04:52 AM,06:38 PM,13,35,35,35,7,15,27,0.0,1012,35,10,45,6
2019-12-10 18:00:00,35,18,0.0,12.2,6,1,92,04:42 PM,03:18 AM,04:52 AM,06:38 PM,13,36,36,34,7,18,37,0.0,1013,34,10,58,4
2019-12-10 21:00:00,35,18,0.0,12.2,6,1,92,04:42 PM,03:18 AM,04:52 AM,06:38 PM,16,35,35,31,14,60,70,0.2,1015,31,10,63,7
2019-12-11 00:00:00,37,18,0.0,12.2,7,1,99,05:41 PM,03:57 AM,04:52 AM,06:39 PM,18,24,24,22,19,50,91,0.1,1014,22,10,254,10
2019-12-11 03:00:00,37,18,0.0,12.2,7,1,99,05:41 PM,03:57 AM,04:52 AM,06:39 PM,18,18,18,18,14,78,97,0.0,1013,18,3,329,8
2019-12-11 06:00:00,37,18,0.0,12.2,7,1,99,05:41 PM,03:57 AM,04:52 AM,06:39 PM,18,21,23,21,8,37,83,0.0,1014,21,7,327,6
2019-12-11 09:00:00,37,18,0.0,12.2,7,8,99,05:41 PM,03:57 AM,04:52 AM,06:39 PM,17,32,32,31,5,4,48,0.0,1014,31,10,329,5
2019-12-11 12:00:00,37,18,0.0,12.2,7,9,99,05:41 PM,03:57 AM,04:52 AM,06:39 PM,16,38,38,36,5,59,30,0.1,1011,36,9,157,4
2019-12-11 15:00:00,37,18,0.0,12.2,7,6,99,05:41 PM,03:57 AM,04:52 AM,06:39 PM,17,31,31,29,18,77,51,6.7,1009,29,9,72,13
2019-12-11 18:00:00,37,18,0.0,12.2,7,1,99,05:41 PM,03:57 AM,04:52 AM,06:39 PM,16,25,25,23,31,71,72,3.9,1011,23,9,63,18
2019-12-11 21:00:00,37,18,0.0,12.2,7,1,99,05:41 PM,03:57 AM,04:52 AM,06:39 PM,16,20,21,20,28,82,83,1.2,1014,20,9,116,15
2019-12-12 00:00:00,35,18,0.0,13.9,7,1,100,06:40 PM,04:40 AM,04:53 AM,06:39 PM,16,18,18,18,17,83,88,0.6,1013,18,9,285,9
2019-12-12 03:00:00,35,18,0.0,13.9,7,1,100,06:40 PM,04:40 AM,04:53 AM,06:39 PM,17,19,19,19,10,86,93,0.3,1011,19,9,129,5
2019-12-12 06:00:00,35,18,0.0,13.9,7,1,100,06:40 PM,04:40 AM,04:53 AM,06:39 PM,19,21,23,21,9,46,86,0.1,1011,21,10,9,7
2019-12-12 09:00:00,35,18,0.0,13.9,7,7,100,06:40 PM,04:40 AM,04:53 AM,06:39 PM,18,29,29,28,12,11,59,0.0,1011,28,10,239,10
2019-12-12 12:00:00,35,18,0.0,13.9,7,8,100,06:40 PM,04:40 AM,04:53 AM,06:39 PM,16,34,34,33,13,6,35,0.0,1009,33,10,317,11
2019-12-12 15:00:00,35,18,0.0,13.9,7,9,100,06:40 PM,04:40 AM,04:53 AM,06:39 PM,14,35,35,35,12,9,28,0.0,1006,35,10,332,10
2019-12-12 18:00:00,35,18,0.0,13.9,7,1,100,06:40 PM,04:40 AM,04:53 AM,06:39 PM,16,34,34,32,23,20,60,0.0,1008,32,10,152,18
2019-12-12 21:00:00,35,18,0.0,13.9,7,1,100,06:40 PM,04:40 AM,04:53 AM,06:39 PM,18,31,31,29,21,25,86,0.0,1010,29,10,25,14
2019-12-13 00:00:00,35,18,0.0,13.3,8,1,87,07:41 PM,05:30 AM,04:53 AM,06:40 PM,17,21,22,21,13,61,95,0.0,1011,21,5,9,7
2019-12-13 03:00:00,35,18,0.0,13.3,8,1,87,07:41 PM,05:30 AM,04:53 AM,06:40 PM,18,19,19,19,8,93,98,0.0,1010,19,1,10,5
2019-12-13 06:00:00,35,18,0.0,13.3,8,1,87,07:41 PM,05:30 AM,04:53 AM,06:40 PM,19,21,23,21,9,89,88,0.0,1011,21,7,242,7
2019-12-13 09:00:00,35,18,0.0,13.3,8,6,87,07:41 PM,05:30 AM,04:53 AM,06:40 PM,17,29,29,27,9,31,56,0.0,1011,27,10,335,8
2019-12-13 12:00:00,35,18,0.0,13.3,8,8,87,07:41 PM,05:30 AM,04:53 AM,06:40 PM,12,32,32,33,10,21,29,0.0,1008,33,10,322,9
2019-12-13 15:00:00,35,18,0.0,13.3,8,8,87,07:41 PM,05:30 AM,04:53 AM,06:40 PM,9,32,32,34,10,17,21,0.0,1006,34,10,252,9
2019-12-13 18:00:00,35,18,0.0,13.3,8,1,87,07:41 PM,05:30 AM,04:53 AM,06:40 PM,15,33,33,32,21,58,57,0.5,1008,32,9,111,13
2019-12-13 21:00:00,35,18,0.0,13.3,8,1,87,07:41 PM,05:30 AM,04:53 AM,06:40 PM,19,32,32,29,16,89,91,2.1,1011,29,8,61,10
2019-12-14 00:00:00,33,21,0.0,12.2,6,1,79,08:38 PM,06:25 AM,04:53 AM,06:41 PM,20,25,25,23,12,94,95,1.0,1011,23,9,28,8
2019-12-14 03:00:00,33,21,0.0,12.2,6,1,79,08:38 PM,06:25 AM,04:53 AM,06:41 PM,20,21,23,21,9,68,93,0.2,1010,21,10,25,7
2019-12-14 06:00:00,33,21,0.0,12.2,6,1,79,08:38 PM,06:25 AM,04:53 AM,06:41 PM,20,25,25,23,11,64,84,0.1,1011,23,10,28,9
2019-12-14 09:00:00,33,21,0.0,12.2,6,6,79,08:38 PM,06:25 AM,04:53 AM,06:41 PM,19,29,29,27,10,80,60,0.1,1011,27,10,10,9
2019-12-14 12:00:00,33,21,0.0,12.2,6,7,79,08:38 PM,06:25 AM,04:53 AM,06:41 PM,15,32,32,32,6,60,38,0.0,1008,32,10,205,6
2019-12-14 15:00:00,33,21,0.0,12.2,6,8,79,08:38 PM,06:25 AM,04:53 AM,06:41 PM,13,33,33,33,9,28,30,0.0,1006,33,10,109,8
2019-12-14 18:00:00,33,21,0.0,12.2,6,1,79,08:38 PM,06:25 AM,04:53 AM,06:41 PM,13,33,33,30,13,6,40,0.0,1007,30,10,16,8
2019-12-14 21:00:00,33,21,0.0,12.2,6,1,79,08:38 PM,06:25 AM,04:53 AM,06:41 PM,17,31,31,27,15,10,74,0.0,1010,27,10,20,8
2019-12-15 00:00:00,36,19,0.0,13.3,8,1,72,09:33 PM,07:26 AM,04:54 AM,06:41 PM,18,21,22,21,15,72,95,0.0,1010,21,3,10,9
2019-12-15 03:00:00,36,19,0.0,13.3,8,1,72,09:33 PM,07:26 AM,04:54 AM,06:41 PM,19,20,22,20,13,88,92,0.0,1010,20,7,232,10
2019-12-15 06:00:00,36,19,0.0,13.3,8,1,72,09:33 PM,07:26 AM,04:54 AM,06:41 PM,19,22,25,22,10,85,86,0.0,1011,22,10,337,9
2019-12-15 09:00:00,36,19,0.0,13.3,8,6,72,09:33 PM,07:26 AM,04:54 AM,06:41 PM,18,29,29,28,11,29,59,0.0,1011,28,10,331,9
2019-12-15 12:00:00,36,19,0.0,13.3,8,8,72,09:33 PM,07:26 AM,04:54 AM,06:41 PM,14,34,34,34,10,26,32,0.0,1009,34,10,315,8
2019-12-15 15:00:00,36,19,0.0,13.3,8,9,72,09:33 PM,07:26 AM,04:54 AM,06:41 PM,12,34,34,35,8,22,25,0.0,1006,35,10,319,7
2019-12-15 18:00:00,36,19,0.0,13.3,8,1,72,09:33 PM,07:26 AM,04:54 AM,06:41 PM,14,35,35,34,17,8,39,0.0,1007,34,10,126,10
2019-12-15 21:00:00,36,19,0.0,13.3,8,1,72,09:33 PM,07:26 AM,04:54 AM,06:41 PM,17,35,35,31,19,5,67,0.0,1009,31,10,247,12
2019-12-16 00:00:00,38,20,0.0,13.9,8,1,65,10:22 PM,08:29 AM,04:54 AM,06:42 PM,18,24,24,23,17,16,88,0.0,1009,23,10,345,9
2019-12-16 03:00:00,38,20,0.0,13.9,8,1,65,10:22 PM,08:29 AM,04:54 AM,06:42 PM,19,20,20,20,14,74,96,0.0,1009,20,3,327,8
2019-12-16 06:00:00,38,20,0.0,13.9,8,1,65,10:22 PM,08:29 AM,04:54 AM,06:42 PM,19,24,24,23,14,35,81,0.0,1010,23,7,305,11
2019-12-16 09:00:00,38,20,0.0,13.9,8,8,65,10:22 PM,08:29 AM,04:54 AM,06:42 PM,14,31,31,32,12,2,40,0.0,1010,32,10,252,11
2019-12-16 12:00:00,38,20,0.0,13.9,8,9,65,10:22 PM,08:29 AM,04:54 AM,06:42 PM,8,36,36,37,15,3,17,0.0,1008,37,10,210,13
2019-12-16 15:00:00,38,20,0.0,13.9,8,9,65,10:22 PM,08:29 AM,04:54 AM,06:42 PM,5,37,37,38,21,0,13,0.0,1005,38,10,200,18
2019-12-16 18:00:00,38,20,0.0,13.9,8,1,65,10:22 PM,08:29 AM,04:54 AM,06:42 PM,8,39,39,37,36,0,27,0.0,1007,37,10,150,23
2019-12-16 21:00:00,38,20,0.0,13.9,8,1,65,10:22 PM,08:29 AM,04:54 AM,06:42 PM,13,38,38,35,40,1,57,0.0,1012,35,10,117,25
2019-12-17 00:00:00,31,17,0.0,13.9,7,1,58,11:07 PM,09:33 AM,04:54 AM,06:42 PM,14,25,25,24,37,2,74,0.0,1013,24,10,116,24
