date_time,Kingscote_maxtempC,Kingscote_mintempC,Kingscote_totalSnow_cm,Kingscote_sunHour,Kingscote_uvIndex,Kingscote_uvIndex,Kingscote_moon_illumination,Kingscote_moonrise,Kingscote_moonset,Kingscote_sunrise,Kingscote_sunset,Kingscote_DewPointC,Kingscote_FeelsLikeC,Kingscote_HeatIndexC,Kingscote_WindChillC,Kingscote_WindGustKmph,Kingscote_cloudcover,Kingscote_humidity,Kingscote_precipMM,Kingscote_pressure,Kingscote_tempC,Kingscote_visibility,Kingscote_winddirDegree,Kingscote_windspeedKmph
2019-12-04 00:00:00,23,9,0.0,14.5,4,1,48,11:45 AM,12:41 AM,04:57 AM,07:23 PM,8,7,9,7,18,37,94,0.0,1016,9,2,268,9
2019-12-04 03:00:00,23,9,0.0,14.5,4,1,48,11:45 AM,12:41 AM,04:57 AM,07:23 PM,8,7,9,7,17,41,94,0.0,1015,9,10,266,9
2019-12-04 06:00:00,23,9,0.0,14.5,4,1,48,11:45 AM,12:41 AM,04:57 AM,07:23 PM,9,11,12,11,14,21,82,0.0,1017,12,10,267,11
2019-12-04 09:00:00,23,9,0.0,14.5,4,5,48,11:45 AM,12:41 AM,04:57 AM,07:23 PM,8,19,19,19,16,5,48,0.0,1017,19,10,291,14
2019-12-04 12:00:00,23,9,0.0,14.5,4,6,48,11:45 AM,12:41 AM,04:57 AM,07:23 PM,10,24,24,22,24,2,45,0.0,1016,22,10,290,21
2019-12-04 15:00:00,23,9,0.0,14.5,4,6,48,11:45 AM,12:41 AM,04:57 AM,07:23 PM,9,24,24,23,20,4,40,0.0,1015,23,10,280,18
2019-12-04 18:00:00,23,9,0.0,14.5,4,1,48,11:45 AM,12:41 AM,04:57 AM,07:23 PM,9,19,19,19,17,0,50,0.0,1016,19,10,260,13
2019-12-04 21:00:00,23,9,0.0,14.5,4,1,48,11:45 AM,12:41 AM,04:57 AM,07:23 PM,8,16,18,16,12,16,87,0.0,1015,16,10,241,6
2019-12-05 00:00:00,25,10,0.0,14.5,5,1,55,12:40 PM,01:12 AM,04:57 AM,07:23 PM,8,9,10,9,17,7,93,0.0,1013,10,10,279,8
2019-12-05 03:00:00,25,10,0.0,14.5,5,1,55,12:40 PM,01:12 AM,04:57 AM,07:23 PM,9,9,10,9,17,13,93,0.0,1012,10,10,266,8
2019-12-05 06:00:00,25,10,0.0,14.5,5,1,55,12:40 PM,01:12 AM,04:57 AM,07:23 PM,11,13,14,13,15,12,82,0.0,1013,14,10,279,11
2019-12-05 09:00:00,25,10,0.0,14.5,5,6,55,12:40 PM,01:12 AM,04:57 AM,07:23 PM,10,22,24,22,19,2,48,0.0,1014,22,10,255,17
2019-12-05 12:00:00,25,10,0.0,14.5,5,6,55,12:40 PM,01:12 AM,04:57 AM,07:23 PM,11,25,25,25,24,31,42,0.0,1014,25,10,241,21
2019-12-05 15:00:00,25,10,0.0,14.5,5,6,55,12:40 PM,01:12 AM,04:57 AM,07:23 PM,11,20,20,20,25,9,54,0.0,1014,20,10,215,22
2019-12-05 18:00:00,25,10,0.0,14.5,5,1,55,12:40 PM,01:12 AM,04:57 AM,07:23 PM,10,16,16,16,23,7,68,0.0,1014,16,10,196,18
2019-12-05 21:00:00,25,10,0.0,14.5,5,1,55,12:40 PM,01:12 AM,04:57 AM,07:23 PM,10,12,14,12,20,44,93,0.0,1015,12,10,204,10
2019-12-06 00:00:00,22,9,0.0,14.5,4,1,62,01:36 PM,01:40 AM,04:57 AM,07:24 PM,9,9,10,9,19,23,94,0.0,1015,10,2,212,9
2019-12-06 03:00:00,22,9,0.0,14.5,4,1,62,01:36 PM,01:40 AM,04:57 AM,07:24 PM,8,8,9,8,21,18,94,0.0,1014,9,2,208,10
2019-12-06 06:00:00,22,9,0.0,14.5,4,1,62,01:36 PM,01:40 AM,04:57 AM,07:24 PM,9,12,13,12,14,5,81,0.0,1016,13,10,203,11
2019-12-06 09:00:00,22,9,0.0,14.5,4,5,62,01:36 PM,01:40 AM,04:57 AM,07:24 PM,7,20,20,20,16,0,44,0.0,1017,20,10,192,14
2019-12-06 12:00:00,22,9,0.0,14.5,4,6,62,01:36 PM,01:40 AM,04:57 AM,07:24 PM,9,22,24,22,14,5,43,0.0,1018,22,10,205,13
2019-12-06 15:00:00,22,9,0.0,14.5,4,6,62,01:36 PM,01:40 AM,04:57 AM,07:24 PM,9,20,20,20,18,0,50,0.0,1017,20,10,189,15
2019-12-06 18:00:00,22,9,0.0,14.5,4,1,62,01:36 PM,01:40 AM,04:57 AM,07:24 PM,9,16,18,16,24,14,68,0.0,1018,16,10,186,19
2019-12-06 21:00:00,22,9,0.0,14.5,4,1,62,01:36 PM,01:40 AM,04:57 AM,07:24 PM,8,14,16,14,22,22,91,0.0,1019,14,10,166,11
2019-12-07 00:00:00,21,8,0.0,14.5,5,1,70,02:31 PM,02:06 AM,04:57 AM,07:25 PM,7,8,9,8,14,34,91,0.0,1018,9,10,169,6
