date_time,Kootingal_maxtempC,Kootingal_mintempC,Kootingal_totalSnow_cm,Kootingal_sunHour,Kootingal_uvIndex,Kootingal_uvIndex,Kootingal_moon_illumination,Kootingal_moonrise,Kootingal_moonset,Kootingal_sunrise,Kootingal_sunset,Kootingal_DewPointC,Kootingal_FeelsLikeC,Kootingal_HeatIndexC,Kootingal_WindChillC,Kootingal_WindGustKmph,Kootingal_cloudcover,Kootingal_humidity,Kootingal_precipMM,Kootingal_pressure,Kootingal_tempC,Kootingal_visibility,Kootingal_winddirDegree,Kootingal_windspeedKmph
2019-12-04 00:00:00,28,12,0.0,14.0,6,1,48,11:25 AM,12:09 AM,04:44 AM,06:47 PM,2,16,16,16,9,2,45,0.0,1011,15,10,294,4
2019-12-04 03:00:00,28,12,0.0,14.0,6,1,48,11:25 AM,12:09 AM,04:44 AM,06:47 PM,2,13,12,13,8,1,50,0.0,1011,12,10,108,4
2019-12-04 06:00:00,28,12,0.0,14.0,6,1,48,11:25 AM,12:09 AM,04:44 AM,06:47 PM,4,15,15,15,7,0,46,0.0,1012,15,10,224,5
2019-12-04 09:00:00,28,12,0.0,14.0,6,6,48,11:25 AM,12:09 AM,04:44 AM,06:47 PM,4,21,21,21,14,0,32,0.0,1012,21,10,279,12
2019-12-04 12:00:00,28,12,0.0,14.0,6,7,48,11:25 AM,12:09 AM,04:44 AM,06:47 PM,2,25,25,27,22,0,20,0.0,1010,27,10,262,19
2019-12-04 15:00:00,28,12,0.0,14.0,6,7,48,11:25 AM,12:09 AM,04:44 AM,06:47 PM,0,26,26,28,24,0,17,0.0,1009,28,10,256,21
2019-12-04 18:00:00,28,12,0.0,14.0,6,1,48,11:25 AM,12:09 AM,04:44 AM,06:47 PM,-1,28,28,26,24,0,21,0.0,1010,26,10,246,15
2019-12-04 21:00:00,28,12,0.0,14.0,6,1,48,11:25 AM,12:09 AM,04:44 AM,06:47 PM,-1,28,28,24,15,0,27,0.0,1012,24,10,265,7
2019-12-05 00:00:00,31,12,0.0,14.0,7,1,55,12:18 PM,12:42 AM,04:44 AM,06:48 PM,-1,17,18,17,5,0,34,0.0,1013,17,10,281,2
2019-12-05 03:00:00,31,12,0.0,14.0,7,1,55,12:18 PM,12:42 AM,04:44 AM,06:48 PM,-0,13,13,13,5,0,40,0.0,1013,13,10,116,3
2019-12-05 06:00:00,31,12,0.0,14.0,7,1,55,12:18 PM,12:42 AM,04:44 AM,06:48 PM,1,16,16,16,4,0,38,0.0,1013,16,10,29,3
2019-12-05 09:00:00,31,12,0.0,14.0,7,6,55,12:18 PM,12:42 AM,04:44 AM,06:48 PM,2,22,22,22,8,0,27,0.0,1013,22,10,189,7
2019-12-05 12:00:00,31,12,0.0,14.0,7,7,55,12:18 PM,12:42 AM,04:44 AM,06:48 PM,3,26,26,27,13,0,20,0.0,1011,27,10,266,11
2019-12-05 15:00:00,31,12,0.0,14.0,7,7,55,12:18 PM,12:42 AM,04:44 AM,06:48 PM,3,28,28,30,18,2,18,0.0,1009,30,10,254,15
2019-12-05 18:00:00,31,12,0.0,14.0,7,1,55,12:18 PM,12:42 AM,04:44 AM,06:48 PM,2,30,30,29,17,3,22,0.0,1009,29,10,248,10
2019-12-05 21:00:00,31,12,0.0,14.0,7,1,55,12:18 PM,12:42 AM,04:44 AM,06:48 PM,1,30,30,26,15,3,27,0.0,1010,26,10,90,7
2019-12-06 00:00:00,33,16,0.0,14.1,7,1,62,01:12 PM,01:12 AM,04:44 AM,06:49 PM,1,20,21,20,8,3,31,0.0,1010,20,10,89,4
2019-12-06 03:00:00,33,16,0.0,14.1,7,1,62,01:12 PM,01:12 AM,04:44 AM,06:49 PM,1,16,16,16,8,9,35,0.0,1010,16,10,73,4
2019-12-06 06:00:00,33,16,0.0,14.1,7,1,62,01:12 PM,01:12 AM,04:44 AM,06:49 PM,3,19,19,19,8,24,34,0.0,1010,19,10,33,5
2019-12-06 09:00:00,33,16,0.0,14.1,7,7,62,01:12 PM,01:12 AM,04:44 AM,06:49 PM,3,25,25,27,13,14,23,0.0,1010,27,10,204,11
2019-12-06 12:00:00,33,16,0.0,14.1,7,8,62,01:12 PM,01:12 AM,04:44 AM,06:49 PM,2,30,30,32,21,4,15,0.0,1008,32,10,284,18
2019-12-06 15:00:00,33,16,0.0,14.1,7,8,62,01:12 PM,01:12 AM,04:44 AM,06:49 PM,3,30,30,33,28,3,15,0.0,1006,33,10,265,24
2019-12-06 18:00:00,33,16,0.0,14.1,7,1,62,01:12 PM,01:12 AM,04:44 AM,06:49 PM,5,33,33,31,29,4,23,0.0,1008,31,10,238,18
2019-12-06 21:00:00,33,16,0.0,14.1,7,1,62,01:12 PM,01:12 AM,04:44 AM,06:49 PM,4,33,33,29,15,4,30,0.0,1010,29,10,186,7
2019-12-07 00:00:00,32,16,0.0,14.1,7,1,70,02:05 PM,01:42 AM,04:44 AM,06:49 PM,3,21,23,21,7,4,34,0.0,1011,21,10,115,3
2019-12-07 03:00:00,32,16,0.0,14.1,7,1,70,02:05 PM,01:42 AM,04:44 AM,06:49 PM,2,16,16,16,8,3,37,0.0,1011,16,10,96,4
2019-12-07 06:00:00,32,16,0.0,14.1,7,1,70,02:05 PM,01:42 AM,04:44 AM,06:49 PM,3,19,19,19,6,1,34,0.0,1012,19,10,131,4
2019-12-07 09:00:00,32,16,0.0,14.1,7,7,70,02:05 PM,01:42 AM,04:44 AM,06:49 PM,3,25,25,26,6,0,23,0.0,1012,26,10,210,5
2019-12-07 12:00:00,32,16,0.0,14.1,7,8,70,02:05 PM,01:42 AM,04:44 AM,06:49 PM,1,29,29,31,10,0,15,0.0,1011,31,10,249,9
2019-12-07 15:00:00,32,16,0.0,14.1,7,8,70,02:05 PM,01:42 AM,04:44 AM,06:49 PM,-0,30,30,32,13,2,12,0.0,1009,32,10,250,11
2019-12-07 18:00:00,32,16,0.0,14.1,7,1,70,02:05 PM,01:42 AM,04:44 AM,06:49 PM,0,32,32,30,19,2,17,0.0,1011,30,10,241,11
