date_time,Koumac_maxtempC,Koumac_mintempC,Koumac_totalSnow_cm,Koumac_sunHour,Koumac_uvIndex,Koumac_uvIndex,Koumac_moon_illumination,Koumac_moonrise,Koumac_moonset,Koumac_sunrise,Koumac_sunset,Koumac_DewPointC,Koumac_FeelsLikeC,Koumac_HeatIndexC,Koumac_WindChillC,Koumac_WindGustKmph,Koumac_cloudcover,Koumac_humidity,Koumac_precipMM,Koumac_pressure,Koumac_tempC,Koumac_visibility,Koumac_winddirDegree,Koumac_windspeedKmph
2019-12-04 00:00:00,27,23,0.0,9.5,7,1,48,11:42 AM,12:02 AM,05:14 AM,06:32 PM,18,25,25,23,11,2,72,0.0,1013,23,10,90,6
2019-12-04 03:00:00,27,23,0.0,9.5,7,1,48,11:42 AM,12:02 AM,05:14 AM,06:32 PM,19,25,25,23,6,12,77,0.0,1011,23,10,90,4
2019-12-04 06:00:00,27,23,0.0,9.5,7,1,48,11:42 AM,12:02 AM,05:14 AM,06:32 PM,19,26,26,24,5,43,75,0.0,1012,24,10,121,4
2019-12-04 09:00:00,27,23,0.0,9.5,7,6,48,11:42 AM,12:02 AM,05:14 AM,06:32 PM,19,28,28,27,6,77,64,0.1,1013,27,10,158,5
2019-12-04 12:00:00,27,23,0.0,9.5,7,6,48,11:42 AM,12:02 AM,05:14 AM,06:32 PM,19,28,28,26,12,63,64,0.1,1012,26,10,231,10
2019-12-04 15:00:00,27,23,0.0,9.5,7,6,48,11:42 AM,12:02 AM,05:14 AM,06:32 PM,19,27,27,26,14,74,66,0.1,1011,26,10,214,10
2019-12-04 18:00:00,27,23,0.0,9.5,7,1,48,11:42 AM,12:02 AM,05:14 AM,06:32 PM,19,27,27,25,13,62,69,0.2,1012,25,10,181,9
2019-12-04 21:00:00,27,23,0.0,9.5,7,1,48,11:42 AM,12:02 AM,05:14 AM,06:32 PM,19,26,26,24,16,75,76,0.4,1013,24,9,154,10
2019-12-05 00:00:00,27,23,0.0,13.2,6,1,55,12:31 PM,12:38 AM,05:14 AM,06:32 PM,19,25,25,23,16,79,78,0.4,1013,23,9,134,10
2019-12-05 03:00:00,27,23,0.0,13.2,6,1,55,12:31 PM,12:38 AM,05:14 AM,06:32 PM,19,25,25,23,12,68,78,0.2,1011,23,10,131,8
2019-12-05 06:00:00,27,23,0.0,13.2,6,1,55,12:31 PM,12:38 AM,05:14 AM,06:32 PM,19,26,26,25,9,57,72,0.2,1012,25,9,139,6
2019-12-05 09:00:00,27,23,0.0,13.2,6,6,55,12:31 PM,12:38 AM,05:14 AM,06:32 PM,19,28,28,27,10,42,63,0.0,1013,27,10,171,8
2019-12-05 12:00:00,27,23,0.0,13.2,6,7,55,12:31 PM,12:38 AM,05:14 AM,06:32 PM,19,28,28,27,17,72,63,0.1,1012,27,10,196,14
2019-12-05 15:00:00,27,23,0.0,13.2,6,7,55,12:31 PM,12:38 AM,05:14 AM,06:32 PM,19,27,27,26,18,47,64,0.0,1011,26,10,183,14
2019-12-05 18:00:00,27,23,0.0,13.2,6,1,55,12:31 PM,12:38 AM,05:14 AM,06:32 PM,19,26,26,25,24,25,71,0.0,1012,25,10,164,17
2019-12-05 21:00:00,27,23,0.0,13.2,6,1,55,12:31 PM,12:38 AM,05:14 AM,06:32 PM,20,26,26,24,24,48,79,0.0,1013,24,10,147,15
2019-12-06 00:00:00,26,23,0.0,10.7,6,1,62,01:20 PM,01:13 AM,05:14 AM,06:33 PM,20,25,25,23,18,81,80,0.1,1012,23,10,132,12
2019-12-06 03:00:00,26,23,0.0,10.7,6,1,62,01:20 PM,01:13 AM,05:14 AM,06:33 PM,20,25,25,23,12,77,80,0.1,1011,23,10,114,8
2019-12-06 06:00:00,26,23,0.0,10.7,6,1,62,01:20 PM,01:13 AM,05:14 AM,06:33 PM,19,26,26,24,8,70,74,0.1,1012,24,10,112,6
2019-12-06 09:00:00,26,23,0.0,10.7,6,6,62,01:20 PM,01:13 AM,05:14 AM,06:33 PM,19,28,28,26,9,48,65,0.0,1013,26,10,174,8
2019-12-06 12:00:00,26,23,0.0,10.7,6,6,62,01:20 PM,01:13 AM,05:14 AM,06:33 PM,20,27,27,26,14,79,69,0.1,1012,26,10,195,11
2019-12-06 15:00:00,26,23,0.0,10.7,6,6,62,01:20 PM,01:13 AM,05:14 AM,06:33 PM,20,26,26,25,18,84,74,0.0,1011,25,10,167,13
2019-12-06 18:00:00,26,23,0.0,10.7,6,1,62,01:20 PM,01:13 AM,05:14 AM,06:33 PM,20,26,26,24,24,53,78,0.0,1012,24,10,152,16
2019-12-06 21:00:00,26,23,0.0,10.7,6,1,62,01:20 PM,01:13 AM,05:14 AM,06:33 PM,20,25,25,23,21,65,82,0.0,1013,23,10,139,13
2019-12-07 00:00:00,28,23,0.0,13.2,6,1,70,02:08 PM,01:47 AM,05:14 AM,06:34 PM,20,25,25,23,12,78,84,0.1,1013,23,10,105,7
2019-12-07 03:00:00,28,23,0.0,13.2,6,1,70,02:08 PM,01:47 AM,05:14 AM,06:34 PM,20,25,25,23,8,72,83,0.1,1012,23,10,79,5
2019-12-07 06:00:00,28,23,0.0,13.2,6,1,70,02:08 PM,01:47 AM,05:14 AM,06:34 PM,19,26,26,24,9,51,76,0.1,1012,24,10,113,6
2019-12-07 09:00:00,28,23,0.0,13.2,6,7,70,02:08 PM,01:47 AM,05:14 AM,06:34 PM,19,28,28,27,9,2,63,0.0,1013,27,10,167,8
2019-12-07 12:00:00,28,23,0.0,13.2,6,7,70,02:08 PM,01:47 AM,05:14 AM,06:34 PM,20,29,29,28,14,5,63,0.0,1013,28,10,212,12
2019-12-07 15:00:00,28,23,0.0,13.2,6,7,70,02:08 PM,01:47 AM,05:14 AM,06:34 PM,20,28,28,27,16,4,68,0.0,1012,27,10,199,13
2019-12-07 18:00:00,28,23,0.0,13.2,6,1,70,02:08 PM,01:47 AM,05:14 AM,06:34 PM,21,27,27,25,17,6,76,0.0,1013,25,10,168,12
2019-12-07 21:00:00,28,23,0.0,13.2,6,1,70,02:08 PM,01:47 AM,05:14 AM,06:34 PM,21,26,26,24,19,14,85,0.0,1014,24,10,150,12
2019-12-08 00:00:00,27,24,0.0,8.2,7,1,77,02:58 PM,02:20 AM,05:15 AM,06:34 PM,22,26,26,24,17,26,88,0.0,1014,24,10,140,11
2019-12-08 03:00:00,27,24,0.0,8.2,7,1,77,02:58 PM,02:20 AM,05:15 AM,06:34 PM,22,26,26,24,11,38,86,0.2,1013,24,10,121,7
2019-12-08 06:00:00,27,24,0.0,8.2,7,1,77,02:58 PM,02:20 AM,05:15 AM,06:34 PM,21,27,27,25,9,74,79,1.2,1014,25,9,100,6
2019-12-08 09:00:00,27,24,0.0,8.2,7,6,77,02:58 PM,02:20 AM,05:15 AM,06:34 PM,20,29,29,27,10,81,67,4.2,1015,27,7,114,6
2019-12-08 12:00:00,27,24,0.0,8.2,7,6,77,02:58 PM,02:20 AM,05:15 AM,06:34 PM,21,29,29,27,17,81,72,7.1,1015,27,4,181,9
2019-12-08 15:00:00,27,24,0.0,8.2,7,6,77,02:58 PM,02:20 AM,05:15 AM,06:34 PM,22,29,29,27,26,82,77,5.3,1014,27,7,171,14
2019-12-08 18:00:00,27,24,0.0,8.2,7,1,77,02:58 PM,02:20 AM,05:15 AM,06:34 PM,22,28,28,26,28,81,79,4.3,1015,26,8,156,15
2019-12-08 21:00:00,27,24,0.0,8.2,7,1,77,02:58 PM,02:20 AM,05:15 AM,06:34 PM,22,27,27,25,21,78,83,1.5,1016,25,10,149,13
2019-12-09 00:00:00,27,24,0.0,8.3,6,1,84,03:49 PM,02:56 AM,05:15 AM,06:35 PM,22,27,27,25,23,67,85,2.0,1015,25,9,151,14
2019-12-09 03:00:00,27,24,0.0,8.3,6,1,84,03:49 PM,02:56 AM,05:15 AM,06:35 PM,23,28,28,25,28,60,86,3.2,1014,25,9,144,17
2019-12-09 06:00:00,27,24,0.0,8.3,6,1,84,03:49 PM,02:56 AM,05:15 AM,06:35 PM,23,29,29,26,20,68,82,4.0,1015,26,8,134,11
2019-12-09 09:00:00,27,24,0.0,8.3,6,6,84,03:49 PM,02:56 AM,05:15 AM,06:35 PM,23,30,30,27,10,74,77,1.1,1016,27,8,137,8
2019-12-09 12:00:00,27,24,0.0,8.3,6,6,84,03:49 PM,02:56 AM,05:15 AM,06:35 PM,23,31,31,27,22,69,76,3.3,1015,27,7,167,13
2019-12-09 15:00:00,27,24,0.0,8.3,6,6,84,03:49 PM,02:56 AM,05:15 AM,06:35 PM,22,30,30,27,32,65,75,6.1,1014,27,6,166,17
2019-12-09 18:00:00,27,24,0.0,8.3,6,1,84,03:49 PM,02:56 AM,05:15 AM,06:35 PM,22,28,28,26,32,85,80,6.4,1014,26,5,156,17
2019-12-09 21:00:00,27,24,0.0,8.3,6,1,84,03:49 PM,02:56 AM,05:15 AM,06:35 PM,22,27,27,25,22,88,84,1.3,1016,25,9,148,15
2019-12-10 00:00:00,27,23,0.0,9.5,6,1,92,04:43 PM,03:33 AM,05:15 AM,06:36 PM,22,27,27,25,15,86,86,1.0,1015,25,9,131,10
2019-12-10 03:00:00,27,23,0.0,9.5,6,1,92,04:43 PM,03:33 AM,05:15 AM,06:36 PM,22,27,27,25,8,73,86,0.3,1013,25,9,119,5
2019-12-10 06:00:00,27,23,0.0,9.5,6,1,92,04:43 PM,03:33 AM,05:15 AM,06:36 PM,22,27,27,25,11,62,84,0.3,1014,25,10,134,9
2019-12-10 09:00:00,27,23,0.0,9.5,6,6,92,04:43 PM,03:33 AM,05:15 AM,06:36 PM,22,29,29,27,13,88,75,0.1,1014,27,10,145,12
2019-12-10 12:00:00,27,23,0.0,9.5,6,6,92,04:43 PM,03:33 AM,05:15 AM,06:36 PM,21,30,30,27,19,95,71,0.1,1014,27,10,173,17
2019-12-10 15:00:00,27,23,0.0,9.5,6,6,92,04:43 PM,03:33 AM,05:15 AM,06:36 PM,21,28,28,26,22,85,71,0.1,1012,26,10,172,19
2019-12-10 18:00:00,27,23,0.0,9.5,6,1,92,04:43 PM,03:33 AM,05:15 AM,06:36 PM,20,27,27,25,26,56,73,0.1,1012,25,10,161,20
2019-12-10 21:00:00,27,23,0.0,9.5,6,1,92,04:43 PM,03:33 AM,05:15 AM,06:36 PM,20,25,25,23,30,8,81,0.0,1014,23,10,152,22
2019-12-11 00:00:00,25,22,0.0,13.2,6,1,99,05:39 PM,04:14 AM,05:15 AM,06:36 PM,20,25,25,23,27,25,83,0.0,1013,23,10,145,20
2019-12-11 03:00:00,25,22,0.0,13.2,6,1,99,05:39 PM,04:14 AM,05:15 AM,06:36 PM,20,25,25,23,19,36,83,0.0,1012,23,10,143,15
2019-12-11 06:00:00,25,22,0.0,13.2,6,1,99,05:39 PM,04:14 AM,05:15 AM,06:36 PM,19,25,25,23,15,55,80,0.0,1012,23,10,147,12
2019-12-11 09:00:00,25,22,0.0,13.2,6,6,99,05:39 PM,04:14 AM,05:15 AM,06:36 PM,19,26,26,24,13,36,71,0.0,1013,24,10,165,11
2019-12-11 12:00:00,25,22,0.0,13.2,6,6,99,05:39 PM,04:14 AM,05:15 AM,06:36 PM,18,26,26,25,18,0,67,0.0,1012,25,10,178,15
2019-12-11 15:00:00,25,22,0.0,13.2,6,6,99,05:39 PM,04:14 AM,05:15 AM,06:36 PM,17,26,26,25,22,0,65,0.0,1011,25,10,176,18
2019-12-11 18:00:00,25,22,0.0,13.2,6,1,99,05:39 PM,04:14 AM,05:15 AM,06:36 PM,17,25,25,23,25,0,67,0.0,1011,23,10,161,18
2019-12-11 21:00:00,25,22,0.0,13.2,6,1,99,05:39 PM,04:14 AM,05:15 AM,06:36 PM,17,25,25,22,27,2,72,0.0,1013,22,10,142,17
2019-12-12 00:00:00,25,22,0.0,12.0,6,1,100,06:37 PM,05:00 AM,05:16 AM,06:37 PM,17,22,25,22,14,8,73,0.0,1012,22,10,96,9
2019-12-12 03:00:00,25,22,0.0,12.0,6,1,100,06:37 PM,05:00 AM,05:16 AM,06:37 PM,17,22,25,22,5,31,73,0.0,1011,22,10,51,3
2019-12-12 06:00:00,25,22,0.0,12.0,6,1,100,06:37 PM,05:00 AM,05:16 AM,06:37 PM,17,25,25,23,6,47,70,0.1,1011,23,10,104,5
2019-12-12 09:00:00,25,22,0.0,12.0,6,6,100,06:37 PM,05:00 AM,05:16 AM,06:37 PM,17,26,26,25,9,13,62,0.0,1012,25,10,156,8
2019-12-12 12:00:00,25,22,0.0,12.0,6,5,100,06:37 PM,05:00 AM,05:16 AM,06:37 PM,17,26,26,25,10,55,61,0.0,1012,25,10,183,9
2019-12-12 15:00:00,25,22,0.0,12.0,6,5,100,06:37 PM,05:00 AM,05:16 AM,06:37 PM,16,25,25,24,13,79,63,0.1,1010,24,10,192,9
2019-12-12 18:00:00,25,22,0.0,12.0,6,1,100,06:37 PM,05:00 AM,05:16 AM,06:37 PM,17,25,25,23,18,71,68,0.1,1011,23,10,154,12
2019-12-12 21:00:00,25,22,0.0,12.0,6,1,100,06:37 PM,05:00 AM,05:16 AM,06:37 PM,17,25,25,23,15,79,72,0.2,1013,23,10,128,9
2019-12-13 00:00:00,25,22,0.0,10.8,5,1,87,07:36 PM,05:51 AM,05:16 AM,06:37 PM,17,25,25,22,9,70,72,0.3,1012,22,9,77,6
2019-12-13 03:00:00,25,22,0.0,10.8,5,1,87,07:36 PM,05:51 AM,05:16 AM,06:37 PM,17,25,25,22,9,75,73,0.2,1011,22,9,36,6
2019-12-13 06:00:00,25,22,0.0,10.8,5,1,87,07:36 PM,05:51 AM,05:16 AM,06:37 PM,17,25,25,23,7,59,70,0.2,1011,23,10,75,5
2019-12-13 09:00:00,25,22,0.0,10.8,5,6,87,07:36 PM,05:51 AM,05:16 AM,06:37 PM,17,26,26,25,8,22,61,0.0,1012,25,10,136,6
2019-12-13 12:00:00,25,22,0.0,10.8,5,5,87,07:36 PM,05:51 AM,05:16 AM,06:37 PM,17,26,26,25,13,60,62,0.1,1012,25,10,191,10
2019-12-13 15:00:00,25,22,0.0,10.8,5,5,87,07:36 PM,05:51 AM,05:16 AM,06:37 PM,17,25,25,24,13,79,69,0.3,1011,24,10,169,9
2019-12-13 18:00:00,25,22,0.0,10.8,5,1,87,07:36 PM,05:51 AM,05:16 AM,06:37 PM,18,25,25,23,10,74,72,0.4,1011,23,9,120,6
2019-12-13 21:00:00,25,22,0.0,10.8,5,1,87,07:36 PM,05:51 AM,05:16 AM,06:37 PM,18,25,25,23,7,72,74,0.3,1013,23,10,90,5
2019-12-14 00:00:00,26,22,0.0,9.5,5,1,79,08:34 PM,06:46 AM,05:16 AM,06:38 PM,18,25,25,22,5,80,75,0.6,1012,22,10,86,3
2019-12-14 03:00:00,26,22,0.0,9.5,5,1,79,08:34 PM,06:46 AM,05:16 AM,06:38 PM,18,25,25,23,7,84,75,0.8,1011,23,10,68,5
2019-12-14 06:00:00,26,22,0.0,9.5,5,1,79,08:34 PM,06:46 AM,05:16 AM,06:38 PM,18,25,25,23,8,68,72,0.6,1011,23,10,68,6
