date_time,Kununurra_maxtempC,Kununurra_mintempC,Kununurra_totalSnow_cm,Kununurra_sunHour,Kununurra_uvIndex,Kununurra_uvIndex,Kununurra_moon_illumination,Kununurra_moonrise,Kununurra_moonset,Kununurra_sunrise,Kununurra_sunset,Kununurra_DewPointC,Kununurra_FeelsLikeC,Kununurra_HeatIndexC,Kununurra_WindChillC,Kununurra_WindGustKmph,Kununurra_cloudcover,Kununurra_humidity,Kununurra_precipMM,Kununurra_pressure,Kununurra_tempC,Kununurra_visibility,Kununurra_winddirDegree,Kununurra_windspeedKmph
2019-12-04 00:00:00,41,29,0.0,11.6,9,1,48,11:14 AM,12:00 AM,04:45 AM,05:46 PM,22,34,34,30,17,6,62,0.0,1009,30,10,334,13
2019-12-04 03:00:00,41,29,0.0,11.6,9,1,48,11:14 AM,12:00 AM,04:45 AM,05:46 PM,22,33,33,30,3,2,65,0.0,1009,30,10,333,2
2019-12-04 06:00:00,41,29,0.0,11.6,9,8,48,11:14 AM,12:00 AM,04:45 AM,05:46 PM,21,34,34,31,4,1,57,0.0,1010,31,10,266,3
2019-12-04 09:00:00,41,29,0.0,11.6,9,9,48,11:14 AM,12:00 AM,04:45 AM,05:46 PM,16,37,37,36,10,3,32,0.0,1011,36,10,116,9
2019-12-04 12:00:00,41,29,0.0,11.6,9,9,48,11:14 AM,12:00 AM,04:45 AM,05:46 PM,12,40,40,40,15,7,19,0.0,1009,40,10,57,13
2019-12-04 15:00:00,41,29,0.0,11.6,9,10,48,11:14 AM,12:00 AM,04:45 AM,05:46 PM,11,41,41,40,16,7,19,0.0,1007,40,10,54,14
2019-12-04 18:00:00,41,29,0.0,11.6,9,1,48,11:14 AM,12:00 AM,04:45 AM,05:46 PM,17,38,38,36,22,5,32,0.0,1008,36,10,113,18
2019-12-04 21:00:00,41,29,0.0,11.6,9,1,48,11:14 AM,12:00 AM,04:45 AM,05:46 PM,19,35,35,33,18,2,45,0.0,1010,33,10,314,13
2019-12-05 00:00:00,42,29,0.0,11.6,9,1,55,12:01 PM,No moonset,04:45 AM,05:46 PM,19,33,33,31,13,0,50,0.0,1010,31,10,296,9
2019-12-05 03:00:00,42,29,0.0,11.6,9,1,55,12:01 PM,No moonset,04:45 AM,05:46 PM,19,32,32,30,11,0,51,0.0,1010,30,10,264,6
2019-12-05 06:00:00,42,29,0.0,11.6,9,8,55,12:01 PM,No moonset,04:45 AM,05:46 PM,18,33,33,32,13,0,47,0.0,1011,32,10,227,8
2019-12-05 09:00:00,42,29,0.0,11.6,9,9,55,12:01 PM,No moonset,04:45 AM,05:46 PM,16,38,38,37,13,2,30,0.0,1011,37,10,171,11
2019-12-05 12:00:00,42,29,0.0,11.6,9,10,55,12:01 PM,No moonset,04:45 AM,05:46 PM,10,40,40,40,14,6,16,0.0,1009,40,10,79,13
2019-12-05 15:00:00,42,29,0.0,11.6,9,10,55,12:01 PM,No moonset,04:45 AM,05:46 PM,8,42,42,41,18,5,13,0.0,1007,41,10,123,15
2019-12-05 18:00:00,42,29,0.0,11.6,9,1,55,12:01 PM,No moonset,04:45 AM,05:46 PM,11,41,41,40,17,4,22,0.0,1007,40,10,190,13
2019-12-05 21:00:00,42,29,0.0,11.6,9,1,55,12:01 PM,No moonset,04:45 AM,05:46 PM,17,40,40,37,22,2,38,0.0,1009,37,10,305,15
2019-12-06 00:00:00,43,29,0.0,11.6,10,1,62,12:48 PM,12:36 AM,04:45 AM,05:47 PM,18,36,36,33,18,0,45,0.0,1009,33,10,275,11
2019-12-06 03:00:00,43,29,0.0,11.6,10,1,62,12:48 PM,12:36 AM,04:45 AM,05:47 PM,20,32,32,30,15,0,54,0.0,1008,30,10,256,9
2019-12-06 06:00:00,43,29,0.0,11.6,10,8,62,12:48 PM,12:36 AM,04:45 AM,05:47 PM,19,33,33,32,15,0,48,0.0,1009,32,10,226,9
2019-12-06 09:00:00,43,29,0.0,11.6,10,9,62,12:48 PM,12:36 AM,04:45 AM,05:47 PM,13,39,39,38,13,1,24,0.0,1009,38,10,165,11
2019-12-06 12:00:00,43,29,0.0,11.6,10,10,62,12:48 PM,12:36 AM,04:45 AM,05:47 PM,7,43,43,42,15,3,12,0.0,1007,42,10,95,13
