date_time,Kusi_maxtempC,Kusi_mintempC,Kusi_totalSnow_cm,Kusi_sunHour,Kusi_uvIndex,Kusi_uvIndex,Kusi_moon_illumination,Kusi_moonrise,Kusi_moonset,Kusi_sunrise,Kusi_sunset,Kusi_DewPointC,Kusi_FeelsLikeC,Kusi_HeatIndexC,Kusi_WindChillC,Kusi_WindGustKmph,Kusi_cloudcover,Kusi_humidity,Kusi_precipMM,Kusi_pressure,Kusi_tempC,Kusi_visibility,Kusi_winddirDegree,Kusi_windspeedKmph
2019-12-04 00:00:00,5,-3,0.0,8.7,1,1,48,01:36 PM,No moonset,07:49 AM,05:12 PM,5,3,5,3,12,100,89,1.4,1022,4,10,65,5
2019-12-04 03:00:00,5,-3,0.0,8.7,1,1,48,01:36 PM,No moonset,07:49 AM,05:12 PM,2,2,4,2,16,71,85,0.6,1021,4,10,74,8
2019-12-04 06:00:00,5,-3,0.0,8.7,1,1,48,01:36 PM,No moonset,07:49 AM,05:12 PM,-2,-2,1,-2,24,24,82,0.0,1022,1,10,69,12
2019-12-04 09:00:00,5,-3,0.0,8.7,1,2,48,01:36 PM,No moonset,07:49 AM,05:12 PM,-2,-1,3,-1,28,3,71,0.0,1023,3,10,72,14
2019-12-04 12:00:00,5,-3,0.0,8.7,1,2,48,01:36 PM,No moonset,07:49 AM,05:12 PM,-2,2,5,2,29,0,61,0.0,1023,5,10,75,14
2019-12-04 15:00:00,5,-3,0.0,8.7,1,2,48,01:36 PM,No moonset,07:49 AM,05:12 PM,-2,-0,4,-0,31,0,65,0.0,1023,4,10,75,15
2019-12-04 18:00:00,5,-3,0.0,8.7,1,2,48,01:36 PM,No moonset,07:49 AM,05:12 PM,-1,-1,2,-1,28,0,70,0.0,1024,-0,10,76,16
2019-12-04 21:00:00,5,-3,0.0,8.7,1,1,48,01:36 PM,No moonset,07:49 AM,05:12 PM,-0,-3,0,-3,26,2,72,0.0,1026,-3,10,78,17
2019-12-05 00:00:00,11,2,0.0,8.7,3,1,55,02:01 PM,12:44 AM,07:50 AM,05:12 PM,-1,-2,2,-2,29,7,75,0.0,1027,1,10,78,15
2019-12-05 03:00:00,11,2,0.0,8.7,3,1,55,02:01 PM,12:44 AM,07:50 AM,05:12 PM,-2,-2,2,-2,30,6,76,0.0,1026,2,10,78,14
2019-12-05 06:00:00,11,2,0.0,8.7,3,2,55,02:01 PM,12:44 AM,07:50 AM,05:12 PM,-1,-1,2,-1,30,3,77,0.0,1027,2,10,78,14
2019-12-05 09:00:00,11,2,0.0,8.7,3,3,55,02:01 PM,12:44 AM,07:50 AM,05:12 PM,1,4,7,4,21,3,68,0.0,1027,7,10,81,12
2019-12-05 12:00:00,11,2,0.0,8.7,3,3,55,02:01 PM,12:44 AM,07:50 AM,05:12 PM,2,9,10,9,10,31,60,0.0,1026,10,10,102,7
2019-12-05 15:00:00,11,2,0.0,8.7,3,3,55,02:01 PM,12:44 AM,07:50 AM,05:12 PM,3,9,9,9,9,49,64,0.0,1026,9,10,89,5
2019-12-05 18:00:00,11,2,0.0,8.7,3,3,55,02:01 PM,12:44 AM,07:50 AM,05:12 PM,4,7,10,7,9,47,69,0.0,1026,7,10,82,5
2019-12-05 21:00:00,11,2,0.0,8.7,3,1,55,02:01 PM,12:44 AM,07:50 AM,05:12 PM,5,4,8,4,10,42,70,0.0,1027,4,10,79,6
