date_time,Kwikila_maxtempC,Kwikila_mintempC,Kwikila_totalSnow_cm,Kwikila_sunHour,Kwikila_uvIndex,Kwikila_uvIndex,Kwikila_moon_illumination,Kwikila_moonrise,Kwikila_moonset,Kwikila_sunrise,Kwikila_sunset,Kwikila_DewPointC,Kwikila_FeelsLikeC,Kwikila_HeatIndexC,Kwikila_WindChillC,Kwikila_WindGustKmph,Kwikila_cloudcover,Kwikila_humidity,Kwikila_precipMM,Kwikila_pressure,Kwikila_tempC,Kwikila_visibility,Kwikila_winddirDegree,Kwikila_windspeedKmph
2019-12-04 00:00:00,31,26,0.0,11.9,6,1,48,12:01 PM,No moonset,05:40 AM,06:19 PM,24,29,29,26,13,41,89,0.4,1010,26,10,123,9
2019-12-04 03:00:00,31,26,0.0,11.9,6,1,48,12:01 PM,No moonset,05:40 AM,06:19 PM,24,29,29,26,9,19,89,0.0,1008,26,10,108,6
2019-12-04 06:00:00,31,26,0.0,11.9,6,1,48,12:01 PM,No moonset,05:40 AM,06:19 PM,24,30,30,26,5,15,86,0.0,1009,26,10,47,3
2019-12-04 09:00:00,31,26,0.0,11.9,6,7,48,12:01 PM,No moonset,05:40 AM,06:19 PM,23,33,33,29,7,12,72,0.0,1010,29,10,180,6
2019-12-04 12:00:00,31,26,0.0,11.9,6,8,48,12:01 PM,No moonset,05:40 AM,06:19 PM,23,35,35,30,13,55,65,0.1,1009,30,10,228,12
2019-12-04 15:00:00,31,26,0.0,11.9,6,6,48,12:01 PM,No moonset,05:40 AM,06:19 PM,24,34,34,30,15,81,70,0.5,1008,30,10,197,13
2019-12-04 18:00:00,31,26,0.0,11.9,6,6,48,12:01 PM,No moonset,05:40 AM,06:19 PM,24,31,31,27,16,75,85,0.8,1009,27,10,170,11
2019-12-04 21:00:00,31,26,0.0,11.9,6,1,48,12:01 PM,No moonset,05:40 AM,06:19 PM,24,30,30,26,17,81,91,2.0,1011,26,10,152,11
2019-12-05 00:00:00,30,25,0.0,8.0,6,1,55,12:47 PM,12:37 AM,05:40 AM,06:19 PM,24,29,29,26,19,77,91,4.6,1011,26,8,141,10
2019-12-05 03:00:00,30,25,0.0,8.0,6,1,55,12:47 PM,12:37 AM,05:40 AM,06:19 PM,24,28,28,25,22,83,91,8.8,1010,25,4,125,10
2019-12-05 06:00:00,30,25,0.0,8.0,6,1,55,12:47 PM,12:37 AM,05:40 AM,06:19 PM,24,28,28,25,14,84,89,5.3,1010,25,6,91,8
2019-12-05 09:00:00,30,25,0.0,8.0,6,6,55,12:47 PM,12:37 AM,05:40 AM,06:19 PM,24,32,32,28,9,85,79,3.6,1011,28,7,186,5
2019-12-05 12:00:00,30,25,0.0,8.0,6,6,55,12:47 PM,12:37 AM,05:40 AM,06:19 PM,23,34,34,30,13,84,69,1.5,1010,30,9,224,10
2019-12-05 15:00:00,30,25,0.0,8.0,6,6,55,12:47 PM,12:37 AM,05:40 AM,06:19 PM,24,33,33,29,16,77,75,0.9,1009,29,9,186,12
2019-12-05 18:00:00,30,25,0.0,8.0,6,6,55,12:47 PM,12:37 AM,05:40 AM,06:19 PM,24,30,30,27,22,77,86,1.1,1009,27,10,156,14
2019-12-05 21:00:00,30,25,0.0,8.0,6,1,55,12:47 PM,12:37 AM,05:40 AM,06:19 PM,24,29,29,26,26,82,90,1.3,1011,26,9,135,15
2019-12-06 00:00:00,30,24,0.0,12.8,6,1,62,01:32 PM,01:16 AM,05:40 AM,06:20 PM,23,28,28,25,22,34,91,0.5,1011,25,10,128,13
2019-12-06 03:00:00,30,24,0.0,12.8,6,1,62,01:32 PM,01:16 AM,05:40 AM,06:20 PM,23,27,27,24,15,13,91,0.0,1010,24,10,116,9
2019-12-06 06:00:00,30,24,0.0,12.8,6,1,62,01:32 PM,01:16 AM,05:40 AM,06:20 PM,23,27,27,25,8,14,89,0.0,1010,25,10,96,5
2019-12-06 09:00:00,30,24,0.0,12.8,6,7,62,01:32 PM,01:16 AM,05:40 AM,06:20 PM,23,31,31,28,5,26,75,0.0,1011,28,10,171,4
2019-12-06 12:00:00,30,24,0.0,12.8,6,7,62,01:32 PM,01:16 AM,05:40 AM,06:20 PM,22,33,33,30,10,11,63,0.0,1010,30,10,202,9
2019-12-06 15:00:00,30,24,0.0,12.8,6,7,62,01:32 PM,01:16 AM,05:40 AM,06:20 PM,22,33,33,29,14,0,66,0.0,1009,29,10,187,12
2019-12-06 18:00:00,30,24,0.0,12.8,6,7,62,01:32 PM,01:16 AM,05:40 AM,06:20 PM,23,30,30,27,19,12,79,0.0,1010,27,10,163,13
2019-12-06 21:00:00,30,24,0.0,12.8,6,1,62,01:32 PM,01:16 AM,05:40 AM,06:20 PM,23,28,28,25,21,15,86,0.0,1012,25,10,136,13
2019-12-07 00:00:00,30,24,0.0,12.8,7,1,70,02:16 PM,01:54 AM,05:40 AM,06:21 PM,22,27,27,24,19,10,88,0.0,1011,24,10,119,12
2019-12-07 03:00:00,30,24,0.0,12.8,7,1,70,02:16 PM,01:54 AM,05:40 AM,06:21 PM,22,26,26,24,14,5,87,0.0,1011,24,10,104,8
2019-12-07 06:00:00,30,24,0.0,12.8,7,1,70,02:16 PM,01:54 AM,05:40 AM,06:21 PM,21,27,27,25,9,3,81,0.0,1011,25,10,96,6
2019-12-07 09:00:00,30,24,0.0,12.8,7,7,70,02:16 PM,01:54 AM,05:40 AM,06:21 PM,22,32,32,29,8,1,66,0.0,1012,29,10,155,6
2019-12-07 12:00:00,30,24,0.0,12.8,7,8,70,02:16 PM,01:54 AM,05:40 AM,06:21 PM,21,33,33,30,14,0,60,0.0,1010,30,10,185,12
