date_time,Kwinana_maxtempC,Kwinana_mintempC,Kwinana_totalSnow_cm,Kwinana_sunHour,Kwinana_uvIndex,Kwinana_uvIndex,Kwinana_moon_illumination,Kwinana_moonrise,Kwinana_moonset,Kwinana_sunrise,Kwinana_sunset,Kwinana_DewPointC,Kwinana_FeelsLikeC,Kwinana_HeatIndexC,Kwinana_WindChillC,Kwinana_WindGustKmph,Kwinana_cloudcover,Kwinana_humidity,Kwinana_precipMM,Kwinana_pressure,Kwinana_tempC,Kwinana_visibility,Kwinana_winddirDegree,Kwinana_windspeedKmph
2019-12-04 00:00:00,27,21,0.0,14.1,6,1,48,11:50 AM,12:35 AM,05:03 AM,07:11 PM,14,22,25,22,30,31,59,0.0,1012,22,10,165,14
2019-12-04 03:00:00,27,21,0.0,14.1,6,1,48,11:50 AM,12:35 AM,05:03 AM,07:11 PM,13,22,23,22,27,63,59,0.0,1011,22,10,159,13
2019-12-04 06:00:00,27,21,0.0,14.1,6,1,48,11:50 AM,12:35 AM,05:03 AM,07:11 PM,14,22,22,22,20,20,60,0.0,1011,22,10,168,10
2019-12-04 09:00:00,27,21,0.0,14.1,6,7,48,11:50 AM,12:35 AM,05:03 AM,07:11 PM,14,26,26,25,26,33,51,0.0,1012,25,10,183,15
2019-12-04 12:00:00,27,21,0.0,14.1,6,7,48,11:50 AM,12:35 AM,05:03 AM,07:11 PM,15,27,27,27,45,25,48,0.0,1012,27,10,213,24
2019-12-04 15:00:00,27,21,0.0,14.1,6,7,48,11:50 AM,12:35 AM,05:03 AM,07:11 PM,15,26,26,25,59,9,52,0.0,1011,25,10,209,30
2019-12-04 18:00:00,27,21,0.0,14.1,6,1,48,11:50 AM,12:35 AM,05:03 AM,07:11 PM,15,26,26,25,59,10,54,0.0,1011,25,10,198,30
2019-12-04 21:00:00,27,21,0.0,14.1,6,1,48,11:50 AM,12:35 AM,05:03 AM,07:11 PM,14,25,25,23,53,9,54,0.0,1013,23,10,168,25
2019-12-05 00:00:00,29,19,0.0,14.1,7,1,55,12:44 PM,01:07 AM,05:03 AM,07:12 PM,13,25,25,22,37,0,52,0.0,1015,22,10,124,18
2019-12-05 03:00:00,29,19,0.0,14.1,7,1,55,12:44 PM,01:07 AM,05:03 AM,07:12 PM,12,22,23,22,33,1,53,0.0,1014,22,10,138,16
2019-12-05 06:00:00,29,19,0.0,14.1,7,1,55,12:44 PM,01:07 AM,05:03 AM,07:12 PM,12,23,23,22,28,3,53,0.0,1015,22,10,149,14
2019-12-05 09:00:00,29,19,0.0,14.1,7,7,55,12:44 PM,01:07 AM,05:03 AM,07:12 PM,13,27,27,26,18,2,46,0.0,1015,26,10,153,11
2019-12-05 12:00:00,29,19,0.0,14.1,7,7,55,12:44 PM,01:07 AM,05:03 AM,07:12 PM,14,28,28,28,32,0,42,0.0,1013,28,10,215,18
2019-12-05 15:00:00,29,19,0.0,14.1,7,7,55,12:44 PM,01:07 AM,05:03 AM,07:12 PM,15,27,27,26,58,0,50,0.0,1011,26,10,207,28
2019-12-05 18:00:00,29,19,0.0,14.1,7,1,55,12:44 PM,01:07 AM,05:03 AM,07:12 PM,15,26,26,24,65,0,51,0.0,1010,24,10,186,31
2019-12-05 21:00:00,29,19,0.0,14.1,7,1,55,12:44 PM,01:07 AM,05:03 AM,07:12 PM,13,21,24,21,50,1,46,0.0,1011,21,10,149,24
2019-12-06 00:00:00,28,21,0.0,14.1,7,1,62,01:38 PM,01:37 AM,05:03 AM,07:13 PM,11,21,23,21,42,2,42,0.0,1011,21,10,105,20
2019-12-06 03:00:00,28,21,0.0,14.1,7,1,62,01:38 PM,01:37 AM,05:03 AM,07:13 PM,12,26,26,25,56,4,43,0.0,1009,25,10,85,27
2019-12-06 06:00:00,28,21,0.0,14.1,7,1,62,01:38 PM,01:37 AM,05:03 AM,07:13 PM,13,27,27,27,59,5,43,0.0,1009,27,10,58,31
2019-12-06 09:00:00,28,21,0.0,14.1,7,7,62,01:38 PM,01:37 AM,05:03 AM,07:13 PM,15,28,28,28,40,16,44,0.0,1008,28,10,123,22
2019-12-06 12:00:00,28,21,0.0,14.1,7,7,62,01:38 PM,01:37 AM,05:03 AM,07:13 PM,15,29,29,28,28,38,45,0.0,1007,28,10,270,15
2019-12-06 15:00:00,28,21,0.0,14.1,7,7,62,01:38 PM,01:37 AM,05:03 AM,07:13 PM,16,28,28,27,33,22,50,0.0,1005,27,10,262,18
2019-12-06 18:00:00,28,21,0.0,14.1,7,1,62,01:38 PM,01:37 AM,05:03 AM,07:13 PM,17,26,26,24,18,10,65,0.0,1006,24,10,244,11
2019-12-06 21:00:00,28,21,0.0,14.1,7,1,62,01:38 PM,01:37 AM,05:03 AM,07:13 PM,17,25,25,22,18,5,75,0.0,1008,22,10,240,9
2019-12-07 00:00:00,22,18,0.0,12.2,6,1,70,02:31 PM,02:05 AM,05:03 AM,07:14 PM,17,21,23,21,25,2,78,0.0,1009,21,10,175,13
2019-12-07 03:00:00,22,18,0.0,12.2,6,1,70,02:31 PM,02:05 AM,05:03 AM,07:14 PM,17,20,20,20,15,8,82,0.0,1008,20,10,135,9
2019-12-07 06:00:00,22,18,0.0,12.2,6,1,70,02:31 PM,02:05 AM,05:03 AM,07:14 PM,16,21,22,21,33,11,76,0.0,1008,21,10,327,21
2019-12-07 09:00:00,22,18,0.0,12.2,6,6,70,02:31 PM,02:05 AM,05:03 AM,07:14 PM,17,25,25,22,37,9,74,0.0,1008,22,10,324,28
2019-12-07 12:00:00,22,18,0.0,12.2,6,5,70,02:31 PM,02:05 AM,05:03 AM,07:14 PM,18,25,25,22,39,41,76,0.2,1009,22,10,287,31
2019-12-07 15:00:00,22,18,0.0,12.2,6,5,70,02:31 PM,02:05 AM,05:03 AM,07:14 PM,15,21,23,21,40,87,71,0.5,1010,21,10,263,31
2019-12-07 18:00:00,22,18,0.0,12.2,6,1,70,02:31 PM,02:05 AM,05:03 AM,07:14 PM,14,20,20,20,37,79,68,0.1,1012,20,10,250,28
2019-12-07 21:00:00,22,18,0.0,12.2,6,1,70,02:31 PM,02:05 AM,05:03 AM,07:14 PM,14,19,19,19,35,77,74,0.3,1014,19,9,223,23
2019-12-08 00:00:00,19,15,0.0,14.1,4,1,77,03:27 PM,02:34 AM,05:03 AM,07:15 PM,14,18,18,18,32,66,80,0.6,1015,18,10,189,21
2019-12-08 03:00:00,19,15,0.0,14.1,4,1,77,03:27 PM,02:34 AM,05:03 AM,07:15 PM,13,16,16,16,28,52,80,0.5,1015,16,9,176,18
2019-12-08 06:00:00,19,15,0.0,14.1,4,1,77,03:27 PM,02:34 AM,05:03 AM,07:15 PM,12,15,16,15,22,31,76,0.0,1017,16,10,173,15
2019-12-08 09:00:00,19,15,0.0,14.1,4,5,77,03:27 PM,02:34 AM,05:03 AM,07:15 PM,12,19,19,19,23,45,64,0.0,1018,19,10,193,19
2019-12-08 12:00:00,19,15,0.0,14.1,4,5,77,03:27 PM,02:34 AM,05:03 AM,07:15 PM,12,19,19,19,31,0,61,0.0,1018,19,10,216,27
2019-12-08 15:00:00,19,15,0.0,14.1,4,5,77,03:27 PM,02:34 AM,05:03 AM,07:15 PM,12,19,19,19,38,0,64,0.0,1018,19,10,216,32
2019-12-08 18:00:00,19,15,0.0,14.1,4,1,77,03:27 PM,02:34 AM,05:03 AM,07:15 PM,13,19,19,19,40,1,67,0.0,1019,19,10,205,30
2019-12-08 21:00:00,19,15,0.0,14.1,4,1,77,03:27 PM,02:34 AM,05:03 AM,07:15 PM,12,18,18,18,43,2,67,0.0,1020,18,10,194,28
2019-12-09 00:00:00,22,15,0.0,14.1,6,1,84,04:23 PM,03:05 AM,05:03 AM,07:15 PM,10,17,17,17,43,1,64,0.0,1021,17,10,170,26
2019-12-09 03:00:00,22,15,0.0,14.1,6,1,84,04:23 PM,03:05 AM,05:03 AM,07:15 PM,9,15,15,15,34,0,66,0.0,1021,15,10,144,19
2019-12-09 06:00:00,22,15,0.0,14.1,6,1,84,04:23 PM,03:05 AM,05:03 AM,07:15 PM,10,16,16,16,23,0,65,0.0,1022,16,10,116,15
2019-12-09 09:00:00,22,15,0.0,14.1,6,5,84,04:23 PM,03:05 AM,05:03 AM,07:15 PM,10,20,21,20,17,0,53,0.0,1022,20,10,136,14
2019-12-09 12:00:00,22,15,0.0,14.1,6,6,84,04:23 PM,03:05 AM,05:03 AM,07:15 PM,12,22,24,22,25,0,55,0.0,1021,22,10,221,21
2019-12-09 15:00:00,22,15,0.0,14.1,6,6,84,04:23 PM,03:05 AM,05:03 AM,07:15 PM,13,21,23,21,36,0,61,0.0,1019,21,10,218,28
2019-12-09 18:00:00,22,15,0.0,14.1,6,1,84,04:23 PM,03:05 AM,05:03 AM,07:15 PM,14,20,20,20,43,1,64,0.0,1019,20,10,195,31
2019-12-09 21:00:00,22,15,0.0,14.1,6,1,84,04:23 PM,03:05 AM,05:03 AM,07:15 PM,14,19,19,19,45,2,69,0.0,1020,19,10,179,27
2019-12-10 00:00:00,26,18,0.0,14.1,6,1,92,05:22 PM,03:38 AM,05:03 AM,07:16 PM,12,18,18,18,42,2,65,0.0,1020,18,10,159,23
2019-12-10 03:00:00,26,18,0.0,14.1,6,1,92,05:22 PM,03:38 AM,05:03 AM,07:16 PM,9,18,18,18,32,19,57,0.0,1019,18,10,139,17
2019-12-10 06:00:00,26,18,0.0,14.1,6,1,92,05:22 PM,03:38 AM,05:03 AM,07:16 PM,9,19,20,19,21,33,53,0.0,1020,19,10,124,13
2019-12-10 09:00:00,26,18,0.0,14.1,6,6,92,05:22 PM,03:38 AM,05:03 AM,07:16 PM,10,25,25,23,18,1,44,0.0,1020,23,10,151,13
2019-12-10 12:00:00,26,18,0.0,14.1,6,7,92,05:22 PM,03:38 AM,05:03 AM,07:16 PM,12,26,26,25,31,2,43,0.0,1018,25,10,209,21
2019-12-10 15:00:00,26,18,0.0,14.1,6,6,92,05:22 PM,03:38 AM,05:03 AM,07:16 PM,13,26,26,25,51,4,49,0.0,1016,25,10,211,30
2019-12-10 18:00:00,26,18,0.0,14.1,6,1,92,05:22 PM,03:38 AM,05:03 AM,07:16 PM,14,25,25,24,61,13,54,0.0,1015,24,10,192,32
2019-12-10 21:00:00,26,18,0.0,14.1,6,1,92,05:22 PM,03:38 AM,05:03 AM,07:16 PM,13,25,25,22,56,11,52,0.0,1016,22,10,157,27
2019-12-11 00:00:00,31,20,0.0,14.1,7,1,99,06:22 PM,04:15 AM,05:03 AM,07:17 PM,9,20,24,20,39,2,41,0.0,1017,20,10,113,20
2019-12-11 03:00:00,31,20,0.0,14.1,7,1,99,06:22 PM,04:15 AM,05:03 AM,07:17 PM,8,21,23,21,32,4,43,0.0,1018,21,10,105,18
2019-12-11 06:00:00,31,20,0.0,14.1,7,1,99,06:22 PM,04:15 AM,05:03 AM,07:17 PM,9,22,22,22,30,5,44,0.0,1018,22,10,99,19
2019-12-11 09:00:00,31,20,0.0,14.1,7,7,99,06:22 PM,04:15 AM,05:03 AM,07:17 PM,12,26,26,26,29,5,41,0.0,1018,26,10,86,18
2019-12-11 12:00:00,31,20,0.0,14.1,7,7,99,06:22 PM,04:15 AM,05:03 AM,07:17 PM,14,30,30,30,24,3,37,0.0,1017,30,10,136,13
2019-12-11 15:00:00,31,20,0.0,14.1,7,7,99,06:22 PM,04:15 AM,05:03 AM,07:17 PM,14,29,29,29,43,4,40,0.0,1015,29,10,209,23
2019-12-11 18:00:00,31,20,0.0,14.1,7,1,99,06:22 PM,04:15 AM,05:03 AM,07:17 PM,14,27,27,26,55,3,43,0.0,1014,26,10,181,26
2019-12-11 21:00:00,31,20,0.0,14.1,7,1,99,06:22 PM,04:15 AM,05:03 AM,07:17 PM,12,27,27,24,47,2,38,0.0,1016,24,10,118,23
2019-12-12 00:00:00,31,21,0.0,14.1,7,1,100,07:24 PM,04:57 AM,05:04 AM,07:18 PM,12,25,25,23,54,3,46,0.0,1017,23,10,96,29
2019-12-12 03:00:00,31,21,0.0,14.1,7,1,100,07:24 PM,04:57 AM,05:04 AM,07:18 PM,12,25,25,22,46,5,52,0.0,1017,22,10,90,27
2019-12-12 06:00:00,31,21,0.0,14.1,7,1,100,07:24 PM,04:57 AM,05:04 AM,07:18 PM,12,25,25,23,40,3,52,0.0,1018,23,10,83,24
2019-12-12 09:00:00,31,21,0.0,14.1,7,7,100,07:24 PM,04:57 AM,05:04 AM,07:18 PM,12,27,27,27,31,0,41,0.0,1018,27,10,69,18
2019-12-12 12:00:00,31,21,0.0,14.1,7,8,100,07:24 PM,04:57 AM,05:04 AM,07:18 PM,13,30,30,30,30,0,34,0.0,1017,30,10,113,15
2019-12-12 15:00:00,31,21,0.0,14.1,7,7,100,07:24 PM,04:57 AM,05:04 AM,07:18 PM,13,29,29,30,46,0,37,0.0,1015,30,10,211,24
2019-12-12 18:00:00,31,21,0.0,14.1,7,1,100,07:24 PM,04:57 AM,05:04 AM,07:18 PM,13,27,27,27,55,0,42,0.0,1015,27,10,180,26
2019-12-12 21:00:00,31,21,0.0,14.1,7,1,100,07:24 PM,04:57 AM,05:04 AM,07:18 PM,11,26,26,26,41,0,41,0.0,1016,26,10,150,20
2019-12-13 00:00:00,31,24,0.0,14.1,7,1,87,08:24 PM,05:46 AM,05:04 AM,07:18 PM,9,25,25,25,33,0,36,0.0,1016,25,10,103,16
2019-12-13 03:00:00,31,24,0.0,14.1,7,1,87,08:24 PM,05:46 AM,05:04 AM,07:18 PM,8,25,25,25,40,0,34,0.0,1015,25,10,68,19
2019-12-13 06:00:00,31,24,0.0,14.1,7,1,87,08:24 PM,05:46 AM,05:04 AM,07:18 PM,9,26,26,26,38,0,34,0.0,1016,26,10,46,18
2019-12-13 09:00:00,31,24,0.0,14.1,7,7,87,08:24 PM,05:46 AM,05:04 AM,07:18 PM,11,28,28,29,26,0,32,0.0,1017,29,10,101,13
2019-12-13 12:00:00,31,24,0.0,14.1,7,8,87,08:24 PM,05:46 AM,05:04 AM,07:18 PM,11,29,29,30,31,0,32,0.0,1015,30,10,248,16
2019-12-13 15:00:00,31,24,0.0,14.1,7,7,87,08:24 PM,05:46 AM,05:04 AM,07:18 PM,12,28,28,29,57,0,37,0.0,1013,29,10,209,27
2019-12-13 18:00:00,31,24,0.0,14.1,7,1,87,08:24 PM,05:46 AM,05:04 AM,07:18 PM,13,27,27,27,55,0,41,0.0,1014,27,10,189,26
2019-12-13 21:00:00,31,24,0.0,14.1,7,1,87,08:24 PM,05:46 AM,05:04 AM,07:18 PM,11,25,25,25,40,0,42,0.0,1014,25,10,165,19
2019-12-14 00:00:00,31,23,0.0,14.2,7,1,79,09:22 PM,06:41 AM,05:04 AM,07:19 PM,10,25,25,24,31,0,40,0.0,1014,24,10,134,15
2019-12-14 03:00:00,31,23,0.0,14.2,7,1,79,09:22 PM,06:41 AM,05:04 AM,07:19 PM,12,25,25,24,28,0,45,0.0,1012,24,10,108,13
2019-12-14 06:00:00,31,23,0.0,14.2,7,1,79,09:22 PM,06:41 AM,05:04 AM,07:19 PM,13,26,26,25,14,0,47,0.0,1012,25,10,55,7
