date_time,Lambasa_maxtempC,Lambasa_mintempC,Lambasa_totalSnow_cm,Lambasa_sunHour,Lambasa_uvIndex,Lambasa_uvIndex,Lambasa_moon_illumination,Lambasa_moonrise,Lambasa_moonset,Lambasa_sunrise,Lambasa_sunset,Lambasa_DewPointC,Lambasa_FeelsLikeC,Lambasa_HeatIndexC,Lambasa_WindChillC,Lambasa_WindGustKmph,Lambasa_cloudcover,Lambasa_humidity,Lambasa_precipMM,Lambasa_pressure,Lambasa_tempC,Lambasa_visibility,Lambasa_winddirDegree,Lambasa_windspeedKmph
2019-12-04 00:00:00,22,9,0.0,11.1,5,1,48,02:08 PM,01:19 AM,07:41 AM,06:51 PM,10,14,14,14,3,5,75,0.0,1016,14,10,330,1
2019-12-04 03:00:00,22,9,0.0,11.1,5,1,48,02:08 PM,01:19 AM,07:41 AM,06:51 PM,9,13,13,13,6,5,79,0.0,1016,13,10,327,3
2019-12-04 06:00:00,22,9,0.0,11.1,5,1,48,02:08 PM,01:19 AM,07:41 AM,06:51 PM,6,10,10,10,8,5,79,0.0,1016,10,10,327,4
2019-12-04 09:00:00,22,9,0.0,11.1,5,4,48,02:08 PM,01:19 AM,07:41 AM,06:51 PM,6,14,14,14,5,5,63,0.0,1017,14,10,326,3
2019-12-04 12:00:00,22,9,0.0,11.1,5,5,48,02:08 PM,01:19 AM,07:41 AM,06:51 PM,7,19,19,19,4,5,45,0.0,1016,19,10,215,3
2019-12-04 15:00:00,22,9,0.0,11.1,5,6,48,02:08 PM,01:19 AM,07:41 AM,06:51 PM,7,21,23,21,5,6,39,0.0,1013,21,10,156,4
2019-12-04 18:00:00,22,9,0.0,11.1,5,6,48,02:08 PM,01:19 AM,07:41 AM,06:51 PM,8,20,23,20,6,50,54,0.1,1013,20,10,85,3
2019-12-04 21:00:00,22,9,0.0,11.1,5,1,48,02:08 PM,01:19 AM,07:41 AM,06:51 PM,12,17,18,17,5,38,79,0.0,1016,17,10,36,3
2019-12-05 00:00:00,23,8,0.0,11.1,5,1,55,02:43 PM,02:06 AM,07:42 AM,06:52 PM,12,14,14,14,8,63,89,0.1,1017,14,10,244,5
2019-12-05 03:00:00,23,8,0.0,11.1,5,1,55,02:43 PM,02:06 AM,07:42 AM,06:52 PM,9,11,12,11,13,38,85,0.0,1017,12,10,347,7
2019-12-05 06:00:00,23,8,0.0,11.1,5,1,55,02:43 PM,02:06 AM,07:42 AM,06:52 PM,5,8,9,8,14,9,81,0.0,1017,9,10,343,7
