date_time,Largs_maxtempC,Largs_mintempC,Largs_totalSnow_cm,Largs_sunHour,Largs_uvIndex,Largs_uvIndex,Largs_moon_illumination,Largs_moonrise,Largs_moonset,Largs_sunrise,Largs_sunset,Largs_DewPointC,Largs_FeelsLikeC,Largs_HeatIndexC,Largs_WindChillC,Largs_WindGustKmph,Largs_cloudcover,Largs_humidity,Largs_precipMM,Largs_pressure,Largs_tempC,Largs_visibility,Largs_winddirDegree,Largs_windspeedKmph
2019-12-04 00:00:00,9,7,0.0,1.8,2,1,48,02:43 PM,No moonset,09:30 AM,04:49 PM,4,4,7,4,33,100,80,0.0,1015,7,10,205,22
2019-12-04 03:00:00,9,7,0.0,1.8,2,1,48,02:43 PM,No moonset,09:30 AM,04:49 PM,5,4,8,4,40,83,83,0.0,1012,8,10,201,27
2019-12-04 06:00:00,9,7,0.0,1.8,2,2,48,02:43 PM,No moonset,09:30 AM,04:49 PM,5,3,8,3,45,76,82,0.0,1011,8,10,199,31
2019-12-04 09:00:00,9,7,0.0,1.8,2,2,48,02:43 PM,No moonset,09:30 AM,04:49 PM,6,4,8,4,41,100,87,1.5,1009,8,9,206,28
2019-12-04 12:00:00,9,7,0.0,1.8,2,2,48,02:43 PM,No moonset,09:30 AM,04:49 PM,6,5,9,5,41,95,85,3.1,1011,9,7,259,28
2019-12-04 15:00:00,9,7,0.0,1.8,2,2,48,02:43 PM,No moonset,09:30 AM,04:49 PM,4,4,8,4,45,85,73,0.1,1011,8,10,251,30
2019-12-04 18:00:00,9,7,0.0,1.8,2,2,48,02:43 PM,No moonset,09:30 AM,04:49 PM,4,4,8,4,49,100,74,0.4,1013,8,10,246,33
2019-12-04 21:00:00,9,7,0.0,1.8,2,1,48,02:43 PM,No moonset,09:30 AM,04:49 PM,3,3,8,3,50,100,74,0.4,1012,8,10,246,32
2019-12-05 00:00:00,12,7,0.0,1.8,2,1,55,02:56 PM,01:06 AM,09:31 AM,04:49 PM,3,3,8,3,53,100,72,0.6,1013,8,10,249,35
2019-12-05 03:00:00,12,7,0.0,1.8,2,1,55,02:56 PM,01:06 AM,09:31 AM,04:49 PM,4,4,8,4,50,100,76,0.2,1010,8,10,242,33
