date_time,Lata_maxtempC,Lata_mintempC,Lata_totalSnow_cm,Lata_sunHour,Lata_uvIndex,Lata_uvIndex,Lata_moon_illumination,Lata_moonrise,Lata_moonset,Lata_sunrise,Lata_sunset,Lata_DewPointC,Lata_FeelsLikeC,Lata_HeatIndexC,Lata_WindChillC,Lata_WindGustKmph,Lata_cloudcover,Lata_humidity,Lata_precipMM,Lata_pressure,Lata_tempC,Lata_visibility,Lata_winddirDegree,Lata_windspeedKmph
2019-12-04 00:00:00,10,3,1.2,7.8,2,1,48,12:41 PM,12:20 AM,05:59 AM,06:10 PM,5,3,6,3,7,73,79,1.0,1011,4,10,8,4
2019-12-04 03:00:00,10,3,1.2,7.8,2,1,48,12:41 PM,12:20 AM,05:59 AM,06:10 PM,4,4,5,4,12,54,92,1.4,1013,5,9,47,6
2019-12-04 06:00:00,10,3,1.2,7.8,2,1,48,12:41 PM,12:20 AM,05:59 AM,06:10 PM,5,4,6,4,14,62,94,0.8,1015,6,8,143,8
2019-12-04 09:00:00,10,3,1.2,7.8,2,2,48,12:41 PM,12:20 AM,05:59 AM,06:10 PM,9,9,10,9,6,78,93,0.9,1014,10,10,161,5
2019-12-04 12:00:00,10,3,1.2,7.8,2,2,48,12:41 PM,12:20 AM,05:59 AM,06:10 PM,7,8,8,8,4,86,91,0.2,1014,8,8,144,3
2019-12-04 15:00:00,10,3,1.2,7.8,2,2,48,12:41 PM,12:20 AM,05:59 AM,06:10 PM,4,6,7,6,12,82,81,0.3,1015,7,6,128,7
2019-12-04 18:00:00,10,3,1.2,7.8,2,2,48,12:41 PM,12:20 AM,05:59 AM,06:10 PM,3,6,8,6,17,80,67,0.6,1015,7,9,126,9
2019-12-04 21:00:00,10,3,1.2,7.8,2,1,48,12:41 PM,12:20 AM,05:59 AM,06:10 PM,3,4,7,4,13,85,68,1.3,1012,4,9,77,7
2019-12-05 00:00:00,10,4,0.0,10.3,2,1,55,01:23 PM,01:02 AM,06:00 AM,06:10 PM,4,4,6,4,6,76,82,2.7,1011,4,9,15,3
2019-12-05 03:00:00,10,4,0.0,10.3,2,1,55,01:23 PM,01:02 AM,06:00 AM,06:10 PM,4,5,5,5,8,62,92,4.2,1014,5,7,68,4
2019-12-05 06:00:00,10,4,0.0,10.3,2,1,55,01:23 PM,01:02 AM,06:00 AM,06:10 PM,5,5,7,5,12,71,92,4.0,1015,7,7,137,6
2019-12-05 09:00:00,10,4,0.0,10.3,2,3,55,01:23 PM,01:02 AM,06:00 AM,06:10 PM,9,9,10,9,8,84,91,4.1,1015,10,8,137,6
2019-12-05 12:00:00,10,4,0.0,10.3,2,2,55,01:23 PM,01:02 AM,06:00 AM,06:10 PM,7,8,8,8,8,81,91,0.5,1015,8,9,119,6
2019-12-05 15:00:00,10,4,0.0,10.3,2,3,55,01:23 PM,01:02 AM,06:00 AM,06:10 PM,4,6,7,6,15,54,81,0.3,1016,7,9,122,9
2019-12-05 18:00:00,10,4,0.0,10.3,2,2,55,01:23 PM,01:02 AM,06:00 AM,06:10 PM,2,7,9,7,23,34,62,0.2,1015,8,10,126,13
2019-12-05 21:00:00,10,4,0.0,10.3,2,1,55,01:23 PM,01:02 AM,06:00 AM,06:10 PM,3,6,8,6,18,77,62,0.7,1012,6,10,111,10
2019-12-06 00:00:00,11,3,2.7,11.7,2,1,62,02:05 PM,01:43 AM,06:00 AM,06:11 PM,4,3,6,3,13,84,78,1.8,1012,4,9,84,6
2019-12-06 03:00:00,11,3,2.7,11.7,2,1,62,02:05 PM,01:43 AM,06:00 AM,06:11 PM,3,3,4,3,15,79,90,3.2,1015,4,6,110,7
2019-12-06 06:00:00,11,3,2.7,11.7,2,1,62,02:05 PM,01:43 AM,06:00 AM,06:11 PM,4,4,5,4,11,78,93,2.7,1017,5,6,150,5
2019-12-06 09:00:00,11,3,2.7,11.7,2,2,62,02:05 PM,01:43 AM,06:00 AM,06:11 PM,8,9,9,9,2,58,95,1.9,1016,9,6,132,1
2019-12-06 12:00:00,11,3,2.7,11.7,2,3,62,02:05 PM,01:43 AM,06:00 AM,06:11 PM,7,9,9,9,3,23,90,0.0,1016,9,5,116,2
2019-12-06 15:00:00,11,3,2.7,11.7,2,2,62,02:05 PM,01:43 AM,06:00 AM,06:11 PM,6,10,10,10,6,38,76,0.0,1017,10,10,133,5
2019-12-06 18:00:00,11,3,2.7,11.7,2,2,62,02:05 PM,01:43 AM,06:00 AM,06:11 PM,3,7,9,7,8,71,69,0.5,1016,8,10,133,4
2019-12-06 21:00:00,11,3,2.7,11.7,2,1,62,02:05 PM,01:43 AM,06:00 AM,06:11 PM,4,6,9,6,10,65,77,2.0,1013,6,9,171,5
2019-12-07 00:00:00,9,4,4.8,8.8,2,1,70,02:46 PM,02:24 AM,06:01 AM,06:11 PM,4,5,6,5,10,58,89,4.6,1013,6,6,342,5
2019-12-07 03:00:00,9,4,4.8,8.8,2,1,70,02:46 PM,02:24 AM,06:01 AM,06:11 PM,4,4,5,4,8,65,92,5.7,1016,5,6,280,4
2019-12-07 06:00:00,9,4,4.8,8.8,2,1,70,02:46 PM,02:24 AM,06:01 AM,06:11 PM,5,5,6,5,9,64,94,3.0,1017,6,6,163,5
2019-12-07 09:00:00,9,4,4.8,8.8,2,3,70,02:46 PM,02:24 AM,06:01 AM,06:11 PM,8,9,9,9,1,63,93,2.3,1016,9,9,133,1
2019-12-07 12:00:00,9,4,4.8,8.8,2,3,70,02:46 PM,02:24 AM,06:01 AM,06:11 PM,6,8,8,8,3,25,88,0.0,1015,8,10,60,2
2019-12-07 15:00:00,9,4,4.8,8.8,2,2,70,02:46 PM,02:24 AM,06:01 AM,06:11 PM,4,7,8,7,8,38,76,0.0,1017,8,10,130,5
2019-12-07 18:00:00,9,4,4.8,8.8,2,2,70,02:46 PM,02:24 AM,06:01 AM,06:11 PM,3,7,9,7,10,76,66,0.5,1016,8,10,128,6
2019-12-07 21:00:00,9,4,4.8,8.8,2,1,70,02:46 PM,02:24 AM,06:01 AM,06:11 PM,4,6,9,6,8,73,72,2.3,1013,6,9,63,4
2019-12-08 00:00:00,9,3,4.3,11.6,2,1,77,03:30 PM,03:06 AM,06:01 AM,06:11 PM,4,5,6,5,12,67,89,5.3,1013,6,7,110,6
2019-12-08 03:00:00,9,3,4.3,11.6,2,1,77,03:30 PM,03:06 AM,06:01 AM,06:11 PM,3,4,4,4,9,63,92,5.0,1014,4,6,325,4
2019-12-08 06:00:00,9,3,4.3,11.6,2,1,77,03:30 PM,03:06 AM,06:01 AM,06:11 PM,4,5,5,5,6,83,93,0.6,1016,5,5,344,4
2019-12-08 09:00:00,9,3,4.3,11.6,2,2,77,03:30 PM,03:06 AM,06:01 AM,06:11 PM,8,8,9,8,5,57,95,0.5,1015,9,4,243,5
2019-12-08 12:00:00,9,3,4.3,11.6,2,3,77,03:30 PM,03:06 AM,06:01 AM,06:11 PM,6,7,7,7,5,30,91,0.0,1015,7,5,57,4
2019-12-08 15:00:00,9,3,4.3,11.6,2,3,77,03:30 PM,03:06 AM,06:01 AM,06:11 PM,3,6,7,6,9,31,77,0.0,1015,7,10,115,5
2019-12-08 18:00:00,9,3,4.3,11.6,2,2,77,03:30 PM,03:06 AM,06:01 AM,06:11 PM,2,7,9,7,14,40,60,0.1,1014,8,10,130,8
2019-12-08 21:00:00,9,3,4.3,11.6,2,1,77,03:30 PM,03:06 AM,06:01 AM,06:11 PM,3,6,9,6,12,83,64,0.8,1011,6,9,82,6
2019-12-09 00:00:00,11,0,0.0,6.1,2,1,84,04:15 PM,03:50 AM,06:01 AM,06:12 PM,4,4,7,4,14,82,83,2.1,1011,5,9,110,7
2019-12-09 03:00:00,11,0,0.0,6.1,2,1,84,04:15 PM,03:50 AM,06:01 AM,06:12 PM,4,4,5,4,11,76,93,2.5,1013,5,8,337,5
2019-12-09 06:00:00,11,0,0.0,6.1,2,1,84,04:15 PM,03:50 AM,06:01 AM,06:12 PM,6,7,7,7,4,58,93,0.9,1014,7,10,275,3
2019-12-09 09:00:00,11,0,0.0,6.1,2,3,84,04:15 PM,03:50 AM,06:01 AM,06:12 PM,10,11,11,11,3,74,94,0.9,1013,11,10,137,3
2019-12-09 12:00:00,11,0,0.0,6.1,2,3,84,04:15 PM,03:50 AM,06:01 AM,06:12 PM,9,10,10,10,4,73,94,0.4,1013,10,10,163,3
2019-12-09 15:00:00,11,0,0.0,6.1,2,2,84,04:15 PM,03:50 AM,06:01 AM,06:12 PM,8,9,10,9,12,70,86,0.4,1015,10,10,151,8
2019-12-09 18:00:00,11,0,0.0,6.1,2,2,84,04:15 PM,03:50 AM,06:01 AM,06:12 PM,4,6,8,6,17,84,70,0.5,1014,7,10,132,10
2019-12-09 21:00:00,11,0,0.0,6.1,2,1,84,04:15 PM,03:50 AM,06:01 AM,06:12 PM,4,3,5,3,10,86,67,2.1,1011,3,8,95,6
2019-12-10 00:00:00,15,6,0.0,10.2,3,1,92,05:04 PM,04:36 AM,06:02 AM,06:12 PM,5,2,4,2,7,80,81,5.3,1011,2,7,49,4
2019-12-10 03:00:00,15,6,0.0,10.2,3,1,92,05:04 PM,04:36 AM,06:02 AM,06:12 PM,5,5,6,5,12,70,92,5.6,1013,6,8,87,6
2019-12-10 06:00:00,15,6,0.0,10.2,3,1,92,05:04 PM,04:36 AM,06:02 AM,06:12 PM,7,7,8,7,14,60,94,0.3,1014,8,10,151,8
2019-12-10 09:00:00,15,6,0.0,10.2,3,2,92,05:04 PM,04:36 AM,06:02 AM,06:12 PM,9,9,10,9,7,67,95,0.1,1013,10,10,160,6
2019-12-10 12:00:00,15,6,0.0,10.2,3,4,92,05:04 PM,04:36 AM,06:02 AM,06:12 PM,9,10,10,10,7,59,92,0.0,1013,10,10,155,6
2019-12-10 15:00:00,15,6,0.0,10.2,3,4,92,05:04 PM,04:36 AM,06:02 AM,06:12 PM,9,12,12,12,8,31,82,0.0,1015,12,10,149,7
2019-12-10 18:00:00,15,6,0.0,10.2,3,3,92,05:04 PM,04:36 AM,06:02 AM,06:12 PM,8,15,15,15,9,32,61,0.1,1014,15,10,139,8
2019-12-10 21:00:00,15,6,0.0,10.2,3,1,92,05:04 PM,04:36 AM,06:02 AM,06:12 PM,8,12,14,12,8,81,61,0.8,1011,12,9,96,6
2019-12-11 00:00:00,16,8,0.0,10.2,3,1,99,05:57 PM,05:26 AM,06:02 AM,06:13 PM,10,10,12,10,8,86,81,2.5,1011,10,9,31,5
2019-12-11 03:00:00,16,8,0.0,10.2,3,1,99,05:57 PM,05:26 AM,06:02 AM,06:13 PM,10,11,11,11,6,87,90,2.9,1014,11,8,96,4
2019-12-11 06:00:00,16,8,0.0,10.2,3,1,99,05:57 PM,05:26 AM,06:02 AM,06:13 PM,9,10,10,10,8,77,93,1.2,1015,10,10,141,6
2019-12-11 09:00:00,16,8,0.0,10.2,3,3,99,05:57 PM,05:26 AM,06:02 AM,06:13 PM,8,9,9,9,4,61,94,0.9,1014,9,10,140,4
2019-12-11 12:00:00,16,8,0.0,10.2,3,3,99,05:57 PM,05:26 AM,06:02 AM,06:13 PM,7,9,9,9,4,37,90,0.0,1014,9,10,137,4
2019-12-11 15:00:00,16,8,0.0,10.2,3,4,99,05:57 PM,05:26 AM,06:02 AM,06:13 PM,8,12,12,12,7,21,78,0.0,1015,12,10,140,6
2019-12-11 18:00:00,16,8,0.0,10.2,3,3,99,05:57 PM,05:26 AM,06:02 AM,06:13 PM,10,14,15,14,7,33,66,0.3,1014,14,10,188,6
2019-12-11 21:00:00,16,8,0.0,10.2,3,1,99,05:57 PM,05:26 AM,06:02 AM,06:13 PM,11,11,13,11,11,81,72,1.4,1011,11,8,290,8
2019-12-12 00:00:00,15,9,0.0,7.4,3,1,100,06:52 PM,06:20 AM,06:03 AM,06:13 PM,11,9,11,9,21,87,89,2.7,1010,10,7,312,13
2019-12-12 03:00:00,15,9,0.0,7.4,3,1,100,06:52 PM,06:20 AM,06:03 AM,06:13 PM,11,11,11,11,14,78,94,2.3,1013,11,8,325,9
2019-12-12 06:00:00,15,9,0.0,7.4,3,1,100,06:52 PM,06:20 AM,06:03 AM,06:13 PM,10,11,11,11,6,70,92,1.6,1015,11,9,239,5
2019-12-12 09:00:00,15,9,0.0,7.4,3,3,100,06:52 PM,06:20 AM,06:03 AM,06:13 PM,10,11,11,11,5,76,92,1.6,1013,11,9,14,4
2019-12-12 12:00:00,15,9,0.0,7.4,3,4,100,06:52 PM,06:20 AM,06:03 AM,06:13 PM,9,10,11,10,6,58,93,0.6,1013,11,9,121,5
2019-12-12 15:00:00,15,9,0.0,7.4,3,3,100,06:52 PM,06:20 AM,06:03 AM,06:13 PM,10,13,13,13,6,67,85,0.2,1014,13,10,342,5
2019-12-12 18:00:00,15,9,0.0,7.4,3,3,100,06:52 PM,06:20 AM,06:03 AM,06:13 PM,11,15,15,15,10,80,73,1.4,1013,15,9,312,7
2019-12-12 21:00:00,15,9,0.0,7.4,3,1,100,06:52 PM,06:20 AM,06:03 AM,06:13 PM,10,12,14,12,19,86,73,2.8,1010,12,8,298,12
2019-12-13 00:00:00,14,7,0.0,7.4,3,1,87,07:50 PM,07:16 AM,06:03 AM,06:14 PM,10,10,11,10,20,77,83,2.6,1010,10,9,306,13
2019-12-13 03:00:00,14,7,0.0,7.4,3,1,87,07:50 PM,07:16 AM,06:03 AM,06:14 PM,10,10,11,10,13,70,91,2.0,1012,11,8,320,9
2019-12-13 06:00:00,14,7,0.0,7.4,3,1,87,07:50 PM,07:16 AM,06:03 AM,06:14 PM,9,10,11,10,7,60,92,0.1,1014,11,10,333,6
2019-12-13 09:00:00,14,7,0.0,7.4,3,2,87,07:50 PM,07:16 AM,06:03 AM,06:14 PM,9,10,10,10,5,51,92,0.0,1013,10,10,340,5
2019-12-13 12:00:00,14,7,0.0,7.4,3,2,87,07:50 PM,07:16 AM,06:03 AM,06:14 PM,8,10,10,10,4,81,89,0.1,1013,10,10,252,4
2019-12-13 15:00:00,14,7,0.0,7.4,3,3,87,07:50 PM,07:16 AM,06:03 AM,06:14 PM,9,13,12,13,2,84,80,0.1,1014,12,10,70,2
2019-12-13 18:00:00,14,7,0.0,7.4,3,3,87,07:50 PM,07:16 AM,06:03 AM,06:14 PM,10,14,14,14,4,85,73,0.5,1014,13,10,166,4
2019-12-13 21:00:00,14,7,0.0,7.4,3,1,87,07:50 PM,07:16 AM,06:03 AM,06:14 PM,11,10,12,10,9,81,73,1.5,1011,10,9,273,6
