date_time,Lautoka_maxtempC,Lautoka_mintempC,Lautoka_totalSnow_cm,Lautoka_sunHour,Lautoka_uvIndex,Lautoka_uvIndex,Lautoka_moon_illumination,Lautoka_moonrise,Lautoka_moonset,Lautoka_sunrise,Lautoka_sunset,Lautoka_DewPointC,Lautoka_FeelsLikeC,Lautoka_HeatIndexC,Lautoka_WindChillC,Lautoka_WindGustKmph,Lautoka_cloudcover,Lautoka_humidity,Lautoka_precipMM,Lautoka_pressure,Lautoka_tempC,Lautoka_visibility,Lautoka_winddirDegree,Lautoka_windspeedKmph
2019-12-04 00:00:00,30,24,0.0,12.0,6,1,48,11:51 AM,12:04 AM,05:27 AM,06:34 PM,22,26,26,24,10,72,90,1.5,1012,24,9,108,5
2019-12-04 03:00:00,30,24,0.0,12.0,6,1,48,11:51 AM,12:04 AM,05:27 AM,06:34 PM,22,26,26,24,11,9,90,0.0,1010,24,10,103,6
2019-12-04 06:00:00,30,24,0.0,12.0,6,1,48,11:51 AM,12:04 AM,05:27 AM,06:34 PM,22,26,26,24,10,7,88,0.0,1011,24,10,96,6
2019-12-04 09:00:00,30,24,0.0,12.0,6,8,48,11:51 AM,12:04 AM,05:27 AM,06:34 PM,22,34,34,30,3,19,62,0.0,1012,30,10,43,3
2019-12-04 12:00:00,30,24,0.0,12.0,6,8,48,11:51 AM,12:04 AM,05:27 AM,06:34 PM,23,34,34,30,10,49,64,0.0,1012,30,10,319,9
2019-12-04 15:00:00,30,24,0.0,12.0,6,6,48,11:51 AM,12:04 AM,05:27 AM,06:34 PM,24,33,33,29,9,72,75,4.5,1010,29,7,318,5
2019-12-04 18:00:00,30,24,0.0,12.0,6,1,48,11:51 AM,12:04 AM,05:27 AM,06:34 PM,23,30,30,27,9,73,83,6.7,1011,27,7,359,5
2019-12-04 21:00:00,30,24,0.0,12.0,6,1,48,11:51 AM,12:04 AM,05:27 AM,06:34 PM,22,27,27,24,6,78,89,0.5,1012,24,9,66,4
2019-12-05 00:00:00,30,22,0.0,9.4,6,1,55,12:39 PM,12:41 AM,05:27 AM,06:34 PM,22,26,26,24,12,88,90,0.7,1012,24,9,100,6
2019-12-05 03:00:00,30,22,0.0,9.4,6,1,55,12:39 PM,12:41 AM,05:27 AM,06:34 PM,20,22,25,22,14,87,90,0.2,1010,22,9,90,6
2019-12-05 06:00:00,30,22,0.0,9.4,6,1,55,12:39 PM,12:41 AM,05:27 AM,06:34 PM,19,22,24,22,13,78,87,0.2,1011,22,9,88,6
2019-12-05 09:00:00,30,22,0.0,9.4,6,7,55,12:39 PM,12:41 AM,05:27 AM,06:34 PM,21,32,32,29,2,18,61,0.0,1012,29,10,34,1
2019-12-05 12:00:00,30,22,0.0,9.4,6,6,55,12:39 PM,12:41 AM,05:27 AM,06:34 PM,24,35,35,30,12,76,69,1.0,1012,30,9,335,9
2019-12-05 15:00:00,30,22,0.0,9.4,6,6,55,12:39 PM,12:41 AM,05:27 AM,06:34 PM,24,33,33,29,7,89,76,5.5,1010,29,7,328,4
2019-12-05 18:00:00,30,22,0.0,9.4,6,1,55,12:39 PM,12:41 AM,05:27 AM,06:34 PM,24,31,31,27,4,89,87,8.7,1011,27,3,39,2
2019-12-05 21:00:00,30,22,0.0,9.4,6,1,55,12:39 PM,12:41 AM,05:27 AM,06:34 PM,23,28,28,25,6,73,90,1.7,1012,25,9,138,4
2019-12-06 00:00:00,32,23,0.0,13.1,6,1,62,01:27 PM,01:17 AM,05:27 AM,06:35 PM,23,27,27,24,13,87,92,2.3,1012,24,9,92,7
2019-12-06 03:00:00,32,23,0.0,13.1,6,1,62,01:27 PM,01:17 AM,05:27 AM,06:35 PM,22,26,26,23,10,26,91,0.0,1010,23,10,101,6
2019-12-06 06:00:00,32,23,0.0,13.1,6,1,62,01:27 PM,01:17 AM,05:27 AM,06:35 PM,21,25,25,23,11,16,89,0.0,1011,23,10,91,6
2019-12-06 09:00:00,32,23,0.0,13.1,6,7,62,01:27 PM,01:17 AM,05:27 AM,06:35 PM,22,32,32,29,3,13,66,0.0,1012,29,10,132,3
