date_time,Laverton_maxtempC,Laverton_mintempC,Laverton_totalSnow_cm,Laverton_sunHour,Laverton_uvIndex,Laverton_uvIndex,Laverton_moon_illumination,Laverton_moonrise,Laverton_moonset,Laverton_sunrise,Laverton_sunset,Laverton_DewPointC,Laverton_FeelsLikeC,Laverton_HeatIndexC,Laverton_WindChillC,Laverton_WindGustKmph,Laverton_cloudcover,Laverton_humidity,Laverton_precipMM,Laverton_pressure,Laverton_tempC,Laverton_visibility,Laverton_winddirDegree,Laverton_windspeedKmph
2019-12-04 00:00:00,20,12,0.0,12.4,4,1,48,11:42 AM,12:46 AM,04:52 AM,07:30 PM,8,10,12,10,37,92,73,0.3,1009,12,10,266,24
2019-12-04 03:00:00,20,12,0.0,12.4,4,1,48,11:42 AM,12:46 AM,04:52 AM,07:30 PM,7,9,12,9,37,83,74,0.3,1009,12,9,269,24
2019-12-04 06:00:00,20,12,0.0,12.4,4,1,48,11:42 AM,12:46 AM,04:52 AM,07:30 PM,7,10,13,10,35,74,70,0.1,1010,13,10,273,26
2019-12-04 09:00:00,20,12,0.0,12.4,4,3,48,11:42 AM,12:46 AM,04:52 AM,07:30 PM,7,14,15,14,31,73,60,0.1,1011,15,10,268,26
2019-12-04 12:00:00,20,12,0.0,12.4,4,4,48,11:42 AM,12:46 AM,04:52 AM,07:30 PM,7,18,18,18,28,33,51,0.0,1011,18,10,255,24
2019-12-04 15:00:00,20,12,0.0,12.4,4,5,48,11:42 AM,12:46 AM,04:52 AM,07:30 PM,8,20,20,20,27,6,46,0.0,1010,20,10,245,23
2019-12-04 18:00:00,20,12,0.0,12.4,4,1,48,11:42 AM,12:46 AM,04:52 AM,07:30 PM,9,18,18,18,32,8,55,0.0,1010,18,10,237,23
2019-12-04 21:00:00,20,12,0.0,12.4,4,1,48,11:42 AM,12:46 AM,04:52 AM,07:30 PM,9,14,15,14,28,46,68,0.0,1011,15,10,249,18
2019-12-05 00:00:00,19,11,0.0,12.4,4,1,55,12:39 PM,01:15 AM,04:52 AM,07:31 PM,9,11,13,11,24,39,76,0.0,1010,13,10,283,14
2019-12-05 03:00:00,19,11,0.0,12.4,4,1,55,12:39 PM,01:15 AM,04:52 AM,07:31 PM,8,10,11,10,22,18,80,0.0,1009,11,10,291,14
2019-12-05 06:00:00,19,11,0.0,12.4,4,1,55,12:39 PM,01:15 AM,04:52 AM,07:31 PM,8,10,12,10,21,44,76,0.0,1008,12,10,281,16
2019-12-05 09:00:00,19,11,0.0,12.4,4,4,55,12:39 PM,01:15 AM,04:52 AM,07:31 PM,8,14,15,14,23,43,63,0.0,1009,15,10,274,19
2019-12-05 12:00:00,19,11,0.0,12.4,4,5,55,12:39 PM,01:15 AM,04:52 AM,07:31 PM,9,18,18,18,28,55,58,0.0,1008,18,10,268,24
2019-12-05 15:00:00,19,11,0.0,12.4,4,4,55,12:39 PM,01:15 AM,04:52 AM,07:31 PM,10,19,19,19,32,70,58,0.0,1007,19,10,260,28
2019-12-05 18:00:00,19,11,0.0,12.4,4,1,55,12:39 PM,01:15 AM,04:52 AM,07:31 PM,9,17,17,17,32,77,62,0.0,1008,17,10,253,23
2019-12-05 21:00:00,19,11,0.0,12.4,4,1,55,12:39 PM,01:15 AM,04:52 AM,07:31 PM,9,14,15,14,31,44,67,0.0,1010,15,10,252,21
