date_time,Lavington_maxtempC,Lavington_mintempC,Lavington_totalSnow_cm,Lavington_sunHour,Lavington_uvIndex,Lavington_uvIndex,Lavington_moon_illumination,Lavington_moonrise,Lavington_moonset,Lavington_sunrise,Lavington_sunset,Lavington_DewPointC,Lavington_FeelsLikeC,Lavington_HeatIndexC,Lavington_WindChillC,Lavington_WindGustKmph,Lavington_cloudcover,Lavington_humidity,Lavington_precipMM,Lavington_pressure,Lavington_tempC,Lavington_visibility,Lavington_winddirDegree,Lavington_windspeedKmph
2019-12-04 00:00:00,23,6,0.0,13.4,4,1,48,11:36 AM,12:34 AM,04:48 AM,07:16 PM,5,8,10,8,22,72,73,0.0,1010,10,10,269,10
2019-12-04 03:00:00,23,6,0.0,13.4,4,1,48,11:36 AM,12:34 AM,04:48 AM,07:16 PM,4,5,7,5,17,27,83,0.0,1010,7,10,262,8
2019-12-04 06:00:00,23,6,0.0,13.4,4,1,48,11:36 AM,12:34 AM,04:48 AM,07:16 PM,4,7,9,7,19,41,74,0.0,1011,9,10,261,12
2019-12-04 09:00:00,23,6,0.0,13.4,4,4,48,11:36 AM,12:34 AM,04:48 AM,07:16 PM,5,13,13,13,19,75,59,0.0,1012,13,10,258,15
2019-12-04 12:00:00,23,6,0.0,13.4,4,4,48,11:36 AM,12:34 AM,04:48 AM,07:16 PM,6,19,21,19,20,40,42,0.0,1011,19,10,264,17
2019-12-04 15:00:00,23,6,0.0,13.4,4,6,48,11:36 AM,12:34 AM,04:48 AM,07:16 PM,5,24,24,22,21,12,34,0.0,1009,22,10,267,18
2019-12-04 18:00:00,23,6,0.0,13.4,4,1,48,11:36 AM,12:34 AM,04:48 AM,07:16 PM,6,19,20,19,21,7,41,0.0,1010,19,10,276,13
2019-12-04 21:00:00,23,6,0.0,13.4,4,1,48,11:36 AM,12:34 AM,04:48 AM,07:16 PM,4,15,15,15,14,6,50,0.0,1011,15,10,297,7
2019-12-05 00:00:00,26,10,0.0,14.5,6,1,55,12:31 PM,01:04 AM,04:48 AM,07:17 PM,4,12,12,12,7,6,58,0.0,1011,12,10,262,3
2019-12-05 03:00:00,26,10,0.0,14.5,6,1,55,12:31 PM,01:04 AM,04:48 AM,07:17 PM,5,11,11,11,4,2,67,0.0,1010,11,10,124,2
2019-12-05 06:00:00,26,10,0.0,14.5,6,1,55,12:31 PM,01:04 AM,04:48 AM,07:17 PM,6,14,13,14,5,0,61,0.0,1010,13,10,250,4
2019-12-05 09:00:00,26,10,0.0,14.5,6,5,55,12:31 PM,01:04 AM,04:48 AM,07:17 PM,6,20,21,20,15,22,41,0.0,1009,20,10,308,13
2019-12-05 12:00:00,26,10,0.0,14.5,6,6,55,12:31 PM,01:04 AM,04:48 AM,07:17 PM,4,24,24,24,24,14,27,0.0,1007,24,10,283,21
2019-12-05 15:00:00,26,10,0.0,14.5,6,7,55,12:31 PM,01:04 AM,04:48 AM,07:17 PM,5,25,25,26,29,5,25,0.0,1006,26,10,269,26
