date_time,Leeton_maxtempC,Leeton_mintempC,Leeton_totalSnow_cm,Leeton_sunHour,Leeton_uvIndex,Leeton_uvIndex,Leeton_moon_illumination,Leeton_moonrise,Leeton_moonset,Leeton_sunrise,Leeton_sunset,Leeton_DewPointC,Leeton_FeelsLikeC,Leeton_HeatIndexC,Leeton_WindChillC,Leeton_WindGustKmph,Leeton_cloudcover,Leeton_humidity,Leeton_precipMM,Leeton_pressure,Leeton_tempC,Leeton_visibility,Leeton_winddirDegree,Leeton_windspeedKmph
2019-12-04 00:00:00,25,11,0.0,14.5,6,1,48,11:40 AM,12:34 AM,04:54 AM,07:15 PM,6,13,14,13,26,0,58,0.0,1011,14,10,242,15
2019-12-04 03:00:00,25,11,0.0,14.5,6,1,48,11:40 AM,12:34 AM,04:54 AM,07:15 PM,6,11,12,11,24,0,66,0.0,1012,12,10,238,14
2019-12-04 06:00:00,25,11,0.0,14.5,6,1,48,11:40 AM,12:34 AM,04:54 AM,07:15 PM,6,11,13,11,18,2,64,0.0,1013,13,10,235,14
2019-12-04 09:00:00,25,11,0.0,14.5,6,5,48,11:40 AM,12:34 AM,04:54 AM,07:15 PM,5,16,17,16,19,1,45,0.0,1014,17,10,244,17
2019-12-04 12:00:00,25,11,0.0,14.5,6,6,48,11:40 AM,12:34 AM,04:54 AM,07:15 PM,3,22,22,22,23,2,29,0.0,1013,22,10,254,21
2019-12-04 15:00:00,25,11,0.0,14.5,6,6,48,11:40 AM,12:34 AM,04:54 AM,07:15 PM,2,24,24,24,25,2,22,0.0,1011,24,10,256,22
2019-12-04 18:00:00,25,11,0.0,14.5,6,1,48,11:40 AM,12:34 AM,04:54 AM,07:15 PM,1,23,23,23,25,2,24,0.0,1011,23,10,247,17
2019-12-04 21:00:00,25,11,0.0,14.5,6,1,48,11:40 AM,12:34 AM,04:54 AM,07:15 PM,2,20,20,20,20,1,31,0.0,1012,20,10,249,10
2019-12-05 00:00:00,30,15,0.0,14.5,7,1,55,12:35 PM,01:04 AM,04:54 AM,07:15 PM,2,17,17,17,19,2,37,0.0,1012,17,10,268,9
2019-12-05 03:00:00,30,15,0.0,14.5,7,1,55,12:35 PM,01:04 AM,04:54 AM,07:15 PM,4,16,16,16,14,2,45,0.0,1011,16,10,272,7
2019-12-05 06:00:00,30,15,0.0,14.5,7,1,55,12:35 PM,01:04 AM,04:54 AM,07:15 PM,6,18,18,18,13,1,45,0.0,1011,18,10,288,9
2019-12-05 09:00:00,30,15,0.0,14.5,7,6,55,12:35 PM,01:04 AM,04:54 AM,07:15 PM,3,23,23,24,26,0,28,0.0,1011,24,10,280,22
2019-12-05 12:00:00,30,15,0.0,14.5,7,7,55,12:35 PM,01:04 AM,04:54 AM,07:15 PM,1,26,26,28,35,1,18,0.0,1009,28,10,269,30
2019-12-05 15:00:00,30,15,0.0,14.5,7,7,55,12:35 PM,01:04 AM,04:54 AM,07:15 PM,1,27,27,29,36,4,16,0.0,1007,29,10,265,31
2019-12-05 18:00:00,30,15,0.0,14.5,7,1,55,12:35 PM,01:04 AM,04:54 AM,07:15 PM,3,26,26,27,30,6,21,0.0,1007,27,10,263,20
2019-12-05 21:00:00,30,15,0.0,14.5,7,1,55,12:35 PM,01:04 AM,04:54 AM,07:15 PM,4,24,24,23,26,7,29,0.0,1008,23,10,245,14
2019-12-06 00:00:00,28,14,0.0,13.4,6,1,62,01:30 PM,01:33 AM,04:54 AM,07:16 PM,6,19,20,19,25,4,43,0.0,1009,19,10,223,14
2019-12-06 03:00:00,28,14,0.0,13.4,6,1,62,01:30 PM,01:33 AM,04:54 AM,07:16 PM,7,15,15,15,18,1,60,0.0,1009,15,10,219,10
2019-12-06 06:00:00,28,14,0.0,13.4,6,1,62,01:30 PM,01:33 AM,04:54 AM,07:16 PM,7,14,15,14,14,66,60,0.0,1010,15,10,222,11
2019-12-06 09:00:00,28,14,0.0,13.4,6,4,62,01:30 PM,01:33 AM,04:54 AM,07:16 PM,3,19,20,19,17,35,36,0.0,1011,19,10,226,15
2019-12-06 12:00:00,28,14,0.0,13.4,6,7,62,01:30 PM,01:33 AM,04:54 AM,07:16 PM,2,24,24,25,23,3,22,0.0,1010,25,10,238,21
2019-12-06 15:00:00,28,14,0.0,13.4,6,7,62,01:30 PM,01:33 AM,04:54 AM,07:16 PM,1,26,26,28,27,1,18,0.0,1009,28,10,239,24
2019-12-06 18:00:00,28,14,0.0,13.4,6,1,62,01:30 PM,01:33 AM,04:54 AM,07:16 PM,2,24,24,25,23,1,21,0.0,1010,25,10,221,16
2019-12-06 21:00:00,28,14,0.0,13.4,6,1,62,01:30 PM,01:33 AM,04:54 AM,07:16 PM,3,21,24,21,22,2,32,0.0,1012,21,10,197,13
2019-12-07 00:00:00,29,13,0.0,13.4,6,1,70,02:25 PM,02:01 AM,04:54 AM,07:17 PM,4,17,18,17,22,1,44,0.0,1013,17,10,197,13
2019-12-07 03:00:00,29,13,0.0,13.4,6,1,70,02:25 PM,02:01 AM,04:54 AM,07:17 PM,5,13,14,13,19,2,56,0.0,1013,14,10,201,11
2019-12-07 06:00:00,29,13,0.0,13.4,6,1,70,02:25 PM,02:01 AM,04:54 AM,07:17 PM,4,13,14,13,17,3,50,0.0,1015,14,10,205,13
2019-12-07 09:00:00,29,13,0.0,13.4,6,6,70,02:25 PM,02:01 AM,04:54 AM,07:17 PM,-0,20,20,20,18,67,28,0.0,1015,20,10,212,15
2019-12-07 12:00:00,29,13,0.0,13.4,6,6,70,02:25 PM,02:01 AM,04:54 AM,07:17 PM,-1,25,25,26,19,55,18,0.0,1014,26,10,217,16
2019-12-07 15:00:00,29,13,0.0,13.4,6,7,70,02:25 PM,02:01 AM,04:54 AM,07:17 PM,1,26,26,28,22,17,16,0.0,1012,28,10,222,19
2019-12-07 18:00:00,29,13,0.0,13.4,6,1,70,02:25 PM,02:01 AM,04:54 AM,07:17 PM,2,25,25,26,24,4,21,0.0,1013,26,10,202,17
2019-12-07 21:00:00,29,13,0.0,13.4,6,1,70,02:25 PM,02:01 AM,04:54 AM,07:17 PM,3,22,21,22,17,1,30,0.0,1015,22,10,187,9
2019-12-08 00:00:00,33,16,0.0,14.5,7,1,77,03:21 PM,02:28 AM,04:54 AM,07:18 PM,4,19,19,19,16,0,37,0.0,1016,19,10,177,8
2019-12-08 03:00:00,33,16,0.0,14.5,7,1,77,03:21 PM,02:28 AM,04:54 AM,07:18 PM,4,17,17,17,14,0,43,0.0,1016,17,10,153,7
2019-12-08 06:00:00,33,16,0.0,14.5,7,1,77,03:21 PM,02:28 AM,04:54 AM,07:18 PM,4,19,19,19,10,0,38,0.0,1017,19,10,117,6
2019-12-08 09:00:00,33,16,0.0,14.5,7,7,77,03:21 PM,02:28 AM,04:54 AM,07:18 PM,4,25,25,26,5,0,26,0.0,1017,26,10,164,4
2019-12-08 12:00:00,33,16,0.0,14.5,7,8,77,03:21 PM,02:28 AM,04:54 AM,07:18 PM,2,29,29,31,6,0,16,0.0,1016,31,10,203,5
2019-12-08 15:00:00,33,16,0.0,14.5,7,8,77,03:21 PM,02:28 AM,04:54 AM,07:18 PM,1,31,31,33,8,0,13,0.0,1014,33,10,202,7
2019-12-08 18:00:00,33,16,0.0,14.5,7,1,77,03:21 PM,02:28 AM,04:54 AM,07:18 PM,1,28,28,31,10,1,15,0.0,1014,31,10,221,6
2019-12-08 21:00:00,33,16,0.0,14.5,7,1,77,03:21 PM,02:28 AM,04:54 AM,07:18 PM,0,25,25,27,13,1,18,0.0,1016,27,10,167,6
2019-12-09 00:00:00,39,19,0.0,14.5,8,1,84,04:18 PM,02:58 AM,04:55 AM,07:19 PM,2,23,23,23,26,0,26,0.0,1016,23,10,103,12
2019-12-09 03:00:00,39,19,0.0,14.5,8,1,84,04:18 PM,02:58 AM,04:55 AM,07:19 PM,9,20,20,20,28,0,53,0.0,1016,20,10,77,14
2019-12-09 06:00:00,39,19,0.0,14.5,8,1,84,04:18 PM,02:58 AM,04:55 AM,07:19 PM,12,22,23,22,25,1,55,0.0,1017,22,10,51,18
2019-12-09 09:00:00,39,19,0.0,14.5,8,8,84,04:18 PM,02:58 AM,04:55 AM,07:19 PM,9,30,30,30,24,1,30,0.0,1017,30,10,17,20
2019-12-09 12:00:00,39,19,0.0,14.5,8,9,84,04:18 PM,02:58 AM,04:55 AM,07:19 PM,3,35,35,36,19,0,13,0.0,1015,36,10,217,17
2019-12-09 15:00:00,39,19,0.0,14.5,8,9,84,04:18 PM,02:58 AM,04:55 AM,07:19 PM,0,37,37,38,17,1,9,0.0,1013,38,10,294,15
2019-12-09 18:00:00,39,19,0.0,14.5,8,1,84,04:18 PM,02:58 AM,04:55 AM,07:19 PM,-1,38,38,37,19,11,10,0.0,1011,37,10,243,12
2019-12-09 21:00:00,39,19,0.0,14.5,8,1,84,04:18 PM,02:58 AM,04:55 AM,07:19 PM,-2,35,35,33,18,13,12,0.0,1012,33,10,97,9
2019-12-10 00:00:00,37,23,0.0,14.5,8,1,92,05:18 PM,03:29 AM,04:55 AM,07:20 PM,-1,27,27,27,23,30,17,0.0,1012,27,10,167,11
2019-12-10 03:00:00,37,23,0.0,14.5,8,1,92,05:18 PM,03:29 AM,04:55 AM,07:20 PM,1,23,23,24,17,45,22,0.0,1011,24,10,131,8
2019-12-10 06:00:00,37,23,0.0,14.5,8,1,92,05:18 PM,03:29 AM,04:55 AM,07:20 PM,5,24,24,25,18,33,28,0.0,1012,25,10,166,13
2019-12-10 09:00:00,37,23,0.0,14.5,8,7,92,05:18 PM,03:29 AM,04:55 AM,07:20 PM,8,29,29,30,20,12,25,0.0,1013,30,10,205,17
2019-12-10 12:00:00,37,23,0.0,14.5,8,9,92,05:18 PM,03:29 AM,04:55 AM,07:20 PM,8,34,34,35,22,3,19,0.0,1011,35,10,232,19
2019-12-10 15:00:00,37,23,0.0,14.5,8,9,92,05:18 PM,03:29 AM,04:55 AM,07:20 PM,8,35,35,37,28,2,17,0.0,1009,37,10,254,24
2019-12-10 18:00:00,37,23,0.0,14.5,8,1,92,05:18 PM,03:29 AM,04:55 AM,07:20 PM,6,32,32,34,29,1,17,0.0,1010,34,10,248,21
2019-12-10 21:00:00,37,23,0.0,14.5,8,1,92,05:18 PM,03:29 AM,04:55 AM,07:20 PM,5,33,33,31,26,1,25,0.0,1011,31,10,209,16
2019-12-11 00:00:00,32,16,0.0,14.5,7,1,99,06:19 PM,04:05 AM,04:55 AM,07:20 PM,4,24,24,23,20,8,32,0.0,1013,23,10,205,12
2019-12-11 03:00:00,32,16,0.0,14.5,7,1,99,06:19 PM,04:05 AM,04:55 AM,07:20 PM,2,17,17,17,15,7,36,0.0,1012,17,10,196,8
2019-12-11 06:00:00,32,16,0.0,14.5,7,1,99,06:19 PM,04:05 AM,04:55 AM,07:20 PM,2,18,18,18,9,2,35,0.0,1013,18,10,204,6
2019-12-11 09:00:00,32,16,0.0,14.5,7,6,99,06:19 PM,04:05 AM,04:55 AM,07:20 PM,3,23,23,24,10,0,25,0.0,1013,24,10,231,9
2019-12-11 12:00:00,32,16,0.0,14.5,7,7,99,06:19 PM,04:05 AM,04:55 AM,07:20 PM,0,28,28,30,17,2,15,0.0,1011,30,10,245,15
2019-12-11 15:00:00,32,16,0.0,14.5,7,8,99,06:19 PM,04:05 AM,04:55 AM,07:20 PM,-2,29,29,32,24,7,12,0.0,1009,32,10,241,21
2019-12-11 18:00:00,32,16,0.0,14.5,7,1,99,06:19 PM,04:05 AM,04:55 AM,07:20 PM,0,27,27,29,29,3,16,0.0,1009,29,10,230,20
2019-12-11 21:00:00,32,16,0.0,14.5,7,1,99,06:19 PM,04:05 AM,04:55 AM,07:20 PM,3,27,27,27,30,7,27,0.0,1011,27,10,207,18
2019-12-12 00:00:00,29,15,0.0,13.4,7,1,100,07:22 PM,04:46 AM,04:55 AM,07:21 PM,5,20,21,20,23,16,42,0.0,1012,20,10,212,14
2019-12-12 03:00:00,29,15,0.0,13.4,7,1,100,07:22 PM,04:46 AM,04:55 AM,07:21 PM,7,15,16,15,22,18,56,0.0,1012,16,10,216,13
2019-12-12 06:00:00,29,15,0.0,13.4,7,1,100,07:22 PM,04:46 AM,04:55 AM,07:21 PM,8,16,16,16,19,72,58,0.0,1013,16,10,212,14
2019-12-12 09:00:00,29,15,0.0,13.4,7,5,100,07:22 PM,04:46 AM,04:55 AM,07:21 PM,7,22,22,22,22,34,39,0.0,1013,22,10,210,19
2019-12-12 12:00:00,29,15,0.0,13.4,7,7,100,07:22 PM,04:46 AM,04:55 AM,07:21 PM,3,26,26,28,25,0,21,0.0,1012,28,10,216,22
2019-12-12 15:00:00,29,15,0.0,13.4,7,7,100,07:22 PM,04:46 AM,04:55 AM,07:21 PM,1,27,27,29,30,0,16,0.0,1010,29,10,216,26
2019-12-12 18:00:00,29,15,0.0,13.4,7,1,100,07:22 PM,04:46 AM,04:55 AM,07:21 PM,2,25,25,26,30,2,20,0.0,1011,26,10,205,22
2019-12-12 21:00:00,29,15,0.0,13.4,7,1,100,07:22 PM,04:46 AM,04:55 AM,07:21 PM,3,24,24,22,34,1,31,0.0,1013,22,10,206,22
2019-12-13 00:00:00,28,13,0.0,14.5,6,1,87,08:23 PM,05:34 AM,04:55 AM,07:22 PM,2,17,18,17,28,38,38,0.0,1015,17,10,208,17
2019-12-13 03:00:00,28,13,0.0,14.5,6,1,87,08:23 PM,05:34 AM,04:55 AM,07:22 PM,2,13,13,13,18,22,45,0.0,1014,13,10,218,10
2019-12-13 06:00:00,28,13,0.0,14.5,6,1,87,08:23 PM,05:34 AM,04:55 AM,07:22 PM,3,12,13,12,18,6,50,0.0,1015,13,10,230,14
2019-12-13 09:00:00,28,13,0.0,14.5,6,5,87,08:23 PM,05:34 AM,04:55 AM,07:22 PM,-0,19,19,19,21,10,30,0.0,1015,19,10,226,18
2019-12-13 12:00:00,28,13,0.0,14.5,6,7,87,08:23 PM,05:34 AM,04:55 AM,07:22 PM,-2,25,25,26,25,12,16,0.0,1013,26,10,220,22
