date_time,Levuka_maxtempC,Levuka_mintempC,Levuka_totalSnow_cm,Levuka_sunHour,Levuka_uvIndex,Levuka_uvIndex,Levuka_moon_illumination,Levuka_moonrise,Levuka_moonset,Levuka_sunrise,Levuka_sunset,Levuka_DewPointC,Levuka_FeelsLikeC,Levuka_HeatIndexC,Levuka_WindChillC,Levuka_WindGustKmph,Levuka_cloudcover,Levuka_humidity,Levuka_precipMM,Levuka_pressure,Levuka_tempC,Levuka_visibility,Levuka_winddirDegree,Levuka_windspeedKmph
2019-12-04 00:00:00,27,27,0.0,9.4,6,1,48,11:45 AM,No moonset,05:21 AM,06:28 PM,24,30,30,27,25,86,84,2.7,1013,27,7,102,16
2019-12-04 03:00:00,27,27,0.0,9.4,6,1,48,11:45 AM,No moonset,05:21 AM,06:28 PM,24,30,30,27,21,79,84,0.3,1011,27,9,80,14
2019-12-04 06:00:00,27,27,0.0,9.4,6,1,48,11:45 AM,No moonset,05:21 AM,06:28 PM,24,30,30,27,21,78,84,0.5,1012,27,10,77,14
2019-12-04 09:00:00,27,27,0.0,9.4,6,6,48,11:45 AM,No moonset,05:21 AM,06:28 PM,24,30,30,27,22,72,83,0.4,1013,27,10,68,15
2019-12-04 12:00:00,27,27,0.0,9.4,6,6,48,11:45 AM,No moonset,05:21 AM,06:28 PM,23,30,30,27,20,83,81,0.4,1012,27,9,81,14
2019-12-04 15:00:00,27,27,0.0,9.4,6,7,48,11:45 AM,No moonset,05:21 AM,06:28 PM,24,31,31,27,23,38,80,0.0,1010,27,10,113,17
2019-12-04 18:00:00,27,27,0.0,9.4,6,1,48,11:45 AM,No moonset,05:21 AM,06:28 PM,24,31,31,27,27,72,82,0.6,1011,27,9,112,19
2019-12-04 21:00:00,27,27,0.0,9.4,6,1,48,11:45 AM,No moonset,05:21 AM,06:28 PM,23,30,30,27,22,77,82,2.9,1012,27,7,96,13
2019-12-05 00:00:00,27,27,0.0,10.7,6,1,55,12:33 PM,12:36 AM,05:21 AM,06:29 PM,24,30,30,27,26,83,82,5.9,1013,27,7,102,14
2019-12-05 03:00:00,27,27,0.0,10.7,6,1,55,12:33 PM,12:36 AM,05:21 AM,06:29 PM,23,30,30,27,25,85,82,0.6,1010,27,9,82,18
2019-12-05 06:00:00,27,27,0.0,10.7,6,1,55,12:33 PM,12:36 AM,05:21 AM,06:29 PM,24,30,30,27,25,85,82,0.8,1012,27,9,82,18
