date_time,Lithgow_maxtempC,Lithgow_mintempC,Lithgow_totalSnow_cm,Lithgow_sunHour,Lithgow_uvIndex,Lithgow_uvIndex,Lithgow_moon_illumination,Lithgow_moonrise,Lithgow_moonset,Lithgow_sunrise,Lithgow_sunset,Lithgow_DewPointC,Lithgow_FeelsLikeC,Lithgow_HeatIndexC,Lithgow_WindChillC,Lithgow_WindGustKmph,Lithgow_cloudcover,Lithgow_humidity,Lithgow_precipMM,Lithgow_pressure,Lithgow_tempC,Lithgow_visibility,Lithgow_winddirDegree,Lithgow_windspeedKmph
2019-12-04 00:00:00,22,8,0.0,14.2,5,1,48,11:26 AM,12:17 AM,04:42 AM,06:57 PM,3,8,10,8,31,11,63,0.0,1009,10,10,271,18
2019-12-04 03:00:00,22,8,0.0,14.2,5,1,48,11:26 AM,12:17 AM,04:42 AM,06:57 PM,4,6,8,6,32,26,73,0.0,1010,8,10,264,18
2019-12-04 06:00:00,22,8,0.0,14.2,5,1,48,11:26 AM,12:17 AM,04:42 AM,06:57 PM,3,8,10,8,28,14,60,0.0,1011,10,10,259,21
2019-12-04 09:00:00,22,8,0.0,14.2,5,5,48,11:26 AM,12:17 AM,04:42 AM,06:57 PM,0,15,16,15,27,1,35,0.0,1011,16,10,258,23
2019-12-04 12:00:00,22,8,0.0,14.2,5,6,48,11:26 AM,12:17 AM,04:42 AM,06:57 PM,-1,21,21,21,28,0,24,0.0,1009,21,10,259,24
2019-12-04 15:00:00,22,8,0.0,14.2,5,6,48,11:26 AM,12:17 AM,04:42 AM,06:57 PM,-1,21,22,21,26,5,23,0.0,1008,21,10,259,22
2019-12-04 18:00:00,22,8,0.0,14.2,5,1,48,11:26 AM,12:17 AM,04:42 AM,06:57 PM,0,19,22,19,22,2,33,0.0,1009,19,10,258,14
2019-12-04 21:00:00,22,8,0.0,14.2,5,1,48,11:26 AM,12:17 AM,04:42 AM,06:57 PM,0,16,19,16,19,0,47,0.0,1011,16,10,256,9
2019-12-05 00:00:00,25,9,0.0,14.2,6,1,55,12:20 PM,12:48 AM,04:42 AM,06:57 PM,-0,10,12,10,21,0,52,0.0,1012,11,10,259,10
2019-12-05 03:00:00,25,9,0.0,14.2,6,1,55,12:20 PM,12:48 AM,04:42 AM,06:57 PM,-1,7,9,7,25,0,51,0.0,1011,9,10,261,12
2019-12-05 06:00:00,25,9,0.0,14.2,6,1,55,12:20 PM,12:48 AM,04:42 AM,06:57 PM,0,13,13,13,22,1,42,0.0,1011,13,10,257,15
2019-12-05 09:00:00,25,9,0.0,14.2,6,6,55,12:20 PM,12:48 AM,04:42 AM,06:57 PM,2,20,21,20,22,2,29,0.0,1011,20,10,262,19
2019-12-05 12:00:00,25,9,0.0,14.2,6,6,55,12:20 PM,12:48 AM,04:42 AM,06:57 PM,0,24,24,24,27,2,21,0.0,1008,24,10,268,24
2019-12-05 15:00:00,25,9,0.0,14.2,6,6,55,12:20 PM,12:48 AM,04:42 AM,06:57 PM,-1,24,24,25,29,2,19,0.0,1006,25,10,271,25
2019-12-05 18:00:00,25,9,0.0,14.2,6,1,55,12:20 PM,12:48 AM,04:42 AM,06:57 PM,-1,25,25,24,27,1,23,0.0,1007,24,10,271,17
2019-12-05 21:00:00,25,9,0.0,14.2,6,1,55,12:20 PM,12:48 AM,04:42 AM,06:57 PM,-3,21,24,21,24,3,27,0.0,1008,21,10,274,12
2019-12-06 00:00:00,25,13,0.0,13.4,6,1,62,01:15 PM,01:17 AM,04:42 AM,06:58 PM,-2,15,17,15,24,33,33,0.0,1008,16,10,270,12
2019-12-06 03:00:00,25,13,0.0,13.4,6,1,62,01:15 PM,01:17 AM,04:42 AM,06:58 PM,0,12,13,12,23,21,41,0.0,1008,13,10,270,11
2019-12-06 06:00:00,25,13,0.0,13.4,6,1,62,01:15 PM,01:17 AM,04:42 AM,06:58 PM,2,16,16,16,24,3,40,0.0,1009,16,10,269,16
2019-12-06 09:00:00,25,13,0.0,13.4,6,6,62,01:15 PM,01:17 AM,04:42 AM,06:58 PM,2,22,22,22,27,66,28,0.0,1008,22,10,270,23
2019-12-06 12:00:00,25,13,0.0,13.4,6,5,62,01:15 PM,01:17 AM,04:42 AM,06:58 PM,-2,24,24,24,30,47,17,0.0,1006,24,10,267,26
2019-12-06 15:00:00,25,13,0.0,13.4,6,6,62,01:15 PM,01:17 AM,04:42 AM,06:58 PM,-3,23,23,24,25,7,16,0.0,1006,24,10,260,22
2019-12-06 18:00:00,25,13,0.0,13.4,6,1,62,01:15 PM,01:17 AM,04:42 AM,06:58 PM,-1,22,23,22,19,0,26,0.0,1008,22,10,252,12
2019-12-06 21:00:00,25,13,0.0,13.4,6,1,62,01:15 PM,01:17 AM,04:42 AM,06:58 PM,-1,18,21,18,18,0,37,0.0,1011,18,10,250,9
2019-12-07 00:00:00,26,8,0.0,14.2,6,1,70,02:09 PM,01:45 AM,04:42 AM,06:59 PM,-0,12,14,12,13,2,47,0.0,1012,12,10,243,6
2019-12-07 03:00:00,26,8,0.0,14.2,6,1,70,02:09 PM,01:45 AM,04:42 AM,06:59 PM,-0,8,9,8,10,3,54,0.0,1012,9,10,246,5
