date_time,Lobethal_maxtempC,Lobethal_mintempC,Lobethal_totalSnow_cm,Lobethal_sunHour,Lobethal_uvIndex,Lobethal_uvIndex,Lobethal_moon_illumination,Lobethal_moonrise,Lobethal_moonset,Lobethal_sunrise,Lobethal_sunset,Lobethal_DewPointC,Lobethal_FeelsLikeC,Lobethal_HeatIndexC,Lobethal_WindChillC,Lobethal_WindGustKmph,Lobethal_cloudcover,Lobethal_humidity,Lobethal_precipMM,Lobethal_pressure,Lobethal_tempC,Lobethal_visibility,Lobethal_winddirDegree,Lobethal_windspeedKmph
2019-12-04 00:00:00,22,10,0.0,13.4,5,1,48,11:41 AM,12:35 AM,04:54 AM,07:16 PM,9,9,10,9,13,57,93,0.0,1016,10,10,248,8
2019-12-04 03:00:00,22,10,0.0,13.4,5,1,48,11:41 AM,12:35 AM,04:54 AM,07:16 PM,9,10,11,10,13,54,88,0.0,1016,11,10,259,8
2019-12-04 06:00:00,22,10,0.0,13.4,5,1,48,11:41 AM,12:35 AM,04:54 AM,07:16 PM,9,11,12,11,14,61,81,0.0,1017,12,10,270,12
2019-12-04 09:00:00,22,10,0.0,13.4,5,5,48,11:41 AM,12:35 AM,04:54 AM,07:16 PM,8,17,17,17,16,4,57,0.0,1017,17,10,270,14
2019-12-04 12:00:00,22,10,0.0,13.4,5,6,48,11:41 AM,12:35 AM,04:54 AM,07:16 PM,7,21,24,21,17,3,39,0.0,1016,21,10,265,15
2019-12-04 15:00:00,22,10,0.0,13.4,5,6,48,11:41 AM,12:35 AM,04:54 AM,07:16 PM,6,24,24,22,18,2,36,0.0,1014,22,10,257,15
2019-12-04 18:00:00,22,10,0.0,13.4,5,1,48,11:41 AM,12:35 AM,04:54 AM,07:16 PM,9,18,18,18,12,2,56,0.0,1015,18,10,239,9
2019-12-04 21:00:00,22,10,0.0,13.4,5,1,48,11:41 AM,12:35 AM,04:54 AM,07:16 PM,11,15,14,15,8,0,81,0.0,1015,14,10,238,5
2019-12-05 00:00:00,23,11,0.0,14.5,5,1,55,12:36 PM,01:06 AM,04:54 AM,07:16 PM,10,12,11,12,7,16,91,0.0,1014,11,10,283,4
2019-12-05 03:00:00,23,11,0.0,14.5,5,1,55,12:36 PM,01:06 AM,04:54 AM,07:16 PM,10,11,11,11,8,17,94,0.0,1012,11,10,306,4
2019-12-05 06:00:00,23,11,0.0,14.5,5,1,55,12:36 PM,01:06 AM,04:54 AM,07:16 PM,11,13,13,13,9,9,83,0.0,1013,13,10,297,7
2019-12-05 09:00:00,23,11,0.0,14.5,5,5,55,12:36 PM,01:06 AM,04:54 AM,07:16 PM,8,19,19,19,19,4,48,0.0,1013,19,10,262,16
2019-12-05 12:00:00,23,11,0.0,14.5,5,6,55,12:36 PM,01:06 AM,04:54 AM,07:16 PM,8,24,24,23,20,4,38,0.0,1013,23,10,258,18
2019-12-05 15:00:00,23,11,0.0,14.5,5,6,55,12:36 PM,01:06 AM,04:54 AM,07:16 PM,9,24,24,23,23,22,41,0.0,1012,23,10,241,20
2019-12-05 18:00:00,23,11,0.0,14.5,5,1,55,12:36 PM,01:06 AM,04:54 AM,07:16 PM,12,19,19,19,10,2,62,0.0,1013,19,10,237,9
2019-12-05 21:00:00,23,11,0.0,14.5,5,1,55,12:36 PM,01:06 AM,04:54 AM,07:16 PM,11,16,18,16,12,10,87,0.0,1014,16,10,155,6
2019-12-06 00:00:00,22,9,0.0,14.5,5,1,62,01:31 PM,01:34 AM,04:54 AM,07:17 PM,10,11,11,11,9,3,93,0.0,1014,11,10,141,5
2019-12-06 03:00:00,22,9,0.0,14.5,5,1,62,01:31 PM,01:34 AM,04:54 AM,07:17 PM,9,9,9,9,8,17,94,0.0,1014,9,2,147,4
2019-12-06 06:00:00,22,9,0.0,14.5,5,1,62,01:31 PM,01:34 AM,04:54 AM,07:17 PM,10,14,14,14,4,2,78,0.0,1015,14,10,163,3
2019-12-06 09:00:00,22,9,0.0,14.5,5,6,62,01:31 PM,01:34 AM,04:54 AM,07:17 PM,6,21,24,21,9,0,36,0.0,1016,21,10,230,8
2019-12-06 12:00:00,22,9,0.0,14.5,5,6,62,01:31 PM,01:34 AM,04:54 AM,07:17 PM,8,24,24,22,20,3,41,0.0,1016,22,10,241,18
2019-12-06 15:00:00,22,9,0.0,14.5,5,6,62,01:31 PM,01:34 AM,04:54 AM,07:17 PM,8,22,24,22,22,0,42,0.0,1015,22,10,232,19
2019-12-06 18:00:00,22,9,0.0,14.5,5,1,62,01:31 PM,01:34 AM,04:54 AM,07:17 PM,9,18,18,18,19,0,54,0.0,1017,18,10,202,15
2019-12-06 21:00:00,22,9,0.0,14.5,5,1,62,01:31 PM,01:34 AM,04:54 AM,07:17 PM,9,14,17,14,16,5,87,0.0,1018,14,10,135,10
2019-12-07 00:00:00,29,8,0.0,14.5,6,1,70,02:26 PM,02:01 AM,04:54 AM,07:18 PM,8,9,9,9,11,18,93,0.0,1018,9,10,122,6
2019-12-07 03:00:00,29,8,0.0,14.5,6,1,70,02:26 PM,02:01 AM,04:54 AM,07:18 PM,7,7,8,7,12,15,94,0.0,1017,8,2,116,6
2019-12-07 06:00:00,29,8,0.0,14.5,6,1,70,02:26 PM,02:01 AM,04:54 AM,07:18 PM,8,12,12,12,5,5,78,0.0,1019,12,10,96,5
2019-12-07 09:00:00,29,8,0.0,14.5,6,6,70,02:26 PM,02:01 AM,04:54 AM,07:18 PM,5,24,24,23,4,11,31,0.0,1018,23,10,64,3
2019-12-07 12:00:00,29,8,0.0,14.5,6,7,70,02:26 PM,02:01 AM,04:54 AM,07:18 PM,4,27,27,29,8,0,21,0.0,1017,29,10,252,6
2019-12-07 15:00:00,29,8,0.0,14.5,6,7,70,02:26 PM,02:01 AM,04:54 AM,07:18 PM,6,26,26,26,12,10,28,0.0,1015,26,10,225,10
2019-12-07 18:00:00,29,8,0.0,14.5,6,1,70,02:26 PM,02:01 AM,04:54 AM,07:18 PM,8,27,27,23,16,0,43,0.0,1017,23,10,142,12
2019-12-07 21:00:00,29,8,0.0,14.5,6,1,70,02:26 PM,02:01 AM,04:54 AM,07:18 PM,6,19,21,19,26,0,58,0.0,1018,19,10,122,12
2019-12-08 00:00:00,36,15,0.0,14.5,7,1,77,03:23 PM,02:29 AM,04:54 AM,07:19 PM,4,15,15,15,26,0,47,0.0,1016,15,10,107,12
2019-12-08 03:00:00,36,15,0.0,14.5,7,1,77,03:23 PM,02:29 AM,04:54 AM,07:19 PM,5,16,16,16,23,0,50,0.0,1014,16,10,92,11
2019-12-08 06:00:00,36,15,0.0,14.5,7,1,77,03:23 PM,02:29 AM,04:54 AM,07:19 PM,4,20,20,20,23,0,36,0.0,1014,20,10,70,13
2019-12-08 09:00:00,36,15,0.0,14.5,7,7,77,03:23 PM,02:29 AM,04:54 AM,07:19 PM,2,27,27,29,21,0,18,0.0,1014,29,10,30,18
2019-12-08 12:00:00,36,15,0.0,14.5,7,9,77,03:23 PM,02:29 AM,04:54 AM,07:19 PM,0,34,34,36,13,20,11,0.0,1012,36,10,358,11
2019-12-08 15:00:00,36,15,0.0,14.5,7,8,77,03:23 PM,02:29 AM,04:54 AM,07:19 PM,2,32,32,34,14,47,13,0.0,1010,34,10,246,13
2019-12-08 18:00:00,36,15,0.0,14.5,7,1,77,03:23 PM,02:29 AM,04:54 AM,07:19 PM,3,28,28,30,13,20,17,0.0,1010,30,10,124,6
2019-12-08 21:00:00,36,15,0.0,14.5,7,1,77,03:23 PM,02:29 AM,04:54 AM,07:19 PM,-1,26,26,28,34,2,15,0.0,1010,28,10,86,16
2019-12-09 00:00:00,26,16,0.0,13.4,5,1,84,04:20 PM,02:58 AM,04:54 AM,07:20 PM,-2,25,25,26,24,84,16,0.0,1008,26,10,54,12
2019-12-09 03:00:00,26,16,0.0,13.4,5,1,84,04:20 PM,02:58 AM,04:54 AM,07:20 PM,-5,24,24,26,30,7,13,0.0,1009,26,10,27,14
2019-12-09 06:00:00,26,16,0.0,13.4,5,1,84,04:20 PM,02:58 AM,04:54 AM,07:20 PM,9,24,24,23,15,20,41,0.0,1012,23,10,336,12
2019-12-09 09:00:00,26,16,0.0,13.4,5,7,84,04:20 PM,02:58 AM,04:54 AM,07:20 PM,10,26,26,26,16,42,38,0.0,1014,26,10,258,14
2019-12-09 12:00:00,26,16,0.0,13.4,5,7,84,04:20 PM,02:58 AM,04:54 AM,07:20 PM,12,26,26,25,22,48,44,0.0,1016,25,10,236,19
2019-12-09 15:00:00,26,16,0.0,13.4,5,7,84,04:20 PM,02:58 AM,04:54 AM,07:20 PM,13,26,26,25,17,50,47,0.0,1016,25,10,219,15
2019-12-09 18:00:00,26,16,0.0,13.4,5,1,84,04:20 PM,02:58 AM,04:54 AM,07:20 PM,13,20,20,20,21,80,64,0.2,1017,20,10,231,16
2019-12-09 21:00:00,26,16,0.0,13.4,5,1,84,04:20 PM,02:58 AM,04:54 AM,07:20 PM,13,16,16,16,10,8,83,0.0,1019,16,10,175,7
2019-12-10 00:00:00,25,12,0.0,14.5,6,1,92,05:20 PM,03:30 AM,04:54 AM,07:21 PM,11,14,14,14,9,15,85,0.0,1018,14,10,160,6
2019-12-10 03:00:00,25,12,0.0,14.5,6,1,92,05:20 PM,03:30 AM,04:54 AM,07:21 PM,10,12,12,12,10,21,87,0.0,1018,12,10,145,7
2019-12-10 06:00:00,25,12,0.0,14.5,6,1,92,05:20 PM,03:30 AM,04:54 AM,07:21 PM,9,13,14,13,11,7,75,0.0,1020,14,10,146,9
2019-12-10 09:00:00,25,12,0.0,14.5,6,5,92,05:20 PM,03:30 AM,04:54 AM,07:21 PM,9,19,19,19,13,6,52,0.0,1020,19,10,155,12
2019-12-10 12:00:00,25,12,0.0,14.5,6,6,92,05:20 PM,03:30 AM,04:54 AM,07:21 PM,8,25,25,25,13,1,34,0.0,1019,25,10,170,11
2019-12-10 15:00:00,25,12,0.0,14.5,6,6,92,05:20 PM,03:30 AM,04:54 AM,07:21 PM,6,24,24,24,20,0,31,0.0,1018,24,10,158,17
2019-12-10 18:00:00,25,12,0.0,14.5,6,1,92,05:20 PM,03:30 AM,04:54 AM,07:21 PM,5,25,25,22,20,0,43,0.0,1019,22,10,144,16
2019-12-10 21:00:00,25,12,0.0,14.5,6,1,92,05:20 PM,03:30 AM,04:54 AM,07:21 PM,6,19,21,19,21,0,72,0.0,1020,19,10,140,12
2019-12-11 00:00:00,25,10,0.0,14.5,6,1,99,06:21 PM,04:05 AM,04:54 AM,07:21 PM,7,9,11,9,19,0,80,0.0,1019,11,10,144,12
2019-12-11 03:00:00,25,10,0.0,14.5,6,1,99,06:21 PM,04:05 AM,04:54 AM,07:21 PM,8,9,10,9,15,2,87,0.0,1018,10,10,142,9
2019-12-11 06:00:00,25,10,0.0,14.5,6,1,99,06:21 PM,04:05 AM,04:54 AM,07:21 PM,7,11,12,11,12,20,72,0.0,1020,12,10,135,9
2019-12-11 09:00:00,25,10,0.0,14.5,6,5,99,06:21 PM,04:05 AM,04:54 AM,07:21 PM,5,19,19,19,14,4,38,0.0,1019,19,10,153,12
2019-12-11 12:00:00,25,10,0.0,14.5,6,7,99,06:21 PM,04:05 AM,04:54 AM,07:21 PM,6,25,25,25,14,3,29,0.0,1019,25,10,190,12
2019-12-11 15:00:00,25,10,0.0,14.5,6,6,99,06:21 PM,04:05 AM,04:54 AM,07:21 PM,7,24,24,24,19,4,33,0.0,1018,24,10,169,17
2019-12-11 18:00:00,25,10,0.0,14.5,6,1,99,06:21 PM,04:05 AM,04:54 AM,07:21 PM,8,26,26,22,21,2,50,0.0,1019,22,10,162,16
2019-12-11 21:00:00,25,10,0.0,14.5,6,1,99,06:21 PM,04:05 AM,04:54 AM,07:21 PM,9,19,23,19,23,34,77,0.0,1021,19,10,159,15
2019-12-12 00:00:00,24,12,0.0,14.5,6,1,100,07:24 PM,04:46 AM,04:54 AM,07:22 PM,10,11,12,11,20,20,84,0.0,1021,12,10,166,13
2019-12-12 03:00:00,24,12,0.0,14.5,6,1,100,07:24 PM,04:46 AM,04:54 AM,07:22 PM,10,12,13,12,15,43,83,0.0,1019,13,10,168,9
2019-12-12 06:00:00,24,12,0.0,14.5,6,1,100,07:24 PM,04:46 AM,04:54 AM,07:22 PM,9,13,14,13,13,47,71,0.0,1021,14,10,168,10
2019-12-12 09:00:00,24,12,0.0,14.5,6,5,100,07:24 PM,04:46 AM,04:54 AM,07:22 PM,7,19,19,19,14,0,46,0.0,1022,19,10,169,13
2019-12-12 12:00:00,24,12,0.0,14.5,6,6,100,07:24 PM,04:46 AM,04:54 AM,07:22 PM,7,24,24,24,14,0,35,0.0,1020,24,10,194,13
2019-12-12 15:00:00,24,12,0.0,14.5,6,6,100,07:24 PM,04:46 AM,04:54 AM,07:22 PM,8,24,24,23,22,0,38,0.0,1020,23,10,202,19
2019-12-12 18:00:00,24,12,0.0,14.5,6,1,100,07:24 PM,04:46 AM,04:54 AM,07:22 PM,8,21,25,21,22,0,52,0.0,1022,21,10,186,17
2019-12-12 21:00:00,24,12,0.0,14.5,6,1,100,07:24 PM,04:46 AM,04:54 AM,07:22 PM,9,17,21,17,22,13,82,0.0,1023,17,10,158,15
2019-12-13 00:00:00,21,10,0.0,14.5,5,1,87,08:25 PM,05:34 AM,04:54 AM,07:23 PM,8,9,10,9,14,10,88,0.0,1022,10,10,163,8
2019-12-13 03:00:00,21,10,0.0,14.5,5,1,87,08:25 PM,05:34 AM,04:54 AM,07:23 PM,8,10,10,10,9,51,89,0.0,1022,10,10,167,5
2019-12-13 06:00:00,21,10,0.0,14.5,5,1,87,08:25 PM,05:34 AM,04:54 AM,07:23 PM,8,12,12,12,9,38,74,0.0,1022,12,10,183,8
2019-12-13 09:00:00,21,10,0.0,14.5,5,5,87,08:25 PM,05:34 AM,04:54 AM,07:23 PM,6,19,19,19,11,6,43,0.0,1022,19,10,239,9
2019-12-13 12:00:00,21,10,0.0,14.5,5,6,87,08:25 PM,05:34 AM,04:54 AM,07:23 PM,8,21,24,21,19,6,43,0.0,1021,21,10,245,16
2019-12-13 15:00:00,21,10,0.0,14.5,5,6,87,08:25 PM,05:34 AM,04:54 AM,07:23 PM,9,21,24,21,22,3,46,0.0,1019,21,10,228,19
2019-12-13 18:00:00,21,10,0.0,14.5,5,1,87,08:25 PM,05:34 AM,04:54 AM,07:23 PM,10,18,18,18,18,3,60,0.0,1020,18,10,208,15
2019-12-13 21:00:00,21,10,0.0,14.5,5,1,87,08:25 PM,05:34 AM,04:54 AM,07:23 PM,11,14,14,14,9,3,84,0.0,1020,14,10,152,6
2019-12-14 00:00:00,25,12,0.0,14.5,6,1,79,09:23 PM,06:28 AM,04:55 AM,07:24 PM,10,13,13,13,5,5,85,0.0,1020,13,10,139,3
2019-12-14 03:00:00,25,12,0.0,14.5,6,1,79,09:23 PM,06:28 AM,04:55 AM,07:24 PM,10,12,12,12,3,6,88,0.0,1018,12,10,224,2
2019-12-14 06:00:00,25,12,0.0,14.5,6,1,79,09:23 PM,06:28 AM,04:55 AM,07:24 PM,11,15,15,15,6,18,81,0.0,1019,15,10,208,5
2019-12-14 09:00:00,25,12,0.0,14.5,6,6,79,09:23 PM,06:28 AM,04:55 AM,07:24 PM,9,24,24,22,11,5,41,0.0,1018,22,10,251,10
2019-12-14 12:00:00,25,12,0.0,14.5,6,6,79,09:23 PM,06:28 AM,04:55 AM,07:24 PM,8,25,25,25,17,4,34,0.0,1017,25,10,253,15
2019-12-14 15:00:00,25,12,0.0,14.5,6,6,79,09:23 PM,06:28 AM,04:55 AM,07:24 PM,4,24,24,25,19,4,27,0.0,1015,25,10,243,17
2019-12-14 18:00:00,25,12,0.0,14.5,6,1,79,09:23 PM,06:28 AM,04:55 AM,07:24 PM,7,22,24,22,13,2,38,0.0,1015,22,10,217,10
