date_time,Loxton_maxtempC,Loxton_mintempC,Loxton_totalSnow_cm,Loxton_sunHour,Loxton_uvIndex,Loxton_uvIndex,Loxton_moon_illumination,Loxton_moonrise,Loxton_moonset,Loxton_sunrise,Loxton_sunset,Loxton_DewPointC,Loxton_FeelsLikeC,Loxton_HeatIndexC,Loxton_WindChillC,Loxton_WindGustKmph,Loxton_cloudcover,Loxton_humidity,Loxton_precipMM,Loxton_pressure,Loxton_tempC,Loxton_visibility,Loxton_winddirDegree,Loxton_windspeedKmph
2019-12-04 00:00:00,31,10,0.0,14.5,6,1,48,11:34 AM,12:27 AM,04:48 AM,07:08 PM,9,10,12,10,24,3,83,0.0,1016,12,10,220,14
2019-12-04 03:00:00,31,10,0.0,14.5,6,1,48,11:34 AM,12:27 AM,04:48 AM,07:08 PM,9,9,10,9,21,16,91,0.0,1015,10,10,233,12
2019-12-04 06:00:00,31,10,0.0,14.5,6,1,48,11:34 AM,12:27 AM,04:48 AM,07:08 PM,8,12,13,12,23,1,71,0.0,1017,13,10,231,19
2019-12-04 09:00:00,31,10,0.0,14.5,6,6,48,11:34 AM,12:27 AM,04:48 AM,07:08 PM,6,21,21,21,22,0,38,0.0,1017,21,10,244,19
2019-12-04 12:00:00,31,10,0.0,14.5,6,7,48,11:34 AM,12:27 AM,04:48 AM,07:08 PM,5,26,26,28,23,5,23,0.0,1014,28,10,239,20
2019-12-04 15:00:00,31,10,0.0,14.5,6,8,48,11:34 AM,12:27 AM,04:48 AM,07:08 PM,4,29,29,31,24,9,18,0.0,1012,31,10,237,21
2019-12-04 18:00:00,31,10,0.0,14.5,6,1,48,11:34 AM,12:27 AM,04:48 AM,07:08 PM,4,26,26,28,36,3,22,0.0,1013,28,10,221,25
2019-12-04 21:00:00,31,10,0.0,14.5,6,1,48,11:34 AM,12:27 AM,04:48 AM,07:08 PM,7,30,30,26,32,0,43,0.0,1014,26,10,206,17
2019-12-05 00:00:00,33,12,0.0,14.5,7,1,55,12:29 PM,12:58 AM,04:48 AM,07:08 PM,9,15,15,15,18,0,67,0.0,1013,15,10,211,9
2019-12-05 03:00:00,33,12,0.0,14.5,7,1,55,12:29 PM,12:58 AM,04:48 AM,07:08 PM,9,12,12,12,13,0,81,0.0,1013,12,10,233,6
2019-12-05 06:00:00,33,12,0.0,14.5,7,1,55,12:29 PM,12:58 AM,04:48 AM,07:08 PM,9,16,16,16,14,0,60,0.0,1013,16,10,267,11
2019-12-05 09:00:00,33,12,0.0,14.5,7,7,55,12:29 PM,12:58 AM,04:48 AM,07:08 PM,2,24,24,25,23,0,21,0.0,1013,25,10,262,20
2019-12-05 12:00:00,33,12,0.0,14.5,7,8,55,12:29 PM,12:58 AM,04:48 AM,07:08 PM,3,29,29,31,29,6,17,0.0,1011,31,10,245,25
2019-12-05 15:00:00,33,12,0.0,14.5,7,8,55,12:29 PM,12:58 AM,04:48 AM,07:08 PM,2,31,31,33,43,4,15,0.0,1009,33,10,243,37
2019-12-05 18:00:00,33,12,0.0,14.5,7,1,55,12:29 PM,12:58 AM,04:48 AM,07:08 PM,7,32,32,29,42,12,29,0.0,1011,29,10,213,30
2019-12-05 21:00:00,33,12,0.0,14.5,7,1,55,12:29 PM,12:58 AM,04:48 AM,07:08 PM,11,31,31,27,36,20,62,0.0,1013,27,10,203,23
2019-12-06 00:00:00,29,12,0.0,14.5,6,1,62,01:24 PM,01:27 AM,04:48 AM,07:09 PM,10,13,14,13,25,0,77,0.0,1013,14,10,191,16
2019-12-06 03:00:00,29,12,0.0,14.5,6,1,62,01:24 PM,01:27 AM,04:48 AM,07:09 PM,10,10,12,10,22,12,89,0.0,1013,12,10,197,13
2019-12-06 06:00:00,29,12,0.0,14.5,6,1,62,01:24 PM,01:27 AM,04:48 AM,07:09 PM,9,13,14,13,20,2,73,0.0,1015,14,10,194,17
2019-12-06 09:00:00,29,12,0.0,14.5,6,6,62,01:24 PM,01:27 AM,04:48 AM,07:09 PM,4,21,23,21,20,0,32,0.0,1015,21,10,195,18
2019-12-06 12:00:00,29,12,0.0,14.5,6,7,62,01:24 PM,01:27 AM,04:48 AM,07:09 PM,3,25,25,27,26,0,21,0.0,1014,27,10,210,22
2019-12-06 15:00:00,29,12,0.0,14.5,6,7,62,01:24 PM,01:27 AM,04:48 AM,07:09 PM,3,27,27,29,33,7,19,0.0,1013,29,10,209,28
2019-12-06 18:00:00,29,12,0.0,14.5,6,1,62,01:24 PM,01:27 AM,04:48 AM,07:09 PM,6,24,24,24,39,1,31,0.0,1014,24,10,199,28
2019-12-06 21:00:00,29,12,0.0,14.5,6,1,62,01:24 PM,01:27 AM,04:48 AM,07:09 PM,8,20,22,20,41,0,56,0.0,1017,20,10,192,26
2019-12-07 00:00:00,29,10,0.0,14.5,6,1,70,02:19 PM,01:54 AM,04:48 AM,07:10 PM,8,11,13,11,28,0,73,0.0,1017,13,10,188,17
2019-12-07 03:00:00,29,10,0.0,14.5,6,1,70,02:19 PM,01:54 AM,04:48 AM,07:10 PM,7,8,10,8,23,0,83,0.0,1017,10,10,186,13
2019-12-07 06:00:00,29,10,0.0,14.5,6,1,70,02:19 PM,01:54 AM,04:48 AM,07:10 PM,7,11,12,11,16,13,67,0.0,1019,12,10,163,13
2019-12-07 09:00:00,29,10,0.0,14.5,6,5,70,02:19 PM,01:54 AM,04:48 AM,07:10 PM,3,20,20,20,6,13,34,0.0,1018,20,10,133,5
2019-12-07 12:00:00,29,10,0.0,14.5,6,7,70,02:19 PM,01:54 AM,04:48 AM,07:10 PM,-1,25,25,27,5,1,17,0.0,1016,27,10,181,4
2019-12-07 15:00:00,29,10,0.0,14.5,6,7,70,02:19 PM,01:54 AM,04:48 AM,07:10 PM,-4,27,27,29,8,1,11,0.0,1014,29,10,195,6
2019-12-07 18:00:00,29,10,0.0,14.5,6,1,70,02:19 PM,01:54 AM,04:48 AM,07:10 PM,-2,26,26,28,11,0,14,0.0,1015,28,10,139,6
2019-12-07 21:00:00,29,10,0.0,14.5,6,1,70,02:19 PM,01:54 AM,04:48 AM,07:10 PM,-3,27,27,25,26,0,19,0.0,1017,25,10,174,13
2019-12-08 00:00:00,38,17,0.0,14.5,8,1,77,03:15 PM,02:22 AM,04:48 AM,07:11 PM,3,19,19,19,32,0,35,0.0,1016,19,10,151,15
2019-12-08 03:00:00,38,17,0.0,14.5,8,1,77,03:15 PM,02:22 AM,04:48 AM,07:11 PM,3,17,17,17,32,0,39,0.0,1015,17,10,116,15
2019-12-08 06:00:00,38,17,0.0,14.5,8,1,77,03:15 PM,02:22 AM,04:48 AM,07:11 PM,2,21,21,21,28,0,29,0.0,1017,21,10,73,20
2019-12-08 09:00:00,38,17,0.0,14.5,8,8,77,03:15 PM,02:22 AM,04:48 AM,07:11 PM,-1,28,28,30,23,2,13,0.0,1016,30,10,35,20
2019-12-08 12:00:00,38,17,0.0,14.5,8,9,77,03:15 PM,02:22 AM,04:48 AM,07:11 PM,-2,34,34,35,20,16,9,0.0,1014,35,10,20,18
2019-12-08 15:00:00,38,17,0.0,14.5,8,9,77,03:15 PM,02:22 AM,04:48 AM,07:11 PM,-3,37,37,38,17,14,8,0.0,1012,38,10,27,15
2019-12-08 18:00:00,38,17,0.0,14.5,8,1,77,03:15 PM,02:22 AM,04:48 AM,07:11 PM,-2,33,33,35,30,9,9,0.0,1012,35,10,55,16
2019-12-08 21:00:00,38,17,0.0,14.5,8,1,77,03:15 PM,02:22 AM,04:48 AM,07:11 PM,-5,35,35,32,45,0,11,0.0,1013,32,10,52,22
