date_time,Luganville_maxtempC,Luganville_mintempC,Luganville_totalSnow_cm,Luganville_sunHour,Luganville_uvIndex,Luganville_uvIndex,Luganville_moon_illumination,Luganville_moonrise,Luganville_moonset,Luganville_sunrise,Luganville_sunset,Luganville_DewPointC,Luganville_FeelsLikeC,Luganville_HeatIndexC,Luganville_WindChillC,Luganville_WindGustKmph,Luganville_cloudcover,Luganville_humidity,Luganville_precipMM,Luganville_pressure,Luganville_tempC,Luganville_visibility,Luganville_winddirDegree,Luganville_windspeedKmph
2019-12-04 00:00:00,30,21,0.0,10.7,7,1,48,11:36 AM,No moonset,05:12 AM,06:11 PM,22,25,25,23,10,30,93,0.0,1010,23,10,145,7
2019-12-04 03:00:00,30,21,0.0,10.7,7,1,48,11:36 AM,No moonset,05:12 AM,06:11 PM,21,25,25,22,11,28,93,0.0,1009,22,10,148,6
2019-12-04 06:00:00,30,21,0.0,10.7,7,1,48,11:36 AM,No moonset,05:12 AM,06:11 PM,21,26,26,23,11,32,88,0.0,1010,23,10,147,6
2019-12-04 09:00:00,30,21,0.0,10.7,7,6,48,11:36 AM,No moonset,05:12 AM,06:11 PM,22,31,31,28,8,56,73,0.1,1010,28,10,122,7
2019-12-04 12:00:00,30,21,0.0,10.7,7,6,48,11:36 AM,No moonset,05:12 AM,06:11 PM,22,32,32,29,9,83,68,0.4,1010,29,9,104,7
2019-12-04 15:00:00,30,21,0.0,10.7,7,6,48,11:36 AM,No moonset,05:12 AM,06:11 PM,22,29,29,26,7,83,76,0.9,1008,26,9,116,5
2019-12-04 18:00:00,30,21,0.0,10.7,7,1,48,11:36 AM,No moonset,05:12 AM,06:11 PM,21,26,26,24,10,80,84,0.9,1009,24,9,132,6
2019-12-04 21:00:00,30,21,0.0,10.7,7,1,48,11:36 AM,No moonset,05:12 AM,06:11 PM,20,22,23,22,14,83,90,0.2,1010,22,10,145,7
2019-12-05 00:00:00,28,21,0.0,8.1,7,1,55,12:23 PM,12:22 AM,05:12 AM,06:12 PM,19,21,21,21,12,58,91,0.1,1010,21,10,155,6
2019-12-05 03:00:00,28,21,0.0,8.1,7,1,55,12:23 PM,12:22 AM,05:12 AM,06:12 PM,19,21,21,21,11,36,91,0.1,1008,21,10,164,5
2019-12-05 06:00:00,28,21,0.0,8.1,7,1,55,12:23 PM,12:22 AM,05:12 AM,06:12 PM,19,23,23,22,8,78,85,0.4,1009,22,10,167,4
2019-12-05 09:00:00,28,21,0.0,8.1,7,6,55,12:23 PM,12:22 AM,05:12 AM,06:12 PM,20,28,28,26,4,78,70,0.8,1010,26,10,134,3
2019-12-05 12:00:00,28,21,0.0,8.1,7,6,55,12:23 PM,12:22 AM,05:12 AM,06:12 PM,21,29,29,27,4,82,68,1.5,1009,27,9,87,3
2019-12-05 15:00:00,28,21,0.0,8.1,7,6,55,12:23 PM,12:22 AM,05:12 AM,06:12 PM,21,28,28,26,8,86,77,3.2,1007,26,8,97,5
2019-12-05 18:00:00,28,21,0.0,8.1,7,1,55,12:23 PM,12:22 AM,05:12 AM,06:12 PM,21,26,26,24,11,83,87,4.2,1009,24,8,118,5
2019-12-05 21:00:00,28,21,0.0,8.1,7,1,55,12:23 PM,12:22 AM,05:12 AM,06:12 PM,21,25,25,22,14,86,93,0.7,1010,22,9,143,6
