date_time,Lyndoch_maxtempC,Lyndoch_mintempC,Lyndoch_totalSnow_cm,Lyndoch_sunHour,Lyndoch_uvIndex,Lyndoch_uvIndex,Lyndoch_moon_illumination,Lyndoch_moonrise,Lyndoch_moonset,Lyndoch_sunrise,Lyndoch_sunset,Lyndoch_DewPointC,Lyndoch_FeelsLikeC,Lyndoch_HeatIndexC,Lyndoch_WindChillC,Lyndoch_WindGustKmph,Lyndoch_cloudcover,Lyndoch_humidity,Lyndoch_precipMM,Lyndoch_pressure,Lyndoch_tempC,Lyndoch_visibility,Lyndoch_winddirDegree,Lyndoch_windspeedKmph
2019-12-04 00:00:00,24,10,0.0,14.5,4,1,48,11:41 AM,12:34 AM,04:54 AM,07:15 PM,10,8,11,8,29,84,96,0.0,1016,11,10,263,20
2019-12-04 03:00:00,24,10,0.0,14.5,4,1,48,11:41 AM,12:34 AM,04:54 AM,07:15 PM,9,8,10,8,29,39,92,0.0,1016,10,10,264,20
2019-12-04 06:00:00,24,10,0.0,14.5,4,1,48,11:41 AM,12:34 AM,04:54 AM,07:15 PM,9,9,12,9,26,46,84,0.0,1017,12,10,261,22
2019-12-04 09:00:00,24,10,0.0,14.5,4,5,48,11:41 AM,12:34 AM,04:54 AM,07:15 PM,6,18,18,18,27,2,45,0.0,1017,18,10,261,23
2019-12-04 12:00:00,24,10,0.0,14.5,4,6,48,11:41 AM,12:34 AM,04:54 AM,07:15 PM,4,24,24,24,28,2,27,0.0,1015,24,10,252,24
2019-12-04 15:00:00,24,10,0.0,14.5,4,6,48,11:41 AM,12:34 AM,04:54 AM,07:15 PM,4,24,24,24,31,1,27,0.0,1014,24,10,248,27
2019-12-04 18:00:00,24,10,0.0,14.5,4,1,48,11:41 AM,12:34 AM,04:54 AM,07:15 PM,5,20,20,20,25,1,37,0.0,1014,20,10,247,19
2019-12-04 21:00:00,24,10,0.0,14.5,4,1,48,11:41 AM,12:34 AM,04:54 AM,07:15 PM,8,16,18,16,21,0,72,0.0,1015,16,10,266,10
2019-12-05 00:00:00,25,11,0.0,14.5,6,1,55,12:36 PM,01:05 AM,04:54 AM,07:16 PM,9,11,12,11,18,33,84,0.0,1014,12,10,275,9
2019-12-05 03:00:00,25,11,0.0,14.5,6,1,55,12:36 PM,01:05 AM,04:54 AM,07:16 PM,9,9,11,9,20,0,93,0.0,1013,11,10,265,10
2019-12-05 06:00:00,25,11,0.0,14.5,6,1,55,12:36 PM,01:05 AM,04:54 AM,07:16 PM,9,11,13,11,25,0,78,0.0,1013,13,10,269,18
2019-12-05 09:00:00,25,11,0.0,14.5,6,6,55,12:36 PM,01:05 AM,04:54 AM,07:16 PM,5,20,20,20,31,7,36,0.0,1013,20,10,257,27
2019-12-05 12:00:00,25,11,0.0,14.5,6,6,55,12:36 PM,01:05 AM,04:54 AM,07:16 PM,5,24,24,25,35,6,27,0.0,1013,25,10,252,30
2019-12-05 15:00:00,25,11,0.0,14.5,6,7,55,12:36 PM,01:05 AM,04:54 AM,07:16 PM,6,25,25,25,37,13,30,0.0,1012,25,10,245,32
2019-12-05 18:00:00,25,11,0.0,14.5,6,1,55,12:36 PM,01:05 AM,04:54 AM,07:16 PM,9,26,26,23,23,9,51,0.0,1013,23,10,248,19
2019-12-05 21:00:00,25,11,0.0,14.5,6,1,55,12:36 PM,01:05 AM,04:54 AM,07:16 PM,11,20,22,20,9,21,83,0.0,1014,20,10,213,5
2019-12-06 00:00:00,25,10,0.0,14.5,5,1,62,01:31 PM,01:34 AM,04:54 AM,07:17 PM,10,11,11,11,11,0,92,0.0,1014,11,10,169,5
2019-12-06 03:00:00,25,10,0.0,14.5,5,1,62,01:31 PM,01:34 AM,04:54 AM,07:17 PM,8,9,10,9,10,4,88,0.0,1013,10,10,183,5
2019-12-06 06:00:00,25,10,0.0,14.5,5,1,62,01:31 PM,01:34 AM,04:54 AM,07:17 PM,8,12,12,12,5,1,73,0.0,1015,12,10,174,4
2019-12-06 09:00:00,25,10,0.0,14.5,5,6,62,01:31 PM,01:34 AM,04:54 AM,07:17 PM,2,20,20,20,13,0,30,0.0,1016,20,10,218,11
