date_time,Maclean_maxtempC,Maclean_mintempC,Maclean_totalSnow_cm,Maclean_sunHour,Maclean_uvIndex,Maclean_uvIndex,Maclean_moon_illumination,Maclean_moonrise,Maclean_moonset,Maclean_sunrise,Maclean_sunset,Maclean_DewPointC,Maclean_FeelsLikeC,Maclean_HeatIndexC,Maclean_WindChillC,Maclean_WindGustKmph,Maclean_cloudcover,Maclean_humidity,Maclean_precipMM,Maclean_pressure,Maclean_tempC,Maclean_visibility,Maclean_winddirDegree,Maclean_windspeedKmph
2019-12-04 00:00:00,34,13,0.0,14.0,7,1,48,11:18 AM,No moonset,04:39 AM,06:35 PM,9,17,18,17,15,0,64,0.0,1010,17,10,256,7
2019-12-04 03:00:00,34,13,0.0,14.0,7,1,48,11:18 AM,No moonset,04:39 AM,06:35 PM,5,14,14,14,15,0,54,0.0,1010,14,10,266,7
2019-12-04 06:00:00,34,13,0.0,14.0,7,1,48,11:18 AM,No moonset,04:39 AM,06:35 PM,4,18,19,18,10,0,40,0.0,1011,19,10,272,6
2019-12-04 09:00:00,34,13,0.0,14.0,7,7,48,11:18 AM,No moonset,04:39 AM,06:35 PM,3,26,26,28,5,0,22,0.0,1012,28,10,287,4
2019-12-04 12:00:00,34,13,0.0,14.0,7,8,48,11:18 AM,No moonset,04:39 AM,06:35 PM,-1,31,31,33,7,0,12,0.0,1010,33,10,106,6
2019-12-04 15:00:00,34,13,0.0,14.0,7,7,48,11:18 AM,No moonset,04:39 AM,06:35 PM,5,28,28,30,13,0,23,0.0,1009,30,10,61,12
2019-12-04 18:00:00,34,13,0.0,14.0,7,1,48,11:18 AM,No moonset,04:39 AM,06:35 PM,10,28,28,25,12,0,49,0.0,1010,25,10,103,8
2019-12-04 21:00:00,34,13,0.0,14.0,7,1,48,11:18 AM,No moonset,04:39 AM,06:35 PM,12,25,25,22,8,0,70,0.0,1012,22,10,195,4
2019-12-05 00:00:00,37,14,0.0,14.0,7,1,55,12:11 PM,12:31 AM,04:39 AM,06:35 PM,11,17,18,17,10,0,74,0.0,1012,17,10,247,5
2019-12-05 03:00:00,37,14,0.0,14.0,7,1,55,12:11 PM,12:31 AM,04:39 AM,06:35 PM,5,14,14,14,12,0,57,0.0,1012,14,10,264,6
2019-12-05 06:00:00,37,14,0.0,14.0,7,1,55,12:11 PM,12:31 AM,04:39 AM,06:35 PM,3,19,20,19,9,0,34,0.0,1012,19,10,265,6
2019-12-05 09:00:00,37,14,0.0,14.0,7,7,55,12:11 PM,12:31 AM,04:39 AM,06:35 PM,2,28,28,29,4,0,18,0.0,1012,29,10,283,3
