date_time,Maitland_maxtempC,Maitland_mintempC,Maitland_totalSnow_cm,Maitland_sunHour,Maitland_uvIndex,Maitland_uvIndex,Maitland_moon_illumination,Maitland_moonrise,Maitland_moonset,Maitland_sunrise,Maitland_sunset,Maitland_DewPointC,Maitland_FeelsLikeC,Maitland_HeatIndexC,Maitland_WindChillC,Maitland_WindGustKmph,Maitland_cloudcover,Maitland_humidity,Maitland_precipMM,Maitland_pressure,Maitland_tempC,Maitland_visibility,Maitland_winddirDegree,Maitland_windspeedKmph
2019-12-04 00:00:00,31,13,0.0,14.1,7,1,48,11:21 AM,12:10 AM,04:38 AM,06:49 PM,4,17,18,17,15,6,48,0.0,1009,17,10,289,7
2019-12-04 03:00:00,31,13,0.0,14.1,7,1,48,11:21 AM,12:10 AM,04:38 AM,06:49 PM,5,14,14,14,14,0,55,0.0,1009,14,10,296,7
2019-12-04 06:00:00,31,13,0.0,14.1,7,1,48,11:21 AM,12:10 AM,04:38 AM,06:49 PM,5,17,17,17,13,0,47,0.0,1011,17,10,294,9
2019-12-04 09:00:00,31,13,0.0,14.1,7,6,48,11:21 AM,12:10 AM,04:38 AM,06:49 PM,4,22,22,23,14,0,30,0.0,1011,23,10,299,12
2019-12-04 12:00:00,31,13,0.0,14.1,7,7,48,11:21 AM,12:10 AM,04:38 AM,06:49 PM,0,27,27,29,17,0,16,0.0,1009,29,10,289,15
2019-12-04 15:00:00,31,13,0.0,14.1,7,8,48,11:21 AM,12:10 AM,04:38 AM,06:49 PM,-0,29,29,31,17,0,14,0.0,1007,31,10,270,15
2019-12-04 18:00:00,31,13,0.0,14.1,7,1,48,11:21 AM,12:10 AM,04:38 AM,06:49 PM,3,31,31,29,17,0,25,0.0,1009,29,10,249,10
2019-12-04 21:00:00,31,13,0.0,14.1,7,1,48,11:21 AM,12:10 AM,04:38 AM,06:49 PM,6,29,29,27,16,0,44,0.0,1011,27,10,242,8
2019-12-05 00:00:00,34,13,0.0,14.1,7,1,55,12:15 PM,12:41 AM,04:38 AM,06:50 PM,6,19,19,19,14,0,51,0.0,1011,19,10,260,7
2019-12-05 03:00:00,34,13,0.0,14.1,7,1,55,12:15 PM,12:41 AM,04:38 AM,06:50 PM,3,13,14,13,14,0,50,0.0,1011,14,10,285,7
2019-12-05 06:00:00,34,13,0.0,14.1,7,1,55,12:15 PM,12:41 AM,04:38 AM,06:50 PM,3,17,17,17,13,0,40,0.0,1011,17,10,303,9
2019-12-05 09:00:00,34,13,0.0,14.1,7,6,55,12:15 PM,12:41 AM,04:38 AM,06:50 PM,4,24,24,25,13,3,26,0.0,1011,25,10,310,11
2019-12-05 12:00:00,34,13,0.0,14.1,7,8,55,12:15 PM,12:41 AM,04:38 AM,06:50 PM,2,30,30,32,15,3,16,0.0,1009,32,10,294,13
2019-12-05 15:00:00,34,13,0.0,14.1,7,8,55,12:15 PM,12:41 AM,04:38 AM,06:50 PM,1,32,32,34,19,2,13,0.0,1006,34,10,277,17
2019-12-05 18:00:00,34,13,0.0,14.1,7,1,55,12:15 PM,12:41 AM,04:38 AM,06:50 PM,3,33,33,32,17,3,21,0.0,1006,32,10,276,11
2019-12-05 21:00:00,34,13,0.0,14.1,7,1,55,12:15 PM,12:41 AM,04:38 AM,06:50 PM,3,31,31,29,14,3,29,0.0,1008,29,10,267,7
2019-12-06 00:00:00,35,17,0.0,14.1,8,1,62,01:09 PM,01:11 AM,04:38 AM,06:51 PM,3,21,22,21,13,2,33,0.0,1008,21,10,283,6
2019-12-06 03:00:00,35,17,0.0,14.1,8,1,62,01:09 PM,01:11 AM,04:38 AM,06:51 PM,2,17,17,17,12,64,36,0.0,1008,17,10,295,6
2019-12-06 06:00:00,35,17,0.0,14.1,8,1,62,01:09 PM,01:11 AM,04:38 AM,06:51 PM,3,21,21,21,10,33,31,0.0,1009,21,10,305,7
2019-12-06 09:00:00,35,17,0.0,14.1,8,7,62,01:09 PM,01:11 AM,04:38 AM,06:51 PM,4,27,27,29,14,1,21,0.0,1008,29,10,305,12
2019-12-06 12:00:00,35,17,0.0,14.1,8,8,62,01:09 PM,01:11 AM,04:38 AM,06:51 PM,3,32,32,34,20,5,15,0.0,1006,34,10,286,18
2019-12-06 15:00:00,35,17,0.0,14.1,8,8,62,01:09 PM,01:11 AM,04:38 AM,06:51 PM,2,32,32,34,20,4,13,0.0,1005,34,10,269,17
2019-12-06 18:00:00,35,17,0.0,14.1,8,1,62,01:09 PM,01:11 AM,04:38 AM,06:51 PM,4,33,33,31,14,1,22,0.0,1007,31,10,233,9
2019-12-06 21:00:00,35,17,0.0,14.1,8,1,62,01:09 PM,01:11 AM,04:38 AM,06:51 PM,3,30,30,27,15,0,29,0.0,1010,27,10,214,8
2019-12-07 00:00:00,34,15,0.0,13.4,7,1,70,02:03 PM,01:40 AM,04:38 AM,06:52 PM,10,19,20,19,13,41,70,0.0,1011,19,10,218,6
2019-12-07 03:00:00,34,15,0.0,13.4,7,1,70,02:03 PM,01:40 AM,04:38 AM,06:52 PM,15,17,17,17,6,81,89,0.0,1011,17,10,236,4
2019-12-07 06:00:00,34,15,0.0,13.4,7,1,70,02:03 PM,01:40 AM,04:38 AM,06:52 PM,15,19,19,19,3,64,74,0.0,1013,19,10,263,3
2019-12-07 09:00:00,34,15,0.0,13.4,7,7,70,02:03 PM,01:40 AM,04:38 AM,06:52 PM,12,26,26,27,4,17,43,0.0,1013,27,10,325,4
2019-12-07 12:00:00,34,15,0.0,13.4,7,8,70,02:03 PM,01:40 AM,04:38 AM,06:52 PM,9,31,31,33,3,2,24,0.0,1011,33,10,345,2
2019-12-07 15:00:00,34,15,0.0,13.4,7,7,70,02:03 PM,01:40 AM,04:38 AM,06:52 PM,11,28,28,29,13,2,34,0.0,1010,29,10,184,12
2019-12-07 18:00:00,34,15,0.0,13.4,7,1,70,02:03 PM,01:40 AM,04:38 AM,06:52 PM,13,26,26,24,18,2,60,0.0,1012,24,10,123,12
2019-12-07 21:00:00,34,15,0.0,13.4,7,1,70,02:03 PM,01:40 AM,04:38 AM,06:52 PM,15,20,23,20,16,18,87,0.0,1016,20,5,151,9
2019-12-08 00:00:00,28,16,0.0,12.2,5,1,77,02:58 PM,02:08 AM,04:38 AM,06:52 PM,16,17,18,17,13,75,97,0.0,1017,17,1,159,6
2019-12-08 03:00:00,28,16,0.0,12.2,5,1,77,02:58 PM,02:08 AM,04:38 AM,06:52 PM,16,16,16,16,10,100,98,0.0,1018,16,0,143,5
2019-12-08 06:00:00,28,16,0.0,12.2,5,1,77,02:58 PM,02:08 AM,04:38 AM,06:52 PM,16,18,18,18,13,81,88,0.2,1019,18,6,99,9
2019-12-08 09:00:00,28,16,0.0,12.2,5,5,77,02:58 PM,02:08 AM,04:38 AM,06:52 PM,15,24,24,23,13,75,61,0.3,1019,23,9,81,11
2019-12-08 12:00:00,28,16,0.0,12.2,5,6,77,02:58 PM,02:08 AM,04:38 AM,06:52 PM,14,27,27,27,15,33,45,0.1,1018,27,10,99,13
2019-12-08 15:00:00,28,16,0.0,12.2,5,7,77,02:58 PM,02:08 AM,04:38 AM,06:52 PM,15,27,27,26,20,4,48,0.0,1017,26,10,104,17
2019-12-08 18:00:00,28,16,0.0,12.2,5,1,77,02:58 PM,02:08 AM,04:38 AM,06:52 PM,15,27,27,24,21,9,65,0.0,1019,24,10,97,15
2019-12-08 21:00:00,28,16,0.0,12.2,5,1,77,02:58 PM,02:08 AM,04:38 AM,06:52 PM,15,25,25,22,18,26,82,0.0,1021,22,10,93,10
2019-12-09 00:00:00,36,15,0.0,13.4,8,1,84,03:55 PM,02:38 AM,04:38 AM,06:53 PM,15,18,19,18,14,31,93,0.0,1021,18,5,111,8
2019-12-09 03:00:00,36,15,0.0,13.4,8,1,84,03:55 PM,02:38 AM,04:38 AM,06:53 PM,15,16,16,16,11,77,97,0.0,1021,16,1,132,6
2019-12-09 06:00:00,36,15,0.0,13.4,8,1,84,03:55 PM,02:38 AM,04:38 AM,06:53 PM,16,19,19,19,9,95,85,0.0,1022,19,7,90,6
2019-12-09 09:00:00,36,15,0.0,13.4,8,6,84,03:55 PM,02:38 AM,04:38 AM,06:53 PM,16,26,26,26,8,31,56,0.0,1021,26,10,35,7
2019-12-09 12:00:00,36,15,0.0,13.4,8,8,84,03:55 PM,02:38 AM,04:38 AM,06:53 PM,16,34,34,33,7,0,37,0.0,1018,33,10,235,6
2019-12-09 15:00:00,36,15,0.0,13.4,8,9,84,03:55 PM,02:38 AM,04:38 AM,06:53 PM,15,36,36,36,4,2,28,0.0,1016,36,10,133,4
2019-12-09 18:00:00,36,15,0.0,13.4,8,1,84,03:55 PM,02:38 AM,04:38 AM,06:53 PM,16,36,36,34,13,2,54,0.0,1016,34,10,63,7
2019-12-09 21:00:00,36,15,0.0,13.4,8,1,84,03:55 PM,02:38 AM,04:38 AM,06:53 PM,18,34,34,30,12,3,83,0.0,1016,30,10,122,6
2019-12-10 00:00:00,41,19,0.0,14.2,9,1,92,04:53 PM,03:11 AM,04:39 AM,06:54 PM,18,24,24,22,6,6,94,0.0,1015,22,5,203,3
2019-12-10 03:00:00,41,19,0.0,14.2,9,1,92,04:53 PM,03:11 AM,04:39 AM,06:54 PM,18,19,19,19,5,4,97,0.0,1014,19,2,264,3
2019-12-10 06:00:00,41,19,0.0,14.2,9,1,92,04:53 PM,03:11 AM,04:39 AM,06:54 PM,16,24,24,23,10,2,66,0.0,1014,23,7,302,8
2019-12-10 09:00:00,41,19,0.0,14.2,9,8,92,04:53 PM,03:11 AM,04:39 AM,06:54 PM,13,32,32,33,17,1,32,0.0,1014,33,10,306,14
2019-12-10 12:00:00,41,19,0.0,14.2,9,9,92,04:53 PM,03:11 AM,04:39 AM,06:54 PM,6,40,40,40,13,0,14,0.0,1011,40,10,317,11
2019-12-10 15:00:00,41,19,0.0,14.2,9,10,92,04:53 PM,03:11 AM,04:39 AM,06:54 PM,5,41,41,41,5,5,11,0.0,1010,41,10,144,5
2019-12-10 18:00:00,41,19,0.0,14.2,9,1,92,04:53 PM,03:11 AM,04:39 AM,06:54 PM,14,41,41,39,17,33,52,0.0,1011,39,10,134,12
2019-12-10 21:00:00,41,19,0.0,14.2,9,1,92,04:53 PM,03:11 AM,04:39 AM,06:54 PM,17,38,38,36,20,82,79,0.0,1014,36,10,181,14
2019-12-11 00:00:00,28,16,0.0,12.2,5,1,99,05:54 PM,03:47 AM,04:39 AM,06:55 PM,15,24,24,24,15,100,79,0.0,1015,24,10,184,11
2019-12-11 03:00:00,28,16,0.0,12.2,5,1,99,05:54 PM,03:47 AM,04:39 AM,06:55 PM,13,18,18,18,13,100,76,0.0,1015,18,10,189,9
2019-12-11 06:00:00,28,16,0.0,12.2,5,1,99,05:54 PM,03:47 AM,04:39 AM,06:55 PM,13,19,19,19,8,81,69,0.0,1015,19,10,183,6
