date_time,Mangere_maxtempC,Mangere_mintempC,Mangere_totalSnow_cm,Mangere_sunHour,Mangere_uvIndex,Mangere_uvIndex,Mangere_moon_illumination,Mangere_moonrise,Mangere_moonset,Mangere_sunrise,Mangere_sunset,Mangere_DewPointC,Mangere_FeelsLikeC,Mangere_HeatIndexC,Mangere_WindChillC,Mangere_WindGustKmph,Mangere_cloudcover,Mangere_humidity,Mangere_precipMM,Mangere_pressure,Mangere_tempC,Mangere_visibility,Mangere_winddirDegree,Mangere_windspeedKmph
2019-12-04 00:00:00,24,16,0.0,14.5,6,1,48,11:39 AM,12:41 AM,04:55 AM,07:27 PM,14,17,17,17,19,0,83,0.0,1011,17,10,311,13
2019-12-04 03:00:00,24,16,0.0,14.5,6,1,48,11:39 AM,12:41 AM,04:55 AM,07:27 PM,14,16,16,16,13,8,87,0.0,1011,16,10,316,8
2019-12-04 06:00:00,24,16,0.0,14.5,6,1,48,11:39 AM,12:41 AM,04:55 AM,07:27 PM,14,16,16,16,11,19,86,0.0,1012,16,10,346,8
2019-12-04 09:00:00,24,16,0.0,14.5,6,6,48,11:39 AM,12:41 AM,04:55 AM,07:27 PM,13,21,21,21,8,6,60,0.0,1012,21,10,329,7
2019-12-04 12:00:00,24,16,0.0,14.5,6,6,48,11:39 AM,12:41 AM,04:55 AM,07:27 PM,13,25,25,24,10,23,52,0.0,1011,24,10,326,9
2019-12-04 15:00:00,24,16,0.0,14.5,6,6,48,11:39 AM,12:41 AM,04:55 AM,07:27 PM,11,25,25,23,20,3,47,0.0,1010,23,10,278,17
2019-12-04 18:00:00,24,16,0.0,14.5,6,1,48,11:39 AM,12:41 AM,04:55 AM,07:27 PM,12,20,20,20,15,3,58,0.0,1010,20,10,272,12
2019-12-04 21:00:00,24,16,0.0,14.5,6,1,48,11:39 AM,12:41 AM,04:55 AM,07:27 PM,15,20,20,20,6,0,73,0.0,1012,20,10,268,6
2019-12-05 00:00:00,23,18,0.0,14.5,6,1,55,12:35 PM,01:11 AM,04:54 AM,07:28 PM,16,19,19,19,5,0,81,0.0,1011,19,10,280,5
2019-12-05 03:00:00,23,18,0.0,14.5,6,1,55,12:35 PM,01:11 AM,04:54 AM,07:28 PM,16,19,19,19,4,0,83,0.0,1011,19,10,356,3
2019-12-05 06:00:00,23,18,0.0,14.5,6,1,55,12:35 PM,01:11 AM,04:54 AM,07:28 PM,15,18,18,18,5,0,80,0.0,1011,18,10,15,5
2019-12-05 09:00:00,23,18,0.0,14.5,6,6,55,12:35 PM,01:11 AM,04:54 AM,07:28 PM,13,25,25,22,6,0,54,0.0,1012,22,10,305,5
2019-12-05 12:00:00,23,18,0.0,14.5,6,6,55,12:35 PM,01:11 AM,04:54 AM,07:28 PM,11,25,25,23,16,3,46,0.0,1012,23,10,265,14
2019-12-05 15:00:00,23,18,0.0,14.5,6,6,55,12:35 PM,01:11 AM,04:54 AM,07:28 PM,13,25,25,23,21,6,52,0.0,1011,23,10,249,18
2019-12-05 18:00:00,23,18,0.0,14.5,6,1,55,12:35 PM,01:11 AM,04:54 AM,07:28 PM,13,21,21,21,20,4,61,0.0,1011,21,10,247,15
2019-12-05 21:00:00,23,18,0.0,14.5,6,1,55,12:35 PM,01:11 AM,04:54 AM,07:28 PM,15,19,19,19,8,4,79,0.0,1014,19,10,256,6
2019-12-06 00:00:00,25,17,0.0,14.5,6,1,62,01:31 PM,01:39 AM,04:54 AM,07:29 PM,15,17,17,17,6,33,84,0.0,1013,17,10,298,4
2019-12-06 03:00:00,25,17,0.0,14.5,6,1,62,01:31 PM,01:39 AM,04:54 AM,07:29 PM,15,17,17,17,6,13,87,0.0,1014,17,10,325,4
2019-12-06 06:00:00,25,17,0.0,14.5,6,1,62,01:31 PM,01:39 AM,04:54 AM,07:29 PM,15,17,17,17,6,16,86,0.0,1014,17,10,357,5
2019-12-06 09:00:00,25,17,0.0,14.5,6,6,62,01:31 PM,01:39 AM,04:54 AM,07:29 PM,14,22,25,22,7,2,61,0.0,1016,22,10,325,6
2019-12-06 12:00:00,25,17,0.0,14.5,6,6,62,01:31 PM,01:39 AM,04:54 AM,07:29 PM,13,25,25,24,7,8,48,0.0,1015,24,10,289,6
2019-12-06 15:00:00,25,17,0.0,14.5,6,6,62,01:31 PM,01:39 AM,04:54 AM,07:29 PM,14,26,26,25,3,10,50,0.0,1014,25,10,307,3
2019-12-06 18:00:00,25,17,0.0,14.5,6,1,62,01:31 PM,01:39 AM,04:54 AM,07:29 PM,15,25,25,23,4,38,63,0.0,1014,23,10,247,4
2019-12-06 21:00:00,25,17,0.0,14.5,6,1,62,01:31 PM,01:39 AM,04:54 AM,07:29 PM,16,20,20,20,5,8,76,0.0,1016,20,10,264,4
2019-12-07 00:00:00,25,18,0.0,12.4,6,1,70,02:27 PM,02:05 AM,04:54 AM,07:30 PM,16,19,19,19,6,9,82,0.0,1016,19,10,322,4
