date_time,Manjimup_maxtempC,Manjimup_mintempC,Manjimup_totalSnow_cm,Manjimup_sunHour,Manjimup_uvIndex,Manjimup_uvIndex,Manjimup_moon_illumination,Manjimup_moonrise,Manjimup_moonset,Manjimup_sunrise,Manjimup_sunset,Manjimup_DewPointC,Manjimup_FeelsLikeC,Manjimup_HeatIndexC,Manjimup_WindChillC,Manjimup_WindGustKmph,Manjimup_cloudcover,Manjimup_humidity,Manjimup_precipMM,Manjimup_pressure,Manjimup_tempC,Manjimup_visibility,Manjimup_winddirDegree,Manjimup_windspeedKmph
2019-12-04 00:00:00,34,16,0.0,14.5,8,1,48,11:46 AM,12:37 AM,04:56 AM,07:15 PM,10,22,24,22,6,17,63,0.0,1013,22,10,142,3
2019-12-04 03:00:00,34,16,0.0,14.5,8,1,48,11:46 AM,12:37 AM,04:56 AM,07:15 PM,10,16,16,16,6,29,66,0.0,1012,16,10,153,3
2019-12-04 06:00:00,34,16,0.0,14.5,8,1,48,11:46 AM,12:37 AM,04:56 AM,07:15 PM,9,19,19,19,6,13,55,0.0,1013,19,10,172,4
2019-12-04 09:00:00,34,16,0.0,14.5,8,7,48,11:46 AM,12:37 AM,04:56 AM,07:15 PM,9,28,28,28,8,3,31,0.0,1014,28,10,187,7
2019-12-04 12:00:00,34,16,0.0,14.5,8,8,48,11:46 AM,12:37 AM,04:56 AM,07:15 PM,9,31,31,33,13,5,22,0.0,1014,33,10,200,12
2019-12-04 15:00:00,34,16,0.0,14.5,8,8,48,11:46 AM,12:37 AM,04:56 AM,07:15 PM,9,30,30,32,17,5,25,0.0,1014,32,10,197,14
2019-12-04 18:00:00,34,16,0.0,14.5,8,1,48,11:46 AM,12:37 AM,04:56 AM,07:15 PM,10,28,28,27,17,4,44,0.0,1015,27,10,175,13
2019-12-04 21:00:00,34,16,0.0,14.5,8,1,48,11:46 AM,12:37 AM,04:56 AM,07:15 PM,12,28,28,24,16,36,77,0.0,1017,24,7,140,10
2019-12-05 00:00:00,38,11,0.0,14.5,8,1,55,12:41 PM,01:08 AM,04:56 AM,07:16 PM,12,19,22,19,14,81,95,0.0,1018,19,3,102,8
2019-12-05 03:00:00,38,11,0.0,14.5,8,1,55,12:41 PM,01:08 AM,04:56 AM,07:16 PM,11,12,13,12,13,34,92,0.0,1018,13,7,90,8
2019-12-05 06:00:00,38,11,0.0,14.5,8,1,55,12:41 PM,01:08 AM,04:56 AM,07:16 PM,11,14,16,14,11,11,80,0.0,1018,15,5,89,6
2019-12-05 09:00:00,38,11,0.0,14.5,8,7,55,12:41 PM,01:08 AM,04:56 AM,07:16 PM,9,26,26,25,8,2,38,0.0,1017,25,10,97,7
