date_time,Mareeba_maxtempC,Mareeba_mintempC,Mareeba_totalSnow_cm,Mareeba_sunHour,Mareeba_uvIndex,Mareeba_uvIndex,Mareeba_moon_illumination,Mareeba_moonrise,Mareeba_moonset,Mareeba_sunrise,Mareeba_sunset,Mareeba_DewPointC,Mareeba_FeelsLikeC,Mareeba_HeatIndexC,Mareeba_WindChillC,Mareeba_WindGustKmph,Mareeba_cloudcover,Mareeba_humidity,Mareeba_precipMM,Mareeba_pressure,Mareeba_tempC,Mareeba_visibility,Mareeba_winddirDegree,Mareeba_windspeedKmph
2019-12-04 00:00:00,35,20,0.0,13.1,7,1,48,12:04 PM,12:15 AM,05:36 AM,06:41 PM,20,22,23,22,5,83,97,0.0,1010,22,1,55,3
2019-12-04 03:00:00,35,20,0.0,13.1,7,1,48,12:04 PM,12:15 AM,05:36 AM,06:41 PM,19,20,20,20,3,61,96,0.0,1009,20,1,115,1
2019-12-04 06:00:00,35,20,0.0,13.1,7,1,48,12:04 PM,12:15 AM,05:36 AM,06:41 PM,19,23,23,22,3,18,82,0.0,1010,22,7,94,2
2019-12-04 09:00:00,35,20,0.0,13.1,7,7,48,12:04 PM,12:15 AM,05:36 AM,06:41 PM,16,30,30,30,6,5,48,0.0,1011,30,10,48,5
2019-12-04 12:00:00,35,20,0.0,13.1,7,8,48,12:04 PM,12:15 AM,05:36 AM,06:41 PM,13,34,34,34,12,18,28,0.0,1010,34,10,42,11
2019-12-04 15:00:00,35,20,0.0,13.1,7,8,48,12:04 PM,12:15 AM,05:36 AM,06:41 PM,14,33,33,33,18,18,32,0.0,1008,33,10,52,15
2019-12-04 18:00:00,35,20,0.0,13.1,7,8,48,12:04 PM,12:15 AM,05:36 AM,06:41 PM,18,33,33,31,16,11,61,0.0,1009,31,10,56,12
2019-12-04 21:00:00,35,20,0.0,13.1,7,1,48,12:04 PM,12:15 AM,05:36 AM,06:41 PM,20,30,30,28,10,40,87,0.1,1011,28,10,49,6
2019-12-05 00:00:00,34,20,0.0,13.1,6,1,55,12:52 PM,12:52 AM,05:36 AM,06:41 PM,19,23,23,22,7,46,94,0.0,1011,22,5,52,4
2019-12-05 03:00:00,34,20,0.0,13.1,6,1,55,12:52 PM,12:52 AM,05:36 AM,06:41 PM,19,20,20,20,5,47,95,0.0,1010,20,2,77,3
2019-12-05 06:00:00,34,20,0.0,13.1,6,1,55,12:52 PM,12:52 AM,05:36 AM,06:41 PM,19,21,23,21,5,45,89,0.0,1012,21,7,44,3
2019-12-05 09:00:00,34,20,0.0,13.1,6,7,55,12:52 PM,12:52 AM,05:36 AM,06:41 PM,16,29,29,28,6,16,53,0.0,1013,28,10,31,5
2019-12-05 12:00:00,34,20,0.0,13.1,6,8,55,12:52 PM,12:52 AM,05:36 AM,06:41 PM,14,33,33,33,10,23,31,0.0,1011,33,10,28,8
2019-12-05 15:00:00,34,20,0.0,13.1,6,8,55,12:52 PM,12:52 AM,05:36 AM,06:41 PM,16,32,32,32,15,59,40,0.1,1010,32,9,45,13
2019-12-05 18:00:00,34,20,0.0,13.1,6,6,55,12:52 PM,12:52 AM,05:36 AM,06:41 PM,19,32,32,29,14,76,71,0.3,1010,29,9,60,10
2019-12-05 21:00:00,34,20,0.0,13.1,6,1,55,12:52 PM,12:52 AM,05:36 AM,06:41 PM,20,29,29,26,11,67,92,0.6,1012,26,10,58,6
2019-12-06 00:00:00,32,19,0.0,13.1,6,1,62,01:39 PM,01:29 AM,05:36 AM,06:42 PM,20,21,22,21,9,87,97,0.2,1011,21,3,66,5
2019-12-06 03:00:00,32,19,0.0,13.1,6,1,62,01:39 PM,01:29 AM,05:36 AM,06:42 PM,19,19,19,19,4,80,98,0.0,1011,19,7,118,2
2019-12-06 06:00:00,32,19,0.0,13.1,6,1,62,01:39 PM,01:29 AM,05:36 AM,06:42 PM,19,21,23,21,2,47,89,0.0,1012,21,10,95,1
2019-12-06 09:00:00,32,19,0.0,13.1,6,7,62,01:39 PM,01:29 AM,05:36 AM,06:42 PM,15,28,28,27,8,22,52,0.0,1013,27,10,52,6
2019-12-06 12:00:00,32,19,0.0,13.1,6,8,62,01:39 PM,01:29 AM,05:36 AM,06:42 PM,15,32,32,31,9,18,38,0.0,1011,31,10,69,8
2019-12-06 15:00:00,32,19,0.0,13.1,6,8,62,01:39 PM,01:29 AM,05:36 AM,06:42 PM,17,32,32,31,10,55,42,0.1,1009,31,9,55,9
