date_time,Maryborough_maxtempC,Maryborough_mintempC,Maryborough_totalSnow_cm,Maryborough_sunHour,Maryborough_uvIndex,Maryborough_uvIndex,Maryborough_moon_illumination,Maryborough_moonrise,Maryborough_moonset,Maryborough_sunrise,Maryborough_sunset,Maryborough_DewPointC,Maryborough_FeelsLikeC,Maryborough_HeatIndexC,Maryborough_WindChillC,Maryborough_WindGustKmph,Maryborough_cloudcover,Maryborough_humidity,Maryborough_precipMM,Maryborough_pressure,Maryborough_tempC,Maryborough_visibility,Maryborough_winddirDegree,Maryborough_windspeedKmph
2019-12-04 00:00:00,29,21,0.0,13.8,7,1,48,11:25 AM,No moonset,04:50 AM,06:28 PM,19,25,25,23,12,2,75,0.0,1010,23,10,148,7
2019-12-04 03:00:00,29,21,0.0,13.8,7,1,48,11:25 AM,No moonset,04:50 AM,06:28 PM,18,22,25,22,15,3,78,0.0,1010,22,10,196,9
2019-12-04 06:00:00,29,21,0.0,13.8,7,1,48,11:25 AM,No moonset,04:50 AM,06:28 PM,14,25,25,23,14,3,60,0.0,1012,23,10,190,9
2019-12-04 09:00:00,29,21,0.0,13.8,7,7,48,11:25 AM,No moonset,04:50 AM,06:28 PM,13,26,26,26,8,2,44,0.0,1012,26,10,107,6
2019-12-04 12:00:00,29,21,0.0,13.8,7,7,48,11:25 AM,No moonset,04:50 AM,06:28 PM,13,28,28,28,19,1,39,0.0,1011,28,10,42,13
2019-12-04 15:00:00,29,21,0.0,13.8,7,7,48,11:25 AM,No moonset,04:50 AM,06:28 PM,17,28,28,28,28,1,53,0.0,1009,28,10,22,19
2019-12-04 18:00:00,29,21,0.0,13.8,7,1,48,11:25 AM,No moonset,04:50 AM,06:28 PM,20,27,27,26,26,0,71,0.0,1010,26,10,17,16
2019-12-04 21:00:00,29,21,0.0,13.8,7,1,48,11:25 AM,No moonset,04:50 AM,06:28 PM,21,26,26,24,19,3,84,0.0,1012,24,10,228,12
2019-12-05 00:00:00,28,22,0.0,13.8,7,1,55,12:16 PM,12:30 AM,04:50 AM,06:29 PM,22,26,26,24,14,10,88,0.0,1012,24,10,311,9
2019-12-05 03:00:00,28,22,0.0,13.8,7,1,55,12:16 PM,12:30 AM,04:50 AM,06:29 PM,21,25,25,23,13,30,91,0.0,1011,23,10,257,9
2019-12-05 06:00:00,28,22,0.0,13.8,7,1,55,12:16 PM,12:30 AM,04:50 AM,06:29 PM,20,25,25,23,12,18,85,0.0,1013,23,10,240,9
2019-12-05 09:00:00,28,22,0.0,13.8,7,7,55,12:16 PM,12:30 AM,04:50 AM,06:29 PM,19,27,27,26,11,3,68,0.0,1013,26,10,97,9
2019-12-05 12:00:00,28,22,0.0,13.8,7,7,55,12:16 PM,12:30 AM,04:50 AM,06:29 PM,20,29,29,27,28,0,65,0.0,1011,27,10,14,18
2019-12-05 15:00:00,28,22,0.0,13.8,7,7,55,12:16 PM,12:30 AM,04:50 AM,06:29 PM,22,30,30,27,36,0,73,0.0,1009,27,10,3,25
2019-12-05 18:00:00,28,22,0.0,13.8,7,1,55,12:16 PM,12:30 AM,04:50 AM,06:29 PM,23,28,28,26,35,7,84,0.0,1010,26,10,238,25
2019-12-05 21:00:00,28,22,0.0,13.8,7,1,55,12:16 PM,12:30 AM,04:50 AM,06:29 PM,23,28,28,25,32,19,89,0.0,1011,25,10,346,22
2019-12-06 00:00:00,27,24,0.0,13.8,7,1,62,01:07 PM,01:02 AM,04:50 AM,06:29 PM,23,27,27,25,32,28,91,0.0,1011,25,10,334,22
2019-12-06 03:00:00,27,24,0.0,13.8,7,1,62,01:07 PM,01:02 AM,04:50 AM,06:29 PM,23,27,27,24,30,51,91,0.0,1011,24,10,318,21
2019-12-06 06:00:00,27,24,0.0,13.8,7,1,62,01:07 PM,01:02 AM,04:50 AM,06:29 PM,22,27,27,24,26,33,88,0.0,1012,24,10,311,19
2019-12-06 09:00:00,27,24,0.0,13.8,7,7,62,01:07 PM,01:02 AM,04:50 AM,06:29 PM,22,29,29,26,29,6,78,0.0,1012,26,10,335,22
2019-12-06 12:00:00,27,24,0.0,13.8,7,7,62,01:07 PM,01:02 AM,04:50 AM,06:29 PM,22,30,30,27,41,3,76,0.0,1010,27,10,354,32
2019-12-06 15:00:00,27,24,0.0,13.8,7,7,62,01:07 PM,01:02 AM,04:50 AM,06:29 PM,23,29,29,27,45,5,79,0.0,1008,27,10,354,34
2019-12-06 18:00:00,27,24,0.0,13.8,7,1,62,01:07 PM,01:02 AM,04:50 AM,06:29 PM,23,29,29,26,44,7,83,0.0,1009,26,10,348,31
2019-12-06 21:00:00,27,24,0.0,13.8,7,1,62,01:07 PM,01:02 AM,04:50 AM,06:29 PM,23,28,28,26,44,4,82,0.0,1010,26,10,341,30
2019-12-07 00:00:00,27,25,0.0,13.8,7,1,70,01:57 PM,01:34 AM,04:50 AM,06:30 PM,22,28,28,25,35,5,84,0.0,1010,25,10,326,23
