date_time,Matamata_maxtempC,Matamata_mintempC,Matamata_totalSnow_cm,Matamata_sunHour,Matamata_uvIndex,Matamata_uvIndex,Matamata_moon_illumination,Matamata_moonrise,Matamata_moonset,Matamata_sunrise,Matamata_sunset,Matamata_DewPointC,Matamata_FeelsLikeC,Matamata_HeatIndexC,Matamata_WindChillC,Matamata_WindGustKmph,Matamata_cloudcover,Matamata_humidity,Matamata_precipMM,Matamata_pressure,Matamata_tempC,Matamata_visibility,Matamata_winddirDegree,Matamata_windspeedKmph
2019-12-04 00:00:00,32,18,0.0,11.6,7,1,48,12:20 PM,No moonset,05:44 AM,05:37 PM,16,20,21,20,10,11,84,0.0,1013,20,10,328,5
2019-12-04 03:00:00,32,18,0.0,11.6,7,1,48,12:20 PM,No moonset,05:44 AM,05:37 PM,15,18,18,18,10,14,82,0.0,1012,18,10,319,5
2019-12-04 06:00:00,32,18,0.0,11.6,7,6,48,12:20 PM,No moonset,05:44 AM,05:37 PM,16,20,22,20,10,15,76,0.0,1013,20,10,315,5
2019-12-04 09:00:00,32,18,0.0,11.6,7,7,48,12:20 PM,No moonset,05:44 AM,05:37 PM,18,29,29,27,11,12,60,0.0,1014,27,10,153,8
2019-12-04 12:00:00,32,18,0.0,11.6,7,8,48,12:20 PM,No moonset,05:44 AM,05:37 PM,19,33,33,31,12,9,46,0.0,1011,31,10,64,10
2019-12-04 15:00:00,32,18,0.0,11.6,7,8,48,12:20 PM,No moonset,05:44 AM,05:37 PM,20,34,34,31,10,11,51,0.0,1008,31,10,56,9
2019-12-04 18:00:00,32,18,0.0,11.6,7,1,48,12:20 PM,No moonset,05:44 AM,05:37 PM,18,31,31,28,8,55,67,0.1,1010,28,10,22,5
2019-12-04 21:00:00,32,18,0.0,11.6,7,1,48,12:20 PM,No moonset,05:44 AM,05:37 PM,16,28,28,25,9,31,78,0.0,1013,25,10,221,4
2019-12-05 00:00:00,32,18,0.0,10.2,7,1,55,01:00 PM,12:34 AM,05:44 AM,05:38 PM,16,21,22,21,9,11,78,0.0,1013,21,10,335,5
2019-12-05 03:00:00,32,18,0.0,10.2,7,1,55,01:00 PM,12:34 AM,05:44 AM,05:38 PM,14,19,19,19,10,11,75,0.0,1013,19,10,328,5
2019-12-05 06:00:00,32,18,0.0,10.2,7,6,55,01:00 PM,12:34 AM,05:44 AM,05:38 PM,16,21,23,21,8,10,71,0.0,1014,21,10,335,4
2019-12-05 09:00:00,32,18,0.0,10.2,7,7,55,01:00 PM,12:34 AM,05:44 AM,05:38 PM,19,29,29,27,11,8,60,0.0,1015,27,10,152,9
2019-12-05 12:00:00,32,18,0.0,10.2,7,8,55,01:00 PM,12:34 AM,05:44 AM,05:38 PM,20,33,33,31,14,51,51,0.1,1012,31,10,57,12
2019-12-05 15:00:00,32,18,0.0,10.2,7,7,55,01:00 PM,12:34 AM,05:44 AM,05:38 PM,21,33,33,31,12,73,55,0.2,1010,31,9,50,10
2019-12-05 18:00:00,32,18,0.0,10.2,7,1,55,01:00 PM,12:34 AM,05:44 AM,05:38 PM,18,31,31,28,10,81,69,0.3,1011,28,9,21,6
