date_time,Maungatapere_maxtempC,Maungatapere_mintempC,Maungatapere_totalSnow_cm,Maungatapere_sunHour,Maungatapere_uvIndex,Maungatapere_uvIndex,Maungatapere_moon_illumination,Maungatapere_moonrise,Maungatapere_moonset,Maungatapere_sunrise,Maungatapere_sunset,Maungatapere_DewPointC,Maungatapere_FeelsLikeC,Maungatapere_HeatIndexC,Maungatapere_WindChillC,Maungatapere_WindGustKmph,Maungatapere_cloudcover,Maungatapere_humidity,Maungatapere_precipMM,Maungatapere_pressure,Maungatapere_tempC,Maungatapere_visibility,Maungatapere_winddirDegree,Maungatapere_windspeedKmph
2019-12-04 00:00:00,27,12,0.0,12.3,6,1,48,11:43 AM,12:42 AM,05:00 AM,07:27 PM,11,14,13,14,8,3,90,0.0,1012,13,10,319,4
2019-12-04 03:00:00,27,12,0.0,12.3,6,1,48,11:43 AM,12:42 AM,05:00 AM,07:27 PM,10,12,12,12,6,7,89,0.0,1012,12,10,323,3
2019-12-04 06:00:00,27,12,0.0,12.3,6,1,48,11:43 AM,12:42 AM,05:00 AM,07:27 PM,11,14,14,14,5,34,82,0.0,1012,14,10,310,3
2019-12-04 09:00:00,27,12,0.0,12.3,6,5,48,11:43 AM,12:42 AM,05:00 AM,07:27 PM,12,25,25,23,7,77,51,0.0,1012,23,10,357,6
2019-12-04 12:00:00,27,12,0.0,12.3,6,7,48,11:43 AM,12:42 AM,05:00 AM,07:27 PM,16,26,26,25,9,53,59,0.0,1011,25,10,343,8
2019-12-04 15:00:00,27,12,0.0,12.3,6,7,48,11:43 AM,12:42 AM,05:00 AM,07:27 PM,13,27,27,27,6,25,40,0.0,1010,27,10,298,6
2019-12-04 18:00:00,27,12,0.0,12.3,6,1,48,11:43 AM,12:42 AM,05:00 AM,07:27 PM,16,29,29,25,3,63,78,0.0,1010,25,10,226,1
2019-12-04 21:00:00,27,12,0.0,12.3,6,1,48,11:43 AM,12:42 AM,05:00 AM,07:27 PM,15,27,27,23,6,80,93,0.2,1012,23,9,226,3
2019-12-05 00:00:00,27,13,0.0,13.4,5,1,55,12:38 PM,01:12 AM,05:00 AM,07:27 PM,13,14,14,14,6,10,96,0.0,1012,14,2,228,3
2019-12-05 03:00:00,27,13,0.0,13.4,5,1,55,12:38 PM,01:12 AM,05:00 AM,07:27 PM,13,13,13,13,4,18,97,0.0,1011,13,2,316,2
2019-12-05 06:00:00,27,13,0.0,13.4,5,1,55,12:38 PM,01:12 AM,05:00 AM,07:27 PM,14,14,14,14,4,24,96,0.0,1011,14,2,331,2
2019-12-05 09:00:00,27,13,0.0,13.4,5,6,55,12:38 PM,01:12 AM,05:00 AM,07:27 PM,15,25,25,23,6,41,63,0.0,1012,23,10,358,5
2019-12-05 12:00:00,27,13,0.0,13.4,5,7,55,12:38 PM,01:12 AM,05:00 AM,07:27 PM,14,27,27,27,5,30,45,0.0,1012,27,10,2,4
2019-12-05 15:00:00,27,13,0.0,13.4,5,5,55,12:38 PM,01:12 AM,05:00 AM,07:27 PM,14,26,26,25,8,81,50,0.1,1012,25,10,187,6
2019-12-05 18:00:00,27,13,0.0,13.4,5,1,55,12:38 PM,01:12 AM,05:00 AM,07:27 PM,13,25,25,23,12,10,53,0.0,1012,23,10,205,8
2019-12-05 21:00:00,27,13,0.0,13.4,5,1,55,12:38 PM,01:12 AM,05:00 AM,07:27 PM,13,20,22,20,9,2,89,0.0,1014,20,10,229,4
2019-12-06 00:00:00,27,12,0.0,13.4,6,1,62,01:34 PM,01:41 AM,05:00 AM,07:28 PM,11,13,13,13,8,2,92,0.0,1014,13,10,281,4
2019-12-06 03:00:00,27,12,0.0,13.4,6,1,62,01:34 PM,01:41 AM,05:00 AM,07:28 PM,10,13,12,13,7,2,86,0.0,1014,12,10,319,3
2019-12-06 06:00:00,27,12,0.0,13.4,6,1,62,01:34 PM,01:41 AM,05:00 AM,07:28 PM,10,13,13,13,6,0,80,0.0,1014,13,10,319,3
2019-12-06 09:00:00,27,12,0.0,13.4,6,6,62,01:34 PM,01:41 AM,05:00 AM,07:28 PM,10,24,24,23,6,0,44,0.0,1016,23,10,0,5
2019-12-06 12:00:00,27,12,0.0,13.4,6,7,62,01:34 PM,01:41 AM,05:00 AM,07:28 PM,10,26,26,27,11,7,36,0.0,1015,27,10,8,9
2019-12-06 15:00:00,27,12,0.0,13.4,6,5,62,01:34 PM,01:41 AM,05:00 AM,07:28 PM,21,25,25,22,16,74,91,2.9,1015,22,7,325,10
2019-12-06 18:00:00,27,12,0.0,13.4,6,1,62,01:34 PM,01:41 AM,05:00 AM,07:28 PM,20,21,21,21,9,15,95,0.0,1014,21,2,329,6
2019-12-06 21:00:00,27,12,0.0,13.4,6,1,62,01:34 PM,01:41 AM,05:00 AM,07:28 PM,17,17,17,17,9,83,98,0.2,1017,17,9,333,4
2019-12-07 00:00:00,28,15,0.0,11.2,5,1,70,02:29 PM,02:07 AM,05:00 AM,07:29 PM,16,16,16,16,10,100,99,0.0,1017,16,0,338,5
2019-12-07 03:00:00,28,15,0.0,11.2,5,1,70,02:29 PM,02:07 AM,05:00 AM,07:29 PM,15,15,15,15,10,100,99,0.0,1017,15,0,338,5
2019-12-07 06:00:00,28,15,0.0,11.2,5,1,70,02:29 PM,02:07 AM,05:00 AM,07:29 PM,16,16,16,16,12,100,99,0.0,1017,16,0,342,6
2019-12-07 09:00:00,28,15,0.0,11.2,5,6,70,02:29 PM,02:07 AM,05:00 AM,07:29 PM,16,25,25,23,12,0,62,0.0,1019,23,10,328,10
2019-12-07 12:00:00,28,15,0.0,11.2,5,7,70,02:29 PM,02:07 AM,05:00 AM,07:29 PM,14,28,28,28,13,20,42,0.0,1018,28,10,336,11
2019-12-07 15:00:00,28,15,0.0,11.2,5,5,70,02:29 PM,02:07 AM,05:00 AM,07:29 PM,16,26,26,25,8,86,56,0.9,1018,25,9,329,6
2019-12-07 18:00:00,28,15,0.0,11.2,5,1,70,02:29 PM,02:07 AM,05:00 AM,07:29 PM,19,22,25,22,10,82,82,0.8,1017,22,9,351,6
2019-12-07 21:00:00,28,15,0.0,11.2,5,1,70,02:29 PM,02:07 AM,05:00 AM,07:29 PM,16,18,18,18,13,83,92,0.1,1020,18,10,353,7
2019-12-08 00:00:00,27,16,0.0,13.4,5,1,77,03:26 PM,02:34 AM,05:00 AM,07:30 PM,16,16,16,16,14,43,95,0.0,1019,16,2,353,7
2019-12-08 03:00:00,27,16,0.0,13.4,5,1,77,03:26 PM,02:34 AM,05:00 AM,07:30 PM,16,16,16,16,13,100,98,0.0,1018,16,0,347,6
2019-12-08 06:00:00,27,16,0.0,13.4,5,1,77,03:26 PM,02:34 AM,05:00 AM,07:30 PM,16,17,17,17,11,100,97,0.0,1017,17,0,347,6
2019-12-08 09:00:00,27,16,0.0,13.4,5,6,77,03:26 PM,02:34 AM,05:00 AM,07:30 PM,15,25,25,24,15,34,59,0.0,1017,24,10,342,13
2019-12-08 12:00:00,27,16,0.0,13.4,5,7,77,03:26 PM,02:34 AM,05:00 AM,07:30 PM,14,27,27,27,19,53,46,0.0,1017,27,10,337,17
2019-12-08 15:00:00,27,16,0.0,13.4,5,7,77,03:26 PM,02:34 AM,05:00 AM,07:30 PM,15,26,26,26,21,17,50,0.0,1015,26,10,342,16
2019-12-08 18:00:00,27,16,0.0,13.4,5,1,77,03:26 PM,02:34 AM,05:00 AM,07:30 PM,16,25,25,24,17,13,61,0.0,1013,24,10,322,12
2019-12-08 21:00:00,27,16,0.0,13.4,5,1,77,03:26 PM,02:34 AM,05:00 AM,07:30 PM,16,22,25,22,12,67,83,0.0,1015,22,10,325,7
2019-12-09 00:00:00,22,13,0.0,11.2,4,1,84,04:24 PM,03:03 AM,05:00 AM,07:31 PM,16,17,17,17,10,100,93,0.0,1014,17,9,282,6
2019-12-09 03:00:00,22,13,0.0,11.2,4,1,84,04:24 PM,03:03 AM,05:00 AM,07:31 PM,13,14,14,14,12,72,98,2.8,1014,14,7,228,6
2019-12-09 06:00:00,22,13,0.0,11.2,4,1,84,04:24 PM,03:03 AM,05:00 AM,07:31 PM,13,13,14,13,13,100,97,0.0,1014,14,0,226,8
2019-12-09 09:00:00,22,13,0.0,11.2,4,5,84,04:24 PM,03:03 AM,05:00 AM,07:31 PM,10,19,19,19,13,11,57,0.0,1016,19,10,216,12
2019-12-09 12:00:00,22,13,0.0,11.2,4,5,84,04:24 PM,03:03 AM,05:00 AM,07:31 PM,9,22,24,22,14,100,45,0.0,1015,22,10,225,13
2019-12-09 15:00:00,22,13,0.0,11.2,4,5,84,04:24 PM,03:03 AM,05:00 AM,07:31 PM,11,20,20,20,17,74,54,0.4,1014,20,9,225,14
2019-12-09 18:00:00,22,13,0.0,11.2,4,1,84,04:24 PM,03:03 AM,05:00 AM,07:31 PM,9,18,18,18,18,5,57,0.0,1013,18,10,216,14
2019-12-09 21:00:00,22,13,0.0,11.2,4,1,84,04:24 PM,03:03 AM,05:00 AM,07:31 PM,10,12,13,12,15,5,81,0.0,1016,13,10,212,9
