date_time,Maylands_maxtempC,Maylands_mintempC,Maylands_totalSnow_cm,Maylands_sunHour,Maylands_uvIndex,Maylands_uvIndex,Maylands_moon_illumination,Maylands_moonrise,Maylands_moonset,Maylands_sunrise,Maylands_sunset,Maylands_DewPointC,Maylands_FeelsLikeC,Maylands_HeatIndexC,Maylands_WindChillC,Maylands_WindGustKmph,Maylands_cloudcover,Maylands_humidity,Maylands_precipMM,Maylands_pressure,Maylands_tempC,Maylands_visibility,Maylands_winddirDegree,Maylands_windspeedKmph
2019-12-04 00:00:00,35,24,0.0,13.4,7,1,48,11:50 AM,12:35 AM,05:03 AM,07:10 PM,11,26,26,27,9,28,38,0.0,1011,27,10,157,5
2019-12-04 03:00:00,35,24,0.0,13.4,7,1,48,11:50 AM,12:35 AM,05:03 AM,07:10 PM,10,25,25,24,9,64,40,0.0,1010,24,10,134,4
2019-12-04 06:00:00,35,24,0.0,13.4,7,1,48,11:50 AM,12:35 AM,05:03 AM,07:10 PM,10,26,26,25,5,54,39,0.0,1011,25,10,148,3
2019-12-04 09:00:00,35,24,0.0,13.4,7,8,48,11:50 AM,12:35 AM,05:03 AM,07:10 PM,10,29,29,30,10,67,30,0.0,1012,30,10,200,9
2019-12-04 12:00:00,35,24,0.0,13.4,7,8,48,11:50 AM,12:35 AM,05:03 AM,07:10 PM,10,33,33,35,19,6,22,0.0,1011,35,10,229,17
2019-12-04 15:00:00,35,24,0.0,13.4,7,8,48,11:50 AM,12:35 AM,05:03 AM,07:10 PM,10,33,33,34,27,10,23,0.0,1010,34,10,221,23
2019-12-04 18:00:00,35,24,0.0,13.4,7,1,48,11:50 AM,12:35 AM,05:03 AM,07:10 PM,10,30,30,31,28,18,28,0.0,1011,31,10,203,21
2019-12-04 21:00:00,35,24,0.0,13.4,7,1,48,11:50 AM,12:35 AM,05:03 AM,07:10 PM,12,27,27,28,32,10,37,0.0,1013,28,10,167,19
2019-12-05 00:00:00,38,23,0.0,14.1,8,1,55,12:44 PM,01:06 AM,05:03 AM,07:11 PM,11,27,27,27,37,8,39,0.0,1014,27,10,114,23
2019-12-05 03:00:00,38,23,0.0,14.1,8,1,55,12:44 PM,01:06 AM,05:03 AM,07:11 PM,9,25,25,24,34,1,38,0.0,1014,24,10,108,21
2019-12-05 06:00:00,38,23,0.0,14.1,8,1,55,12:44 PM,01:06 AM,05:03 AM,07:11 PM,10,25,25,24,23,1,41,0.0,1014,24,10,103,15
2019-12-05 09:00:00,38,23,0.0,14.1,8,7,55,12:44 PM,01:06 AM,05:03 AM,07:11 PM,10,29,29,30,16,1,30,0.0,1014,30,10,100,14
2019-12-05 12:00:00,38,23,0.0,14.1,8,9,55,12:44 PM,01:06 AM,05:03 AM,07:11 PM,8,35,35,36,14,1,17,0.0,1013,36,10,126,12
2019-12-05 15:00:00,38,23,0.0,14.1,8,9,55,12:44 PM,01:06 AM,05:03 AM,07:11 PM,9,36,36,37,17,1,19,0.0,1010,37,10,176,14
2019-12-05 18:00:00,38,23,0.0,14.1,8,1,55,12:44 PM,01:06 AM,05:03 AM,07:11 PM,10,31,31,33,32,1,24,0.0,1009,33,10,187,24
2019-12-05 21:00:00,38,23,0.0,14.1,8,1,55,12:44 PM,01:06 AM,05:03 AM,07:11 PM,8,29,29,30,39,2,25,0.0,1010,30,10,143,22
2019-12-06 00:00:00,36,24,0.0,14.1,8,1,62,01:38 PM,01:36 AM,05:03 AM,07:12 PM,8,28,28,29,41,4,27,0.0,1011,29,10,85,24
2019-12-06 03:00:00,36,24,0.0,14.1,8,1,62,01:38 PM,01:36 AM,05:03 AM,07:12 PM,10,27,27,28,49,9,34,0.0,1009,28,10,78,31
