date_time,Melville_maxtempC,Melville_mintempC,Melville_totalSnow_cm,Melville_sunHour,Melville_uvIndex,Melville_uvIndex,Melville_moon_illumination,Melville_moonrise,Melville_moonset,Melville_sunrise,Melville_sunset,Melville_DewPointC,Melville_FeelsLikeC,Melville_HeatIndexC,Melville_WindChillC,Melville_WindGustKmph,Melville_cloudcover,Melville_humidity,Melville_precipMM,Melville_pressure,Melville_tempC,Melville_visibility,Melville_winddirDegree,Melville_windspeedKmph
2019-12-04 00:00:00,4,0,0.0,3.5,2,1,48,01:55 PM,12:15 AM,08:01 AM,05:26 PM,-5,-5,-0,-5,28,62,71,0.0,1002,-0,10,294,19
2019-12-04 03:00:00,4,0,0.0,3.5,2,1,48,01:55 PM,12:15 AM,08:01 AM,05:26 PM,-3,-4,0,-4,26,73,79,0.0,1002,0,10,291,17
2019-12-04 06:00:00,4,0,0.0,3.5,2,1,48,01:55 PM,12:15 AM,08:01 AM,05:26 PM,-2,-3,1,-3,22,100,81,0.0,1002,1,10,274,15
2019-12-04 09:00:00,4,0,0.0,3.5,2,1,48,01:55 PM,12:15 AM,08:01 AM,05:26 PM,-1,-2,2,-2,21,91,84,0.0,1002,2,10,264,14
2019-12-04 12:00:00,4,0,0.0,3.5,2,1,48,01:55 PM,12:15 AM,08:01 AM,05:26 PM,0,-1,3,-1,22,83,82,0.0,1001,3,10,263,17
2019-12-04 15:00:00,4,0,0.0,3.5,2,1,48,01:55 PM,12:15 AM,08:01 AM,05:26 PM,-0,-0,4,-0,23,100,75,0.0,1000,4,10,263,17
2019-12-04 18:00:00,4,0,0.0,3.5,2,1,48,01:55 PM,12:15 AM,08:01 AM,05:26 PM,-1,1,4,1,20,91,70,0.0,1000,4,10,274,13
2019-12-04 21:00:00,4,0,0.0,3.5,2,1,48,01:55 PM,12:15 AM,08:01 AM,05:26 PM,-1,0,4,0,21,73,74,0.0,1001,4,10,275,14
2019-12-05 00:00:00,4,2,0.0,8.7,1,1,55,02:20 PM,01:14 AM,08:02 AM,05:26 PM,1,-1,3,-1,24,73,84,0.0,1001,3,10,271,16
2019-12-05 03:00:00,4,2,0.0,8.7,1,1,55,02:20 PM,01:14 AM,08:02 AM,05:26 PM,-0,-2,3,-2,23,52,83,0.0,1001,3,10,285,15
2019-12-05 06:00:00,4,2,0.0,8.7,1,2,55,02:20 PM,01:14 AM,08:02 AM,05:26 PM,-2,-2,2,-2,28,25,76,0.0,1002,2,10,289,18
2019-12-05 09:00:00,4,2,0.0,8.7,1,2,55,02:20 PM,01:14 AM,08:02 AM,05:26 PM,-3,-3,3,-3,34,26,69,0.0,1005,3,10,293,24
2019-12-05 12:00:00,4,2,0.0,8.7,1,2,55,02:20 PM,01:14 AM,08:02 AM,05:26 PM,-4,-1,4,-1,35,16,58,0.0,1007,4,10,295,28
2019-12-05 15:00:00,4,2,0.0,8.7,1,2,55,02:20 PM,01:14 AM,08:02 AM,05:26 PM,-5,-1,4,-1,36,25,52,0.0,1009,4,10,298,28
2019-12-05 18:00:00,4,2,0.0,8.7,1,2,55,02:20 PM,01:14 AM,08:02 AM,05:26 PM,-5,-1,4,-1,37,58,52,0.0,1012,4,10,297,27
2019-12-05 21:00:00,4,2,0.0,8.7,1,1,55,02:20 PM,01:14 AM,08:02 AM,05:26 PM,-5,-3,3,-3,39,60,57,0.0,1016,3,10,298,27
