date_time,Merredin_maxtempC,Merredin_mintempC,Merredin_totalSnow_cm,Merredin_sunHour,Merredin_uvIndex,Merredin_uvIndex,Merredin_moon_illumination,Merredin_moonrise,Merredin_moonset,Merredin_sunrise,Merredin_sunset,Merredin_DewPointC,Merredin_FeelsLikeC,Merredin_HeatIndexC,Merredin_WindChillC,Merredin_WindGustKmph,Merredin_cloudcover,Merredin_humidity,Merredin_precipMM,Merredin_pressure,Merredin_tempC,Merredin_visibility,Merredin_winddirDegree,Merredin_windspeedKmph
2019-12-04 00:00:00,40,24,0.0,11.1,8,1,48,11:41 AM,12:24 AM,04:55 AM,06:59 PM,3,32,32,31,15,81,22,0.1,1011,31,10,206,8
2019-12-04 03:00:00,40,24,0.0,11.1,8,1,48,11:41 AM,12:24 AM,04:55 AM,06:59 PM,3,24,24,24,26,50,24,0.1,1010,24,10,71,13
2019-12-04 06:00:00,40,24,0.0,11.1,8,1,48,11:41 AM,12:24 AM,04:55 AM,06:59 PM,1,25,25,27,28,38,20,0.0,1011,27,10,131,17
2019-12-04 09:00:00,40,24,0.0,11.1,8,7,48,11:41 AM,12:24 AM,04:55 AM,06:59 PM,2,32,32,33,23,92,14,0.2,1011,33,10,348,20
2019-12-04 12:00:00,40,24,0.0,11.1,8,8,48,11:41 AM,12:24 AM,04:55 AM,06:59 PM,3,38,38,38,19,80,11,0.7,1010,38,9,309,15
2019-12-04 15:00:00,40,24,0.0,11.1,8,9,48,11:41 AM,12:24 AM,04:55 AM,06:59 PM,2,39,39,39,18,64,10,0.5,1008,39,9,253,14
2019-12-04 18:00:00,40,24,0.0,11.1,8,1,48,11:41 AM,12:24 AM,04:55 AM,06:59 PM,3,39,39,38,25,19,13,0.0,1009,38,10,211,17
2019-12-04 21:00:00,40,24,0.0,11.1,8,1,48,11:41 AM,12:24 AM,04:55 AM,06:59 PM,6,39,39,36,38,21,23,0.0,1013,36,10,151,22
2019-12-05 00:00:00,39,19,0.0,14.5,8,1,55,12:34 PM,12:56 AM,04:55 AM,07:00 PM,9,33,33,30,39,6,38,0.0,1014,30,10,127,27
2019-12-05 03:00:00,39,19,0.0,14.5,8,1,55,12:34 PM,12:56 AM,04:55 AM,07:00 PM,10,21,22,21,35,6,50,0.0,1014,21,10,127,21
2019-12-05 06:00:00,39,19,0.0,14.5,8,1,55,12:34 PM,12:56 AM,04:55 AM,07:00 PM,11,21,21,21,31,5,52,0.0,1015,21,10,121,21
2019-12-05 09:00:00,39,19,0.0,14.5,8,7,55,12:34 PM,12:56 AM,04:55 AM,07:00 PM,10,29,29,29,22,4,31,0.0,1015,29,10,103,19
2019-12-05 12:00:00,39,19,0.0,14.5,8,9,55,12:34 PM,12:56 AM,04:55 AM,07:00 PM,7,35,35,37,15,3,16,0.0,1013,37,10,94,13
2019-12-05 15:00:00,39,19,0.0,14.5,8,9,55,12:34 PM,12:56 AM,04:55 AM,07:00 PM,4,38,38,39,9,3,12,0.0,1010,39,10,112,8
2019-12-05 18:00:00,39,19,0.0,14.5,8,1,55,12:34 PM,12:56 AM,04:55 AM,07:00 PM,4,38,38,38,14,2,13,0.0,1010,38,10,142,9
2019-12-05 21:00:00,39,19,0.0,14.5,8,1,55,12:34 PM,12:56 AM,04:55 AM,07:00 PM,7,38,38,36,29,3,25,0.0,1012,36,10,115,17
2019-12-06 00:00:00,42,23,0.0,14.5,9,1,62,01:28 PM,01:26 AM,04:55 AM,07:01 PM,10,33,33,31,41,7,40,0.0,1013,31,10,99,28
