date_time,Merriwa_maxtempC,Merriwa_mintempC,Merriwa_totalSnow_cm,Merriwa_sunHour,Merriwa_uvIndex,Merriwa_uvIndex,Merriwa_moon_illumination,Merriwa_moonrise,Merriwa_moonset,Merriwa_sunrise,Merriwa_sunset,Merriwa_DewPointC,Merriwa_FeelsLikeC,Merriwa_HeatIndexC,Merriwa_WindChillC,Merriwa_WindGustKmph,Merriwa_cloudcover,Merriwa_humidity,Merriwa_precipMM,Merriwa_pressure,Merriwa_tempC,Merriwa_visibility,Merriwa_winddirDegree,Merriwa_windspeedKmph
2019-12-04 00:00:00,28,12,0.0,14.1,6,1,48,11:27 AM,12:14 AM,04:45 AM,06:52 PM,3,15,16,15,18,4,47,0.0,1010,16,10,328,8
2019-12-04 03:00:00,28,12,0.0,14.1,6,1,48,11:27 AM,12:14 AM,04:45 AM,06:52 PM,4,12,13,12,15,2,55,0.0,1011,13,10,352,8
2019-12-04 06:00:00,28,12,0.0,14.1,6,1,48,11:27 AM,12:14 AM,04:45 AM,06:52 PM,5,16,16,16,12,0,48,0.0,1012,16,10,313,8
2019-12-04 09:00:00,28,12,0.0,14.1,6,6,48,11:27 AM,12:14 AM,04:45 AM,06:52 PM,2,21,21,21,14,1,30,0.0,1012,21,10,277,12
2019-12-04 12:00:00,28,12,0.0,14.1,6,7,48,11:27 AM,12:14 AM,04:45 AM,06:52 PM,-1,25,25,26,21,0,18,0.0,1010,26,10,270,18
2019-12-04 15:00:00,28,12,0.0,14.1,6,7,48,11:27 AM,12:14 AM,04:45 AM,06:52 PM,-1,25,25,27,24,0,16,0.0,1008,27,10,267,20
2019-12-04 18:00:00,28,12,0.0,14.1,6,1,48,11:27 AM,12:14 AM,04:45 AM,06:52 PM,0,27,27,26,19,0,25,0.0,1009,26,10,265,12
2019-12-04 21:00:00,28,12,0.0,14.1,6,1,48,11:27 AM,12:14 AM,04:45 AM,06:52 PM,1,25,25,22,15,0,34,0.0,1012,22,10,289,8
2019-12-05 00:00:00,32,12,0.0,14.1,7,1,55,12:20 PM,12:46 AM,04:45 AM,06:53 PM,1,16,17,16,13,0,40,0.0,1012,16,10,313,6
2019-12-05 03:00:00,32,12,0.0,14.1,7,1,55,12:20 PM,12:46 AM,04:45 AM,06:53 PM,1,13,13,13,13,0,44,0.0,1012,13,10,339,6
2019-12-05 06:00:00,32,12,0.0,14.1,7,1,55,12:20 PM,12:46 AM,04:45 AM,06:53 PM,2,17,17,17,10,0,37,0.0,1013,17,10,332,6
2019-12-05 09:00:00,32,12,0.0,14.1,7,6,55,12:20 PM,12:46 AM,04:45 AM,06:53 PM,3,23,23,24,12,0,26,0.0,1012,24,10,285,10
2019-12-05 12:00:00,32,12,0.0,14.1,7,8,55,12:20 PM,12:46 AM,04:45 AM,06:53 PM,3,28,28,30,19,3,18,0.0,1010,30,10,269,16
2019-12-05 15:00:00,32,12,0.0,14.1,7,8,55,12:20 PM,12:46 AM,04:45 AM,06:53 PM,1,28,28,31,22,3,15,0.0,1008,31,10,275,18
2019-12-05 18:00:00,32,12,0.0,14.1,7,1,55,12:20 PM,12:46 AM,04:45 AM,06:53 PM,2,30,30,28,21,3,23,0.0,1008,28,10,310,13
2019-12-05 21:00:00,32,12,0.0,14.1,7,1,55,12:20 PM,12:46 AM,04:45 AM,06:53 PM,3,30,30,26,17,4,31,0.0,1009,26,10,329,8
2019-12-06 00:00:00,32,17,0.0,13.4,7,1,62,01:14 PM,01:16 AM,04:45 AM,06:54 PM,3,20,22,20,16,3,35,0.0,1009,20,10,342,8
2019-12-06 03:00:00,32,17,0.0,13.4,7,1,62,01:14 PM,01:16 AM,04:45 AM,06:54 PM,2,17,17,17,15,67,35,0.0,1009,17,10,353,7
2019-12-06 06:00:00,32,17,0.0,13.4,7,1,62,01:14 PM,01:16 AM,04:45 AM,06:54 PM,4,21,21,21,10,72,32,0.0,1010,21,10,352,6
2019-12-06 09:00:00,32,17,0.0,13.4,7,7,62,01:14 PM,01:16 AM,04:45 AM,06:54 PM,3,26,26,27,16,21,22,0.0,1009,27,10,305,13
