date_time,Mildura_maxtempC,Mildura_mintempC,Mildura_totalSnow_cm,Mildura_sunHour,Mildura_uvIndex,Mildura_uvIndex,Mildura_moon_illumination,Mildura_moonrise,Mildura_moonset,Mildura_sunrise,Mildura_sunset,Mildura_DewPointC,Mildura_FeelsLikeC,Mildura_HeatIndexC,Mildura_WindChillC,Mildura_WindGustKmph,Mildura_cloudcover,Mildura_humidity,Mildura_precipMM,Mildura_pressure,Mildura_tempC,Mildura_visibility,Mildura_winddirDegree,Mildura_windspeedKmph
2019-12-04 00:00:00,30,10,0.0,14.2,6,1,48,11:58 AM,12:51 AM,05:13 AM,07:31 PM,7,13,15,13,32,0,66,0.0,1014,15,10,220,19
2019-12-04 03:00:00,30,10,0.0,14.2,6,1,48,11:58 AM,12:51 AM,05:13 AM,07:31 PM,8,9,11,9,25,8,85,0.0,1014,11,10,234,15
2019-12-04 06:00:00,30,10,0.0,14.2,6,1,48,11:58 AM,12:51 AM,05:13 AM,07:31 PM,8,10,12,10,23,20,77,0.0,1016,12,10,232,17
2019-12-04 09:00:00,30,10,0.0,14.2,6,5,48,11:58 AM,12:51 AM,05:13 AM,07:31 PM,7,17,18,17,22,8,51,0.0,1016,18,10,240,18
2019-12-04 12:00:00,30,10,0.0,14.2,6,6,48,11:58 AM,12:51 AM,05:13 AM,07:31 PM,4,24,24,25,26,2,28,0.0,1014,25,10,244,22
2019-12-04 15:00:00,30,10,0.0,14.2,6,7,48,11:58 AM,12:51 AM,05:13 AM,07:31 PM,5,27,27,29,30,4,22,0.0,1012,29,10,236,26
2019-12-04 18:00:00,30,10,0.0,14.2,6,1,48,11:58 AM,12:51 AM,05:13 AM,07:31 PM,5,26,26,28,31,7,23,0.0,1012,28,10,218,22
2019-12-04 21:00:00,30,10,0.0,14.2,6,1,48,11:58 AM,12:51 AM,05:13 AM,07:31 PM,5,27,27,26,32,4,31,0.0,1013,26,10,200,17
2019-12-05 00:00:00,32,14,0.0,14.2,7,1,55,12:53 PM,01:22 AM,05:13 AM,07:32 PM,5,19,20,19,25,1,44,0.0,1013,19,10,199,12
2019-12-05 03:00:00,32,14,0.0,14.2,7,1,55,12:53 PM,01:22 AM,05:13 AM,07:32 PM,7,14,15,14,22,2,61,0.0,1012,15,10,228,10
2019-12-05 06:00:00,32,14,0.0,14.2,7,1,55,12:53 PM,01:22 AM,05:13 AM,07:32 PM,8,15,16,15,20,1,61,0.0,1012,16,10,244,14
2019-12-05 09:00:00,32,14,0.0,14.2,7,6,55,12:53 PM,01:22 AM,05:13 AM,07:32 PM,4,22,21,22,23,0,35,0.0,1012,22,10,261,19
2019-12-05 12:00:00,32,14,0.0,14.2,7,7,55,12:53 PM,01:22 AM,05:13 AM,07:32 PM,2,26,26,28,30,4,19,0.0,1011,28,10,260,26
2019-12-05 15:00:00,32,14,0.0,14.2,7,8,55,12:53 PM,01:22 AM,05:13 AM,07:32 PM,3,29,29,31,34,4,16,0.0,1009,31,10,251,30
2019-12-05 18:00:00,32,14,0.0,14.2,7,1,55,12:53 PM,01:22 AM,05:13 AM,07:32 PM,5,31,31,29,45,23,22,0.0,1009,29,10,222,32
