date_time,Milton_maxtempC,Milton_mintempC,Milton_totalSnow_cm,Milton_sunHour,Milton_uvIndex,Milton_uvIndex,Milton_moon_illumination,Milton_moonrise,Milton_moonset,Milton_sunrise,Milton_sunset,Milton_DewPointC,Milton_FeelsLikeC,Milton_HeatIndexC,Milton_WindChillC,Milton_WindGustKmph,Milton_cloudcover,Milton_humidity,Milton_precipMM,Milton_pressure,Milton_tempC,Milton_visibility,Milton_winddirDegree,Milton_windspeedKmph
2019-12-04 00:00:00,2,-0,0.0,3.4,1,1,48,02:25 PM,12:37 AM,08:35 AM,05:44 PM,-2,-4,0,-4,24,76,84,0.0,1000,0,10,246,18
2019-12-04 03:00:00,2,-0,0.0,3.4,1,1,48,02:25 PM,12:37 AM,08:35 AM,05:44 PM,-2,-5,0,-5,23,72,86,0.0,998,0,10,235,16
2019-12-04 06:00:00,2,-0,0.0,3.4,1,1,48,02:25 PM,12:37 AM,08:35 AM,05:44 PM,-1,-4,1,-4,24,75,86,0.0,997,1,10,237,17
2019-12-04 09:00:00,2,-0,0.0,3.4,1,1,48,02:25 PM,12:37 AM,08:35 AM,05:44 PM,-1,-3,1,-3,25,65,85,0.0,997,1,10,244,18
2019-12-04 12:00:00,2,-0,0.0,3.4,1,1,48,02:25 PM,12:37 AM,08:35 AM,05:44 PM,-1,-3,2,-3,23,95,81,0.0,996,2,10,250,18
2019-12-04 15:00:00,2,-0,0.0,3.4,1,1,48,02:25 PM,12:37 AM,08:35 AM,05:44 PM,-1,-2,2,-2,23,79,79,0.0,997,2,10,259,18
2019-12-04 18:00:00,2,-0,0.0,3.4,1,1,48,02:25 PM,12:37 AM,08:35 AM,05:44 PM,-1,-3,2,-3,27,71,83,0.0,998,2,10,270,19
2019-12-04 21:00:00,2,-0,0.0,3.4,1,1,48,02:25 PM,12:37 AM,08:35 AM,05:44 PM,-2,-4,1,-4,28,71,81,0.0,1000,1,10,281,20
2019-12-05 00:00:00,1,-4,0.2,3.4,2,1,55,02:48 PM,01:38 AM,08:36 AM,05:44 PM,-3,-4,1,-4,28,52,79,0.0,1001,1,10,292,19
2019-12-05 03:00:00,1,-4,0.2,3.4,2,1,55,02:48 PM,01:38 AM,08:36 AM,05:44 PM,-4,-5,-0,-5,25,40,78,0.0,1004,-0,10,292,18
2019-12-05 06:00:00,1,-4,0.2,3.4,2,1,55,02:48 PM,01:38 AM,08:36 AM,05:44 PM,-4,-6,-1,-6,22,55,77,0.0,1007,-1,8,298,16
2019-12-05 09:00:00,1,-4,0.2,3.4,2,1,55,02:48 PM,01:38 AM,08:36 AM,05:44 PM,-4,-6,-1,-6,21,94,78,0.1,1010,-1,6,300,16
2019-12-05 12:00:00,1,-4,0.2,3.4,2,1,55,02:48 PM,01:38 AM,08:36 AM,05:44 PM,-6,-6,-0,-6,30,81,66,0.1,1012,-0,7,299,24
2019-12-05 15:00:00,1,-4,0.2,3.4,2,2,55,02:48 PM,01:38 AM,08:36 AM,05:44 PM,-5,-5,0,-5,27,67,66,0.1,1014,0,8,293,22
2019-12-05 18:00:00,1,-4,0.2,3.4,2,2,55,02:48 PM,01:38 AM,08:36 AM,05:44 PM,-5,-5,-0,-5,22,45,70,0.0,1016,-0,10,285,16
2019-12-05 21:00:00,1,-4,0.2,3.4,2,1,55,02:48 PM,01:38 AM,08:36 AM,05:44 PM,-4,-4,-1,-4,17,48,76,0.0,1018,-2,10,269,12
2019-12-06 00:00:00,2,-2,0.6,3.4,1,1,62,03:11 PM,02:37 AM,08:37 AM,05:43 PM,-4,-3,-1,-3,13,73,79,0.0,1018,-2,10,249,9
2019-12-06 03:00:00,2,-2,0.6,3.4,1,1,62,03:11 PM,02:37 AM,08:37 AM,05:43 PM,-3,-3,-0,-3,9,100,83,0.1,1017,-0,7,195,7
2019-12-06 06:00:00,2,-2,0.6,3.4,1,1,62,03:11 PM,02:37 AM,08:37 AM,05:43 PM,-1,-2,0,-2,9,100,95,0.3,1014,0,1,146,6
2019-12-06 09:00:00,2,-2,0.6,3.4,1,1,62,03:11 PM,02:37 AM,08:37 AM,05:43 PM,1,-2,1,-2,14,100,98,0.6,1012,1,1,205,9
2019-12-06 12:00:00,2,-2,0.6,3.4,1,1,62,03:11 PM,02:37 AM,08:37 AM,05:43 PM,1,-2,2,-2,22,92,95,1.3,1014,2,5,305,15
2019-12-06 15:00:00,2,-2,0.6,3.4,1,1,62,03:11 PM,02:37 AM,08:37 AM,05:43 PM,-1,-3,1,-3,20,76,86,0.0,1017,1,10,331,15
2019-12-06 18:00:00,2,-2,0.6,3.4,1,2,62,03:11 PM,02:37 AM,08:37 AM,05:43 PM,-3,-4,0,-4,23,59,79,0.1,1020,0,9,316,16
2019-12-06 21:00:00,2,-2,0.6,3.4,1,1,62,03:11 PM,02:37 AM,08:37 AM,05:43 PM,-4,-7,-1,-7,27,14,80,0.0,1023,-1,10,290,18
2019-12-07 00:00:00,-0,-5,0.0,3.4,2,1,70,03:34 PM,03:38 AM,08:38 AM,05:43 PM,-6,-8,-2,-8,26,4,79,0.0,1025,-2,10,298,17
2019-12-07 03:00:00,-0,-5,0.0,3.4,2,1,70,03:34 PM,03:38 AM,08:38 AM,05:43 PM,-6,-9,-3,-9,22,8,80,0.0,1026,-3,10,302,16
2019-12-07 06:00:00,-0,-5,0.0,3.4,2,1,70,03:34 PM,03:38 AM,08:38 AM,05:43 PM,-7,-9,-4,-9,18,39,79,0.0,1028,-4,10,304,13
2019-12-07 09:00:00,-0,-5,0.0,3.4,2,1,70,03:34 PM,03:38 AM,08:38 AM,05:43 PM,-8,-9,-4,-9,13,100,76,0.0,1029,-4,10,292,10
2019-12-07 12:00:00,-0,-5,0.0,3.4,2,1,70,03:34 PM,03:38 AM,08:38 AM,05:43 PM,-7,-6,-3,-6,9,92,75,0.0,1030,-3,10,269,8
2019-12-07 15:00:00,-0,-5,0.0,3.4,2,1,70,03:34 PM,03:38 AM,08:38 AM,05:43 PM,-5,-4,-1,-4,10,77,74,0.0,1030,-1,10,232,8
2019-12-07 18:00:00,-0,-5,0.0,3.4,2,2,70,03:34 PM,03:38 AM,08:38 AM,05:43 PM,-4,-4,-1,-4,12,56,75,0.0,1029,-1,10,217,9
2019-12-07 21:00:00,-0,-5,0.0,3.4,2,1,70,03:34 PM,03:38 AM,08:38 AM,05:43 PM,-5,-4,-1,-4,13,13,78,0.0,1029,-1,10,195,9
2019-12-08 00:00:00,4,-1,0.0,5.2,2,1,77,03:58 PM,04:39 AM,08:39 AM,05:43 PM,-4,-5,-1,-5,15,9,79,0.0,1029,-1,10,182,10
2019-12-08 03:00:00,4,-1,0.0,5.2,2,1,77,03:58 PM,04:39 AM,08:39 AM,05:43 PM,-4,-4,-1,-4,19,14,78,0.0,1027,-1,10,191,12
2019-12-08 06:00:00,4,-1,0.0,5.2,2,1,77,03:58 PM,04:39 AM,08:39 AM,05:43 PM,-4,-5,0,-5,29,47,76,0.0,1024,0,10,193,17
2019-12-08 09:00:00,4,-1,0.0,5.2,2,2,77,03:58 PM,04:39 AM,08:39 AM,05:43 PM,-3,-3,1,-3,31,70,70,0.0,1022,1,10,198,18
2019-12-08 12:00:00,4,-1,0.0,5.2,2,2,77,03:58 PM,04:39 AM,08:39 AM,05:43 PM,-2,-1,3,-1,32,22,68,0.0,1019,3,10,206,19
2019-12-08 15:00:00,4,-1,0.0,5.2,2,1,77,03:58 PM,04:39 AM,08:39 AM,05:43 PM,0,-0,4,-0,39,66,76,0.0,1016,4,10,206,23
2019-12-08 18:00:00,4,-1,0.0,5.2,2,1,77,03:58 PM,04:39 AM,08:39 AM,05:43 PM,2,0,4,0,40,100,86,0.0,1015,3,10,214,21
2019-12-08 21:00:00,4,-1,0.0,5.2,2,1,77,03:58 PM,04:39 AM,08:39 AM,05:43 PM,3,1,4,1,38,100,89,0.0,1016,1,10,220,18
2019-12-09 00:00:00,7,-1,0.0,3.4,2,1,84,04:25 PM,05:43 AM,08:40 AM,05:43 PM,3,-0,4,-0,40,100,88,0.0,1015,1,10,215,19
2019-12-09 03:00:00,7,-1,0.0,3.4,2,1,84,04:25 PM,05:43 AM,08:40 AM,05:43 PM,3,2,5,2,35,88,87,0.0,1013,5,10,211,17
2019-12-09 06:00:00,7,-1,0.0,3.4,2,1,84,04:25 PM,05:43 AM,08:40 AM,05:43 PM,3,2,5,2,31,76,87,0.0,1012,5,10,201,15
2019-12-09 09:00:00,7,-1,0.0,3.4,2,1,84,04:25 PM,05:43 AM,08:40 AM,05:43 PM,3,2,5,2,27,100,90,0.4,1010,5,10,190,14
2019-12-09 12:00:00,7,-1,0.0,3.4,2,2,84,04:25 PM,05:43 AM,08:40 AM,05:43 PM,4,2,5,2,26,100,94,0.8,1006,5,9,182,15
2019-12-09 15:00:00,7,-1,0.0,3.4,2,2,84,04:25 PM,05:43 AM,08:40 AM,05:43 PM,5,3,6,3,31,100,96,0.7,1001,6,10,188,17
2019-12-09 18:00:00,7,-1,0.0,3.4,2,2,84,04:25 PM,05:43 AM,08:40 AM,05:43 PM,6,3,6,3,39,100,94,1.5,998,5,9,206,21
2019-12-09 21:00:00,7,-1,0.0,3.4,2,1,84,04:25 PM,05:43 AM,08:40 AM,05:43 PM,7,1,4,1,45,99,91,0.0,997,1,10,226,24
2019-12-10 00:00:00,2,-3,0.0,3.4,1,1,92,04:56 PM,06:48 AM,08:41 AM,05:43 PM,7,1,4,1,47,93,88,0.0,997,2,10,231,26
2019-12-10 03:00:00,2,-3,0.0,3.4,1,1,92,04:56 PM,06:48 AM,08:41 AM,05:43 PM,5,4,8,4,49,82,80,0.0,999,8,10,248,30
2019-12-10 06:00:00,2,-3,0.0,3.4,1,1,92,04:56 PM,06:48 AM,08:41 AM,05:43 PM,-1,-0,5,-0,41,80,69,0.1,1003,5,10,269,31
2019-12-10 09:00:00,2,-3,0.0,3.4,1,1,92,04:56 PM,06:48 AM,08:41 AM,05:43 PM,-4,-4,2,-4,28,86,67,0.0,1008,2,10,275,24
2019-12-10 12:00:00,2,-3,0.0,3.4,1,1,92,04:56 PM,06:48 AM,08:41 AM,05:43 PM,-6,-5,1,-5,27,100,62,0.0,1012,1,10,278,24
2019-12-10 15:00:00,2,-3,0.0,3.4,1,1,92,04:56 PM,06:48 AM,08:41 AM,05:43 PM,-7,-6,-0,-6,28,100,59,0.0,1015,-0,10,282,24
2019-12-10 18:00:00,2,-3,0.0,3.4,1,1,92,04:56 PM,06:48 AM,08:41 AM,05:43 PM,-8,-8,-2,-8,25,99,60,0.0,1018,-2,10,289,21
2019-12-10 21:00:00,2,-3,0.0,3.4,1,1,92,04:56 PM,06:48 AM,08:41 AM,05:43 PM,-9,-8,-3,-8,18,89,60,0.0,1022,-3,10,287,15
2019-12-11 00:00:00,-2,-10,0.0,8.7,1,1,99,05:34 PM,07:54 AM,08:42 AM,05:43 PM,-9,-8,-3,-8,16,76,62,0.0,1023,-3,10,278,13
2019-12-11 03:00:00,-2,-10,0.0,8.7,1,1,99,05:34 PM,07:54 AM,08:42 AM,05:43 PM,-9,-8,-3,-8,21,59,61,0.0,1023,-3,10,259,16
2019-12-11 06:00:00,-2,-10,0.0,8.7,1,1,99,05:34 PM,07:54 AM,08:42 AM,05:43 PM,-10,-9,-3,-9,24,10,59,0.0,1022,-3,10,248,19
2019-12-11 09:00:00,-2,-10,0.0,8.7,1,2,99,05:34 PM,07:54 AM,08:42 AM,05:43 PM,-10,-10,-3,-10,29,29,58,0.0,1023,-3,10,243,23
2019-12-11 12:00:00,-2,-10,0.0,8.7,1,2,99,05:34 PM,07:54 AM,08:42 AM,05:43 PM,-11,-10,-3,-10,36,43,53,0.0,1023,-3,10,247,29
2019-12-11 15:00:00,-2,-10,0.0,8.7,1,2,99,05:34 PM,07:54 AM,08:42 AM,05:43 PM,-13,-11,-3,-11,40,42,47,0.0,1024,-3,10,262,33
2019-12-11 18:00:00,-2,-10,0.0,8.7,1,2,99,05:34 PM,07:54 AM,08:42 AM,05:43 PM,-13,-13,-5,-13,40,44,51,0.0,1027,-5,10,275,32
2019-12-11 21:00:00,-2,-10,0.0,8.7,1,1,99,05:34 PM,07:54 AM,08:42 AM,05:43 PM,-13,-12,-6,-12,33,23,56,0.0,1031,-7,10,278,26
2019-12-12 00:00:00,-0,-5,0.0,5.2,2,1,100,06:19 PM,09:00 AM,08:43 AM,05:43 PM,-13,-10,-6,-10,28,16,54,0.0,1034,-8,10,274,22
2019-12-12 03:00:00,-0,-5,0.0,5.2,2,1,100,06:19 PM,09:00 AM,08:43 AM,05:43 PM,-13,-11,-5,-11,21,7,55,0.0,1035,-5,10,268,16
2019-12-12 06:00:00,-0,-5,0.0,5.2,2,1,100,06:19 PM,09:00 AM,08:43 AM,05:43 PM,-13,-10,-5,-10,16,24,55,0.0,1036,-5,10,254,13
2019-12-12 09:00:00,-0,-5,0.0,5.2,2,2,100,06:19 PM,09:00 AM,08:43 AM,05:43 PM,-14,-9,-5,-9,13,47,51,0.0,1037,-5,10,236,10
2019-12-12 12:00:00,-0,-5,0.0,5.2,2,1,100,06:19 PM,09:00 AM,08:43 AM,05:43 PM,-13,-7,-3,-7,14,66,48,0.0,1036,-3,10,215,11
2019-12-12 15:00:00,-0,-5,0.0,5.2,2,2,100,06:19 PM,09:00 AM,08:43 AM,05:43 PM,-9,-6,-1,-6,20,72,53,0.0,1033,-1,10,185,15
2019-12-12 18:00:00,-0,-5,0.0,5.2,2,2,100,06:19 PM,09:00 AM,08:43 AM,05:43 PM,-9,-4,1,-4,23,14,49,0.0,1030,-1,10,184,17
2019-12-12 21:00:00,-0,-5,0.0,5.2,2,1,100,06:19 PM,09:00 AM,08:43 AM,05:43 PM,-8,-3,1,-3,26,10,52,0.0,1027,-3,10,189,16
2019-12-13 00:00:00,4,-3,0.0,5.2,2,1,87,07:14 PM,10:03 AM,08:44 AM,05:44 PM,-7,-4,-0,-4,31,6,57,0.0,1025,-2,10,204,18
2019-12-13 03:00:00,4,-3,0.0,5.2,2,1,87,07:14 PM,10:03 AM,08:44 AM,05:44 PM,-5,-3,1,-3,28,4,62,0.0,1024,1,10,208,16
2019-12-13 06:00:00,4,-3,0.0,5.2,2,1,87,07:14 PM,10:03 AM,08:44 AM,05:44 PM,-4,-3,1,-3,23,5,67,0.0,1022,1,10,205,14
2019-12-13 09:00:00,4,-3,0.0,5.2,2,1,87,07:14 PM,10:03 AM,08:44 AM,05:44 PM,-4,-3,1,-3,23,38,68,0.0,1022,1,10,205,14
2019-12-13 12:00:00,4,-3,0.0,5.2,2,1,87,07:14 PM,10:03 AM,08:44 AM,05:44 PM,-4,-1,3,-1,20,100,63,0.0,1020,3,10,200,14
2019-12-13 15:00:00,4,-3,0.0,5.2,2,1,87,07:14 PM,10:03 AM,08:44 AM,05:44 PM,-3,1,3,1,15,100,65,0.0,1018,3,10,182,10
2019-12-13 18:00:00,4,-3,0.0,5.2,2,1,87,07:14 PM,10:03 AM,08:44 AM,05:44 PM,-2,1,2,1,10,100,72,0.0,1017,2,10,147,6
2019-12-13 21:00:00,4,-3,0.0,5.2,2,1,87,07:14 PM,10:03 AM,08:44 AM,05:44 PM,-2,-0,1,-0,6,83,76,0.0,1015,0,10,107,4
2019-12-14 00:00:00,3,2,0.0,3.4,1,1,79,08:16 PM,10:59 AM,08:45 AM,05:44 PM,-2,-1,2,-1,8,67,77,0.0,1013,-0,10,60,5
2019-12-14 03:00:00,3,2,0.0,3.4,1,1,79,08:16 PM,10:59 AM,08:45 AM,05:44 PM,-1,-1,2,-1,16,100,81,0.3,1009,2,10,24,9
2019-12-14 06:00:00,3,2,0.0,3.4,1,1,79,08:16 PM,10:59 AM,08:45 AM,05:44 PM,0,-2,2,-2,19,100,89,0.8,1005,2,9,14,13
2019-12-14 09:00:00,3,2,0.0,3.4,1,1,79,08:16 PM,10:59 AM,08:45 AM,05:44 PM,1,-2,2,-2,24,100,95,1.7,1002,2,8,123,16
2019-12-14 12:00:00,3,2,0.0,3.4,1,1,79,08:16 PM,10:59 AM,08:45 AM,05:44 PM,2,-2,3,-2,25,100,95,2.5,999,3,5,349,17
2019-12-14 15:00:00,3,2,0.0,3.4,1,1,79,08:16 PM,10:59 AM,08:45 AM,05:44 PM,2,-1,3,-1,28,100,94,1.1,996,3,4,334,19
2019-12-14 18:00:00,3,2,0.0,3.4,1,1,79,08:16 PM,10:59 AM,08:45 AM,05:44 PM,2,-2,3,-2,33,100,91,1.3,995,3,9,316,23
2019-12-14 21:00:00,3,2,0.0,3.4,1,1,79,08:16 PM,10:59 AM,08:45 AM,05:44 PM,0,-2,3,-2,31,100,82,0.2,997,3,9,302,22
2019-12-15 00:00:00,0,-7,0.0,3.4,2,1,72,09:26 PM,11:48 AM,08:45 AM,05:44 PM,-1,-2,3,-2,31,77,77,0.0,998,3,10,289,22
2019-12-15 03:00:00,0,-7,0.0,3.4,2,1,72,09:26 PM,11:48 AM,08:45 AM,05:44 PM,-2,-4,2,-4,35,40,75,0.0,999,2,10,278,25
2019-12-15 06:00:00,0,-7,0.0,3.4,2,1,72,09:26 PM,11:48 AM,08:45 AM,05:44 PM,-3,-5,1,-5,35,57,73,0.0,1002,1,10,278,27
2019-12-15 09:00:00,0,-7,0.0,3.4,2,1,72,09:26 PM,11:48 AM,08:45 AM,05:44 PM,-6,-6,0,-6,36,67,66,0.0,1006,0,7,280,28
2019-12-15 12:00:00,0,-7,0.0,3.4,2,1,72,09:26 PM,11:48 AM,08:45 AM,05:44 PM,-8,-7,-1,-7,35,100,60,0.0,1009,-1,2,279,30
2019-12-15 15:00:00,0,-7,0.0,3.4,2,1,72,09:26 PM,11:48 AM,08:45 AM,05:44 PM,-9,-8,-2,-8,35,99,56,0.0,1012,-2,5,283,30
2019-12-15 18:00:00,0,-7,0.0,3.4,2,1,72,09:26 PM,11:48 AM,08:45 AM,05:44 PM,-10,-10,-3,-10,32,87,58,0.0,1016,-3,10,290,26
2019-12-15 21:00:00,0,-7,0.0,3.4,2,1,72,09:26 PM,11:48 AM,08:45 AM,05:44 PM,-10,-9,-4,-9,25,58,58,0.0,1019,-4,10,288,20
2019-12-16 00:00:00,1,-2,0.0,5.1,2,1,65,10:38 PM,12:29 PM,08:46 AM,05:44 PM,-8,-6,-3,-6,10,45,64,0.0,1022,-5,10,285,8
2019-12-16 03:00:00,1,-2,0.0,5.1,2,1,65,10:38 PM,12:29 PM,08:46 AM,05:44 PM,-8,-4,-2,-4,6,68,65,0.0,1023,-2,10,252,5
2019-12-16 06:00:00,1,-2,0.0,5.1,2,1,65,10:38 PM,12:29 PM,08:46 AM,05:44 PM,-7,-4,-2,-4,8,88,68,0.0,1022,-2,10,192,6
2019-12-16 09:00:00,1,-2,0.0,5.1,2,1,65,10:38 PM,12:29 PM,08:46 AM,05:44 PM,-6,-4,-1,-4,11,68,70,0.0,1023,-1,10,204,9
2019-12-16 12:00:00,1,-2,0.0,5.1,2,2,65,10:38 PM,12:29 PM,08:46 AM,05:44 PM,-5,-3,0,-3,10,69,68,0.0,1022,0,10,216,8
2019-12-16 15:00:00,1,-2,0.0,5.1,2,2,65,10:38 PM,12:29 PM,08:46 AM,05:44 PM,-5,-0,1,-0,6,47,64,0.0,1022,1,10,219,5
2019-12-16 18:00:00,1,-2,0.0,5.1,2,2,65,10:38 PM,12:29 PM,08:46 AM,05:44 PM,-5,1,1,1,3,34,66,0.0,1021,1,10,163,2
2019-12-16 21:00:00,1,-2,0.0,5.1,2,1,65,10:38 PM,12:29 PM,08:46 AM,05:44 PM,-4,0,1,0,4,24,71,0.0,1020,1,10,81,3
2019-12-17 00:00:00,1,-2,0.3,3.4,2,1,58,11:52 PM,01:05 PM,08:47 AM,05:45 PM,-3,-2,0,-2,8,21,78,0.0,1019,0,10,59,6
2019-12-17 03:00:00,1,-2,0.3,3.4,2,1,58,11:52 PM,01:05 PM,08:47 AM,05:45 PM,-4,-4,-0,-4,14,40,77,0.0,1017,-0,10,23,10
2019-12-17 06:00:00,1,-2,0.3,3.4,2,1,58,11:52 PM,01:05 PM,08:47 AM,05:45 PM,-5,-5,-1,-5,15,100,75,0.0,1015,-1,10,27,11
2019-12-17 09:00:00,1,-2,0.3,3.4,2,1,58,11:52 PM,01:05 PM,08:47 AM,05:45 PM,-5,-4,-1,-4,12,89,74,0.1,1014,-1,9,22,9
2019-12-17 12:00:00,1,-2,0.3,3.4,2,1,58,11:52 PM,01:05 PM,08:47 AM,05:45 PM,-5,-3,-0,-3,9,69,73,0.2,1012,-0,7,110,8
2019-12-17 15:00:00,1,-2,0.3,3.4,2,2,58,11:52 PM,01:05 PM,08:47 AM,05:45 PM,-5,-2,1,-2,10,65,68,0.1,1011,1,8,317,8
2019-12-17 18:00:00,1,-2,0.3,3.4,2,2,58,11:52 PM,01:05 PM,08:47 AM,05:45 PM,-4,-4,0,-4,17,33,72,0.0,1011,0,10,291,13
2019-12-17 21:00:00,1,-2,0.3,3.4,2,1,58,11:52 PM,01:05 PM,08:47 AM,05:45 PM,-6,-7,-1,-7,24,12,72,0.0,1011,-1,10,273,18
2019-12-18 00:00:00,-4,-11,0.3,5.1,1,1,50,No moonrise,01:36 PM,08:47 AM,05:45 PM,-6,-7,-2,-7,26,44,70,0.0,1011,-2,10,251,19
2019-12-18 03:00:00,-4,-11,0.3,5.1,1,1,50,No moonrise,01:36 PM,08:47 AM,05:45 PM,-6,-7,-2,-7,28,100,74,0.3,1009,-2,7,254,21
2019-12-18 06:00:00,-4,-11,0.3,5.1,1,1,50,No moonrise,01:36 PM,08:47 AM,05:45 PM,-6,-8,-2,-8,27,75,74,0.6,1009,-2,5,278,21
2019-12-18 09:00:00,-4,-11,0.3,5.1,1,1,50,No moonrise,01:36 PM,08:47 AM,05:45 PM,-10,-12,-5,-12,35,51,67,0.1,1011,-5,9,307,28
2019-12-18 12:00:00,-4,-11,0.3,5.1,1,1,50,No moonrise,01:36 PM,08:47 AM,05:45 PM,-14,-16,-7,-16,30,100,60,0.1,1014,-7,8,322,26
2019-12-18 15:00:00,-4,-11,0.3,5.1,1,1,50,No moonrise,01:36 PM,08:47 AM,05:45 PM,-16,-18,-9,-18,32,100,57,0.0,1016,-9,7,310,27
2019-12-18 18:00:00,-4,-11,0.3,5.1,1,1,50,No moonrise,01:36 PM,08:47 AM,05:45 PM,-17,-20,-10,-20,36,89,58,0.1,1019,-10,0,308,31
2019-12-18 21:00:00,-4,-11,0.3,5.1,1,1,50,No moonrise,01:36 PM,08:47 AM,05:45 PM,-17,-20,-11,-20,33,49,61,0.1,1023,-11,3,313,28
2019-12-19 00:00:00,-4,-11,0.1,5.1,2,1,43,01:05 AM,02:03 PM,08:48 AM,05:45 PM,-17,-20,-11,-20,30,9,59,0.0,1025,-11,10,310,24
2019-12-19 03:00:00,-4,-11,0.1,5.1,2,1,43,01:05 AM,02:03 PM,08:48 AM,05:45 PM,-17,-19,-11,-19,24,18,60,0.0,1027,-11,10,308,19
2019-12-19 06:00:00,-4,-11,0.1,5.1,2,1,43,01:05 AM,02:03 PM,08:48 AM,05:45 PM,-17,-17,-11,-17,18,61,62,0.0,1028,-11,10,301,14
2019-12-19 09:00:00,-4,-11,0.1,5.1,2,1,43,01:05 AM,02:03 PM,08:48 AM,05:45 PM,-15,-15,-10,-15,13,86,70,0.0,1030,-10,9,271,10
2019-12-19 12:00:00,-4,-11,0.1,5.1,2,2,43,01:05 AM,02:03 PM,08:48 AM,05:45 PM,-12,-13,-8,-13,13,66,76,0.1,1030,-8,8,239,11
2019-12-19 15:00:00,-4,-11,0.1,5.1,2,2,43,01:05 AM,02:03 PM,08:48 AM,05:45 PM,-10,-9,-5,-9,11,50,67,0.0,1028,-5,10,230,9
2019-12-19 18:00:00,-4,-11,0.1,5.1,2,1,43,01:05 AM,02:03 PM,08:48 AM,05:45 PM,-9,-6,-4,-6,6,57,68,0.0,1028,-4,10,227,5
