date_time,Mittagong_maxtempC,Mittagong_mintempC,Mittagong_totalSnow_cm,Mittagong_sunHour,Mittagong_uvIndex,Mittagong_uvIndex,Mittagong_moon_illumination,Mittagong_moonrise,Mittagong_moonset,Mittagong_sunrise,Mittagong_sunset,Mittagong_DewPointC,Mittagong_FeelsLikeC,Mittagong_HeatIndexC,Mittagong_WindChillC,Mittagong_WindGustKmph,Mittagong_cloudcover,Mittagong_humidity,Mittagong_precipMM,Mittagong_pressure,Mittagong_tempC,Mittagong_visibility,Mittagong_winddirDegree,Mittagong_windspeedKmph
2019-12-04 00:00:00,24,10,0.0,14.2,6,1,48,11:23 AM,12:17 AM,04:38 AM,06:58 PM,6,10,12,10,31,4,64,0.0,1008,12,10,262,22
2019-12-04 03:00:00,24,10,0.0,14.2,6,1,48,11:23 AM,12:17 AM,04:38 AM,06:58 PM,6,9,11,9,27,2,70,0.0,1008,11,10,262,19
2019-12-04 06:00:00,24,10,0.0,14.2,6,1,48,11:23 AM,12:17 AM,04:38 AM,06:58 PM,5,11,13,11,25,0,59,0.0,1009,13,10,264,20
2019-12-04 09:00:00,24,10,0.0,14.2,6,5,48,11:23 AM,12:17 AM,04:38 AM,06:58 PM,2,18,19,18,24,0,36,0.0,1009,19,10,263,21
2019-12-04 12:00:00,24,10,0.0,14.2,6,6,48,11:23 AM,12:17 AM,04:38 AM,06:58 PM,0,22,22,23,24,0,22,0.0,1008,23,10,262,21
2019-12-04 15:00:00,24,10,0.0,14.2,6,6,48,11:23 AM,12:17 AM,04:38 AM,06:58 PM,-0,23,23,23,23,0,22,0.0,1007,23,10,263,20
2019-12-04 18:00:00,24,10,0.0,14.2,6,1,48,11:23 AM,12:17 AM,04:38 AM,06:58 PM,2,21,23,21,19,2,33,0.0,1009,21,10,266,13
2019-12-04 21:00:00,24,10,0.0,14.2,6,1,48,11:23 AM,12:17 AM,04:38 AM,06:58 PM,2,18,22,18,17,1,46,0.0,1011,18,10,267,8
2019-12-05 00:00:00,26,11,0.0,14.2,6,1,55,12:18 PM,12:48 AM,04:38 AM,06:59 PM,1,12,15,12,21,0,48,0.0,1011,13,10,269,10
2019-12-05 03:00:00,26,11,0.0,14.2,6,1,55,12:18 PM,12:48 AM,04:38 AM,06:59 PM,0,9,11,9,26,2,48,0.0,1010,11,10,270,12
