date_time,Monkland_maxtempC,Monkland_mintempC,Monkland_totalSnow_cm,Monkland_sunHour,Monkland_uvIndex,Monkland_uvIndex,Monkland_moon_illumination,Monkland_moonrise,Monkland_moonset,Monkland_sunrise,Monkland_sunset,Monkland_DewPointC,Monkland_FeelsLikeC,Monkland_HeatIndexC,Monkland_WindChillC,Monkland_WindGustKmph,Monkland_cloudcover,Monkland_humidity,Monkland_precipMM,Monkland_pressure,Monkland_tempC,Monkland_visibility,Monkland_winddirDegree,Monkland_windspeedKmph
2019-12-04 00:00:00,6,0,0.0,3.9,2,1,48,02:26 PM,No moonset,09:02 AM,05:01 PM,-0,-0,2,-0,12,13,88,0.0,1022,2,10,206,6
2019-12-04 03:00:00,6,0,0.0,3.9,2,1,48,02:26 PM,No moonset,09:02 AM,05:01 PM,-1,-2,0,-2,12,8,93,0.0,1020,0,10,190,6
2019-12-04 06:00:00,6,0,0.0,3.9,2,2,48,02:26 PM,No moonset,09:02 AM,05:01 PM,-1,-1,0,-1,9,15,94,0.0,1020,0,10,231,4
2019-12-04 09:00:00,6,0,0.0,3.9,2,1,48,02:26 PM,No moonset,09:02 AM,05:01 PM,-0,-1,1,-1,12,23,95,0.0,1020,1,2,186,6
2019-12-04 12:00:00,6,0,0.0,3.9,2,3,48,02:26 PM,No moonset,09:02 AM,05:01 PM,3,4,6,4,9,19,83,0.0,1020,6,10,232,7
2019-12-04 15:00:00,6,0,0.0,3.9,2,2,48,02:26 PM,No moonset,09:02 AM,05:01 PM,3,3,5,3,14,82,88,0.0,1019,5,10,221,8
2019-12-04 18:00:00,6,0,0.0,3.9,2,2,48,02:26 PM,No moonset,09:02 AM,05:01 PM,1,-1,2,-1,20,17,93,0.0,1020,2,10,221,9
2019-12-04 21:00:00,6,0,0.0,3.9,2,1,48,02:26 PM,No moonset,09:02 AM,05:01 PM,1,-1,2,-1,21,33,93,0.0,1020,2,10,234,10
2019-12-05 00:00:00,8,2,0.0,2.0,3,1,55,02:43 PM,01:04 AM,09:03 AM,05:00 PM,3,1,4,1,20,36,94,0.0,1022,4,10,251,10
2019-12-05 03:00:00,8,2,0.0,2.0,3,1,55,02:43 PM,01:04 AM,09:03 AM,05:00 PM,3,2,4,2,17,17,95,0.0,1019,4,2,239,8
2019-12-05 06:00:00,8,2,0.0,2.0,3,2,55,02:43 PM,01:04 AM,09:03 AM,05:00 PM,1,-1,2,-1,22,4,93,0.0,1021,2,10,236,10
2019-12-05 09:00:00,8,2,0.0,2.0,3,2,55,02:43 PM,01:04 AM,09:03 AM,05:00 PM,2,-1,3,-1,26,27,93,0.0,1019,3,10,221,13
2019-12-05 12:00:00,8,2,0.0,2.0,3,2,55,02:43 PM,01:04 AM,09:03 AM,05:00 PM,5,4,8,4,37,100,84,0.0,1018,8,10,229,24
2019-12-05 15:00:00,8,2,0.0,2.0,3,2,55,02:43 PM,01:04 AM,09:03 AM,05:00 PM,6,4,8,4,44,100,85,0.0,1014,8,10,231,29
2019-12-05 18:00:00,8,2,0.0,2.0,3,1,55,02:43 PM,01:04 AM,09:03 AM,05:00 PM,7,5,7,5,48,100,88,0.0,1012,5,10,228,30
2019-12-05 21:00:00,8,2,0.0,2.0,3,1,55,02:43 PM,01:04 AM,09:03 AM,05:00 PM,9,2,4,2,56,99,87,0.1,1010,2,10,242,36
2019-12-06 00:00:00,12,7,0.0,3.9,3,1,62,03:00 PM,02:11 AM,09:04 AM,05:00 PM,10,8,11,8,43,100,92,0.0,1009,11,10,239,28
2019-12-06 03:00:00,12,7,0.0,3.9,3,1,62,03:00 PM,02:11 AM,09:04 AM,05:00 PM,10,8,11,8,36,100,93,0.4,1005,11,2,239,23
2019-12-06 06:00:00,12,7,0.0,3.9,3,3,62,03:00 PM,02:11 AM,09:04 AM,05:00 PM,10,9,11,9,36,100,93,0.0,1004,11,10,235,23
2019-12-06 09:00:00,12,7,0.0,3.9,3,3,62,03:00 PM,02:11 AM,09:04 AM,05:00 PM,9,9,12,9,40,100,87,0.2,1002,12,10,242,26
2019-12-06 12:00:00,12,7,0.0,3.9,3,4,62,03:00 PM,02:11 AM,09:04 AM,05:00 PM,8,9,12,9,36,22,77,0.0,1001,12,10,251,27
2019-12-06 15:00:00,12,7,0.0,3.9,3,2,62,03:00 PM,02:11 AM,09:04 AM,05:00 PM,5,5,8,5,37,93,81,2.2,1001,8,9,303,26
2019-12-06 18:00:00,12,7,0.0,3.9,3,2,62,03:00 PM,02:11 AM,09:04 AM,05:00 PM,6,5,8,5,39,69,84,0.3,1005,8,5,285,24
2019-12-06 21:00:00,12,7,0.0,3.9,3,1,62,03:00 PM,02:11 AM,09:04 AM,05:00 PM,5,4,7,4,33,41,89,0.0,1008,7,10,278,19
2019-12-07 00:00:00,9,5,0.0,1.9,2,1,70,03:16 PM,03:18 AM,09:05 AM,04:59 PM,5,4,7,4,31,81,89,0.0,1010,7,10,270,17
2019-12-07 03:00:00,9,5,0.0,1.9,2,1,70,03:16 PM,03:18 AM,09:05 AM,04:59 PM,5,3,6,3,28,41,92,0.0,1011,6,10,269,15
2019-12-07 06:00:00,9,5,0.0,1.9,2,2,70,03:16 PM,03:18 AM,09:05 AM,04:59 PM,5,4,7,4,27,87,89,0.0,1012,7,10,263,15
2019-12-07 09:00:00,9,5,0.0,1.9,2,2,70,03:16 PM,03:18 AM,09:05 AM,04:59 PM,5,3,5,3,21,43,95,0.0,1013,5,2,224,11
