date_time,Moora_maxtempC,Moora_mintempC,Moora_totalSnow_cm,Moora_sunHour,Moora_uvIndex,Moora_uvIndex,Moora_moon_illumination,Moora_moonrise,Moora_moonset,Moora_sunrise,Moora_sunset,Moora_DewPointC,Moora_FeelsLikeC,Moora_HeatIndexC,Moora_WindChillC,Moora_WindGustKmph,Moora_cloudcover,Moora_humidity,Moora_precipMM,Moora_pressure,Moora_tempC,Moora_visibility,Moora_winddirDegree,Moora_windspeedKmph
2019-12-04 00:00:00,40,21,0.0,9.9,9,1,48,11:51 AM,12:32 AM,05:06 AM,07:06 PM,8,30,30,27,18,12,38,0.0,1011,27,10,188,9
2019-12-04 03:00:00,40,21,0.0,9.9,9,1,48,11:51 AM,12:32 AM,05:06 AM,07:06 PM,7,21,23,21,11,43,39,0.0,1010,21,10,178,5
2019-12-04 06:00:00,40,21,0.0,9.9,9,1,48,11:51 AM,12:32 AM,05:06 AM,07:06 PM,7,23,23,24,13,76,34,0.0,1010,24,10,167,8
2019-12-04 09:00:00,40,21,0.0,9.9,9,7,48,11:51 AM,12:32 AM,05:06 AM,07:06 PM,6,31,31,33,14,100,20,0.0,1011,33,10,167,12
2019-12-04 12:00:00,40,21,0.0,9.9,9,8,48,11:51 AM,12:32 AM,05:06 AM,07:06 PM,4,38,38,39,16,92,12,0.0,1011,39,10,216,14
2019-12-04 15:00:00,40,21,0.0,9.9,9,9,48,11:51 AM,12:32 AM,05:06 AM,07:06 PM,3,39,39,39,24,64,11,0.0,1009,39,10,226,21
2019-12-04 18:00:00,40,21,0.0,9.9,9,1,48,11:51 AM,12:32 AM,05:06 AM,07:06 PM,6,36,36,35,37,33,19,0.0,1010,35,10,210,28
2019-12-04 21:00:00,40,21,0.0,9.9,9,1,48,11:51 AM,12:32 AM,05:06 AM,07:06 PM,6,36,36,32,36,20,32,0.0,1012,32,10,190,18
2019-12-05 00:00:00,41,22,0.0,14.0,9,1,55,12:44 PM,01:05 AM,05:06 AM,07:07 PM,8,31,31,29,37,18,38,0.0,1012,29,10,157,19
2019-12-05 03:00:00,41,22,0.0,14.0,9,1,55,12:44 PM,01:05 AM,05:06 AM,07:07 PM,9,25,25,24,40,23,40,0.0,1012,24,10,116,23
2019-12-05 06:00:00,41,22,0.0,14.0,9,1,55,12:44 PM,01:05 AM,05:06 AM,07:07 PM,10,25,25,24,30,32,41,0.0,1013,24,10,107,20
2019-12-05 09:00:00,41,22,0.0,14.0,9,8,55,12:44 PM,01:05 AM,05:06 AM,07:07 PM,9,30,30,31,24,20,26,0.0,1013,31,10,97,21
2019-12-05 12:00:00,41,22,0.0,14.0,9,9,55,12:44 PM,01:05 AM,05:06 AM,07:07 PM,6,38,38,38,19,1,14,0.0,1011,38,10,85,16
2019-12-05 15:00:00,41,22,0.0,14.0,9,10,55,12:44 PM,01:05 AM,05:06 AM,07:07 PM,3,41,41,40,14,1,10,0.0,1009,40,10,84,12
2019-12-05 18:00:00,41,22,0.0,14.0,9,1,55,12:44 PM,01:05 AM,05:06 AM,07:07 PM,4,40,40,39,22,1,15,0.0,1008,39,10,141,14
2019-12-05 21:00:00,41,22,0.0,14.0,9,1,55,12:44 PM,01:05 AM,05:06 AM,07:07 PM,7,40,40,36,30,29,29,0.1,1009,36,10,207,15
2019-12-06 00:00:00,41,25,0.0,14.0,8,1,62,01:37 PM,01:35 AM,05:06 AM,07:08 PM,8,34,34,32,22,86,34,0.3,1009,32,10,152,11
2019-12-06 03:00:00,41,25,0.0,14.0,8,1,62,01:37 PM,01:35 AM,05:06 AM,07:08 PM,9,26,26,26,44,61,33,0.2,1008,26,9,85,23
2019-12-06 06:00:00,41,25,0.0,14.0,8,1,62,01:37 PM,01:35 AM,05:06 AM,07:08 PM,10,27,27,28,39,5,34,0.0,1008,28,10,63,26
