date_time,Moree_maxtempC,Moree_mintempC,Moree_totalSnow_cm,Moree_sunHour,Moree_uvIndex,Moree_uvIndex,Moree_moon_illumination,Moree_moonrise,Moree_moonset,Moree_sunrise,Moree_sunset,Moree_DewPointC,Moree_FeelsLikeC,Moree_HeatIndexC,Moree_WindChillC,Moree_WindGustKmph,Moree_cloudcover,Moree_humidity,Moree_precipMM,Moree_pressure,Moree_tempC,Moree_visibility,Moree_winddirDegree,Moree_windspeedKmph
2019-12-04 00:00:00,31,18,0.0,14.0,7,1,48,11:32 AM,12:12 AM,04:53 AM,06:48 PM,3,20,21,20,17,1,32,0.0,1012,20,10,246,8
2019-12-04 03:00:00,31,18,0.0,14.0,7,1,48,11:32 AM,12:12 AM,04:53 AM,06:48 PM,3,18,18,18,20,1,35,0.0,1012,18,10,217,9
2019-12-04 06:00:00,31,18,0.0,14.0,7,1,48,11:32 AM,12:12 AM,04:53 AM,06:48 PM,3,20,21,20,17,1,33,0.0,1013,20,10,189,12
2019-12-04 09:00:00,31,18,0.0,14.0,7,7,48,11:32 AM,12:12 AM,04:53 AM,06:48 PM,3,25,25,25,22,0,24,0.0,1013,25,10,205,19
2019-12-04 12:00:00,31,18,0.0,14.0,7,7,48,11:32 AM,12:12 AM,04:53 AM,06:48 PM,1,27,27,29,26,0,16,0.0,1012,29,10,229,23
2019-12-04 15:00:00,31,18,0.0,14.0,7,8,48,11:32 AM,12:12 AM,04:53 AM,06:48 PM,-1,28,28,31,29,0,13,0.0,1011,31,10,234,25
2019-12-04 18:00:00,31,18,0.0,14.0,7,1,48,11:32 AM,12:12 AM,04:53 AM,06:48 PM,-1,26,26,28,27,0,16,0.0,1011,28,10,229,18
2019-12-04 21:00:00,31,18,0.0,14.0,7,1,48,11:32 AM,12:12 AM,04:53 AM,06:48 PM,-1,23,23,24,26,0,19,0.0,1013,24,10,210,13
2019-12-05 00:00:00,33,18,0.0,14.0,7,1,55,12:25 PM,12:45 AM,04:53 AM,06:49 PM,-1,21,21,21,24,0,22,0.0,1013,21,10,188,11
2019-12-05 03:00:00,33,18,0.0,14.0,7,1,55,12:25 PM,12:45 AM,04:53 AM,06:49 PM,-0,19,19,19,19,0,28,0.0,1013,19,10,171,9
2019-12-05 06:00:00,33,18,0.0,14.0,7,1,55,12:25 PM,12:45 AM,04:53 AM,06:49 PM,1,21,21,21,12,0,28,0.0,1014,21,10,135,7
2019-12-05 09:00:00,33,18,0.0,14.0,7,7,55,12:25 PM,12:45 AM,04:53 AM,06:49 PM,1,25,25,26,13,0,20,0.0,1014,26,10,184,11
2019-12-05 12:00:00,33,18,0.0,14.0,7,8,55,12:25 PM,12:45 AM,04:53 AM,06:49 PM,-2,28,28,30,17,0,13,0.0,1012,30,10,230,14
2019-12-05 15:00:00,33,18,0.0,14.0,7,8,55,12:25 PM,12:45 AM,04:53 AM,06:49 PM,-1,30,30,32,18,0,12,0.0,1010,32,10,236,15
2019-12-05 18:00:00,33,18,0.0,14.0,7,1,55,12:25 PM,12:45 AM,04:53 AM,06:49 PM,2,28,28,30,19,0,18,0.0,1010,30,10,240,12
2019-12-05 21:00:00,33,18,0.0,14.0,7,1,55,12:25 PM,12:45 AM,04:53 AM,06:49 PM,3,25,25,27,22,0,22,0.0,1010,27,10,297,11
2019-12-06 00:00:00,36,22,0.0,14.0,8,1,62,01:17 PM,01:16 AM,04:53 AM,06:50 PM,3,24,24,25,22,0,23,0.0,1010,25,10,321,10
2019-12-06 03:00:00,36,22,0.0,14.0,8,1,62,01:17 PM,01:16 AM,04:53 AM,06:50 PM,2,23,23,23,16,0,25,0.0,1009,23,10,332,8
2019-12-06 06:00:00,36,22,0.0,14.0,8,1,62,01:17 PM,01:16 AM,04:53 AM,06:50 PM,2,24,24,25,11,0,23,0.0,1010,25,10,122,7
