date_time,Muke_maxtempC,Muke_mintempC,Muke_totalSnow_cm,Muke_sunHour,Muke_uvIndex,Muke_uvIndex,Muke_moon_illumination,Muke_moonrise,Muke_moonset,Muke_sunrise,Muke_sunset,Muke_DewPointC,Muke_FeelsLikeC,Muke_HeatIndexC,Muke_WindChillC,Muke_WindGustKmph,Muke_cloudcover,Muke_humidity,Muke_precipMM,Muke_pressure,Muke_tempC,Muke_visibility,Muke_winddirDegree,Muke_windspeedKmph
2019-12-04 00:00:00,25,15,0.0,8.7,6,1,48,01:07 PM,No moonset,07:12 AM,05:23 PM,3,16,16,16,8,4,41,0.0,1019,16,10,53,4
2019-12-04 03:00:00,25,15,0.0,8.7,6,1,48,01:07 PM,No moonset,07:12 AM,05:23 PM,4,16,16,16,4,0,44,0.0,1019,16,10,24,3
2019-12-04 06:00:00,25,15,0.0,8.7,6,5,48,01:07 PM,No moonset,07:12 AM,05:23 PM,4,16,16,16,3,0,46,0.0,1019,16,10,29,2
2019-12-04 09:00:00,25,15,0.0,8.7,6,5,48,01:07 PM,No moonset,07:12 AM,05:23 PM,5,19,19,19,3,0,41,0.0,1020,19,10,72,3
2019-12-04 12:00:00,25,15,0.0,8.7,6,6,48,01:07 PM,No moonset,07:12 AM,05:23 PM,5,24,24,24,4,0,29,0.0,1018,24,10,152,3
2019-12-04 15:00:00,25,15,0.0,8.7,6,6,48,01:07 PM,No moonset,07:12 AM,05:23 PM,4,24,24,24,7,0,28,0.0,1017,24,10,287,6
2019-12-04 18:00:00,25,15,0.0,8.7,6,6,48,01:07 PM,No moonset,07:12 AM,05:23 PM,6,22,23,22,4,0,36,0.0,1019,22,10,225,4
2019-12-04 21:00:00,25,15,0.0,8.7,6,1,48,01:07 PM,No moonset,07:12 AM,05:23 PM,6,19,19,19,4,0,41,0.0,1021,19,10,52,3
2019-12-05 00:00:00,26,15,0.0,8.7,6,1,55,01:37 PM,12:32 AM,07:13 AM,05:23 PM,6,17,17,17,6,0,45,0.0,1021,17,10,85,4
2019-12-05 03:00:00,26,15,0.0,8.7,6,1,55,01:37 PM,12:32 AM,07:13 AM,05:23 PM,6,16,16,16,5,0,50,0.0,1021,16,10,76,3
2019-12-05 06:00:00,26,15,0.0,8.7,6,5,55,01:37 PM,12:32 AM,07:13 AM,05:23 PM,6,16,16,16,3,0,52,0.0,1021,16,10,82,3
2019-12-05 09:00:00,26,15,0.0,8.7,6,5,55,01:37 PM,12:32 AM,07:13 AM,05:23 PM,7,19,19,19,3,0,47,0.0,1023,19,10,168,3
2019-12-05 12:00:00,26,15,0.0,8.7,6,6,55,01:37 PM,12:32 AM,07:13 AM,05:23 PM,6,24,24,24,4,0,32,0.0,1021,24,10,247,4
2019-12-05 15:00:00,26,15,0.0,8.7,6,6,55,01:37 PM,12:32 AM,07:13 AM,05:23 PM,6,25,25,24,6,0,31,0.0,1020,24,10,294,5
2019-12-05 18:00:00,26,15,0.0,8.7,6,6,55,01:37 PM,12:32 AM,07:13 AM,05:23 PM,7,21,23,21,6,0,39,0.0,1021,21,10,340,5
2019-12-05 21:00:00,26,15,0.0,8.7,6,1,55,01:37 PM,12:32 AM,07:13 AM,05:23 PM,7,19,19,19,5,0,44,0.0,1022,19,10,247,4
2019-12-06 00:00:00,25,15,0.0,8.7,6,1,62,02:06 PM,01:27 AM,07:14 AM,05:23 PM,6,17,17,17,8,0,49,0.0,1022,17,10,37,5
