date_time,Mulgoa_maxtempC,Mulgoa_mintempC,Mulgoa_totalSnow_cm,Mulgoa_sunHour,Mulgoa_uvIndex,Mulgoa_uvIndex,Mulgoa_moon_illumination,Mulgoa_moonrise,Mulgoa_moonset,Mulgoa_sunrise,Mulgoa_sunset,Mulgoa_DewPointC,Mulgoa_FeelsLikeC,Mulgoa_HeatIndexC,Mulgoa_WindChillC,Mulgoa_WindGustKmph,Mulgoa_cloudcover,Mulgoa_humidity,Mulgoa_precipMM,Mulgoa_pressure,Mulgoa_tempC,Mulgoa_visibility,Mulgoa_winddirDegree,Mulgoa_windspeedKmph
2019-12-04 00:00:00,32,14,0.0,14.2,7,1,48,11:23 AM,12:15 AM,04:39 AM,06:55 PM,5,18,19,18,7,6,50,0.0,1008,18,10,110,3
2019-12-04 03:00:00,32,14,0.0,14.2,7,1,48,11:23 AM,12:15 AM,04:39 AM,06:55 PM,6,14,14,14,3,2,58,0.0,1009,14,10,37,2
2019-12-04 06:00:00,32,14,0.0,14.2,7,1,48,11:23 AM,12:15 AM,04:39 AM,06:55 PM,6,18,18,18,5,0,47,0.0,1010,18,10,28,4
2019-12-04 09:00:00,32,14,0.0,14.2,7,7,48,11:23 AM,12:15 AM,04:39 AM,06:55 PM,4,24,24,26,6,1,26,0.0,1010,26,10,88,5
2019-12-04 12:00:00,32,14,0.0,14.2,7,8,48,11:23 AM,12:15 AM,04:39 AM,06:55 PM,-1,29,29,31,14,1,13,0.0,1008,31,10,202,12
2019-12-04 15:00:00,32,14,0.0,14.2,7,8,48,11:23 AM,12:15 AM,04:39 AM,06:55 PM,-3,29,29,31,19,0,11,0.0,1007,31,10,240,17
2019-12-04 18:00:00,32,14,0.0,14.2,7,1,48,11:23 AM,12:15 AM,04:39 AM,06:55 PM,4,29,29,28,19,0,31,0.0,1009,28,10,148,12
2019-12-04 21:00:00,32,14,0.0,14.2,7,1,48,11:23 AM,12:15 AM,04:39 AM,06:55 PM,9,27,27,25,12,0,53,0.0,1011,25,10,220,6
2019-12-05 00:00:00,35,14,0.0,14.2,8,1,55,12:18 PM,12:46 AM,04:39 AM,06:56 PM,6,19,19,19,8,0,50,0.0,1011,19,10,290,4
2019-12-05 03:00:00,35,14,0.0,14.2,8,1,55,12:18 PM,12:46 AM,04:39 AM,06:56 PM,3,15,15,15,5,0,46,0.0,1010,15,10,299,3
2019-12-05 06:00:00,35,14,0.0,14.2,8,1,55,12:18 PM,12:46 AM,04:39 AM,06:56 PM,3,19,19,19,5,2,35,0.0,1011,19,10,106,4
2019-12-05 09:00:00,35,14,0.0,14.2,8,7,55,12:18 PM,12:46 AM,04:39 AM,06:56 PM,3,27,27,29,6,5,20,0.0,1010,29,10,185,5
2019-12-05 12:00:00,35,14,0.0,14.2,8,8,55,12:18 PM,12:46 AM,04:39 AM,06:56 PM,0,32,32,34,19,3,12,0.0,1007,34,10,269,17
2019-12-05 15:00:00,35,14,0.0,14.2,8,8,55,12:18 PM,12:46 AM,04:39 AM,06:56 PM,0,32,32,34,25,2,12,0.0,1005,34,10,275,22
2019-12-05 18:00:00,35,14,0.0,14.2,8,1,55,12:18 PM,12:46 AM,04:39 AM,06:56 PM,-1,33,33,31,24,8,14,0.0,1006,31,10,272,15
2019-12-05 21:00:00,35,14,0.0,14.2,8,1,55,12:18 PM,12:46 AM,04:39 AM,06:56 PM,-2,31,31,29,21,5,19,0.0,1007,29,10,268,10
2019-12-06 00:00:00,34,16,0.0,12.2,8,1,62,01:12 PM,01:15 AM,04:39 AM,06:57 PM,-1,22,23,22,10,67,26,0.0,1008,22,10,233,5
