date_time,Mundulla_maxtempC,Mundulla_mintempC,Mundulla_totalSnow_cm,Mundulla_sunHour,Mundulla_uvIndex,Mundulla_uvIndex,Mundulla_moon_illumination,Mundulla_moonrise,Mundulla_moonset,Mundulla_sunrise,Mundulla_sunset,Mundulla_DewPointC,Mundulla_FeelsLikeC,Mundulla_HeatIndexC,Mundulla_WindChillC,Mundulla_WindGustKmph,Mundulla_cloudcover,Mundulla_humidity,Mundulla_precipMM,Mundulla_pressure,Mundulla_tempC,Mundulla_visibility,Mundulla_winddirDegree,Mundulla_windspeedKmph
2019-12-04 00:00:00,21,12,0.0,12.4,4,1,48,11:31 AM,12:30 AM,04:42 AM,07:12 PM,8,11,13,11,26,88,74,0.0,1015,13,10,249,18
2019-12-04 03:00:00,21,12,0.0,12.4,4,1,48,11:31 AM,12:30 AM,04:42 AM,07:12 PM,8,11,12,11,26,87,77,0.0,1014,12,10,249,18
2019-12-04 06:00:00,21,12,0.0,12.4,4,1,48,11:31 AM,12:30 AM,04:42 AM,07:12 PM,9,11,13,11,24,84,75,0.0,1015,13,10,257,18
2019-12-04 09:00:00,21,12,0.0,12.4,4,3,48,11:31 AM,12:30 AM,04:42 AM,07:12 PM,9,13,15,13,23,81,68,0.1,1016,15,10,267,19
2019-12-04 12:00:00,21,12,0.0,12.4,4,6,48,11:31 AM,12:30 AM,04:42 AM,07:12 PM,9,20,20,20,26,6,47,0.0,1015,20,10,256,22
2019-12-04 15:00:00,21,12,0.0,12.4,4,6,48,11:31 AM,12:30 AM,04:42 AM,07:12 PM,8,21,21,21,28,7,44,0.0,1013,21,10,246,25
2019-12-04 18:00:00,21,12,0.0,12.4,4,1,48,11:31 AM,12:30 AM,04:42 AM,07:12 PM,10,17,17,17,24,0,66,0.0,1014,17,10,246,17
2019-12-04 21:00:00,21,12,0.0,12.4,4,1,48,11:31 AM,12:30 AM,04:42 AM,07:12 PM,10,14,18,14,15,31,95,0.0,1014,14,2,258,8
2019-12-05 00:00:00,21,10,0.0,12.4,4,1,55,12:27 PM,01:00 AM,04:42 AM,07:13 PM,10,9,10,9,17,48,97,0.0,1013,10,2,284,9
2019-12-05 03:00:00,21,10,0.0,12.4,4,1,55,12:27 PM,01:00 AM,04:42 AM,07:13 PM,10,10,11,10,21,97,93,0.0,1012,11,10,262,12
2019-12-05 06:00:00,21,10,0.0,12.4,4,1,55,12:27 PM,01:00 AM,04:42 AM,07:13 PM,11,13,14,13,25,86,79,0.0,1012,14,10,264,19
2019-12-05 09:00:00,21,10,0.0,12.4,4,4,55,12:27 PM,01:00 AM,04:42 AM,07:13 PM,11,17,17,17,25,77,66,0.0,1013,17,10,258,22
2019-12-05 12:00:00,21,10,0.0,12.4,4,6,55,12:27 PM,01:00 AM,04:42 AM,07:13 PM,11,21,24,21,31,6,52,0.0,1012,21,10,251,27
2019-12-05 15:00:00,21,10,0.0,12.4,4,5,55,12:27 PM,01:00 AM,04:42 AM,07:13 PM,11,20,20,20,30,20,56,0.0,1011,20,10,235,26
2019-12-05 18:00:00,21,10,0.0,12.4,4,1,55,12:27 PM,01:00 AM,04:42 AM,07:13 PM,10,16,16,16,28,57,67,0.0,1012,16,10,228,20
2019-12-05 21:00:00,21,10,0.0,12.4,4,1,55,12:27 PM,01:00 AM,04:42 AM,07:13 PM,10,11,11,11,17,71,91,0.0,1014,11,10,232,9
2019-12-06 00:00:00,21,9,0.0,14.5,4,1,62,01:23 PM,01:28 AM,04:42 AM,07:14 PM,9,9,10,9,18,39,94,0.0,1013,10,2,222,9
2019-12-06 03:00:00,21,9,0.0,14.5,4,1,62,01:23 PM,01:28 AM,04:42 AM,07:14 PM,8,8,9,8,15,20,95,0.0,1013,9,2,219,8
2019-12-06 06:00:00,21,9,0.0,14.5,4,1,62,01:23 PM,01:28 AM,04:42 AM,07:14 PM,9,11,12,11,12,32,79,0.0,1015,12,10,216,10
2019-12-06 09:00:00,21,9,0.0,14.5,4,5,62,01:23 PM,01:28 AM,04:42 AM,07:14 PM,7,20,20,20,18,0,43,0.0,1015,20,10,226,16
2019-12-06 12:00:00,21,9,0.0,14.5,4,6,62,01:23 PM,01:28 AM,04:42 AM,07:14 PM,9,21,24,21,28,0,45,0.0,1015,21,10,231,24
2019-12-06 15:00:00,21,9,0.0,14.5,4,6,62,01:23 PM,01:28 AM,04:42 AM,07:14 PM,8,20,20,20,31,3,47,0.0,1015,20,10,224,27
2019-12-06 18:00:00,21,9,0.0,14.5,4,1,62,01:23 PM,01:28 AM,04:42 AM,07:14 PM,8,15,15,15,31,2,61,0.0,1016,15,10,217,22
2019-12-06 21:00:00,21,9,0.0,14.5,4,1,62,01:23 PM,01:28 AM,04:42 AM,07:14 PM,8,13,17,13,21,5,84,0.0,1018,13,10,206,11
