date_time,Nadi_maxtempC,Nadi_mintempC,Nadi_totalSnow_cm,Nadi_sunHour,Nadi_uvIndex,Nadi_uvIndex,Nadi_moon_illumination,Nadi_moonrise,Nadi_moonset,Nadi_sunrise,Nadi_sunset,Nadi_DewPointC,Nadi_FeelsLikeC,Nadi_HeatIndexC,Nadi_WindChillC,Nadi_WindGustKmph,Nadi_cloudcover,Nadi_humidity,Nadi_precipMM,Nadi_pressure,Nadi_tempC,Nadi_visibility,Nadi_winddirDegree,Nadi_windspeedKmph
2019-12-04 00:00:00,32,22,0.0,8.7,7,1,48,01:08 PM,12:02 AM,07:04 AM,05:53 PM,13,25,25,23,34,17,51,0.0,1014,23,10,49,17
2019-12-04 03:00:00,32,22,0.0,8.7,7,1,48,01:08 PM,12:02 AM,07:04 AM,05:53 PM,12,25,25,22,36,18,53,0.0,1013,22,10,53,19
2019-12-04 06:00:00,32,22,0.0,8.7,7,1,48,01:08 PM,12:02 AM,07:04 AM,05:53 PM,11,22,25,22,35,23,52,0.0,1014,22,10,59,20
2019-12-04 09:00:00,32,22,0.0,8.7,7,6,48,01:08 PM,12:02 AM,07:04 AM,05:53 PM,12,26,26,25,31,28,47,0.0,1016,25,10,68,22
2019-12-04 12:00:00,32,22,0.0,8.7,7,7,48,01:08 PM,12:02 AM,07:04 AM,05:53 PM,15,30,30,29,23,22,41,0.0,1015,29,10,79,20
2019-12-04 15:00:00,32,22,0.0,8.7,7,8,48,01:08 PM,12:02 AM,07:04 AM,05:53 PM,16,31,31,31,17,16,41,0.0,1013,31,10,79,13
2019-12-04 18:00:00,32,22,0.0,8.7,7,7,48,01:08 PM,12:02 AM,07:04 AM,05:53 PM,16,29,29,28,19,24,48,0.0,1014,28,10,61,10
2019-12-04 21:00:00,32,22,0.0,8.7,7,1,48,01:08 PM,12:02 AM,07:04 AM,05:53 PM,13,26,26,25,28,46,48,0.0,1016,25,10,50,13
2019-12-05 00:00:00,32,23,0.0,8.7,7,1,55,01:43 PM,12:52 AM,07:04 AM,05:53 PM,12,25,25,24,29,45,47,0.0,1016,24,10,54,15
2019-12-05 03:00:00,32,23,0.0,8.7,7,1,55,01:43 PM,12:52 AM,07:04 AM,05:53 PM,12,25,25,24,31,41,48,0.0,1015,24,10,59,17
2019-12-05 06:00:00,32,23,0.0,8.7,7,1,55,01:43 PM,12:52 AM,07:04 AM,05:53 PM,12,25,25,24,29,47,49,0.0,1016,24,10,64,19
2019-12-05 09:00:00,32,23,0.0,8.7,7,7,55,01:43 PM,12:52 AM,07:04 AM,05:53 PM,14,26,26,25,26,40,51,0.0,1017,25,10,71,19
2019-12-05 12:00:00,32,23,0.0,8.7,7,8,55,01:43 PM,12:52 AM,07:04 AM,05:53 PM,15,30,30,30,19,34,41,0.0,1016,30,10,83,16
2019-12-05 15:00:00,32,23,0.0,8.7,7,8,55,01:43 PM,12:52 AM,07:04 AM,05:53 PM,16,31,31,31,14,48,40,0.0,1014,31,10,76,10
2019-12-05 18:00:00,32,23,0.0,8.7,7,7,55,01:43 PM,12:52 AM,07:04 AM,05:53 PM,16,29,29,28,17,34,46,0.0,1015,28,10,48,9
2019-12-05 21:00:00,32,23,0.0,8.7,7,1,55,01:43 PM,12:52 AM,07:04 AM,05:53 PM,13,26,26,26,24,7,45,0.0,1015,26,10,42,13
2019-12-06 00:00:00,29,21,0.0,7.1,6,1,62,02:15 PM,01:42 AM,07:05 AM,05:54 PM,11,25,25,25,26,9,42,0.0,1016,25,10,55,14
2019-12-06 03:00:00,29,21,0.0,7.1,6,1,62,02:15 PM,01:42 AM,07:05 AM,05:54 PM,9,24,24,23,30,9,41,0.0,1015,23,10,53,16
2019-12-06 06:00:00,29,21,0.0,7.1,6,1,62,02:15 PM,01:42 AM,07:05 AM,05:54 PM,6,22,24,22,33,7,37,0.0,1017,22,10,59,19
2019-12-06 09:00:00,29,21,0.0,7.1,6,5,62,02:15 PM,01:42 AM,07:05 AM,05:54 PM,6,24,24,23,28,37,34,0.0,1018,23,10,58,20
2019-12-06 12:00:00,29,21,0.0,7.1,6,7,62,02:15 PM,01:42 AM,07:05 AM,05:54 PM,8,26,26,27,22,71,29,0.0,1016,27,10,58,19
2019-12-06 15:00:00,29,21,0.0,7.1,6,7,62,02:15 PM,01:42 AM,07:05 AM,05:54 PM,8,27,27,28,20,28,29,0.0,1015,28,10,46,15
2019-12-06 18:00:00,29,21,0.0,7.1,6,7,62,02:15 PM,01:42 AM,07:05 AM,05:54 PM,8,25,25,25,22,50,32,0.0,1016,25,10,35,12
2019-12-06 21:00:00,29,21,0.0,7.1,6,1,62,02:15 PM,01:42 AM,07:05 AM,05:54 PM,4,24,24,24,23,49,27,0.0,1016,24,10,40,12
2019-12-07 00:00:00,29,19,0.0,8.7,6,1,70,02:48 PM,02:31 AM,07:06 AM,05:54 PM,2,23,23,23,26,47,26,0.0,1016,23,10,48,13
2019-12-07 03:00:00,29,19,0.0,8.7,6,1,70,02:48 PM,02:31 AM,07:06 AM,05:54 PM,3,21,22,21,30,41,30,0.0,1015,21,10,46,15
2019-12-07 06:00:00,29,19,0.0,8.7,6,1,70,02:48 PM,02:31 AM,07:06 AM,05:54 PM,4,19,19,19,33,25,36,0.0,1016,19,10,56,18
2019-12-07 09:00:00,29,19,0.0,8.7,6,6,70,02:48 PM,02:31 AM,07:06 AM,05:54 PM,7,22,22,22,30,16,39,0.0,1017,22,10,58,21
2019-12-07 12:00:00,29,19,0.0,8.7,6,7,70,02:48 PM,02:31 AM,07:06 AM,05:54 PM,8,26,26,27,23,18,30,0.0,1016,27,10,59,20
2019-12-07 15:00:00,29,19,0.0,8.7,6,7,70,02:48 PM,02:31 AM,07:06 AM,05:54 PM,8,27,27,28,21,9,28,0.0,1014,28,10,43,15
2019-12-07 18:00:00,29,19,0.0,8.7,6,7,70,02:48 PM,02:31 AM,07:06 AM,05:54 PM,8,25,25,25,24,3,33,0.0,1014,25,10,21,13
2019-12-07 21:00:00,29,19,0.0,8.7,6,1,70,02:48 PM,02:31 AM,07:06 AM,05:54 PM,5,23,23,22,28,2,32,0.0,1015,22,10,32,13
2019-12-08 00:00:00,29,18,0.0,8.7,6,1,77,03:23 PM,03:21 AM,07:06 AM,05:54 PM,4,20,20,20,29,2,35,0.0,1015,20,10,48,14
2019-12-08 03:00:00,29,18,0.0,8.7,6,1,77,03:23 PM,03:21 AM,07:06 AM,05:54 PM,5,19,19,19,31,2,39,0.0,1015,19,10,56,15
2019-12-08 06:00:00,29,18,0.0,8.7,6,1,77,03:23 PM,03:21 AM,07:06 AM,05:54 PM,6,19,19,19,31,0,44,0.0,1016,19,10,54,17
2019-12-08 09:00:00,29,18,0.0,8.7,6,6,77,03:23 PM,03:21 AM,07:06 AM,05:54 PM,9,21,21,21,29,0,46,0.0,1018,21,10,58,20
2019-12-08 12:00:00,29,18,0.0,8.7,6,7,77,03:23 PM,03:21 AM,07:06 AM,05:54 PM,11,26,26,27,21,0,37,0.0,1016,27,10,61,19
2019-12-08 15:00:00,29,18,0.0,8.7,6,7,77,03:23 PM,03:21 AM,07:06 AM,05:54 PM,11,28,28,29,18,0,34,0.0,1014,29,10,47,15
2019-12-08 18:00:00,29,18,0.0,8.7,6,7,77,03:23 PM,03:21 AM,07:06 AM,05:54 PM,11,26,26,26,20,0,39,0.0,1014,26,10,21,12
2019-12-08 21:00:00,29,18,0.0,8.7,6,1,77,03:23 PM,03:21 AM,07:06 AM,05:54 PM,8,24,24,23,23,0,39,0.0,1016,23,10,23,12
2019-12-09 00:00:00,30,17,0.0,8.7,6,1,84,03:58 PM,04:13 AM,07:07 AM,05:54 PM,7,21,22,21,24,0,39,0.0,1015,21,10,33,12
2019-12-09 03:00:00,30,17,0.0,8.7,6,1,84,03:58 PM,04:13 AM,07:07 AM,05:54 PM,6,19,19,19,27,5,44,0.0,1015,19,10,32,13
2019-12-09 06:00:00,30,17,0.0,8.7,6,1,84,03:58 PM,04:13 AM,07:07 AM,05:54 PM,7,18,18,18,28,11,50,0.0,1016,18,10,48,15
2019-12-09 09:00:00,30,17,0.0,8.7,6,6,84,03:58 PM,04:13 AM,07:07 AM,05:54 PM,10,22,22,22,26,5,49,0.0,1017,22,10,61,17
2019-12-09 12:00:00,30,17,0.0,8.7,6,7,84,03:58 PM,04:13 AM,07:07 AM,05:54 PM,12,28,28,28,17,10,37,0.0,1015,28,10,64,14
2019-12-09 15:00:00,30,17,0.0,8.7,6,7,84,03:58 PM,04:13 AM,07:07 AM,05:54 PM,12,28,28,29,14,11,34,0.0,1013,29,10,42,10
2019-12-09 18:00:00,30,17,0.0,8.7,6,7,84,03:58 PM,04:13 AM,07:07 AM,05:54 PM,11,26,26,26,21,4,38,0.0,1014,26,10,20,11
2019-12-09 21:00:00,30,17,0.0,8.7,6,1,84,03:58 PM,04:13 AM,07:07 AM,05:54 PM,9,25,25,24,22,0,39,0.0,1015,24,10,37,11
2019-12-10 00:00:00,33,19,0.0,8.7,7,1,92,04:38 PM,05:06 AM,07:08 AM,05:55 PM,7,22,23,22,21,0,40,0.0,1014,22,10,48,10
2019-12-10 03:00:00,33,19,0.0,8.7,7,1,92,04:38 PM,05:06 AM,07:08 AM,05:55 PM,6,20,20,20,21,0,40,0.0,1014,20,10,32,11
2019-12-10 06:00:00,33,19,0.0,8.7,7,1,92,04:38 PM,05:06 AM,07:08 AM,05:55 PM,7,19,19,19,23,0,45,0.0,1014,19,10,33,13
2019-12-10 09:00:00,33,19,0.0,8.7,7,6,92,04:38 PM,05:06 AM,07:08 AM,05:55 PM,11,23,23,23,19,1,48,0.0,1015,23,10,49,13
