date_time,Naip_maxtempC,Naip_mintempC,Naip_totalSnow_cm,Naip_sunHour,Naip_uvIndex,Naip_uvIndex,Naip_moon_illumination,Naip_moonrise,Naip_moonset,Naip_sunrise,Naip_sunset,Naip_DewPointC,Naip_FeelsLikeC,Naip_HeatIndexC,Naip_WindChillC,Naip_WindGustKmph,Naip_cloudcover,Naip_humidity,Naip_precipMM,Naip_pressure,Naip_tempC,Naip_visibility,Naip_winddirDegree,Naip_windspeedKmph
2019-12-04 00:00:00,5,0,0.2,8.7,1,1,48,02:16 PM,12:16 AM,08:35 AM,05:39 PM,1,2,2,2,3,59,92,0.2,1028,2,7,138,2
2019-12-04 03:00:00,5,0,0.2,8.7,1,1,48,02:16 PM,12:16 AM,08:35 AM,05:39 PM,0,1,1,1,5,52,92,0.1,1029,1,8,88,3
2019-12-04 06:00:00,5,0,0.2,8.7,1,1,48,02:16 PM,12:16 AM,08:35 AM,05:39 PM,-1,-1,1,-1,10,6,88,0.0,1030,1,10,59,7
2019-12-04 09:00:00,5,0,0.2,8.7,1,2,48,02:16 PM,12:16 AM,08:35 AM,05:39 PM,-3,-2,1,-2,13,5,78,0.0,1031,1,10,70,9
2019-12-04 12:00:00,5,0,0.2,8.7,1,2,48,02:16 PM,12:16 AM,08:35 AM,05:39 PM,-4,1,4,1,12,2,60,0.0,1031,4,10,75,9
2019-12-04 15:00:00,5,0,0.2,8.7,1,2,48,02:16 PM,12:16 AM,08:35 AM,05:39 PM,-3,3,4,3,8,0,58,0.0,1031,4,10,69,7
2019-12-04 18:00:00,5,0,0.2,8.7,1,2,48,02:16 PM,12:16 AM,08:35 AM,05:39 PM,-2,2,4,2,7,0,66,0.0,1031,4,10,90,5
2019-12-04 21:00:00,5,0,0.2,8.7,1,1,48,02:16 PM,12:16 AM,08:35 AM,05:39 PM,-2,2,3,2,5,0,69,0.0,1033,3,10,117,4
2019-12-05 00:00:00,7,2,0.0,8.7,2,1,55,02:39 PM,01:17 AM,08:36 AM,05:39 PM,-3,1,2,1,6,0,70,0.0,1033,2,10,135,5
2019-12-05 03:00:00,7,2,0.0,8.7,2,1,55,02:39 PM,01:17 AM,08:36 AM,05:39 PM,-2,1,2,1,6,0,71,0.0,1033,2,10,167,5
2019-12-05 06:00:00,7,2,0.0,8.7,2,1,55,02:39 PM,01:17 AM,08:36 AM,05:39 PM,-2,1,2,1,4,1,73,0.0,1033,2,10,198,4
2019-12-05 09:00:00,7,2,0.0,8.7,2,2,55,02:39 PM,01:17 AM,08:36 AM,05:39 PM,-3,2,3,2,4,2,65,0.0,1033,3,10,177,4
2019-12-05 12:00:00,7,2,0.0,8.7,2,3,55,02:39 PM,01:17 AM,08:36 AM,05:39 PM,-5,5,5,5,4,3,47,0.0,1032,5,10,126,4
2019-12-05 15:00:00,7,2,0.0,8.7,2,3,55,02:39 PM,01:17 AM,08:36 AM,05:39 PM,-5,6,6,6,4,2,44,0.0,1030,6,10,92,3
2019-12-05 18:00:00,7,2,0.0,8.7,2,2,55,02:39 PM,01:17 AM,08:36 AM,05:39 PM,-4,5,5,5,5,0,52,0.0,1030,5,10,88,4
2019-12-05 21:00:00,7,2,0.0,8.7,2,1,55,02:39 PM,01:17 AM,08:36 AM,05:39 PM,-4,4,4,4,4,0,56,0.0,1030,4,10,153,3
2019-12-06 00:00:00,6,1,0.0,8.7,2,1,62,03:02 PM,02:17 AM,08:37 AM,05:39 PM,-4,2,3,2,6,0,58,0.0,1029,3,10,214,4
2019-12-06 03:00:00,6,1,0.0,8.7,2,1,62,03:02 PM,02:17 AM,08:37 AM,05:39 PM,-4,1,2,1,9,0,63,0.0,1028,2,10,218,6
2019-12-06 06:00:00,6,1,0.0,8.7,2,1,62,03:02 PM,02:17 AM,08:37 AM,05:39 PM,-4,-2,1,-2,13,0,68,0.0,1028,1,10,232,8
2019-12-06 09:00:00,6,1,0.0,8.7,2,2,62,03:02 PM,02:17 AM,08:37 AM,05:39 PM,-4,-1,2,-1,12,0,64,0.0,1027,2,10,231,8
2019-12-06 12:00:00,6,1,0.0,8.7,2,2,62,03:02 PM,02:17 AM,08:37 AM,05:39 PM,-4,3,5,3,12,0,52,0.0,1026,5,10,241,10
2019-12-06 15:00:00,6,1,0.0,8.7,2,3,62,03:02 PM,02:17 AM,08:37 AM,05:39 PM,-4,3,5,3,14,0,53,0.0,1024,5,10,244,9
2019-12-06 18:00:00,6,1,0.0,8.7,2,2,62,03:02 PM,02:17 AM,08:37 AM,05:39 PM,-3,2,4,2,13,2,62,0.0,1023,4,10,233,7
2019-12-06 21:00:00,6,1,0.0,8.7,2,1,62,03:02 PM,02:17 AM,08:37 AM,05:39 PM,-4,-0,2,-0,15,35,64,0.0,1023,2,10,225,7
2019-12-07 00:00:00,7,1,0.0,3.4,3,1,70,03:24 PM,03:18 AM,08:38 AM,05:39 PM,-4,-1,1,-1,17,67,66,0.0,1022,1,10,224,8
2019-12-07 03:00:00,7,1,0.0,3.4,3,1,70,03:24 PM,03:18 AM,08:38 AM,05:39 PM,-3,-1,2,-1,17,9,68,0.0,1021,2,10,233,9
2019-12-07 06:00:00,7,1,0.0,3.4,3,1,70,03:24 PM,03:18 AM,08:38 AM,05:39 PM,-4,-1,2,-1,19,21,68,0.0,1019,2,10,234,9
2019-12-07 09:00:00,7,1,0.0,3.4,3,1,70,03:24 PM,03:18 AM,08:38 AM,05:39 PM,-3,0,3,0,19,64,64,0.0,1018,3,10,235,11
2019-12-07 12:00:00,7,1,0.0,3.4,3,2,70,03:24 PM,03:18 AM,08:38 AM,05:39 PM,-1,4,6,4,19,100,58,0.0,1017,6,10,250,13
2019-12-07 15:00:00,7,1,0.0,3.4,3,2,70,03:24 PM,03:18 AM,08:38 AM,05:39 PM,-0,4,7,4,21,89,62,0.0,1016,7,10,246,13
2019-12-07 18:00:00,7,1,0.0,3.4,3,3,70,03:24 PM,03:18 AM,08:38 AM,05:39 PM,1,3,5,3,22,49,71,0.0,1016,5,10,241,10
2019-12-07 21:00:00,7,1,0.0,3.4,3,1,70,03:24 PM,03:18 AM,08:38 AM,05:39 PM,2,2,5,2,23,15,80,0.0,1017,5,10,241,11
2019-12-08 00:00:00,10,4,0.0,6.9,3,1,77,03:48 PM,04:19 AM,08:39 AM,05:39 PM,3,1,4,1,26,21,88,0.0,1017,4,10,241,13
2019-12-08 03:00:00,10,4,0.0,6.9,3,1,77,03:48 PM,04:19 AM,08:39 AM,05:39 PM,3,1,4,1,22,29,93,0.0,1017,4,10,253,12
2019-12-08 06:00:00,10,4,0.0,6.9,3,1,77,03:48 PM,04:19 AM,08:39 AM,05:39 PM,3,1,4,1,20,55,93,0.0,1018,4,10,250,11
2019-12-08 09:00:00,10,4,0.0,6.9,3,3,77,03:48 PM,04:19 AM,08:39 AM,05:39 PM,3,3,5,3,18,76,88,0.0,1019,5,10,247,10
2019-12-08 12:00:00,10,4,0.0,6.9,3,3,77,03:48 PM,04:19 AM,08:39 AM,05:39 PM,4,7,8,7,10,45,73,0.0,1019,8,10,243,8
2019-12-08 15:00:00,10,4,0.0,6.9,3,3,77,03:48 PM,04:19 AM,08:39 AM,05:39 PM,4,8,9,8,8,28,71,0.0,1019,9,10,231,5
2019-12-08 18:00:00,10,4,0.0,6.9,3,3,77,03:48 PM,04:19 AM,08:39 AM,05:39 PM,4,7,7,7,9,8,81,0.0,1020,7,10,200,5
2019-12-08 21:00:00,10,4,0.0,6.9,3,1,77,03:48 PM,04:19 AM,08:39 AM,05:39 PM,4,5,6,5,12,5,85,0.0,1020,6,10,197,6
2019-12-09 00:00:00,11,5,0.0,5.1,3,1,84,04:13 PM,05:23 AM,08:40 AM,05:39 PM,4,4,6,4,14,2,86,0.0,1019,6,10,210,8
2019-12-09 03:00:00,11,5,0.0,5.1,3,1,84,04:13 PM,05:23 AM,08:40 AM,05:39 PM,4,5,6,5,11,2,86,0.0,1018,6,10,208,6
2019-12-09 06:00:00,11,5,0.0,5.1,3,1,84,04:13 PM,05:23 AM,08:40 AM,05:39 PM,3,4,5,4,12,37,84,0.0,1016,5,10,196,6
2019-12-09 09:00:00,11,5,0.0,5.1,3,2,84,04:13 PM,05:23 AM,08:40 AM,05:39 PM,2,5,6,5,8,100,75,0.0,1016,6,10,179,4
2019-12-09 12:00:00,11,5,0.0,5.1,3,3,84,04:13 PM,05:23 AM,08:40 AM,05:39 PM,2,10,9,10,4,69,59,0.0,1014,9,10,204,3
2019-12-09 15:00:00,11,5,0.0,5.1,3,4,84,04:13 PM,05:23 AM,08:40 AM,05:39 PM,2,10,10,10,3,12,57,0.0,1012,10,10,202,2
2019-12-09 18:00:00,11,5,0.0,5.1,3,3,84,04:13 PM,05:23 AM,08:40 AM,05:39 PM,2,8,8,8,4,19,67,0.0,1012,8,10,104,2
2019-12-09 21:00:00,11,5,0.0,5.1,3,1,84,04:13 PM,05:23 AM,08:40 AM,05:39 PM,3,7,7,7,8,15,74,0.0,1012,7,10,124,4
2019-12-10 00:00:00,10,5,0.0,8.7,3,1,92,04:42 PM,06:27 AM,08:41 AM,05:38 PM,3,6,6,6,7,10,81,0.0,1012,6,10,144,4
2019-12-10 03:00:00,10,5,0.0,8.7,3,1,92,04:42 PM,06:27 AM,08:41 AM,05:38 PM,3,5,5,5,7,17,83,0.0,1012,5,10,147,4
