date_time,Nairne_maxtempC,Nairne_mintempC,Nairne_totalSnow_cm,Nairne_sunHour,Nairne_uvIndex,Nairne_uvIndex,Nairne_moon_illumination,Nairne_moonrise,Nairne_moonset,Nairne_sunrise,Nairne_sunset,Nairne_DewPointC,Nairne_FeelsLikeC,Nairne_HeatIndexC,Nairne_WindChillC,Nairne_WindGustKmph,Nairne_cloudcover,Nairne_humidity,Nairne_precipMM,Nairne_pressure,Nairne_tempC,Nairne_visibility,Nairne_winddirDegree,Nairne_windspeedKmph
2019-12-04 00:00:00,20,11,0.0,13.4,4,1,48,11:41 AM,12:35 AM,04:53 AM,07:16 PM,9,10,11,10,17,66,87,0.0,1016,11,10,236,11
2019-12-04 03:00:00,20,11,0.0,13.4,4,1,48,11:41 AM,12:35 AM,04:53 AM,07:16 PM,9,10,11,10,15,58,85,0.0,1016,11,10,243,10
2019-12-04 06:00:00,20,11,0.0,13.4,4,1,48,11:41 AM,12:35 AM,04:53 AM,07:16 PM,10,12,13,12,14,65,81,0.0,1017,13,10,269,12
2019-12-04 09:00:00,20,11,0.0,13.4,4,5,48,11:41 AM,12:35 AM,04:53 AM,07:16 PM,9,16,16,16,16,8,65,0.0,1017,16,10,278,14
2019-12-04 12:00:00,20,11,0.0,13.4,4,5,48,11:41 AM,12:35 AM,04:53 AM,07:16 PM,8,19,19,19,11,4,48,0.0,1016,19,10,280,10
2019-12-04 15:00:00,20,11,0.0,13.4,4,5,48,11:41 AM,12:35 AM,04:53 AM,07:16 PM,9,20,20,20,13,2,49,0.0,1014,20,10,250,12
2019-12-04 18:00:00,20,11,0.0,13.4,4,1,48,11:41 AM,12:35 AM,04:53 AM,07:16 PM,10,17,17,17,14,3,65,0.0,1015,17,10,227,10
2019-12-04 21:00:00,20,11,0.0,13.4,4,1,48,11:41 AM,12:35 AM,04:53 AM,07:16 PM,11,14,14,14,14,0,80,0.0,1015,14,10,237,8
2019-12-05 00:00:00,21,13,0.0,14.5,5,1,55,12:36 PM,01:06 AM,04:53 AM,07:17 PM,11,13,13,13,15,5,84,0.0,1014,13,10,277,9
2019-12-05 03:00:00,21,13,0.0,14.5,5,1,55,12:36 PM,01:06 AM,04:53 AM,07:17 PM,11,13,13,13,13,2,86,0.0,1012,13,10,299,8
2019-12-05 06:00:00,21,13,0.0,14.5,5,1,55,12:36 PM,01:06 AM,04:53 AM,07:17 PM,11,14,14,14,15,0,79,0.0,1013,14,10,287,11
2019-12-05 09:00:00,21,13,0.0,14.5,5,5,55,12:36 PM,01:06 AM,04:53 AM,07:17 PM,10,18,18,18,17,4,58,0.0,1014,18,10,265,14
2019-12-05 12:00:00,21,13,0.0,14.5,5,6,55,12:36 PM,01:06 AM,04:53 AM,07:17 PM,9,21,21,21,16,32,49,0.0,1013,21,10,255,14
2019-12-05 15:00:00,21,13,0.0,14.5,5,6,55,12:36 PM,01:06 AM,04:53 AM,07:17 PM,10,20,20,20,22,33,52,0.0,1012,20,10,232,19
2019-12-05 18:00:00,21,13,0.0,14.5,5,1,55,12:36 PM,01:06 AM,04:53 AM,07:17 PM,12,18,18,18,21,5,67,0.0,1013,18,10,208,15
2019-12-05 21:00:00,21,13,0.0,14.5,5,1,55,12:36 PM,01:06 AM,04:53 AM,07:17 PM,11,12,13,12,18,3,84,0.0,1014,13,10,164,11
2019-12-06 00:00:00,20,11,0.0,14.5,5,1,62,01:31 PM,01:34 AM,04:53 AM,07:18 PM,10,11,12,11,13,8,87,0.0,1014,12,10,160,8
2019-12-06 03:00:00,20,11,0.0,14.5,5,1,62,01:31 PM,01:34 AM,04:53 AM,07:18 PM,9,10,11,10,13,16,88,0.0,1014,11,10,169,8
2019-12-06 06:00:00,20,11,0.0,14.5,5,1,62,01:31 PM,01:34 AM,04:53 AM,07:18 PM,9,13,13,13,7,3,76,0.0,1015,13,10,166,6
2019-12-06 09:00:00,20,11,0.0,14.5,5,5,62,01:31 PM,01:34 AM,04:53 AM,07:18 PM,7,18,18,18,13,0,48,0.0,1016,18,10,220,11
2019-12-06 12:00:00,20,11,0.0,14.5,5,5,62,01:31 PM,01:34 AM,04:53 AM,07:18 PM,9,20,20,20,20,4,51,0.0,1016,20,10,229,18
2019-12-06 15:00:00,20,11,0.0,14.5,5,6,62,01:31 PM,01:34 AM,04:53 AM,07:18 PM,10,20,20,20,24,0,50,0.0,1016,20,10,224,21
2019-12-06 18:00:00,20,11,0.0,14.5,5,1,62,01:31 PM,01:34 AM,04:53 AM,07:18 PM,10,17,17,17,24,0,61,0.0,1017,17,10,185,19
2019-12-06 21:00:00,20,11,0.0,14.5,5,1,62,01:31 PM,01:34 AM,04:53 AM,07:18 PM,9,14,16,14,22,9,85,0.0,1019,14,10,142,14
