date_time,Narangba_maxtempC,Narangba_mintempC,Narangba_totalSnow_cm,Narangba_sunHour,Narangba_uvIndex,Narangba_uvIndex,Narangba_moon_illumination,Narangba_moonrise,Narangba_moonset,Narangba_sunrise,Narangba_sunset,Narangba_DewPointC,Narangba_FeelsLikeC,Narangba_HeatIndexC,Narangba_WindChillC,Narangba_WindGustKmph,Narangba_cloudcover,Narangba_humidity,Narangba_precipMM,Narangba_pressure,Narangba_tempC,Narangba_visibility,Narangba_winddirDegree,Narangba_windspeedKmph
2019-12-04 00:00:00,29,19,0.0,13.9,7,1,48,11:22 AM,No moonset,04:45 AM,06:31 PM,8,20,20,20,20,0,44,0.0,1010,20,10,283,10
2019-12-04 03:00:00,29,19,0.0,13.9,7,1,48,11:22 AM,No moonset,04:45 AM,06:31 PM,6,19,19,19,21,0,40,0.0,1010,19,10,263,10
2019-12-04 06:00:00,29,19,0.0,13.9,7,1,48,11:22 AM,No moonset,04:45 AM,06:31 PM,7,22,22,22,15,0,38,0.0,1012,22,10,255,10
2019-12-04 09:00:00,29,19,0.0,13.9,7,7,48,11:22 AM,No moonset,04:45 AM,06:31 PM,9,26,26,27,9,0,33,0.0,1012,27,10,221,7
2019-12-04 12:00:00,29,19,0.0,13.9,7,7,48,11:22 AM,No moonset,04:45 AM,06:31 PM,10,28,28,29,17,0,31,0.0,1011,29,10,133,14
2019-12-04 15:00:00,29,19,0.0,13.9,7,7,48,11:22 AM,No moonset,04:45 AM,06:31 PM,13,27,27,27,20,0,41,0.0,1009,27,10,78,17
2019-12-04 18:00:00,29,19,0.0,13.9,7,1,48,11:22 AM,No moonset,04:45 AM,06:31 PM,15,25,25,24,21,0,60,0.0,1010,24,10,36,13
2019-12-04 21:00:00,29,19,0.0,13.9,7,1,48,11:22 AM,No moonset,04:45 AM,06:31 PM,15,21,22,21,25,0,71,0.0,1012,21,10,236,13
2019-12-05 00:00:00,32,19,0.0,13.9,7,1,55,12:13 PM,12:30 AM,04:45 AM,06:31 PM,13,19,19,19,24,0,67,0.0,1012,19,10,316,12
2019-12-05 03:00:00,32,19,0.0,13.9,7,1,55,12:13 PM,12:30 AM,04:45 AM,06:31 PM,10,19,19,19,22,0,57,0.0,1011,19,10,268,11
2019-12-05 06:00:00,32,19,0.0,13.9,7,1,55,12:13 PM,12:30 AM,04:45 AM,06:31 PM,9,23,23,22,17,0,43,0.0,1012,22,10,249,10
2019-12-05 09:00:00,32,19,0.0,13.9,7,7,55,12:13 PM,12:30 AM,04:45 AM,06:31 PM,9,27,27,28,8,0,31,0.0,1013,28,10,221,6
2019-12-05 12:00:00,32,19,0.0,13.9,7,8,55,12:13 PM,12:30 AM,04:45 AM,06:31 PM,10,30,30,31,10,0,26,0.0,1011,31,10,93,9
2019-12-05 15:00:00,32,19,0.0,13.9,7,8,55,12:13 PM,12:30 AM,04:45 AM,06:31 PM,11,30,30,31,22,0,31,0.0,1009,31,10,25,16
2019-12-05 18:00:00,32,19,0.0,13.9,7,1,55,12:13 PM,12:30 AM,04:45 AM,06:31 PM,13,30,30,28,32,0,45,0.0,1009,28,10,246,19
2019-12-05 21:00:00,32,19,0.0,13.9,7,1,55,12:13 PM,12:30 AM,04:45 AM,06:31 PM,13,29,29,26,27,0,54,0.0,1011,26,10,350,13
2019-12-06 00:00:00,32,20,0.0,13.9,7,1,62,01:05 PM,01:02 AM,04:46 AM,06:32 PM,9,25,25,22,18,0,45,0.0,1010,22,10,312,9
