date_time,Narara_maxtempC,Narara_mintempC,Narara_totalSnow_cm,Narara_sunHour,Narara_uvIndex,Narara_uvIndex,Narara_moon_illumination,Narara_moonrise,Narara_moonset,Narara_sunrise,Narara_sunset,Narara_DewPointC,Narara_FeelsLikeC,Narara_HeatIndexC,Narara_WindChillC,Narara_WindGustKmph,Narara_cloudcover,Narara_humidity,Narara_precipMM,Narara_pressure,Narara_tempC,Narara_visibility,Narara_winddirDegree,Narara_windspeedKmph
2019-12-04 00:00:00,30,16,0.0,14.2,7,1,48,11:21 AM,12:12 AM,04:37 AM,06:52 PM,7,19,20,19,15,3,48,0.0,1008,19,10,284,8
2019-12-04 03:00:00,30,16,0.0,14.2,7,1,48,11:21 AM,12:12 AM,04:37 AM,06:52 PM,7,16,16,16,12,0,53,0.0,1009,16,10,283,6
2019-12-04 06:00:00,30,16,0.0,14.2,7,1,48,11:21 AM,12:12 AM,04:37 AM,06:52 PM,7,19,19,19,9,0,47,0.0,1010,19,10,285,6
2019-12-04 09:00:00,30,16,0.0,14.2,7,6,48,11:21 AM,12:12 AM,04:37 AM,06:52 PM,7,24,24,25,5,0,33,0.0,1010,25,10,325,4
2019-12-04 12:00:00,30,16,0.0,14.2,7,7,48,11:21 AM,12:12 AM,04:37 AM,06:52 PM,7,28,28,29,5,0,26,0.0,1008,29,10,204,4
2019-12-04 15:00:00,30,16,0.0,14.2,7,8,48,11:21 AM,12:12 AM,04:37 AM,06:52 PM,9,29,29,30,5,0,27,0.0,1007,30,10,119,4
2019-12-04 18:00:00,30,16,0.0,14.2,7,1,48,11:21 AM,12:12 AM,04:37 AM,06:52 PM,13,30,30,29,12,7,55,0.0,1008,29,10,110,8
2019-12-04 21:00:00,30,16,0.0,14.2,7,1,48,11:21 AM,12:12 AM,04:37 AM,06:52 PM,16,29,29,26,9,3,78,0.0,1010,26,10,186,6
2019-12-05 00:00:00,33,15,0.0,14.2,7,1,55,12:15 PM,12:43 AM,04:37 AM,06:52 PM,15,19,21,19,11,0,83,0.0,1011,19,10,261,6
2019-12-05 03:00:00,33,15,0.0,14.2,7,1,55,12:15 PM,12:43 AM,04:37 AM,06:52 PM,8,15,16,15,15,0,63,0.0,1010,16,10,290,8
2019-12-05 06:00:00,33,15,0.0,14.2,7,1,55,12:15 PM,12:43 AM,04:37 AM,06:52 PM,5,18,18,18,11,2,41,0.0,1011,18,10,304,8
2019-12-05 09:00:00,33,15,0.0,14.2,7,7,55,12:15 PM,12:43 AM,04:37 AM,06:52 PM,7,25,25,26,7,1,30,0.0,1010,26,10,330,6
2019-12-05 12:00:00,33,15,0.0,14.2,7,8,55,12:15 PM,12:43 AM,04:37 AM,06:52 PM,8,30,30,32,5,0,23,0.0,1008,32,10,314,5
2019-12-05 15:00:00,33,15,0.0,14.2,7,8,55,12:15 PM,12:43 AM,04:37 AM,06:52 PM,8,30,30,32,9,2,23,0.0,1005,32,10,291,8
2019-12-05 18:00:00,33,15,0.0,14.2,7,1,55,12:15 PM,12:43 AM,04:37 AM,06:52 PM,7,31,31,29,17,8,27,0.0,1006,29,10,276,9
2019-12-05 21:00:00,33,15,0.0,14.2,7,1,55,12:15 PM,12:43 AM,04:37 AM,06:52 PM,5,29,29,27,22,5,30,0.0,1007,27,10,268,10
2019-12-06 00:00:00,32,17,0.0,13.4,7,1,62,01:10 PM,01:12 AM,04:37 AM,06:53 PM,7,21,21,21,15,64,44,0.0,1007,21,10,231,7
2019-12-06 03:00:00,32,17,0.0,13.4,7,1,62,01:10 PM,01:12 AM,04:37 AM,06:53 PM,9,18,18,18,5,41,55,0.0,1007,18,10,306,3
2019-12-06 06:00:00,32,17,0.0,13.4,7,1,62,01:10 PM,01:12 AM,04:37 AM,06:53 PM,10,22,22,22,3,5,46,0.0,1008,22,10,347,3
2019-12-06 09:00:00,32,17,0.0,13.4,7,7,62,01:10 PM,01:12 AM,04:37 AM,06:53 PM,10,27,27,28,3,16,34,0.0,1008,28,10,332,3
2019-12-06 12:00:00,32,17,0.0,13.4,7,8,62,01:10 PM,01:12 AM,04:37 AM,06:53 PM,9,29,29,31,4,66,26,0.0,1006,31,10,272,4
2019-12-06 15:00:00,32,17,0.0,13.4,7,7,62,01:10 PM,01:12 AM,04:37 AM,06:53 PM,8,30,30,32,6,29,23,0.0,1005,32,10,246,5
2019-12-06 18:00:00,32,17,0.0,13.4,7,1,62,01:10 PM,01:12 AM,04:37 AM,06:53 PM,10,32,32,30,4,2,34,0.0,1007,30,10,91,3
2019-12-06 21:00:00,32,17,0.0,13.4,7,1,62,01:10 PM,01:12 AM,04:37 AM,06:53 PM,15,30,30,28,15,6,70,0.0,1010,28,10,117,10
2019-12-07 00:00:00,27,17,0.0,12.2,6,1,70,02:04 PM,01:41 AM,04:37 AM,06:54 PM,16,21,21,21,17,58,91,0.0,1011,21,5,175,11
2019-12-07 03:00:00,27,17,0.0,12.2,6,1,70,02:04 PM,01:41 AM,04:37 AM,06:54 PM,16,18,18,18,8,74,90,0.1,1011,18,7,156,5
2019-12-07 06:00:00,27,17,0.0,12.2,6,1,70,02:04 PM,01:41 AM,04:37 AM,06:54 PM,16,20,20,20,3,70,76,0.1,1013,20,10,265,3
2019-12-07 09:00:00,27,17,0.0,12.2,6,6,70,02:04 PM,01:41 AM,04:37 AM,06:54 PM,14,25,25,25,6,81,52,0.1,1013,25,10,169,6
2019-12-07 12:00:00,27,17,0.0,12.2,6,6,70,02:04 PM,01:41 AM,04:37 AM,06:54 PM,14,27,27,27,14,31,46,0.0,1012,27,10,93,12
2019-12-07 15:00:00,27,17,0.0,12.2,6,6,70,02:04 PM,01:41 AM,04:37 AM,06:54 PM,15,26,26,24,19,3,57,0.0,1010,24,10,90,17
2019-12-07 18:00:00,27,17,0.0,12.2,6,1,70,02:04 PM,01:41 AM,04:37 AM,06:54 PM,16,21,22,21,14,4,76,0.0,1013,21,10,97,11
2019-12-07 21:00:00,27,17,0.0,12.2,6,1,70,02:04 PM,01:41 AM,04:37 AM,06:54 PM,17,19,19,19,12,25,91,0.0,1016,19,10,116,8
2019-12-08 00:00:00,23,17,0.0,12.2,6,1,77,02:59 PM,02:09 AM,04:38 AM,06:55 PM,17,18,18,18,14,70,93,0.1,1018,18,9,114,9
2019-12-08 03:00:00,23,17,0.0,12.2,6,1,77,02:59 PM,02:09 AM,04:38 AM,06:55 PM,16,17,17,17,15,78,93,0.1,1018,17,10,104,10
2019-12-08 06:00:00,23,17,0.0,12.2,6,1,77,02:59 PM,02:09 AM,04:38 AM,06:55 PM,16,18,18,18,16,78,90,0.3,1019,18,10,81,12
2019-12-08 09:00:00,23,17,0.0,12.2,6,5,77,02:59 PM,02:09 AM,04:38 AM,06:55 PM,16,21,23,21,19,66,74,0.7,1019,21,10,66,14
2019-12-08 12:00:00,23,17,0.0,12.2,6,5,77,02:59 PM,02:09 AM,04:38 AM,06:55 PM,15,25,25,23,21,29,62,0.3,1018,23,10,75,17
2019-12-08 15:00:00,23,17,0.0,12.2,6,6,77,02:59 PM,02:09 AM,04:38 AM,06:55 PM,15,25,25,23,22,10,63,0.0,1018,23,10,78,19
2019-12-08 18:00:00,23,17,0.0,12.2,6,1,77,02:59 PM,02:09 AM,04:38 AM,06:55 PM,16,21,21,21,24,10,73,0.0,1020,21,10,63,18
2019-12-08 21:00:00,23,17,0.0,12.2,6,1,77,02:59 PM,02:09 AM,04:38 AM,06:55 PM,16,19,19,19,21,30,84,0.0,1022,19,10,51,14
2019-12-09 00:00:00,27,17,0.0,13.4,6,1,84,03:56 PM,02:38 AM,04:38 AM,06:56 PM,16,18,18,18,16,50,92,0.0,1021,18,5,47,9
2019-12-09 03:00:00,27,17,0.0,13.4,6,1,84,03:56 PM,02:38 AM,04:38 AM,06:56 PM,17,18,18,18,14,75,95,0.0,1021,18,2,51,8
2019-12-09 06:00:00,27,17,0.0,13.4,6,1,84,03:56 PM,02:38 AM,04:38 AM,06:56 PM,17,20,20,20,13,84,85,0.1,1022,20,7,45,10
2019-12-09 09:00:00,27,17,0.0,13.4,6,5,84,03:56 PM,02:38 AM,04:38 AM,06:56 PM,17,25,25,24,17,28,66,0.0,1021,24,10,50,14
2019-12-09 12:00:00,27,17,0.0,13.4,6,7,84,03:56 PM,02:38 AM,04:38 AM,06:56 PM,18,28,28,27,22,0,58,0.0,1018,27,10,59,19
2019-12-09 15:00:00,27,17,0.0,13.4,6,7,84,03:56 PM,02:38 AM,04:38 AM,06:56 PM,18,27,27,25,27,2,64,0.0,1016,25,10,59,23
2019-12-09 18:00:00,27,17,0.0,13.4,6,1,84,03:56 PM,02:38 AM,04:38 AM,06:56 PM,18,25,25,22,32,4,78,0.0,1015,22,10,49,23
2019-12-09 21:00:00,27,17,0.0,13.4,6,1,84,03:56 PM,02:38 AM,04:38 AM,06:56 PM,19,20,21,20,20,12,91,0.0,1016,20,5,43,12
2019-12-10 00:00:00,36,19,0.0,13.4,7,1,92,04:55 PM,03:11 AM,04:38 AM,06:56 PM,19,19,19,19,10,17,96,0.0,1015,19,2,20,6
2019-12-10 03:00:00,36,19,0.0,13.4,7,1,92,04:55 PM,03:11 AM,04:38 AM,06:56 PM,18,19,19,19,8,12,96,0.0,1013,19,2,216,4
2019-12-10 06:00:00,36,19,0.0,13.4,7,1,92,04:55 PM,03:11 AM,04:38 AM,06:56 PM,18,24,24,23,8,5,75,0.0,1014,23,7,342,6
2019-12-10 09:00:00,36,19,0.0,13.4,7,8,92,04:55 PM,03:11 AM,04:38 AM,06:56 PM,15,32,32,32,8,1,40,0.0,1013,32,10,353,7
2019-12-10 12:00:00,36,19,0.0,13.4,7,9,92,04:55 PM,03:11 AM,04:38 AM,06:56 PM,14,36,36,36,13,0,27,0.0,1011,36,10,172,11
2019-12-10 15:00:00,36,19,0.0,13.4,7,7,92,04:55 PM,03:11 AM,04:38 AM,06:56 PM,17,30,30,30,19,29,50,0.0,1010,30,10,131,16
2019-12-10 18:00:00,36,19,0.0,13.4,7,1,92,04:55 PM,03:11 AM,04:38 AM,06:56 PM,18,27,27,25,25,81,78,0.0,1012,25,10,170,20
2019-12-10 21:00:00,36,19,0.0,13.4,7,1,92,04:55 PM,03:11 AM,04:38 AM,06:56 PM,17,26,26,22,27,100,83,0.0,1015,22,10,183,21
2019-12-11 00:00:00,23,17,0.0,12.2,5,1,99,05:56 PM,03:47 AM,04:38 AM,06:57 PM,15,19,21,19,24,100,78,0.0,1016,19,10,190,19
2019-12-11 03:00:00,23,17,0.0,12.2,5,1,99,05:56 PM,03:47 AM,04:38 AM,06:57 PM,14,18,18,18,21,98,78,0.0,1015,18,10,202,15
2019-12-11 06:00:00,23,17,0.0,12.2,5,1,99,05:56 PM,03:47 AM,04:38 AM,06:57 PM,14,18,18,18,16,91,75,0.0,1016,18,10,195,13
2019-12-11 09:00:00,23,17,0.0,12.2,5,4,99,05:56 PM,03:47 AM,04:38 AM,06:57 PM,14,19,19,19,13,85,71,0.1,1015,19,10,182,12
